store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Belk,9272,Pleasant Ridge Town Center,11525 Cantrell Rd,Little Rock,AR,72212,United States,,34.7938992,-92.3999284,,,0
Dillards,8069,0314 Battlefield Mall,2825 S Glenstone Ave Ste 400,Springfield,MO,65804,United States,417-883-4550,37.16283,-93.263313,,,0
Belk,9251,Scottsdale Center,503 North 46Th Street,Rogers,AR,72756,United States,,36.3406144,-94.1793734,,,0
Dillards,8067,0311 Capital Mall,3600 Country Club Drive,Jefferson City,MO,65109,United States,573-893-4497,38.5837936,-92.2526985,,,0
Dillards,8063,0305 South County Center,220 South County Center,St Louis,MO,63129,United States,314-487-1600,38.504482,-90.332846,,,0
Dillards,8062,0302 Chesterfield Mall,100 Chesterfield Mall,Chesterfield,MO,63017,United States,636-532-4040,38.653845,-90.564997,,,0
Dillards,8061,0301 St Louis Galleria,1105 St Louis Galleria,St Louis,MO,63117,United States,314-725-8363,38.63733,-90.34709,,,0
Dillards,8066,0310 Illinois Center,3000 W  De Young Street,Marion,IL,62959-4891,United States,618-993-6000,37.745176,-88.98131,,,0
Dillards,8065,0309 Mid Rivers Mall,2 Mid Rivers Mall Drive,St Peters,MO,63376,United States,636-970-2555,38.8055685,-90.6188879,,,0
Dillards,8068,0312 Columbia Mall,2300 Bernadette Drive,Columbia,MO,65203,United States,573-876-8600,38.9658435,-92.3743507,,,0
Dillards,8064,0306 St Clair Square,275 St Clair Square,Fairview Heights,IL,62208,United States,618-632-5000,38.5943909,-89.9825072,,,0
Cabela&#39;s,17680,5555 St  Louis Mills Blvd,Suite   167,Hazelwood,MO,63042,United States,314-225-0100,38.7858306,-90.3813972,,,0
Belk,9273,The Mall At Barnes Crossing,1001 Barnes Crossing Rd,Tupelo,MS,38804,United States,,34.315563,-88.7029072,,,0
Dillards,8073,0323 Independence Center,18805 East 39Th Street,Independence,MO,64057,United States,816-795-1818,39.0480022,-94.3593961,,,0
Dillards,8071,0321 Ward Parkway Center,8800 Ward Parkway,Kansas City,MO,64114,United States,816-363-8800,38.9688687,-94.6050601,,,0
Dillards,8072,0322 Oak Park Center,11601 West 95Th Street,Overland Park,KS,66214,United States,913-492-0666,38.952456,-94.720311,,,0
Belk,9267,Regency Square,301 Cox Creek Parkway,Florence,AL,35630,United States,,34.8365527,-87.6312488,,,0
Cabela&#39;s,17669,10300 Cabela Drive,,Kansas City,KS,66111-1953,United States,913-328-0322,39.120283,-94.816205,,,0
Bergner&#39;s,13494,Quincy,3347 Broadway,Quincy,IL,62301,United States,,39.9352126,-91.3620812,,,0
Dillards,8074,0324 Zona Rosa,7350 Nw 87Th Terrace,Kansas City,MO,64153-1932,United States,,39.2517,-94.665656,,,0
Boston Stores,10032,White Oaks,2501 West Wabash,Springfield,IL,62704,United States,,39.7641014,-89.696909,,,0
Belk,9274,Northpark Mall,1200 E County Line Rd,Ridgeland,MS,39157,United States,,32.3995968,-90.1322451,,,0
Belk,9271,Cool Springs Galleria,1800 Galleria Blvd,Franklin,TN,37067,United States,,35.956,-86.81488,,,0
Belk,9275,Dogwood Festival,150 Dogwood Ave,Flowood,MS,39232,United States,,32.3405766,-90.0539178,,,0
Dillards,8086,0336 West Ridge Mall,1791 Sw Wanamaker Road,Topeka,KS,66604,United States,785-273-5451,39.0345733,-95.7620233,,,0
Dillards,8070,0317 East Hill,3702 Frederick Ave,St Joseph,MO,64506,United States,816-232-7666,39.7768976,-94.802839,,,0
Bon-Ton,13471,Hamden Mart,2300 Dixwell Ave ,Hamden,CT,06514,United States,,41.373097,-72.918736,,,0
Bon-Ton,13479,New Louden Center,873 New Louden Road,Latham,NY,12110,United States,,42.754289,-73.75714,,,0
Bon-Ton,13480,Newburgh Mall,1401 Route 300,Newburgh,NY,12550,United States,,41.51719,-74.0682266,,,0
Bon-Ton,13482,Aviation Mall,578 Aviation Road,Queensbury,NY,12804,United States,,43.327879,-73.678421,,,0
Bon-Ton,9815,Brick Plaza,Brick Plaza And Chambers Ridge,Brick,NJ,08723,United States,,40.058399,-74.141173,,,0
Bon-Ton,9853,Phillipsburg Mall,Route 22 East,Phillipsburg,NJ,08865,United States,,40.685064,-75.153953,,,0
Bon-Ton,9820,Lycoming Mall,Circle Suite  300,Morrisville,PA,19067,United States,,40.2109114,-74.8168531,,,0
Bon-Ton,9851,Palmer Park Mall,146 Palmer Park Mall,Easton,PA,18045,United States,,40.696189,-75.260267,,,0
Bon-Ton,13487,Doylestown Shopping Center,456 N  Main St ,Doylestown,PA,18901,United States,,40.3208016,-75.1307718,,,0
Bon-Ton,13486,Richland Mall,725 South Westend Blvd ,Quakertown,PA,18951,United States,,40.4254984,-75.3479983,,,0
Bon-Ton,9829,Midway Shopping Center,,Wyoming,PA,18644,United States,,41.301024,-75.851666,,,0
Bon-Ton,9818,Oakdale Mall,,Johnson City,NY,13790,United States,,42.124699,-75.973541,,,0
Bon-Ton,9857,Carousel Center,301 Hiawatha Blvd ,Syracuse,NY,13204,United States,,43.0679962,-76.1694601,,,0
Bon-Ton,9859,Camillus Plaza,5300 W  Genesee,Camillus,NY,13031,United States,,43.041259,-76.2690103,,,0
Bon-Ton,9835,Pyramid Mall - Ithaca,,Ithaca,NY,14850,United States,,42.484054,-76.489697,,,0
