store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
DESETTA GARDEN SHOP & NURSERY INC,,144 Franklin Place,,Woodmere,NY,11598,United States,(516) 295-1866,40.7127837,-74.0059413,Sunday:11:00 AM - 5:00 PM;Monday:8:00 AM - 6:00 PM;Tuesday:8:00 AM - 6:00 PM;Wednesday:8:00 AM - 6:00 PM;Thursday:8:00 AM - 6:00 PM;Friday:8:00 AM - 6:00 PM;Saturday:7:00 AM - 6:00 PM;,,0
CARDINAL GARDEN CENTER,,272 Milltown Road,,Springfield,NJ,07081,United States,(516) 295-1866,40.7127837,-74.0059413,Sunday:11:00 AM - 5:00 PM;Monday:8:00 AM - 6:00 PM;Tuesday:8:00 AM - 6:00 PM;Wednesday:8:00 AM - 6:00 PM;Thursday:8:00 AM - 6:00 PM;Friday:8:00 AM - 6:00 PM;Saturday:7:00 AM - 6:00 PM;,,0
NORTH HALEDON GENERAL STORE,,20 Manchester Avenue,,North Haledon,NJ,07508,United States,(516) 295-1866,40.7127837,-74.0059413,Sunday:8:00 AM - 2:00 PM;Monday:8:00 AM - 6:00 PM;Tuesday:8:00 AM - 6:00 PM;Wednesday:8:00 AM - 6:00 PM;Thursday:8:00 AM - 6:00 PM;Friday:8:00 AM - 6:00 PM;Saturday:8:00 AM - 6:00 PM;,,0
D & D Nursery,,25 Tuckahoe Road,,Yonkers,NY,10710,United States,(516) 295-1866,40.7127837,-74.0059413,,,0
WESTWOOD SEED AND FEED,,515 Broadway,,Westwood,NJ,07675,United States,(516) 295-1866,40.7127837,-74.0059413,Sunday:11:00 AM - 5:00 PM;Monday:8:00 AM - 6:00 PM;Tuesday:8:00 AM - 6:00 PM;Wednesday:8:00 AM - 6:00 PM;Thursday:8:00 AM - 6:00 PM;Friday:8:00 AM - 6:00 PM;Saturday:7:00 AM - 6:00 PM;,,0
Morristown Agway Store,,176 Ridgedale Ave,,Morristown,NJ,07960,United States,(516) 295-1866,40.7127837,-74.0059413,,,0
Chestnut Vale Feed,,150 Duffy Ave,,Hicksville,NY,11801,United States,(516) 295-1866,40.7127837,-74.0059413,Sunday:Closed;Monday:8:00 AM - 5:00 PM;Tuesday:8:00 AM - 5:00 PM;Wednesday:8:00 AM - 5:00 PM;Thursday:8:00 AM - 5:00 PM;Friday:8:00 AM - 5:00 PM;Saturday:8:00 AM - 3:00 PM;,,0
PET NUTRITION CENTER,,115 East Route 59,,Nanuet,NY,10954,United States,(516) 295-1866,40.7127837,-74.0059413,Sunday:11:00 AM - 5:00 PM;Monday:8:00 AM - 6:00 PM;Tuesday:8:00 AM - 6:00 PM;Wednesday:8:00 AM - 6:00 PM;Thursday:8:00 AM - 6:00 PM;Friday:8:00 AM - 6:00 PM;Saturday:7:00 AM - 6:00 PM;,,0
Bardy Farms,,149 Washington Valley Rd,,Warren,NJ,07059,United States,(516) 295-1866,40.7127837,-74.0059413,Sunday:7:00 AM - 6:00 PM;Monday:7:00 AM - 6:00 PM;Tuesday:7:00 AM - 6:00 PM;Wednesday:7:00 AM - 6:00 PM;Thursday:7:00 AM - 6:00 PM;Friday:7:00 AM - 6:00 PM;Saturday:7:00 AM - 6:00 PM;,,0
GLENWILD GARDENS INC,,104 Glenwild Ave,,Bloomingdale,NJ,07403,United States,(516) 295-1866,40.7127837,-74.0059413,Sunday:11:00 AM - 5:00 PM;Monday:8:00 AM - 6:00 PM;Tuesday:8:00 AM - 6:00 PM;Wednesday:8:00 AM - 6:00 PM;Thursday:8:00 AM - 6:00 PM;Friday:8:00 AM - 6:00 PM;Saturday:7:00 AM - 6:00 PM;,,0
M F A INC,,201 Ray Young Dr,,Columbia,MO,65201,United States,(618) 997-6974,34.0522342,-118.2436849,Sunday:Closed;Monday:8:00 AM - 5:00 PM;Tuesday:8:00 AM - 5:00 PM;Wednesday:8:00 AM - 5:00 PM;Thursday:8:00 AM - 5:00 PM;Friday:8:00 AM - 5:00 PM;Saturday:8:00 AM - 12:00 PM;,,0
McKinney's Western Store,,802 Halfway Road,,Marion,IL,62659,United States,(618) 997-6974,34.0522342,-118.2436849,Sunday:Closed;Monday:8:00 AM - 5:00 PM;Tuesday:8:00 AM - 5:00 PM;Wednesday:8:00 AM - 5:00 PM;Thursday:8:00 AM - 5:00 PM;Friday:8:00 AM - 5:00 PM;Saturday:8:00 AM - 12:00 PM;,,0
Marshall County Soil Improvement Assoc.,,501 Poplar Street,,Benton,KY,42025,United States,(618) 997-6974,34.0522342,-118.2436849,Sunday:Closed;Monday:8:00 AM - 5:00 PM;Tuesday:8:00 AM - 5:00 PM;Wednesday:8:00 AM - 5:00 PM;Thursday:8:00 AM - 5:00 PM;Friday:8:00 AM - 5:00 PM;Saturday:8:00 AM - 12:00 PM;,,0
Posey Co Farm Bureau,,817 West Fourth St,,Mt. Vernon,IN,47620,United States,(618) 997-6974,34.0522342,-118.2436849,Sunday:Closed;Monday:8:00 AM - 5:00 PM;Tuesday:8:00 AM - 5:00 PM;Wednesday:8:00 AM - 5:00 PM;Thursday:8:00 AM - 5:00 PM;Friday:8:00 AM - 5:00 PM;Saturday:8:00 AM - 12:00 PM;,,0
