store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
,,405 8th Street SE,,Washington,DC,20003,United States,202-866-0734,38.883507,-76.995243,Sunday through Wednesday: 11 am - 11 pm;Thursday: 11 am - 12 am;Friday & Saturday: 11 am - 2 am;,,0
,,666 Monroe St NE,,Washington,DC,20017,United States,202-733-1287,38.932381,-76.9967931,7 days a week: 11 am - 11 pm;,,0
,,705 H St NW,,Washington,DC,20001,United States,202-558-7569,38.8999972,-77.0243977,Sunday through Wednesday: 11 am - 11 pm;Thursday: 11 am - 12 am;Friday & Saturday: 11 am - 4 am;,,0
,,1375 Kenyon St NW,,Washington,DC,20010,United States,202-540-9760,38.9299304,-77.0339794,Sunday through Thursday: 11 am - 11 pm;Friday & Saturday: 11 am - 1 am;,,0
,,1215 Connecticut Ave NW,,Washington,DC,20036,United States,202-450-4926,38.90643,-77.041047,Sunday through Wednesday :11am - 11pm;Thursday :11am - 3am;Friday & Saturday :11am - 4am;,,0
,,1005 E St NW,,Washington,DC,20004,United States,202-347-5056,38.8962554,-77.0263564,Sunday through Thursday: 11 am - 11 pm;Friday & Saturday: 11 am - 12 am;,,0
,,2224 F St NW,,Washington,DC,20037,United States,202-849-8497,38.8971214,-77.051874,Sunday through Thursday: 7 am - 11 pm;Friday & Saturday: 7 am - 12 am;,,0
,,1335 Wisconsin Ave NW,,Washington,DC,20007,United States,202-558-7549,38.9075047,-77.0653878,Sunday through Wednesday :11am - 11pm;Thursday :11am - 12am;Friday & Saturday :11am - 4am;,,0
,,1118 H St NE,,Washington,DC,20002,United States,202-733-1285,38.90027,-77.008657,Sunday through Wednesday :11 am - 11 pm;Thursday :11 am - 12 am;Friday & Saturday :11 am - 4 am;,,0
,,1400 K St NW,,Washington,DC,20005,United States,202-682-1503,38.9009143,-77.0314879,Sunday through Wednesday: 11 am - 11 pm;Thursday: 11 am - 12 am;Friday & Saturday: 11 am - 4 am;,,0
,,1250 U St NW,,Washington,DC,20009,United States,202-733-1286,38.90033,-76.990783,Sunday through Wednesday: 11 am - 11 pm;Thursday: 11 am - 1 am;Friday & Saturday: 11 am - 4 am;,,0
,,7614 Old Georgetown Rd,,Bethesda,MD,20814,United States,240-800-4783,38.93305,-76.9964,Sunday through Thursday: 11 am - 10 pm;Friday & Saturday: 11 am - 11 pm;,,0
,,11626 Old Georgetown Rd,,North Bethesda,MD,20852,United States,240-621-7016,39.0488101,-77.1181827,Sunday through Thursday: 11 am - 10 pm;Friday & Saturday: 11 am - 11 pm;,,0
,,258 Crown Park Ave,,Gaithersburg,MD,20878,United States,240-499-8447,39.1115281,-77.2019323,7 days a week :11 am - 10 pm;,,0
,,19823 Century Blvd,,Germantown,MD,20874,United States,240-801-9947,38.985806,-77.09625,Sunday through Thursday: 11 am - 10 pm;Friday & Saturday: 11 am - 11 pm;,,0
,,1201 South Charles St,,Baltimore,MD,21230,United States,443-341-1016,39.2756671,-76.6162179,Sunday through Wednesday: 11 am - 11 pm;Thursday: 11 am - 12 am;Friday & Saturday: 11 am - 3 am;,,0
,,15 West 28th Street,,New York,NY,10001,United States,,40.7452639,-73.9902982,,,1
,,1430 Walnut St,,Philadelphia,PA,19102,United States,215-609-4758,39.9492026,-75.1680042,Sunday through Wednesday: 11 am - 11 pm;Thursday: 11 am - 12 am;Friday & Saturday: 11 am - 3 am;,,0
,,6801 Springfield Mall,,Springfield,VA,22150,United States,703-922-7470,38.794574,-77.169817,Sunday through Thursday: 11 am - 10 pm;Friday & Saturday: 11 am - 11 pm;,,0
,,1961 Chain Bridge Rd,,McLean,VA,22102,United States,,,,,,1
,,"Concourse C, Gate C28",,Sterling,VA,20166,United States,,38.953116,-77.456539,7 days a week :6 am - 10 pm;,,0
,,"Concourse B, Gate B71",,Sterling,VA,20166,United States,,38.953116,-77.456539,7 days a week :5 am - 9 pm;,,0
,,"Terminal C, Space #C-07",,Arlington,VA,22202,United States,,38.851242,-77.0402315,7 days a week :6 am - 10 pm;,,0
