store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Cranston,,220 Hillside Road,,Cranston,RI,02920,United States,(401) 943-1601,41.7590084,-71.45873010000003,Sunday - Thursday: 11:30 AM - 10:00 PM;Friday - Saturday: 11:30 AM - 11:00 PM;,,0
Blue Bell,,990 Dekalb Pike,,Blue Bell,PA,19422,United States,,40.1654671,-75.29148529999998,,,0
Cranberry,,"2045 Mackenzie Way,",,Cranberry,PA,16066,United States,(724) 742-1212,40.6870527,-80.08926459999998,Friday - Saturday: 11:30 AM - 11:00 PM;,,0
Exton,,123 East Swedesford Road,,Exton,PA,19341,United States,(610) 594-1900,40.0330664,-75.6312805,Friday & Saturday: 11:30 AM - 11:00 PM;,,0
Horsham,,100 Welsh Road,,Horsham,PA,19044,United States,(215) 657-1113,40.15866479999999,-75.14333959999999,Friday & Saturday: 11:30 AM - 11:00 PM;,,0
McMurray,,102 McDowell Lane,,McMurray,PA,15317,United States,(724) 941-4900,40.27004489999999,-80.12932849999999,Friday & Saturday: 11:30 AM - 11:00 PM;,,0
Monroeville,,2740 Stroschein Road,,Monroeville,PA,15146,United States,(412) 373-0700,40.43796749999999,-79.7688971,Friday - Saturday: 11:30 AM - 11:00 PM;,,0
Settlers Ridge,,1810 Settlers Ridge Center Dr,,Robinson Township,PA,15205,United States,(412) 787-3434,40.4380379,-80.1464626,Friday - Saturday: 11:30 AM - 11:00 PM;,,0
Trexlertown,,750 North Krocks Road,,Allentown,PA,18106,United States,(610) 366-9701,40.56423729999999,-75.5640252,Friday - Saturday: 11:30 AM - 11:00 PM;,,0
Wayne,,321 East Lancaster Avenue,,Wayne,PA,19087‎,United States,(484) 580-8022,40.0444421,-75.3793422,Friday - Saturday: 11:30 AM - 11:00 PM;,,0
Wynnewood,,50 East Wynnewood Road,,Wynnewood,PA,19096,United States,(610) 645-5453,40.00172250000001,-75.2737507,Friday - Saturday: 11:30 AM - 11:00 PM;,,0
Wyomissing,,2733 Papermill Road,,Wyomissing,PA,19610,United States,(610) 816-5722,40.35359,-75.98122999999998,Friday - Saturday: 11:30 AM - 11:00 PM;,,0
Bohemia,,4180 Veterans Memorial Highway,,Bohemia,NY,11716,United States,(631) 647-2625,40.7820095,-73.09809480000001,Sunday - Thursday: 11:30 AM - 10:00 PM;,,0
Carle Place,,137 Old Country Rd,,Carle Place,NY,11514,United States,(516) 877-7750,40.7436967,-73.617614,Friday - Saturday: 11:30 AM - 11:00 PM;,,0
