store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Applebee’s Southland,,2665 Gordon Rd.,,Regina,Saskatchewan,S4S 6H7,Canada,306-545-8646,,,Monday to Thursday:11:00 AM to 10:00 PM;Friday & Saturday:11:00 AM to 11:00 PM;Sunday:11:00 AM to 09:00 PM;,,0
Applebee’s on Quance,,2619 E. Quance St.,,Regina,Saskatchewan,S4V 3B7,Canada,306-352-8646,,,Monday to Thursday:11:00 AM to 10:00 PM;Friday & Saturday:11:00 AM to 11:00 PM;Sunday:11:00 AM to 09:00 PM;,,0
Applebee’s Huron Church,,2187 Huron Church Road,,Windsor,Ontario,Unit 240,Canada,519-972-3000,,,Sunday:11:00 AM to 10:00 PM;Monday to Thursday:11:00 AM to 11:00 PM;Friday & Saturday:11:00 AM to 12:00 AM;,,0
Applebee’s Ajax,,155 Kingston Rd E,,Ajax,Ontario,L1S 7J4,Canada,905-426-6440,,,Sunday to Thursday:11:00 AM to 10:00 PM;Friday to Saturday:11:00 AM to 11:00 PM;,,0
Applebee’s Niagara Falls Fallsview Blvd,,6546 Fallsview Ave.,,Niagara Falls,Ontario,L2G 3W2,Canada,905-356-6965,,,Sunday to Thursday:8:00 AM to 10:00 PM;Friday to Saturday:8:00 AM to 11:00 PM;,,0
Applebee’s Pembina,,2065 Pembina Hwy.,,Winnipeg,Manitoba,R3T 5J9,Canada,204-275-2272,,,Sunday to Thursday:11:00 AM to 10:00 PM;,,0
Applebee’s Grant Park,,1150 Grant Ave.,,Winnipeg,Manitoba,R3M 2A6,Canada,204-475-2277,,,Sunday to Thursday:11:00 AM to 10:00 PM;,,0
Applebee’s Cambridge,,355 Hespeler Road,,Cambridge,Ontario,N1R 6B3,Canada,519-740-8220,,,Monday to Thursday:11:30 AM to 9:00 PM;Friday to Saturday:11:30 AM to 11:00 PM;Sunday:11:30 AM to 9:30 PM;,,0
Applebee’s Thunder Bay,,1155 Alloy Drive,,Thunder Bay,Ontario,P7B 6M8,Canada,807-346-5994,,,Winter Hours:Sunday - Wednesday;11:00 am - 10:00 pm:Thursday to Saturday;11:00 AM to 11:00 PM:,,0
Applebee’s Niagara Falls Victoria,,5657 Victoria Ave,,Niagara Falls,Ontario,L2G 3L5,Canada,905-356-6965,,,Name::Heather Lennie;,,0
Applebee’s Brandon,,1204 18th St.,,Brandon,Manitoba,R7A 5C3,Canada,204-727-3019,,,Sunday to Thursday:11:00 AM to 10:00 PM;Friday to Saturday:11:00 AM to 11:00 PM;,,0
Applebee’s Calgary Sunridge,,2121 36th St NE,,Sunridge Mall,Alberta,Calgary,Canada,587-351-3871,,,Sunday to Thursday:11:00 AM to 9:00 PM;Friday & Saturday:11:00 AM to 11:00 PM;,,0
Applebee’s Crossroads,,1598 Regent Ave W,,Winnipeg,Manitoba,R2C 3B4,Canada,204-668-9900,,,Sunday to Thursday:11:00 AM to 10:00 PM;,,0
y:11:00 AM to 10:00 PM;,,0
Applebee’s Brandon,,1204 18th St.,,Brandon,Manitoba,R7A 5C3,Canada,204-727-3019,,,Sunday to Thursday:11:00 AM to 10:00 PM;Friday to Saturday:11:00 AM to 11:00 PM;,,0
Applebee’s Northpointe,,388 Country Hills Blvd NE #707,,Calgary,Alberta,T3K 5J6,Canada,403-226-6160,,,Sunday to Thursday:11:00 AM to 10:00 PM;Friday to Saturday:11:00 AM to 11:00 PM;,,0
’s Calgary Sunridge,,2121 36th St NE,,Sunridge Mall,Alberta,T1Y 5S3,Canada,587-351-3871,,,Sunday to Thursday:11:00 AM to 9:00 PM;Friday & Saturday:11:00 AM to 11:00 PM;,,0
