store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Arvada,,9661 West 58th Avenue,,Arvada,CO,80004,United States,303-420-0358,39.803141,-105.1079528,,,0
Aurora,,Mississippi & Sable   800121070 South Sable Aurora 1070 South Sable Aurora,,Aurora,CO,80012,United States,303-369-5858,39.6975872,-104.8195727,,,0
Aurora,,3106 South Parker Road,,Aurora,CO,80014,United States,303-283-0337,39.6604232,-104.8562851,,,0
Aurora,,10000 East Colfax,,Aurora,CO,80010,United States,303-343-9843,39.7401215,-104.8738254,,,0
Broomfield,,6500 West 120th Avenue,,Broomfield,CO,80020,United States,303-439-7255,39.9125645,-105.0686163,,,0
Centennial,,8100 S. Quebec St.,,Centennial,CO,80112,United States,720-440-6340,39.5684778,-104.9050407,,,0
Colorado Springs,,2780 South Academy Blvd.,,Colorado Springs,CO,80916,United States,719-391-7717,38.792015,-104.7599587,,,0
Colorado Springs,,1830 West Uintah,,Colorado Springs,CO,80904,United States,719-473-0502,38.8483916,-104.8492425,,,0
Colorado Springs,,4402 Austin Bluffs Parkway,,Colorado Springs,CO,80918,United States,719-522-1203,38.8975531,-104.7508156,,,0
Colorado Springs,,7207 N. Academy Blvd,,Colorado Springs,CO,80920,United States,719-528-5263,38.8868481,-104.8700219,,,0
Denver,,255 South Hooker,,Denver,CO,80219,United States,303-936-4371,39.7119238,-105.0313097,,,0
Denver,,1515 South Broadway,,Denver,CO,80210,United States,303-777-3703,39.6887687,-104.9884319,,,0
Denver,,1405 Cortez St,,Denver,CO,80221,United States,303-427-0934,39.8317349,-105.006129,,,0
Denver,,7485 East Iliff Ave.,,Denver,CO,80231,United States,303-752-2731,39.6760783,-104.9035596,,,0
Fort Collins,,2701 S College Ave,,Fort Collins,CO,80525,United States,970-267-8870,40.550613,-105.0812456,,,0
Greeley,,2401 27th Street,,Greeley,CO,80634,United States,970-330-7082,40.3943183,-104.7215873,,,0
Lakewood,,6791 West Colfax Ave.,,Lakewood,CO,80214,United States,303-232-6066,39.7411493,-105.0733126,,,0
Lakewood,,12039 W. Alameda Parkway,,Lakewood,CO,80228,United States,303-984-0851,39.7096022,-105.1391773,,,0
Lakewood,,7677 W Jewell Avenue,,Lakewood,CO,80232,United States,,39.6841423,-105.0838658,,,0
Littleton,,8996 W. Bowles,,Littleton,CO,80123,United States,303-933-2967,39.6082086,-105.1013174,,,0
Louisville,,1349 E. South Boulder Rd.,,Louisville,CO,80027,United States,303-666-8060,39.9506143,-105.1321682,,,0
Loveland,,3131 North Garfield,,Loveland,CO,80538,United States,970-667-7015,40.4249833,-105.0816591,,,0
Pueblo,,1115 South Prairie Avenue,,Pueblo,CO,81005,United States,719-564-9491,38.2467085,-104.6471095,,,0
Thornton,,9131 North Washington St.,,Thornton,CO,80229,United States,303-450-4220,39.8623958,-104.9810894,,,0
Westminster,,8657 Sheridan Blvd,,Blvd,CO,80003,United States,303-957-9144,39.8539707,-105.0573813,,,0
Arvada,,12345 W. 58th Ave.,,Arvada,CO,80002,United States,303-431-1096,39.802221,-105.1393927,,,0
Colorado Springs,,1815 Briargate Blvd,,Colorado Springs,CO,80920,United States,719-265-1905,38.9445485,-104.7956827,,,0
Colorado Springs,,304 South Nevada Avenue,,Colorado Springs,CO,80903,United States,719-632-4034,38.8292239,-104.8246067,,,0
Denver,,(Leetsdale & Holly by the Egg & I)560 S. Holly,,Denver,CO,80246,United States,303-322-6476,39.7066446,-104.9232848,,,0
Federal Heights,,10250 Federal Heights,,Federal Heights,CO,80260,United States,720-573-9908,39.8828553,-105.0260545,,,0
Garden of the Gods,,4215 Centennial Blvd.,,Colorado Springs,CO,80907,United States,719-595-7197,38.8938724,-104.8513029,,,0
Golden,,2600 East St.,,Golden,CO,80401,United States,720-287-2709,39.7461853,-105.2097441,,,0
Greeley,,3725 W. 10th Street,,Greeley,CO,80634,United States,970-353-1300,40.4231565,-104.7347286,,,0
,,1190 West Alameda Pkwy.,,Lakewood,CO,80226,United States,303-985-9578,,,,,0
Lakewood,,10798 W. Jewell Avenue,,Lakewood,CO,80232,United States,303-986-3584,39.6818622,-105.119881,,,0
Littleton,,12402 W. Ken Caryl Ave,,Littleton,CO,80127,United States,720-542-9800,39.5791828,-105.1341103,,,0
Littleton,,1190 W. Littleton Blvd,,Littleton,CO,80120,United States,720-390-7696,39.612902,-105.0039777,,,0
Lone Tree,,8878 Maximus Drive,,Lone Tree,CO,80124,United States,303-799-4011,39.5543012,-104.8875005,,,0
Pueblo,,3015 N. Elizabeth St.,,Pueblo,CO,81008,United States,719-543-1006,38.3003948,-104.6177126,,,0
Smoky Hill,,16671 E. Smoky Hill Rd,,Aurora,CO,80012,United States,303-680-7395,39.6273683,-104.7956771,,,0
South Sheridan,,2199 S. Sheridan Blvd.,,Denver,CO,80227,United States,720-502-4134,39.6759362,-105.0540035,,,0
