store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
"Ann Arbor, MI",,859 W. Eisenhower Parkway,,Ann Arbor,MI,48103,United States,734-994-3283,42.244697,-83.757824,Sunday:11:00am - 10:00pm;Monday:11:00am - 10:00pm;Tuesday:11:00am - 10:00pm;Wednesday:11:00am - 11:00pm;Thursday:11:00am - 11:00pm;Friday:11:00am - 11:00pm;Saturday:11:00am - 11:00pm;,,0
"Berkley, MI",,2972 Coolidge Highway,,Berkley,MI,48072,United States,248-543-3283,42.499422,-83.183468,Sunday:11:00am - 10:00pm;Monday:11:00am - 10:00pm;Tuesday:11:00am - 10:00pm;Wednesday:11:00am - 11:00pm;Thursday:11:00am - 11:00pm;Friday:11:00am - 12:00am;Saturday:11:00am - 12:00am;,,0
"Birch Run, MI",,8827 Main St.,,Birch Run,MI,48415,United States,989-244-6660,43.25019,-83.777955,Sunday:11:00am - 10:00pm;Monday:11:00am - 10:00pm;Tuesday:11:00am - 10:00pm;Wednesday:11:00am - 11:00pm;Thursday:11:00am - 11:00pm;Friday:11:00am - 12:00am;Saturday:11:00am - 12:00am;,,0
"Bloomfield, MI",,6608 Telegraph Road,,Bloomfield,MI,48301,United States,248-792-3579,42.54291,-83.285165,Sunday:11:00am - 10:00pm;Monday:11:00am - 10:00pm;Tuesday:11:00am - 10:00pm;Wednesday:11:00am - 11:00pm;Thursday:11:00am - 11:00pm;Friday:11:00am - 11:00pm;Saturday:11:00am - 11:00pm;,,0
"Brighton, MI",,110 E. Grand River,,Brighton,MI,48116,United States,810-588-5818,42.52933,-83.78044,Sunday:11:00am - 10:00pm;Monday:11:00am - 10:00pm;Tuesday:11:00am - 10:00pm;Wednesday:11:00am - 11:00pm;Thursday:11:00am - 11:00pm;Friday:11:00am - 12:00am;Saturday:11:00am - 12:00am;,,0
"Canton, MI",,2234 N. Canton Center Rd.,,Canton,MI,48187,United States,734-404-5085,42.319249,-83.487745,Sunday:11:00am - 10:00pm;Monday:11:00am - 10:00pm;Tuesday:11:00am - 10:00pm;Wednesday:11:00am - 11:00pm;Thursday:11:00am - 11:00pm;Friday:11:00am - 11:00pm;Saturday:11:00am - 11:00pm;,,0
"Cascade Twp., MI",,2817 Kraft Avenue SE,,Cascade Twp,MI,49512,United States,616-977-4349,42.912472,-85.530072,Sunday:11:00am - 10:00pm;Monday:11:00am - 10:00pm;Tuesday:11:00am - 10:00pm;Wednesday:11:00am - 11:00pm;Thursday:11:00am - 11:00pm;Friday:11:00am - 11:00pm;Saturday:11:00am - 11:00pm;,,0
"Centerville, OH",,5299 Cornerstone North Blvd.,,Centerville,OH,45458,United States,937-310-1247,39.6602626,-84.111558,Sunday:11:00am - 10:00pm;Monday:11:00am - 10:00pm;Tuesday:11:00am - 10:00pm;Wednesday:11:00am - 11:00pm;Thursday:11:00am - 11:00pm;Friday:11:00am - 11:00pm;Saturday:11:00am - 11:00pm;,,0
"Chesterfield, MI",,50570 Gratiot Avenue,,Chesterfield Twp.,MI,48051,United States,586-765-1531,42.6698073,-82.8370681,Sunday:11:00am - 10:00pm;Monday:11:00am - 10:00pm;Tuesday:11:00am - 10:00pm;Wednesday:11:00am - 11:00pm;Thursday:11:00am - 11:00pm;Friday:11:00am - 12:00am;Saturday:11:00am - 12:00am;,,0
"East Lansing, MI",,1351 E. Grand River,,East Lansing,MI,48823,United States,517-492-5052,42.730129,-84.464841,Sunday:11:00am - 10:00pm;Monday:11:00am - 10:00pm;Tuesday:11:00am - 10:00pm;Wednesday:11:00am - 11:00pm;Thursday:11:00am - 11:00pm;Friday:11:00am - 12:00am;Saturday:11:00am - 12:00am;,,0
"Fort Wayne, IN",,2886 E. Dupont Road,,Fort Wayne,IN,46825,United States,260-498-2082,41.178764,-85.105677,Sunday:11:00am - 10:00pm;Monday:11:00am - 10:00pm;Tuesday:11:00am - 10:00pm;Wednesday:11:00am - 11:00pm;Thursday:11:00am - 11:00pm;Friday:11:00am - 11:00pm;Saturday:11:00am - 11:00pm;,,0
"Grand Blanc, MI",,8235 Trillium Circle Ave.,,Grand Blanc,MI,48439,United States,810-771-4146,42.927528,-83.629952,Sunday:11:00am - 10:00pm;Monday:11:00am - 10:00pm;Tuesday:11:00am - 10:00pm;Wednesday:11:00am - 11:00pm;Thursday:11:00am - 11:00pm;Friday:11:00am - 12:00am;Saturday:11:00am - 12:00am;,,0
Grand Rapids-Knapp's Corner,,2190 East Beltline Ave. NE,,Grand Rapids,MI,49525,United States,616-361-6408,43.0029725,-85.5923409,Sunday:11:00am - 10:00pm;Monday:11:00am - 10:00pm;Tuesday:11:00am - 10:00pm;Wednesday:11:00am - 11:00pm;Thursday:11:00am - 11:00pm;Friday:11:00am - 11:00pm;Saturday:11:00am - 11:00pm;,,0
"Novi, MI",,26054 Novi Road,,Novi,MI,48375,United States,248-374-3289,42.481336,-83.47514,Sunday:11:00am - 10:00pm;Monday:11:00am - 10:00pm;Tuesday:11:00am - 10:00pm;Wednesday:11:00am - 11:00pm;Thursday:11:00am - 11:00pm;Friday:11:00am - 11:00pm;Saturday:11:00am - 11:00pm;,,0
"Shelby Twp., MI",,13963 Hall Road,,Shelby Township,MI,48315,United States,586-262-4078,42.627503,-82.989218,Sunday:11:00am - 10:00pm;Monday:11:00am - 10:00pm;Tuesday:11:00am - 10:00pm;Wednesday:11:00am - 11:00pm;Thursday:11:00am - 11:00pm;Friday:11:00am - 11:00pm;Saturday:11:00am - 11:00pm;,,0
"Traverse City, MI",,3200 South Airport Road,,Traverse City,MI,49684,United States,231-943-2200,44.725071,-85.639907,Sunday:12:00pm - 9:00pm;Monday:11:00am - 10:00pm;Tuesday:11:00am - 10:00pm;Wednesday:11:00am - 11:00pm;Thursday:11:00am - 11:00pm;Friday:11:00am - 11:00pm;Saturday:11:00am - 11:00pm;,,0
"West Chester, OH",,9421 Civic Centre Blvd.,,West Chester,OH,45069,United States,513-644-2102,39.319993,-84.422182,Sunday:11:00am - 10:00pm;Monday:11:00am - 10:00pm;Tuesday:11:00am - 10:00pm;Wednesday:11:00am - 11:00pm;Thursday:11:00am - 11:00pm;Friday:11:00am - 11:00pm;Saturday:11:00am - 11:00pm;,,0
"Woodhaven, MI",,20980 West Road,,Woodhaven,MI,48183,United States,734-675-1880,42.139666,-83.234847,Sunday:11:00am - 10:00pm;Monday:11:00am - 10:00pm;Tuesday:11:00am - 10:00pm;Wednesday:11:00am - 11:00pm;Thursday:11:00am - 11:00pm;Friday:11:00am - 11:00pm;Saturday:11:00am - 11:00pm;,,0
