store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Cathedral Heights,,3310 Wisconsin Avenue NW,,Washington,DC,20016,United States,202-800-4100,38.9341241,-77.07281180000001,Monday - Friday:4pm - late;,,0
14th Street,,1622 14th Street NW,,Washington,DC,20009,United States,202-588-5500,38.9121147,-77.03232539999999,Monday - Wednesday:4pm - late;,,0
Reston,,12023 Town Square Street,,Reston,VA,20190,United States,703-689-0700,38.9580393,-77.3608544,Monday - Friday:Lunch 11:30am - 4pm;Dinner 4pm - late:Saturday - Sunday;Brunch 11am - 4pm:Dinner 4pm - late:,,0
Nashville,,1200 Villa Place,,Nashville,TN,37212,United States,615-327-0600,36.1427049,-86.7916237,Monday-Friday:4pm - late;Saturday-Sunday:Brunch;11:30am - 3pm:Dinner;3pm - late:,,0
South End,,525 Tremont Street,,Boston,MA,02116,United States,617-266-2600,42.3449647,-71.0707266,Daily:4pm - late;Weekend Brunch:10am - 4pm;,,0
Brookline,,1700 Beacon Street,,Brookline,MA,02446,United States,617-264-8900,42.3387942,-71.13878260000001,Daily:4pm - late;Weekend Brunch:11am - 4pm;,,0
Westside Ironworks,,1085 Howell Mill Road NW,,Atlanta,GA,30318,United States,404-872-8000,33.7845148,-84.41138610000002,Daily:4pm - late;Weekend Brunch:11am - 3pm;,,0
Inman Park,,240 North Highland Avenue NE,,Atlanta,GA,30307,United States,404-589-1010,33.7627301,-84.35882349999997,Monday - Thursday:4pm - Late;,,0
West Hartford,,971 Farmington Avenue,,West Hartford,CT,06107,United States,860-218-2100,41.7612055,-72.74327260000001,Monday - Thursday:5pm - late;,,0
Stamford,,222 Summer Street,,Stamford,CT,06901,United States,203-348-4800,41.05494109999999,-73.54084419999998,Daily:11:30am - late;,,0
New Haven,,155 Temple Street,,New Haven,CT,06510,United States,203-848-3000,41.3056405,-72.92738070000001,Monday - Saturday:5pm - late;,,0
Fairfield,,4180 Black Rock Turnpike,,Fairfield,CT,06824,United States,203-255-0800,41.2038269,-73.27145329999996,Monday - Friday:11:30am - late;Saturday - Sunday:Brunch 11am - 4pm;Dinner 4pm - late:,,0
Street,,New Haven,CT,06510,United States,203-848-3000,41.3056405,-72.92738070000001,Monday - Saturday:5pm - late;,,0
