store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
,,1832 14th Street NW,,Washington,District of Columbia,20009,United States,(202) 588-0428,,,,,0
,,"110 Albany Turnpike, Suite 924",,Canton,Connecticut,06019,United States,860-352-2771,,,,,0
,,"1493 Park Central Drive, Suite 100",,Highlands Ranch,Colorado,80129,United States,,,,,,1
,,2828 East 6th Ave,,Denver,Colorado,80206,United States,303-484-1287,,,,,0
,,4930 S. Newport Street,,Denver,Colorado,80237,United States,303-656-6702,,,,,0
,,1395 Lincoln Avenue,,San Jose,California,95125,United States,408-850-7408,,,,,0
,,761 Chapala St,,Santa Barbara,California,93101,United States,805-845-9380,,,,,0
,,116 S. B Street,,San Mateo,California,94401,United States,650-235-9155,,,,,0
,,638 Camino de las Mares Suite C240,,San Clemente,California,92673,United States,949-429-1738,,,,,0
,,617 Old County Road,,San Carlos,California,94070,United States,650-453-3565,,,,,0
,,989 El Camino Real,,Menlo Park,California,94401,United States,650-600-8637,,,,,0
,,4758 W El Camino Real,,Los Altos,California,94022,United States,650-481-8139,,,,,0
,,23882 Aliso Creek Road,,Laguna Niguel,California,92677,United States,949-328-9633,,,,,0
,,25626 Crown Valley Parkway,,Ladera Ranch,California,92694,United States,,,,,,1
,,"406 Hartz Avenue, 2nd floor",,Danville,California,94526,United States,925-362-4836,,,,,0
,,2905 E Skyline Drive Suite 292,,Tucson,Arizona,85718,United States,520-299-1287,,,,,0
,,2560 University Avenue,,Madison,Wisconsin,53705,United States,608-467-9788,,,,,0
,,3218 California Ave SW,,Seattle,Washington,98116,United States,,,,,,1
,,"3604 NW 119th St., Suite 101",,Vancouver,Washington,98685,United States,360-718-2358,,,,,0
,,"16415 SE 15th Street, Suite 108",,Vancouver,Washington,98683,United States,360-314-6769,,,,,0
,,6408 Roosevelt Way NE,,Seattle,Washington,98115,United States,206-524-4690,,,,,0
,,1404 12th Avenue,,Seattle,Washington,98122,United States,206-257-1694,,,,,0
,,"5711 24th Ave NW , Ste. 150",,Seattle,Washington,98107,United States,206.420.2288,,,,,0
,,"15021 Main Street, Suite E",,Mill Creek,Washington,98012,United States,425-585-0308,,,,,0
,,223 Kirkland Ave,,Kirkland,Washington,98033,United States,425-307-1844,,,,,0
,,1091 NE High Street,,Issaquah,Washington,98029,United States,425-391-1192,,,,,0
,,"2210 Rimland Dr., Suite 105",,Bellingham,Washington,98226,United States,360-922-7398,,,,,0
,,1020 108th Avenue NE,,Bellevue,Washington,98004,United States,425-449-8271,,,,,0
,,715 Duke Street,,Alexandria,Virginia,22314,United States,703-888-1908,,,,,0
,,1387 W Campbell Road,,Richardson,Texas,75080,United States,214-484-1653,,,,,0
,,"2108 Dallas Parkway, Ste 210",,Plano,Texas,75093,United States,214-501-3653,,,,,0
