store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
"Abu Halifa, Kuwait",,"80, 209 Salem Sabah Al Salem Al Sabah St,",,80,209,Salem,United States,"Abu Halifa, Kuwait",,,,,0
ay: 11 AM – 9 PM;Friday & Saturday: 11 AM – 10 PM,,0
Springfield Town Center,,6731 Springfield Mall,,Springfield,VA,22150,United States,703-971-3017,38.774253,-77.174407,Monday – Saturday: 10 AM – 9:30 PM;Sunday: 10 AM – 7 PMm,,0
"Springfield, VA",,8420 Old Keene Mill Rd,,Springfield,VA,22152,United States,703-451-4651,38.779857,-77.236158,Monday – Saturday: 11 AM – 10 PM;Sunday: 11 AM – 9 PM,,0
"McLean, VA",,8056 Tysons Corner Center,,Mclean,VA,22102,United States,703-790-3437,38.917132,-77.223731,Monday – Thursday: 11 AM – 9 PM;Friday & Saturday: 11 AM – 10 PM;Sunday: 11 AM – 8 PM,,0
"Arlington, VA",,3129 Lee Highway,,Arlington,VA,22201,United States,703-812-4705,38.896529,-77.096664,Monday – Saturday: 11 AM – 10 PM;Sunday: 11 AM – 9 PM,,0
"Alexandria, VA",,106 North Washington Street,,Alexandria,VA,22314,United States,703-299-9791,38.805414,-77.047111,Monday – Saturday: 11 AM – 10 PM;Sunday: 11 AM – 9 PM,,0
"Memphis, TN",,5865 Poplar Avenue,,Memphis,TN,38119,United States,901-537-3533,35.102095,-89.865535,Sunday – Thursday: 11 AM – 9 PM;Friday & Saturday: 11 AM – 10 PM,,0
"Clemson, SC",,378 College Ave,,Clemson,SC,29631,United States,864-722-9090,34.683968,-82.837116,Sunday – Thursday: 11 AM – 9 PM;Friday & Saturday: 11 AM – 10 PM,,0
"Yonkers, NY",,2060 Mall Walk,,Yonkers,NY,10704,United States,914-375-2131,40.928493,-73.853273,Sunday – Monday: 11 AM – 9 PM;Tuesday – Saturday: 11 AM – 10 PM,,0
"South Orange, NJ",,9 West South Orange Avenue,,South Orange,NJ,07079,United States,973-762-0050,40.746472,-74.260682,Sunday – Wednesday: 11 AM – 10 PM;Thursday – Saturday: 11 AM – 12 Midnight,,0
"Potomac, MD",,7949 Tuckerman Lane,,Potomac,MD,20854,United States,301-299-1600,39.041177,-77.157187,Sunday – Thursday: 11 AM – 9 PM;Friday & Saturday: 11 AM – 10 PM,,0
"Germantown, MD",,20940-B Frederick Road,,Germantown,MD,20876,United States,301-540-0181,39.203618,-77.247859,Sunday – Thursday: 11 AM – 9 PM;Friday & Saturday: 11 AM – 10 PM,,0
"Gaithersburg, MD",,"RIO Washingtonian Center, 229 Boardwalk Pl",,Gaithersburg,MD,20878,United States,301-569-7086,39.116308,-77.198010,Sunday – Thursday: 11 AM – 10 PM;Friday & Saturday: 11 AM – 11 PM,,0
"Frederick, MD",,7810 Wormans Mill Rd #G,,Frederick,MD,21701,United States,301-732-4928,39.446679,-77.397166,Monday – Sunday: 11 AM – 9 PM,,0
"Columbia, MD",,"6250 Columbia Crossing Circle, Suite D",,Columbia,MD,21045,United States,443-319-5542,39.198262,-76.813556,Sunday – Tuesday: 11 AM – 9 PM;Wednesday – Saturday: 11 AM – 10 PM,,0
"Bethesda, MD",,4827 Fairmont Avenue,,Bethesda,MD,20814,United States,240-743-4546,38.988920,-77.096524,Monday – Saturday: 11 AM – 10 PM;Sunday: 11 AM – 9 PM,,0
BWI Airport,,"BWI Airport, Terminal B",,Baltimore,MD,21240,United States,410-859-1900,39.177558,-76.670084,Daily: 5 AM – 10 PM,,0
"Annapolis, MD",,2101 Somerville Road,,Annapolis,MD,21401,United States,667-225-4186,38.983476,-76.539744,Sunday – Thursday: 11 AM – 9 PM;Friday – Saturday: 11 AM – 10 PM,,0
"Atlanta, GA",,264 19th Street,,Atlanta,GA,30363,United States,404-228-6469,33.793103,-84.397004,Sunday – Thursday: 11 AM – 9 PM;Friday – Saturday: 11 AM – 11 PM,,0
"Dupont Circle, DC",,1514 Connecticut Avenue NW,,Washington,DC,20036,United States,202-299-1071,38.910509,-77.044259,Daily: 11 AM – 10 PM,,0
