store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Nordstrom,8176,630 Old Country Road,Roosevelt Field,Garden City,NY,11530,United States,516-746-0011,40.743159,-73.6141395,,,0
Nordstrom,8174,7 City Place,Rack City Center,White Plains,NY,10601,United States,914-614-6400,41.0331905,-73.7650474,,,0
Nordstrom,8175,135 Westchester Ave,The Westchester,White Plains,NY,10601,United States,914-946-1122,41.032155,-73.759013,,,0
Macy&#39;s,7980,755 Route 18,Brunswick Square Mall,East Brunswick,NJ,08816,United States,732-238-1400,40.421805,-74.380511,,,0
Macy&#39;s,7977,Monmouth Mall,Monmouth Mall,Eatontown,NJ,07724,United States,732-542-1212,40.297791,-74.055283,,,0
Macy&#39;s,7979,400 Commons Way,Bridgewater Commons,Bridgewater,NJ,08807,United States,908-429-3211,40.586492,-74.618415,,,0
Macy&#39;s,7985,2 Smith Haven Mall,Smith Haven,Lake Grove,NY,11755,United States,631-724-4900,40.8636026,-73.1255118,,,0
Bon-Ton,9815,Brick Plaza,Brick Plaza And Chambers Ridge,Brick,NJ,08723,United States,,40.058399,-74.141173,,,0
Bon-Ton,13480,1401 Route 300,Newburgh Mall,Newburgh,NY,12550,United States,,41.51719,-74.0682266,,,0
Macy&#39;s,7978,1201 Hooper Avenue,Ocean County Mall ,Toms River,NJ,08753,United States,732-914-4011,39.9850791,-74.1792432,,,0
Bon-Ton,9820,Lycoming Mall,Circle Suite  300,Morrisville,PA,19067,United States,,40.2109114,-74.8168531,,,0
Bon-Ton,9853,Phillipsburg Mall,Route 22 East,Phillipsburg,NJ,08865,United States,,40.685064,-75.153953,,,0
Macy&#39;s,8012,2300 E. Lincoln Highway,Oxford Valley Mall,Langhorne,PA,19047,United States,215-752-1340,40.1791122,-74.8795716,,,0
Bon-Ton,9851,146 Palmer Park Mall,Palmer Park Mall,Easton,PA,18045,United States,,40.696189,-75.260267,,,0
Bon-Ton,9855,Stoud Mall,Route 611 And Bridge St ,Stroudsburg,PA,18360,United States,,40.98712,-75.225309,,,0
Bon-Ton,13487,456 N  Main St ,Doylestown Shopping Center,Doylestown,PA,18901,United States,,40.3208016,-75.1307718,,,0
Bon-Ton,13471,2300 Dixwell Ave ,Hamden Mart,Hamden,CT,06514,United States,,41.373097,-72.918736,,,0
Bon-Ton,13486,725 South Westend Blvd ,Richland Mall,Quakertown,PA,18951,United States,,40.4254984,-75.3479983,,,0
Bon-Ton,13484,2524 Schoenersville Rd ,Westgate Mall,Bethlehem,PA,18017,United States,,40.6445691,-75.4047282,,,0
Macy&#39;s,8013,300 Lehigh Valley Mall,Lehigh Valley Mall,Whitehall,PA,18052,United States,610-264-8711,40.6295663,-75.482612,,,0
Bon-Ton,13485,3300 Lehigh St ,South Mall,Allentown,PA,18103,United States,,40.5559022,-75.4894139,,,0
Nordstrom,8190,190 N Gulph Roadd,Plaza At King Of Prussia,King Of Prussia,PA,19406,United States,610-265-6111,40.0853946,-75.3954346,,,0
Macy&#39;s,7858,100 Westfarms Mall,Westfarms,Farmington,CT,06032,United States,860-561-3030,41.724579,-72.762174,,,0
Nordstrom,8178,600 Westfarms Mall,Westfarms,Farmington,CT,06032,United States,860-521-9090,41.722535,-72.765356,,,0
Macy&#39;s,7981,4401 Black Horse Pike,Hamilton Mall,Mays Landing,NJ,08330,United States,609-484-5207,39.452542,-74.640426,,,0
Bon-Ton,13478,200 Lacawana Ave ,The Mall At Steamtown,Scranton,PA,18503,United States,,41.4091532,-75.668798,,,0
Macy&#39;s,7827,2100 Glendale Galleria,Glendale Galleria,Glendale,CA,91210,United States,818-240-8411,34.144925,-118.2597322,,,0
Front Runners,17685,11620 San Vicente Blvd ,,Los Angeles,CA,90049,United States,310-207-0216,34.0537513,-118.462458,,,0
Macy&#39;s,7826,200 East Cypress Ave,Burbank Town Center,Burbank,CA,91502,United States,818-841-2100,34.184107,-118.313291,,,0
Macy&#39;s,7824,401 Southlake Ave,Pasadena,Pasadena,CA,91101,United States,713-475-3250,34.138647,-118.133047,,,0
Macy&#39;s,7823,400 E. Colorado Blvd.,Paseo Colorado Mall,Pasadena,CA,91101,United States,626-796-0411,34.1458337,-118.1418981,,,0
Macy&#39;s,7825,14000 Riverside Dr,Sherman Oaks Fashion Square,Sherman Oaks,CA,91423,United States,818-788-8350,34.156986,-118.435325,,,0
Macy&#39;s,7832,1801 Hawthorne Blvd.,South Bay Galleria,Redondo Beach,CA,90278,United States,310-370-2511,33.87096,-118.354119,,,0
Macy&#39;s,7829,21600 Hawthorne Blvd.,Del Amo Fashion Center A,Torrance,CA,90503,United States,310-370-8511,33.830453,-118.351114,,,0
Macy&#39;s,7830,5100 Lakewood Blvd.,Lakewood Center Mall,Lakewood,CA,90712,United States,562-529-5111,33.8505198,-118.1424437,,,0
Macy&#39;s,7818,9301 Tampa Ave,Northridge Fashion Center,Northridge,CA,91324,United States,818-885-6611,34.241502,-118.555259,,,0
Macy&#39;s,7828,21900 Vanowen Street,Topanga,Canoga Park,CA,91303,United States,818-883-7211,34.192449,-118.602497,,,0
Macy&#39;s,7834,200 Brea Mall,Brea Mall,Brea,CA,92821,United States,714-990-1400,33.914258,-117.885064,,,0
Macy&#39;s,7822,26450 Mcbean Parkway,Valencia Town Center,Santa Clarita,CA,91355,United States,661-287-5911,34.411217,-118.5586878,,,0
Macy&#39;s,7833,2850 N. Main St,Santa Ana Mainplace,Santa Ana,CA,92705,United States,714-547-7211,33.776612,-117.867436,,,0
Macy&#39;s,7820,1475 Simi Valley Town Center W,Simi Valley Town Center,Simi Valley,CA,93065-0515,United States,805-581-3333,34.283202,-118.773772,,,0
Macy&#39;s,7836,3333 S. Bristol St,South Coast Plaza,Costa Mesa,CA,92626,United States,714-556-0611,33.690407,-117.885642,,,0
Macy&#39;s,7819,220 W. Hillcrest,Thousand Oaks,Thousand Oaks,CA,91360,United States,805-496-4444,34.183589,-118.885668,,,0
Macy&#39;s,7835,101 Newport Center Drive,Newport Fashion Island,Newport Beach,CA,92660,United States,949-640-8333,33.613566,-117.875847,,,0
Dillards,8393,1255 Rancho Vista Blvd,0961 Antelope Valley Mall,Palmdale,CA,93551,United States,661-267-0670,34.6018403,-118.1534171,,,0
Macy&#39;s,7837,24100 Laguna Hills Mall,Laguna Hills,Laguna Hills,CA,92653,United States,949-586-1901,33.6121294,-117.7092369,,,0
Macy&#39;s,7838,200 The Shops At Mission Viejo,Mission Viejo,Mission Viejo,CA,92691,United States,949-364-3111,33.5553897,-117.6700243,,,0
Macy&#39;s,7839,40782 Winchester Rd,Temecula Promenade,Temecula,CA,92591,United States,951-541-3333,33.5265109,-117.1575721,,,0
Macy&#39;s,7844,2559 El Camino Rd,Carlsbad Plaza Camino Real,Carlsbad,CA,92008,United States,760-729-9121,33.1781841,-117.3266607,,,0
Macy&#39;s,7816,701 State St,Santa Barbara Paseo Nuevo,Santa Barbara,CA,93101,United States,805-963-4566,34.418401,-119.698742,,,0
Macy&#39;s,7821,3805 State Street,La Cumbre Plaza,Santa Barbara,CA,93105,United States,805-687-6411,34.439413,-119.74789,,,0
Macy&#39;s,7847,220 E. Via Rancho Parkway,North County Fair Mall,Escondido,CA,92025,United States,760-489-2336,33.0684765,-117.0662036,,,0
Carson Pirie Scott,10046,120 South Riverside Plaza,Gateway,Chicago,IL,60606,United States,,41.8803211,-87.6387004,,,0
Carson Pirie Scott,10050,7505 West Cermak Road,North Riverside,Riverside,IL,60546,United States,,41.850202,-87.8101368,,,0
Carson Pirie Scott,10056,7601 South Cicero Avenue,Ford City,Chicago,IL,60652,United States,,41.7542798,-87.7413987,,,0
Carson Pirie Scott,10048,4200 N  Harlem Avenue,Harlem-Irving,Harwood Heights,IL,60706,United States,,41.9575141,-87.8072113,,,0
Carson Pirie Scott,10057,3333 West Touhy,Lincolnwood,Lincolnwood,IL,60712,United States,,42.011269,-87.71207,,,0
Carson Pirie Scott,10041,9700 S  Western Avenue,Evergreen,Evergreen Park,IL,60805,United States,,41.7172868,-87.6820125,,,0
Carson Pirie Scott,10047,9800 South Ridgeland Avenue,Chicago Ridge,Chicago Ridge,IL,60415,United States,,41.7140448,-87.7798421,,,0
Carson Pirie Scott,10044,3200 Lake Avenue,Eden S,Wilmette,IL,60091,United States,,42.0795084,-87.7548767,,,0
Carson Pirie Scott,10052,4 Orland Square,Orland Square,Orland Park,IL,60462,United States,,41.618825,-87.850032,,,0
Carson Pirie Scott,10049,300 Lincoln Mall,Matteson,Matteson,IL,60443,United States,,41.503754,-87.730007,,,0
Carson Pirie Scott,10060,3 Fox Valley Center Drive,Fox Valley,Aurora,IL,60504,United States,,41.758771,-88.20762,,,0
Carson Pirie Scott,10055,3 Hawthorne Center,Hawthorn,Vernon Hills,IL,60061-1520,United States,,42.245448,-87.947014,,,0
Carson Pirie Scott,10029,3340 Mall Loop Drive,Joliet,Joliet,IL,60431,United States,,41.5793902,-88.1650576,,,0
Bergner&#39;s,10028,970 North Lake Street,Aurora,Aurora,IL,60506,United States,,41.7773671,-88.315249,,,0
Carson Pirie Scott,10054,305 West Us 20,Michigan City,Michigan City,IN,46360,United States,,41.6803101,-86.8979299,,,0
Carson Pirie Scott,10058,1602 North State Rt  50,Bradley,Bourbonnais,IL,60914,United States,,41.1736279,-87.8512452,,,0
Boston Stores,10035,5700 N  Durand Avenue,Racine,Racine,WI,53406,United States,,42.6973571,-87.8474104,,,0
Bergner&#39;s,10026,7200 Harrison Avenue,Cherryvale,Rockford,IL,61112,United States,,42.2411797,-88.9748832,,,0
Boston Stores,10037,5300 South 76Th Street,Southridge,Greendale,WI,53129,United States,,42.948283,-88.006688,,,0
Bergner&#39;s,10027,8790 North 2Nd Street,Machesney Park,Machesney Park,IL,61115,United States,,42.3505059,-89.0484591,,,0
Boston Stores,10033,331 West Wisconsin Avenue,Grand Avenue,Milwaukee,WI,53203,United States,,43.0387896,-87.9149746,,,0
Bergner&#39;s,10017,3940 Illinois 251,Peru Mall,Peru,IL,61354,United States,,41.355744,-89.1270225,,,0
Boston Stores,10036,15875 West Bluemound Road,Brookfield,Brookfield,WI,53005,United States,,43.034754,-88.109314,,,0
Boston Stores,10039,2400 North Mayfair Road,Mayfair,Milwaukee,WI,53226,United States,,43.06195,-88.044677,,,0
Boston Stores,10034,5800 N  Port Washington Road,Bay Shore,Milwaukee,WI,53217,United States,,43.1210451,-87.9164543,,,0
Bergner&#39;s,10024,2500 Milton Avenue,Janesville,Janesville,WI,53545,United States,,42.7128966,-89.0012291,,,0
Dillards,8347,4925 Westheimer,Post Oak,Houston,TX,77056,United States,713-622-1200,29.739404,-95.459818,,,0
Nordstrom,8206,5192 Hidalgo St,Houston Galleria,Houston,TX,77056,United States,832-201-2700,29.735821,-95.464207,,,0
Dillards,8346,900 Memorial City,Memorial City Mall,Houston,TX,77024,United States,713-464-1851,29.7827968,-95.5360521,,,0
Dillards,8345,900 West Oaks Mall,West Oaks,Houston,TX,77082,United States,281-558-4431,29.731012,-95.648724,,,0
Dillards,8344,7925 Fm 1960 West,Willowbrook,Houston,TX,77070,United States,281-890-9200,29.9615784,-95.5460916,,,0
Dillards,8348,16517 Sw Freeway,0777 First Colony Mall,Sugar Land,TX,77479,United States,281-980-8300,29.5924272,-95.6288588,,,0
Dillards,8350,20131 Highway 59 North,0780 Deerbrook Mall,Humble,TX,77338,United States,281-540-1612,30.0074491,-95.2674063,,,0
Dillards,8349,600 Baybrook Mall,0779 Baybrook Mall,Friendswood,TX,77546,United States,281-486-0700,29.543579,-95.150623,,,0
Dillards,8343,1201 Lake Woodlands Dr Ste 4,The Woodlands,Spring,TX,77380,United States,281-363-9300,30.166081,-95.454372,,,0
Dillards,8352,100 Highway 332 W Ste 1400,0784 Brazos Mall,Lake Jackson,TX,77566,United States,979-297-7201,29.0475032,-95.4564084,,,0
Dillards,8353,5955 Eastex Freeway,0786 Parkdale Mall,Beaumont,TX,77706,United States,409-899-9800,30.1254796,-94.1557699,,,0
Dillards,8351,1504 Harvey Blvd ,0783 Post Oak Mall,College Station,TX,77840,United States,409-764-0014,30.6274692,-96.3048411,,,0
Dillards,8354,3100 Highway 365,0787 Central Mall,Port Arthur,TX,77642-7703,United States,409-724-7575,29.950032,-93.990245,,,0
Bon-Ton,13487,456 N  Main St ,Doylestown Shopping Center,Doylestown,PA,18901,United States,,40.3208016,-75.1307718,,,0
Bon-Ton,9820,Lycoming Mall,Circle Suite  300,Morrisville,PA,19067,United States,,40.2109114,-74.8168531,,,0
Bon-Ton,13486,725 South Westend Blvd ,Richland Mall,Quakertown,PA,18951,United States,,40.4254984,-75.3479983,,,0
Macy&#39;s,7861,501 Christiana Mall,Christiana Mall,Newark,DE,19702,United States,302-452-3211,39.678086,-75.653431,,,0
Bon-Ton,13485,3300 Lehigh St ,South Mall,Allentown,PA,18103,United States,,40.5559022,-75.4894139,,,0
Macy&#39;s,7981,4401 Black Horse Pike,Hamilton Mall,Mays Landing,NJ,08330,United States,609-484-5207,39.452542,-74.640426,,,0
Bon-Ton,13484,2524 Schoenersville Rd ,Westgate Mall,Bethlehem,PA,18017,United States,,40.6445691,-75.4047282,,,0
Macy&#39;s,8013,300 Lehigh Valley Mall,Lehigh Valley Mall,Whitehall,PA,18052,United States,610-264-8711,40.6295663,-75.482612,,,0
Bon-Ton,9853,Phillipsburg Mall,Route 22 East,Phillipsburg,NJ,08865,United States,,4
