store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Lille Marcq,,7 rue de la Briqueterie,,Marcq-en-Baroeul,,59700,France,03 20 21 12 03,50.667852,3.077331,sunday:11:00-23:00;monday:11:00-23:00;tuesday:11:00-23:00;wednesday:11:00-23:00;thursday:11:00-23:00;friday:11:00-00:00;saturday:11:00-00:00;,,0
Angers Espace Anjou,,Shopping Center Espace Anjou,,Angers,,49100,France,02 41 22 12 90,47.467587,-0.526971,sunday:11:00-23:00;monday:11:00-23:00;tuesday:11:00-23:00;wednesday:11:00-23:00;thursday:11:00-23:00;friday:11:00-00:00;saturday:11:00-00:00;,,0
Vitrolles Grand Vitrolles,,Avenue Denis Padovani,,Vitrolles,,13127,France,04 42 46 11 46,43.432897970556,5.2640570084824,sunday:11:00-23:30;monday:11:00-23:30;tuesday:11:00-23:30;wednesday:11:00-23:30;thursday:11:00-23:30;friday:11:00-23:30;saturday:11:00-23:30;,,0
Toulon La Seyne,,Play Play ZAC,,La-Seyne-Sur-Mer,,83500,France,04 94 64 04 29,43.108757017183,5.8567590010203,sunday:11:00-00:00;monday:11:00-00:00;tuesday:11:00-00:00;wednesday:11:00-00:00;thursday:11:00-00:00;friday:11:00-01:00;saturday:11:00-01:00;,,0
Paris Barbès,,3 boulevard Barbès,,Paris,,75018,France,01 82 73 25 90 ,48.884164962826,2.3493969783836,sunday:07:30-23:00;monday:07:30-23:00;tuesday:07:30-23:00;wednesday:07:30-23:00;thursday:07:30-23:00;friday:07:30-23:00;saturday:07:30-23:00;,,0
Toulouse Fenouillet,,2 rue des factories,,Fenouillet,,31150,France,05 62 75 38 86,43.68814900067,1.4039780352765,sunday:11:00-23:00;monday:11:00-23:00;tuesday:11:00-23:00;wednesday:11:00-23:00;thursday:11:00-23:00;friday:11:00-23:00;saturday:11:00-23:00;,,0
Hénin-Beaumont Maison Plus,,376 Boulevard Eugène Thomas,,Henin-Beaumont,,62110,France,03 21 40 13 27,50.3969242,2.9713027,sunday:11:00-22:30;monday:11:00-22:30;tuesday:11:00-22:30;wednesday:11:00-22:30;thursday:11:00-22:30;friday:11:00-23:30;saturday:11:00-23:00;,,0
Thonon Anthy,,29 CROSSING ROAD AND IMPERIAL ROAD,,ANTHY SUR LEMAN,,74200,France,04 80 74 00 48,46.352781018402,6.439178980867,sunday:11:00-23:00;monday:11:00-23:00;tuesday:11:00-23:00;wednesday:11:00-23:00;thursday:11:00-23:00;friday:11:00-23:00;saturday:11:00-23:00;,,0
Bourgoin-Jallieu L'isle Abeau,,ZAC SAINT HUBERT - 22 RUE DES SAYES,,L'ISLE D'ABEAU,,38080,France,,45.613008021028,5.2288379929822,sunday:11:00-00:00;monday:11:00-00:00;tuesday:11:00-00:00;wednesday:11:00-00:00;thursday:11:00-00:00;friday:11:00-00:00;saturday:11:00-00:00;,,0
Bordeaux Mérignac,,AVENUE DU PRESIDENT JF KENNEDY,,MERIGNAC,,33700,France,05 56 47 97 76,44.833629994632,-0.66645994399356,sunday:11:00-23:00;monday:11:00-23:00;tuesday:11:00-23:00;wednesday:11:00-23:00;thursday:11:00-23:00;friday:11:00-01:00;saturday:11:00-01:00;,,0
Fontainebleau Varennes,,C. Cial du Breau,,Varennes-sur-seine,,77130,France,01 60 70 54 12,48.361681007675,2.9505430514074,sunday:11:00-23:00;monday:11:00-23:00;tuesday:11:00-23:00;wednesday:11:00-23:00;thursday:11:00-23:00;friday:11:00-23:00;saturday:11:00-23:00;,,0
Cagnes Villeneuve-Loubet,,622 seaside road,,Villeneuve-Loubet,,06270,France,04 22 02 00 43,43.63931,7.137619,sunday:11:00-00:00;monday:11:00-00:00;tuesday:11:00-00:00;wednesday:11:00-00:00;thursday:11:00-00:00;friday:11:00-00:00;saturday:11:00-00:00;,,0
Tours Jean Jaurès,,23 Place Jean Jaurès,,Tours,,37000,France,02 47 66 06 51,47.3885398,0.68928,sunday:11:00-23:00;monday:11:00-23:00;tuesday:11:00-23:00;wednesday:11:00-23:00;thursday:11:00-23:00;friday:11:00-00:00;saturday:11:00-00:00;,,0
Orleans Plaines de Beauce A10,,Plains of Beauce area,,Fresnay - The Bishop,,28310,France,,48.275343,1.855535,sunday:08:00-22:30;monday:08:00-22:30;tuesday:08:00-22:30;wednesday:08:00-22:30;thursday:08:00-22:30;friday:08:00-01:30;saturday:08:00-01:30;,,0
Lyon Limonest,,Place-dit tuileries,,Limonest,,69760,France,04 78 83 28 99,45.82212097,4.766683039,sunday:11:00-23:00;monday:11:00-23:00;tuesday:11:00-23:00;wednesday:11:00-23:00;thursday:11:00-23:00;friday:11:00-23:00;saturday:11:00-23:00;,,0
Paris North Station,,25 rue de Dunkerque,,Paris,,75010,France,01 82 73 25 79,48.87970698,2.354424008,sunday:10:00-00:00;monday:10:00-00:00;tuesday:10:00-00:00;wednesday:10:00-00:00;thursday:10:00-00:00;friday:10:00-00:00;saturday:10:00-00:00;,,0
Béziers,,ZAC de Montimaran,,Béziers,,34500,France,,43.340673,3.26382495,sunday:11:00-22:00;monday:11:00-22:00;tuesday:11:00-22:00;wednesday:11:00-22:00;thursday:11:00-22:00;friday:11:00-22:00;saturday:11:00-22:00;,,0
Tarbes Stadium,,6 President Kennedy Boulevard,,Tarbes,,65000,France,05 82 68 00 05,43.21908497,0.08000803109,sunday:11:00-23:00;monday:11:00-23:00;tuesday:11:00-23:00;wednesday:11:00-23:00;thursday:11:00-23:00;friday:11:00-23:00;saturday:11:00-23:00;,,0
Evreux,,C.Cial Carrefour 52 Rue Roland Moreno,,Evreux,,27000,France,02 78 53 00 04,49.01447197,1.171025972,sunday:11:00-23:00;monday:11:00-23:00;tuesday:11:00-23:00;wednesday:11:00-23:00;thursday:11:00-23:00;friday:11:00-23:00;saturday:11:00-23:00;,,0
Reims Murigny,,Street Jacqueline VERNIER,,Murigny,,51100,France,,49.220823,4.020508,sunday:11:00-23:00;monday:11:00-23:00;tuesday:11:00-23:00;wednesday:11:00-23:00;thursday:11:00-23:00;friday:11:00-23:00;saturday:11:00-23:00;,,0
Bordeaux Begles,,Street of the Lumière brothers,,Bègles,,33130,France,,44.79472402,-0.5351750378,sunday:11:00-23:00;monday:11:00-23:00;tuesday:11:00-23:00;wednesday:11:00-23:00;thursday:11:00-23:00;friday:11:00-23:00;saturday:11:00-23:00;,,0
Valenciennes Little Fôret,,C. Cial Auchan,,Petite Fôret,,59494,France,03 27 28 92 02,50.37663697,3.473285023,sunday:11:00-23:00;monday:11:00-23:00;tuesday:11:00-23:00;wednesday:11:00-23:00;thursday:11:00-23:00;friday:11:00-23:00;saturday:11:00-23:00;,,0
Lyon Bron,,ZAC Door of the Alps,,Source,,69500,France,04 82 25 04 58 ,45.722432991954,4.9197710005017,sunday:11:00-00:00;monday:11:00-00:00;tuesday:11:00-00:00;wednesday:11:00-00:00;thursday:11:00-00:00;friday:11:00-01:00;saturday:11:00-01:00;,,0
Montargis Amilly,,753 rue de Saint-Firmin des Vignes,,Amilly,,45200,France,02 38 89 35 50,47.977765984841,2.7347669949138    ,sunday:11:00-00:00;monday:11:00-00:00;tuesday:11:00-00:00;wednesday:11:00-00:00;thursday:11:00-00:00;friday:11:00-00:00;saturday:11:00-00:00;,,0
Marseille The Joliette,,11 Place De La Joliette,,Marseille,,13002,France,,43.3045032,5.3658564,sunday:08:00-23:00;monday:08:00-23:00;tuesday:08:00-23:00;wednesday:08:00-23:00;thursday:08:00-23:00;friday:08:00-23:00;saturday:08:00-23:00;,,0
Bordeaux Saint-Eulalie,,Shopping Area Grand Tour 2,,St. Eulalie,,33560,France,05 35 14 01 96,44.908247,-0.487073,sunday:11:00-00:00;monday:11:00-00:00;tuesday:11:00-00:00;wednesday:11:00-00:00;thursday:11:00-00:00;friday:11:00-02:00;saturday:11:00-02:00;,,0
La Rochelle the Minimes,,Avenue Henri Becquerel,,La Rochelle hotels,,17000,France,05 79 53 00 31,46.146858,-1.15373,sunday:11:00-00:00;monday:11:00-00:00;tuesday:11:00-00:00;wednesday:11:00-00:00;thursday:11:00-00:00;friday:11:00-00:00;saturday:11:00-00:00;,,0
Lyon Vénissieux,,C. Cial Vénissieux,,Vénissieux,,69633,France,04 82 25 04 56 ,45.7164776,4.8750807,sunday:11:00-01:00;monday:11:00-00:00;tuesday:11:00-00:00;wednesday:11:00-00:00;thursday:11:00-00:00;friday:11:00-01:00;saturday:11:00-01:00;,,0
Ancenis Saint-Géréon,,Boulevard de l'Atlantique Space 23,,Saint-Géréon,,44150,France,02 85 02 00 16,47.371923,-1.198347,sunday:11:00-23:00;monday:11:00-23:00;tuesday:11:00-23:00;wednesday:11:00-23:00;thursday:11:00-23:00;friday:11:00-00:00;saturday:11:00-00:00;,,0
Narbonne Good Source,,ZAC Good Source,,Narbonne,,11100,France,04 11 51 00 62,43.18099201,3.029358984,sunday:10:30-23:00;monday:10:30-23:00;tuesday:10:30-23:00;wednesday:10:30-23:00;thursday:10:30-23:00;friday:10:30-23:00;saturday:10:30-23:00;,,0
