store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
"Seasons Mall, Pune",22719,"UNIT NO. T-14,3RD FLOOR, SEASION MALL, MAGARPATTA CITY, HADAPSAR, PUNE",,PUNE,MH,411013,India,,18.515805700000,73.927164400000,11:00am - 11:00pm,,0
"Amanora Mall, Pune",23538,"Unit No EB FF 6A, 6B, First Floor East Block, Amanora Town Centre Mall, Hadapsar- Kharadi Bypass, Pune",,Pune,MH,411028,India,9372158355,18.518642000000,73.935024000000,11:00am-11:00pm,,0
College Road,322001,"Unit No. G1, Thakkers Majesty, College Road",,Nasik,MH,422005,India,9321533849,20.005923000000,73.763863000000,10:00am - 11:00pm,,0
"Westend Mall, Pune",22759,"UNIT NO. SF03, 2ND FLOOR,WESTEND MALL,SANGHAVI KESARIMARG, NEAR PARIHAR CHOWK,AUNDH, PUNE",,PUNE,MH,411007,India,,18.558007000000,73.807520100000,10:00am - 11:00pm,,0
"Paud Road, Pune",22742,"UNIT NO.B & E, STILT FLOOR & FRIST FLOOR, SHANKAR BHAVAN, SURVAY NO. 128/1A,PAUD ROAD,KOTHRUD, PUNE",,PUNE,MH,411038,India,,18.510845400000,73.818200800000,10:00am - 11:00pm,,0
F C Road,22286,"F C Road, 201 & 202, “Amrut Chambers”, Amrut Apartments Condominium, Fergusson College Road, Shivajinagar",,Pune,MH,Pune,India,,18.520775000000,73.841102900000,11:00am - 11:00pm,,0
"Phoenix Market City Mall,S-25 - Second Floor,Phoenix Marketcity, Pune Nagar Road, Viman Nagar",21286,"Phoenix Market City Mall,S-25 - Second Floor,Phoenix Marketcity, Pune Nagar Road, Viman Nagar",,Pune,MH,411014,India,"020 66890208,020 30950208",18.559901100000,73.915317600000,11:00am - 11:00pm,,0
"Korum Mall, Unit No T-R-3 and Kiosk 2, 3RD Floor",21125,"Korum Mall, 3rd Floor, Off Eastern Express Highway, Thane W.",,Mumbai,MH,400606,India,7506931128,19.202989000000,72.965308000000,11:00am -  11:00pm,,0
"Viviana Mall, Unit SF-029, Second Floor, Viviana Mall, Pokharan Road No.2, Subhash Nagar",21551,"Viviana Mall, Unit SF-029, Second Floor, Viviana Mall, Pokharan Road No.2, Subhash Nagar",,Thane,MH,400601,India,7506161774,19.208674600000,72.971524200000,11:00am - 11:00pm,,0
"Belapur, Plot No.3,Sector 15, Palm Beach Road, CBD Belapur, Navi Mumbai",22025,"Shop No 1 and 2, “V Time Square”, Plot No.3,Sector 15, Palm Beach Road, CBD Belapur",,Navi Mumbai,MH,400614,India,,19.011344600000,73.034486200000,11:00am - 11:00pm,,0
Lodha Xperia Mall,313006,"Unit 3-03 & 3-04, Food Court, Third Floor, Lodha Xperia, Kalyan-Shil Road, Palava",,Mumbai,MH,421204,India,9321082204,19.165822000000,73.075433000000,11:00am - 11:00pm,,0
"Oberoi Mall - FC-1, Goregaon East, Mumbai",20962,"Oberoi Mall - FC-1, Food court level, Goregaon E.",,Mumbai,MH,400063,India,02240107506,19.173666000000,72.860214000000,11:00am - 11:00pm,,0
Ghansoli,311007,"Shop no. 07 & 08, Shree Durga Complex CHS Ltd, Plot no. 4, Sector 3, Ghansoli",,Navi Mumba,MH,400701,India,9324451962,19.115068000000,73.004367000000,10:00am - 11:00pm,,0
CST Station,311010,"CST Station, Unit No. 158-160, Esplanade Building, Dr. D.N.Road, Fort, Mumbai",,Mumbai,MH,400001,India,8169457301,18.938174000000,72.834315000000,10:00am-11:00pm,,0
"EXPCCG, Express Building,Ground Floor, Express Building, 14-E Road,Churchgate",21287,"Express Building,Ground Floor, 14-E Road,Churchgate",,Mumbai,MH,400 020,India,022 40054694,18.933822800000,72.826923500000,9:00am - 11:00pm,,0
"Western House, Ground Floor, Andheri Kurla Road, Andheri East",21555,"Western House, Ground Floor, Andheri Kurla Road, Andheri East",,Mumbai,MH,400069,India,7045834646,19.064041600000,72.824241400000,10:00am - 12:00pm,,0
"Star Mall, Dadar",22056,"Star Mall, Burger King India Private Limited Ground Floor of “Star Mall”, N. C. Kelkar Road, Dadar",,Mumbai,MH,400028,India,,19.021734700000,72.842298000000,10:00am - 11:00pm,,0
"Infinity Mall, 2nd Floor, Link Rd, Andheri West, Mumbai",20961,"Infinity Mall - Unit SF - 205, 2nd Floor, Food court level, Link Road, Andheri W.",,Mumbai,MH,400053,India,2267415141,19.136320000000,72.827650000000,11:00am - 11:00pm,,0
