store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
BK WAKAF BARU,57,"PETRONAS Service Station, 
Lot PT 36982, HS (M) 25510 ,
Wakaf Bharu, Mukim Kuala Nerus",,KUALA TERENGGANU,Terengganu,21300,Malaysia,,5.365210, 103.089416,8.00 a.m - 11.00 p.m,,0
BK PLAZA 333,58,"Lot 58/59 Ground Floor, Block G, 
Plaza 333, Lorong Plaza, 333-7",,PENAMPANG,Sabah,89500,Malaysia,,5.923509, 116.076990,10.00am - 10.00pm,,0
BK IMAGO,59,"Suite A, Lot 15-3.3rd Floor, Jalan Lintas, 
Block B  Lintas Square",,KOTA KINABALU,Sabah,88300,Malaysia,,5.970864, 116.066209,10.00 a.m - 10.00 p.m,,0
BK TESCO KOTA BHARU,60,"G11 & G12, Ground Floor,
Tesco Kota Bharu,
Lot 1828, Seksyen 17",,KOTA BHARU,Kelantan,15050,Malaysia,,6.115039, 102.231875,9.30 a.m - 10.30 p.m,,0
BK SEKINCHAN,53,"No. 2 & 2A, Jalan Indah 2/1, 
Taman Indah 2",,SEKINCHAN,Selangor,45400,Malaysia,,3.502205, 101.104496,"<br />
10.00a.m - 10.00p.m",,0
BK BESERAH KUANTAN,54,"Lot PT 59488, Jalan Beserah, 
Mukim Kuala Kuantan",,KUANTAN,Pahang,25000,Malaysia,,3.815797, 103.332832,8.00 a.m - 1.00 a.m,,0
BK INDERA MAHKOTA,55,"Lot A, One Suria, 
Jalan Sultan Ahmad Shah, 
Bandar Indera Mahkota",,KUANTAN,Pahang,25200,Malaysia,,3.817242, 103.329313,8.00 a.m - 11.00 p.m,,0
BK MESRA MALL,56,"Lot FF1 Ground Floor Mesra Mall, 
Jalan Kemaman Dungun",,KERTEH,Terengganu,24200,Malaysia,,4.441065, 103.447800,10.00a.m - 10.00p.m,,0
BK KG BARU SUNGAI BULOH,49,"58, Jalan Kati U19/F, 
Kampung Baru Sungai Buloh",,SUNGAI BULOH,Selangor,40160,Malaysia,,3.193981, 101.566542,8.00a.m - 10.00p.m,,0
BK WANGSA MAJU 2,50,"No 2, Lot 28055 PT 8613, Jalan Wangsa Delima,
Pusat Bandar Wangsa Maju,
Seksyen 5",,KUALA LUMPUR,Federal Territory of Kuala Lumpur,53300,Malaysia,,3.196343, 101.743276,8.00 a.m - 1.00 a.m,,0
BK SASARAN,51,"No. 19 (Ground Floor),
Jalan Dato Tan Teng Kuay 1, 
Sungai Buloh",,SUNGAI BULOH,Selangor,45800,Malaysia,,3.256206, 101.307682,8.00a.m - 10.00p.m,,0
BK BATANG BERJUNTAI,52,"No. 2, (Ground Floor), Jalan Aman Suria 1,
Taman Aman Suria",,BESTARI JAYA,Selangor,45600,Malaysia,,3.380071, 101.412776,8.00a.m - 11.00p.m,,0
BK SRI HARTAMAS,45,"Lot. No. 22 Ground Floor, 
Jalan 24/70A Desa Sri Hartamas",,KUALA LUMPUR,Federal Territory of Kuala Lumpur,50480,Malaysia,,3.163206, 101.651157,8.00 a.m - 11.00 p.m,,0
