store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Woodlands Exchange,37,"30 Woodlands Ave 2, Woodlands MRT Station, #01-19/20/21/24/25 Singapore 738343",,WOODLANDS EXCHANGE,,,Singapore,6269 6413,1.436837,103.786231,sun:07:00:00-02:00:00;0;0;;mon:07:00:00-02:00:00;0;0;;tue:07:00:00-02:00:00;0;0;;wed:07:00:00-02:00:00;0;0;;thu:07:00:00-02:00:00;0;0;;fri:07:00:00-02:00:00;0;0;;sat:07:00:00-02:00:00;0;0;;,,0
Toa Payoh,33,530 Lorong 6 Toa Payoh #01-05 Singapore 310530,,TOA PAYOH,,,Singapore,6354 4825,1.332117,103.847408,sun:07:30:00-23:00:00;0;0;;mon:07:30:00-23:00:00;0;0;;tue:07:30:00-23:00:00;0;0;;wed:07:30:00-23:00:00;0;0;;thu:07:30:00-23:00:00;0;0;;fri:07:30:00-23:30:00;0;0;;sat:07:30:00-23:30:00;0;0;;,,0
VIVA,34,750A Chai Chee Road #01-02 Viva Business Park,,VIVA BUSINESS PARK,,,Singapore,6636 4592,1.322815,103.922161,sun:08:00:00-22:00:00;0;0;;mon:08:00:00-22:00:00;0;0;;tue:08:00:00-22:00:00;0;0;;wed:08:00:00-22:00:00;0;0;;thu:08:00:00-22:00:00;0;0;;fri:08:00:00-22:00:00;0;0;;sat:08:00:00-22:00:00;0;0;;,,0
Vivo City,35,"1 Harbourfront Walk, #02-80/81 Singapore 098585",,VIVO CITY,,,Singapore,6376 9291,1.263802,103.821603,sun:08:00:00-22:00:00;0;0;;mon:10:00:00-22:00:00;0;0;;tue:10:00:00-22:00:00;0;0;;wed:10:00:00-22:00:00;0;0;;thu:10:00:00-22:00:00;0;0;;fri:10:00:00-22:00:00;0;0;;sat:08:00:00-22:00:00;0;0;;,,0
WEST COAST COMMUNITY CLUB,36,"2 CLEMENTI WEST STREET 2 , #01-01",,WEST COAST COMMUNITY CLUB,,,Singapore,,1.302580,103.764937,sun:08:00:00-22:00:00;0;0;;mon:08:00:00-22:00:00;0;0;;tue:08:00:00-22:00:00;0;0;;wed:08:00:00-22:00:00;0;0;;thu:08:00:00-22:00:00;0;0;;fri:08:00:00-22:00:00;0;0;;sat:08:00:00-22:00:00;0;0;;,,0
Singapore Expo,29,1 Expo Drive Singapore Expo #01-13 Singapore 486150,,SINGAPORE EXPO,,,Singapore,6787 2514,1.334334,103.959367,sun:11:00:00-20:00:00;0;0;;mon:11:00:00-20:00:00;0;0;;tue:11:00:00-20:00:00;0;0;;wed:11:00:00-20:00:00;0;0;;thu:11:00:00-20:00:00;0;0;;fri:11:00:00-20:00:00;0;0;;sat:11:00:00-20:00:00;0;0;;,,0
Suntec City Mall,30,"3 Temasek Boulevard #03-371 Suntec City Mall, Singapore 038983",,SUNTEC CITY MALL,,,Singapore,6238 0384,1.295900,103.858341,sun:08:00:00-22:00:00;0;0;;mon:08:00:00-22:00:00;0;0;;tue:08:00:00-22:00:00;0;0;;wed:08:00:00-22:00:00;0;0;;thu:08:00:00-22:00:00;0;0;;fri:10:00:00-23:00:00;0;0;;sat:08:00:00-23:00:00;0;0;;,,0
Tampines Mall,31,"Tampines Mall, 4 Tampines Central 5, #01-47 Singapore 529510",,TAMPINES MALL,,,Singapore,6784 6436,1.352538,103.944800,sun:08:00:00-23:00:00;0;0;;mon:08:00:00-23:00:00;0;0;;tue:08:00:00-23:00:00;0;0;;wed:08:00:00-23:00:00;0;0;;thu:08:00:00-23:00:00;0;0;;fri:08:00:00-00:00:00;0;0;;sat:08:00:00-00:00:00;0;0;;,,0
Tampines North Community Club,32,"Tampines North Community Club Management Committee-2, Tampines ST.41, #01-02 Singapore 529204",,TAMPINES NORTH COMMUNITY CLUB,,,Singapore,6789 7082,1.357078,103.946634,sun:08:00:00-22:00:00;0;0;;mon:11:00:00-22:00:00;0;0;;tue:11:00:00-22:00:00;0;0;;wed:11:00:00-22:00:00;0;0;;thu:11:00:00-22:00:00;0;0;;fri:08:00:00-22:00:00;0;0;;sat:08:00:00-22:00:00;0;0;;,,0
Novena Square,25,"Novena Square, 238 Thomson Road, #01-08/09 Singapore 307683",,NOVENA SQUARE,,,Singapore,6253 1953,1.320239,103.843408,sun:07:30:00-22:00:00;0;0;;mon:07:00:00-22:00:00;0;0;;tue:07:00:00-22:00:00;0;0;;wed:07:00:00-22:00:00;0;0;;thu:07:00:00-22:00:00;0;0;;fri:07:00:00-22:00:00;0;0;;sat:07:30:00-22:00:00;0;0;;,,0
