store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
212 Avm İkitelli,,Merkez Mah.Taşocağı Cad.No:5 212 Power Outlet Center Mahmutbey,,Istanbul Europe,,,Turkey,,41.047866,28.811494,,,0
7th Street,,Bahçelievler Mahallesi 7. Cadde 69. Sokak No: 27 Cankaya,,Ankara,,,Turkey,,39.919023,32.827493,,,0
Acıbadem Drive Thru,,Sehit Gandarmaer Emin Çelen Sokak No: 2 Acıbadem,,Istanbul Asia,,,Turkey,,41.002934,29.043438,,,0
Adana Dam Road,,Sumer Mah. Bülent Angın Bulvarı No: 87 / A Seyhan,,Adana,,,Turkey,,37.023296,35.314871,,,0
Adana Dortyol,,Çınarlı Mah. Atatürk Cad. Arabacıoğlu Business Center No: 3-B Seyhan,,Adana,,,Turkey,,36.99083,35.325649,,,0
Adana Optimum,,Hacı Ömer Sabancı Boulevard No: 28 Adana Optimum Avm No: 2m03 Yüreğir,,Adana,,,Turkey,,36.990863,35.339521,,,0
Adana Real,,M1 Tepe Shopping Center Teachers Boulevard Zencirlibağlar Mah. No: 72-73 Seyhan,,Adana,,,Turkey,,37.017313,35.243465,,,0
Adana Turgut Ozal Boulevard,,Guzelyali District Turgut Özal Bulvarı No: 154 / A,,Adana,,,Turkey,,37.048607,35.287237,,,0
Adana Ugur Mumcu,,Nice Yalı Mah.102.Sokak.Lıçgen Residence Ground Business Place Uğur Mumcu,,Adana,,,Turkey,,37.050788,35.299365,,,0
Adana-Carrefour,,100.Yıl Mahallesi.100 Evler Mevkii,,Adana,,,Turkey,,37.045944,35.252283,,,0
Adapazarı Burger King,,Sakarya Cad.Ada Center A.V.M. No: 180 Erenler Adapazarı No: 24,,Sakarya,,,Turkey,,40.745781,30.414049,,,0
Adapazarı Çark Caddesi,,Cumhuriyet Mah. Çark Cad. No: 82 Adapazarı,,Sakarya,,,Turkey,,40.776996,30.392951,,,0
Adapazarı Kipa,,Şeker Mah.Çevrerololu No: 296 Kipa Outlet Avm Adapazarı,,Sakarya,,,Turkey,,40.791869,30.385117,,,0
Adapazarı Serdivan Avm,,Arabacı Alani Mah. Mehmet Akif Ersoy Cad.,,Sakarya,,,Turkey,,40.777766,30.364746,,,0
Afyon (İkbal) Afium,,Izmir Road 9.Km Afium Outlet And Egg Center A Block 1 / A,,Afyonkarahisar,,,Turkey,,38.791418,30.455979,,,0
Now,,Agora Shopping Center Mithatpaşa Cad.No: 28 B Block Floor: 1 B-108 Balçova,,İzmir,,,Turkey,,38.394761,27.053947,,,0
Airport,,Çoban Çeşme Mevkii Airport Avm Floor: 3 No: 3/86 Bakırköy,,Istanbul Europe,,,Turkey,,40.991888,28.831179,,,0
Akbatı,,Sanayi Mah. Esenkent Mevkii 1655. Sk. No: 6 Esenyurt,,Istanbul Europe,,,Turkey,,41.056598,28.66753,,,0
Akmerkez,,Nispetiye Cad.Kat: 3 Akmerkez Etiler,,Istanbul Europe,,,Turkey,,41.076858,29.026946,,,0
Alanya 3,,Atatürk Caddesi No: 99 Damlatas Entertainment Center Alanya,,Antalya,,,Turkey,,36.546189,31.988599,,,0
Alanya 4,,Çarşı Mah.İskele Cad. No: 2 Alanya,,Antalya,,,Turkey,,36.541441,32.001256,,,0
Alanya 1 (Tac Hotel),,Saray Mah.Atatürk Cad.No:234 Alanya,,Antalya,,,Turkey,,36.548783,31.981845,,,0
Alanya-2 (Agaoglu),,Atatürk Cad.Agaoðlu Business Center. No: 39 Alanya,,Antalya,,,Turkey,,36.543563,31.998562,,,0
Alanyum,,Cumhuriyet Mah.Alanyum Shopping Center Alanya,,Antalya,,,Turkey,,36.543093,32.031864,,,0
Ali Cetinkaya,,Balbey Mah. Ali Çetinkaya Cad. No: 7 / A Muratpaşa,,Antalya,,,Turkey,,36.887797,30.708289,,,0
Anatolian Fortress,,Göksu Caddesi No: 1 Anadolu Hisarı Beykoz,,Istanbul Asia,,,Turkey,,41.079965,29.079422,,,0
Anatolium Avm,,Alaşar Mahallesi Maskara Yolu Mevkii Anatolium Avm Osmangazi,,Bursa,,,Turkey,,40.267853,29.054357,,,0
Ankara 365,,Birlik Mah.38.Sokak No: 41 207 Nolu Store 365 Avm,,Ankara,,,Turkey,,39.875646,32.869742,,,0
Ankara Acity,,Ankara Acity Avm Fatih Sultan Mehmet Bulvarı No: 244 İstanbul Yolu Store No: 218 Yenimahalle,,Ankara,,,Turkey,,39.946705,32.762544,,,0
Ankara Atatürk Boulevard,,Cumhuriyet Mah.Atatürk Cad.No:55/A Kızılay_Çankaya,,Ankara,,,Turkey,,39.925759,32.85526,,,0
Ankara Balgat,,Oğuzlar Mahallesi 1379.Sokak No: 15 / 13-14 Balgat,,Ankara,,,Turkey,,39.901787,32.816689,,,0
