store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
,,390 Mid Rivers Mall Dr.,,St. Peters,MO,63376,United States,(636) 875-1464,38.791073,-90.625006,Mon 9:00 AM-7:00 PM;Tue 9:00 AM-6:00 PM;Wed 9:00 AM-7:00 PM;Thu-Fri 9:00 AM-6:00 PM;Sat 8:00 AM-1:00 PM,,0
,,227 Salt Lick Road,,St. Peters,MO,63376,United States,(636) 875-1466,38.799773,-90.653478,Mon-Tue 9:00 AM-7:00 PM;Wed-Fri 9:00 AM-6:00 PM;Sat 8:00 AM-1:00 PM,,0
,,2121 Zumbehl Rd.,,St. Charles,MO,63303,United States,(636) 389-5487,38.772316,-90.550409,Mon 9:00 AM-6:00 PM;Tue 9:00 AM-7:00 PM;Wed 9:00 AM-6:00 PM;Thu 9:00 AM-7:00 PM;Fri 9:00 AM-6:00 PM;Sat 8:00 AM-1:00 PM,,0
,,6157 Mid Rivers Mall Dr.,,St. Charles,MO,63304,United States,(636) 336-1491,38.742307,-90.634408,Mon-Thu 9:00 AM-7:00 PM;Fri 9:00 AM-6:00 PM;Sat 8:00 AM-1:00 PM,,0
,,"1020 East Green Meadows, Ste. 100",,Columbia,MO,65201,United States,(573) 303-3960,38.910390,-92.326209,Mon 9:00 AM-7:00 PM;Tue-Wed 9:00 AM-6:00 PM;Thu 9:00 AM-7:00 PM;Fri 9:00 AM-6:00 PM;Sat 8:00 AM-1:00 PM,,0
,,"100 Brickton Road, Ste. 102",,Columbia,MO,65201,United States,(573) 397-7086,38.948050,-92.295895,Mon 9:00 AM-7:00 PM;Tue 9:00 AM-6:00 PM;Wed 9:00 AM-7:00 PM;Thu-Fri 9:00 AM-6:00 PM;Sat 8:00 AM-1:00 PM,,0
,,2404 Taylor Rd.,,Wildwood,MO,63040,United States,(636) 324-0071,38.581908,-90.627404,Mon-Wed 9:00 AM-7:00 PM;Thu-Fri 9:00 AM-6:00 PM;Sat 8:00 AM-1:00 PM,,0
,,8658 Big Bend Blvd.,,Webster Groves,MO,63119,United States,(314) 254-8905,38.583371,-90.357655,Mon 9:00 AM-7:00 PM;Tue 9:00 AM-6:00 PM;Wed 9:00 AM-7:00 PM;Thu-Fri 9:00 AM-6:00 PM;Sat 8:00 AM-1:00 PM,,0
,,1028 Town & Country Crossing Dr.,,St. Louis,MO,63017,United States,(636) 200-5858,38.677337,-90.499701,Mon 9:00 AM-7:00 PM;Tue 9:00 AM-6:00 PM;Wed 9:00 AM-7:00 PM;Thu-Fri 9:00 AM-6:00 PM;Sat 8:00 AM-1:00 PM,,0
,,12406 Tesson Ferry Rd.,,St. Louis,MO,63128,United States,(314) 843-1716,38.509744,-90.375202,Mon 9:00 AM-7:00 PM;Tue-Wed 9:00 AM-6:00 PM;Thu 9:00 AM-7:00 PM;Fri 9:00 AM-6:00 PM;Sat 8:00 AM-1:00 PM,,0
,,5632A Telegraph Rd.,,St. Louis,MO,63129,United States,(314) 334-7000,38.444290,-90.317477,Mon-Wed 9:00 AM-6:00 PM;Thu 9:00 AM-7:00 PM;Fri 9:00 AM-6:00 PM;Sat 8:00 AM-1:00 PM,,0
,,6415 Chippewa St.,,St. Louis,MO,63109,United States,(314) 797-7360,38.593781,-90.298927,Mon 9:00 AM-7:00 PM;Tue 9:00 AM-6:00 PM;Wed 9:00 AM-7:00 PM;Thu-Fri 9:00 AM-6:00 PM;Sat 8:00 AM-1:00 PM,,0
,,3122 South Grand,,St. Louis,MO,63118,United States,(314) 450-7313,38.601993,-90.242356,Mon 9:00 AM-7:00 PM;Tue-Wed 9:00 AM-6:00 PM;Thu 9:00 AM-7:00 PM;Fri 8:00 AM-5:00 PM;Sat 8:00 AM-1:00 PM,,0
,,4109 Union Rd.,,St. Louis,MO,63129,United States,314-487-0700,38.507754,-90.333823,Mon 9:00 AM-7:00 PM;Tue 9:00 AM-6:00 PM;Wed 9:00 AM-7:00 PM;Thu-Fri 9:00 AM-6:00 PM;Sat 8:00 AM-1:00 PM,,0
,,2572 Lemay Ferry Rd.,,St. Louis,MO,63125,United States,(314) 549-5055,38.524685,-90.317557,Mon 9:00 AM-7:00 PM;Tue 9:00 AM-6:00 PM;Wed-Thu 9:00 AM-7:00 PM;Fri 9:00 AM-6:00 PM;Sat 8:00 AM-1:00 PM,,0
,,"12591 Sorrento Road, Suite B",,Pensacola,FL,32507,United States,(850) 316-4862,30.339229,-87.406274,Mon 8:00 AM-5:00 PM;Tue 9:00 AM-6:00 PM;Wed 8:00 AM-5:00 PM;Thu 9:00 AM-6:00 PM;Fri 8:00 AM-5:00 PM,,0
,,9540 Manchester Rd.,,Rock Hill,MO,63119,United States,(314) 254-8897,38.609156,-90.365196,Mon-Tue 9:00 AM-6:00 PM;Wed 9:00 AM-7:00 PM;Thu 8:00 AM-7:00 PM;Fri 9:00 AM-6:00 PM;Sat 8:00 AM-1:00 PM,,0
,,2256 W. Nine Mile Rd. Suite B,,Pensacola,FL,32534,United States,(850) 479-2020,30.532973,-87.237279,Mon-Thu 9:00 AM-5:00 PM;Fri 8:00 AM-12:00 PM,,0
,,8050 Navarre Parkway,,Navarre,FL,32566,United States,(850) 396-4421,30.401853,-86.887331,Mon-Fri 8:00 AM-5:30 PM,,0
,,876 Gulf Breeze Parkway,,Gulf Breeze,FL,32561,United States,(850) 677-0949,30.357784,-87.163990,Mon 8:00 AM-5:00 PM;Tue 9:00 AM-6:00 PM;Wed 8:00 AM-5:00 PM;Thu 9:00 AM-6:00 PM;Fri 8:00 AM-5:00 PM,,0
,,417A Racetrack Rd. NW,,Ft. Walton Beach,FL,32547,United States,(850) 315-8861,30.449244,-86.626378,Mon-Thu 8:00 AM-5:00 PM,,0
,,5101 North Davis Highway,,Pensacola,FL,32503,United States,(850) 316-4857,30.471730,-87.225122,Mon 8:00 AM-5:00 PM;Tue 8:00 AM-6:00 PM;Wed 9:00 AM-5:00 PM;Thu 8:00 AM-6:00 PM;Fri 8:00 AM-5:00 PM;Sat 9:00 AM-1:00 PM,,0
,,6096 Berryhill Road,,Milton,FL,32570,United States,(850) 396-4425,30.631476,-87.064485,Mon-Tue 8:00 AM-5:00 PM;Wed 8:00 AM-3:00 PM;Thu-Fri 8:00 AM-5:00 PM,,0
,,2645 North Illinois Street,,Swansea,IL,62226,United States,(618) 744-6298,38.542591,-89.983855,Mon 9:00 AM-7:00 PM;Tue 9:00 AM-6:00 PM;Wed 9:00 AM-7:00 PM;Thu-Fri 9:00 AM-6:00 PM;Sat 8:00 AM-1:00 PM,,0
,,3248 Green Mount Crossing Dr.,,Shiloh,IL,62269,United States,(618) 619-4273,38.572674,-89.926921,Mon 9:00 AM-7:00 PM;Tue 9:00 AM-6:00 PM;Wed 9:00 AM-7:00 PM;Thu-Fri 9:00 AM-6:00 PM;Sat 8:00 AM-1:00 PM,,0
,,"12603 IL Hwy 143, Suite I",,Highland,IL,62249,United States,(618) 882-4262,38.751566,-89.681057,Mon 9:00 AM-7:00 PM;Tue-Wed 9:00 AM-6:00 PM;Thu 9:00 AM-7:00 PM;Fri 9:00 AM-6:00 PM;Sat 9:00 AM-1:00 PM,,0
,,3405 Nameoki Rd.,,Granite City,IL,62040,United States,(618) 219-1582,38.724604,-90.123596,Mon 9:00 AM-7:00 PM;Tue-Wed 9:00 AM-6:00 PM;Thu 9:00 AM-7:00 PM;Fri 9:00 AM-6:00 PM;Sat 8:00 AM-1:00 PM,,0
,,10 Lincoln Highway #101,,Fairview Heights,IL,62208,United States,(618) 589-1092,38.592167,-89.983668,Mon 9:00 AM-7:00 PM;Tue 9:00 AM-6:00 PM;Wed 9:00 AM-7:00 PM;Thu-Fri 9:00 AM-6:00 PM;Sat 8:00 AM-1:00 PM,,0
,,6663 Edwardsville Crossing Dr.,,Edwardsville,IL,62025,United States,(618) 216-6370,38.788696,-89.953729,Mon 9:00 AM-7:00 PM;Tue 9:00 AM-6:00 PM;Wed-Thu 9:00 AM-7:00 PM;Fri 9:00 AM-6:00 PM;Sat 8:00 AM-1:00 PM,,0
,,1025 Columbia Center,,Columbia,IL,62236,United States,(618) 589-4129,38.444266,-90.221153,Mon-Tue 9:00 AM-7:00 PM;Wed 9:00 AM-6:00 PM;Thu 9:00 AM-7:00 PM;Fri 9:00 AM-6:00 PM;Sat 8:00 AM-1:00 PM,,0
,,601 West Beltline Rd.,,Collinsville,IL,62234,United States,(618) 589-4416,38.679043,-89.925261,Mon 9:00 AM-7:00 PM;Tue-Wed 9:00 AM-6:00 PM;Thu 9:00 AM-7:00 PM;Fri 9:00 AM-6:00 PM;Sat 8:00 AM-1:00 PM,,0
,,2525 Green Mount Commons Dr.,,Belleville,IL,62221,United States,(618) 744-6011,38.521405,-89.925059,Mon 9:00 AM-7:00 PM;Tue 9:00 AM-6:00 PM;Wed 9:00 AM-7:00 PM;Thu-Fri 9:00 AM-6:00 PM;Sat 8:00 AM-1:00 PM,,0
,,1819 Homer Adams Pkwy.,,Alton,IL,62002,United States,(618) 767-6153,38.917517,-90.162732,Mon 9:00 AM-7:00 PM;Tue 9:00 AM-6:00 PM;Wed 9:00 AM-7:00 PM;Thu 9:00 AM-6:00 PM;Fri 8:00 AM-5:00 PM;Sat 8:00 AM-1:00 PM,,0
,,514 Warren County Shopping Center,,Warrenton,MO,63383,United States,(636) 235-0430,38.823872,-91.140424,Mon 9:00 AM-6:00 PM;Tue 9:00 AM-7:00 PM;Wed 9:00 AM-6:00 PM;Thu 9:00 AM-7:00 PM;Fri 9:00 AM-6:00 PM;Sat 8:00 AM-1:00 PM,,0
,,83 Troy Square,,Troy,MO,63379,United States,(636) 462-3958,38.986479,-90.980110,Mon 9:00 AM-7:00 PM;Tue-Wed 9:00 AM-6:00 PM;Thu 9:00 AM-7:00 PM;Fri 9:00 AM-6:00 PM;Sat 8:00 AM-1:00 PM,,0
,,537 West Karsch Blvd.,,Farmington,MO,63640,United States,(573) 747-4133,37.788897,-90.429064,Mon 8:00 AM-6:00 PM;Tue 8:00 AM-5:00 PM;Wed 8:00 AM-6:00 PM;Thu-Fri 8:00 AM-5:00 PM;Sat 8:00 AM-1:00 PM,,0
,,100 S. Jackson St.,,Perryville,MO,63775,United States,(573) 547-6233,37.723646,-89.863646,Mon 8:00 AM-6:00 PM;Tue-Wed 8:00 AM-5:00 PM;Thu 8:00 AM-6:00 PM;Fri 8:00 AM-5:00 PM;Sat 8:00 AM-12:00 PM,,0
,,3071 Phoenix Center Dr.,,Washington,MO,63090,United States,(636) 489-3431,38.536470,-90.981989,Mon 9:00 AM-7:00 PM;Tue 9:00 AM-6:00 PM;Wed 9:00 AM-7:00 PM;Thu-Fri 9:00 AM-6:00 PM;Sat 8:00 AM-1:00 PM,,0
,,1595 Denmark Rd.,,Union,MO,63084,United States,(636) 234-0008,38.431302,-90.968748,Mon 9:00 AM-7:00 PM;Tue 9:00 AM-6:00 PM;Wed 9:00 AM-7:00 PM;Thu-Fri 9:00 AM-6:00 PM;Sat 8:00 AM-1:00 PM,,0
,,330 West Osage,,Pacific,MO,63069,United States,(636) 334-0030,38.484084,-90.744334,Mon 9:00 AM-6:00 PM;Tue-Wed 9:00 AM-7:00 PM;Thu-Fri 9:00 AM-6:00 PM;Sat 8:00 AM-1:00 PM,,0
