store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
,,3940 NW Loop 820,,Lake Worth,TX,76135,United States,(817) 238-1999,32.819371,-97.399622,Monday: 11am - 9:30pm;Tuesday: 11am - 9:30pm;Wednesday: 11am - 9:30pm;Thursday: 11am - 9:30pm;Friday: 11am - 10pm;Saturday: 11am - 10pm;Sunday: 10:45am - 9:30pm,,0
,,420 Hwy. 79 South,,Henderson,TX,75652,United States,(903) 657-1414,32.147973,-94.788492,Sunday: 11am - 9:30pm;Monday: 11am - 9:30pm;Tuesday: 11am - 9:30pm;Wednesday: 11am - 9:30pm;Thursday: 11am - 9:30pm;Friday: 11am - 10pm;Saturday: 11am - 10pm,,0
,,4020 William D. Tate,,Grapevine,TX,76051,United States,(817) 545-5511,32.891845,-97.100263,Sunday: 10:45am - 9:00pm;Monday: 11am - 9:30pm;Tuesday: 11am - 9:30pm;Wednesday: 11am - 9:30pm;Thursday: 11am - 9:30pm;Friday: 11am - 10pm;Saturday: 11am - 10pm,,0
,,1151 East Highway 377,,Granbury # 100,TX,76048,United States,(817) 579-6461,32.434165,-97.800333,Sunday: 11am - 9:30pm;Monday: 11am - 9:30pm;Tuesday: 11am - 9:30pm;Wednesday: 11am - 9:30pm;Thursday: 11am - 9:30pm;Friday: 11am - 10pm;Saturday: 11am - 10pm,,0
,,1021 W University Ave.,,Georgetown,TX,78628,United States,(512) 869-3400,30.633481,-97.693627,Sunday: 10:45am - 9pm;Monday: 11am - 9:30pm;Tuesday: 11am - 9:30pm;Wednesday: 11am - 9:30pm;Thursday: 11am - 9:30pm;Friday: 11am - 10:00pm;Saturday: 11am - 10:00pm,,0
,,3231 Preston Rd.,,Frisco Suite 12,TX,75034,United States,(972) 668-4917,33.10537393359091,-96.80622339248657,Sunday: 10:30am - 9:30pm;Monday: 11am - 9:30pm;Tuesday: 11am - 9:30pm;Wednesday: 11am - 9:30pm;Thursday: 11am - 9:30pm;Friday: 11am - 10pm;Saturday: 11am - 10pm,,0
,,5030 S. Hulen Street,,Fort Worth,TX,76132,United States,(817) 292-2096,32.674223,-97.399399,Sunday: 10:45am - 9:30pm;Monday: 11am - 9:30pm;Tuesday: 11am - 9:30pm;Wednesday: 11am - 9:30pm;Thursday: 11am - 9:30pm;Friday: 11am - 10pm;Saturday: 11am - 10pm,,0
,,6101 Long Prairie Rd.,,Flower Mound,TX,75028,United States,(972) 355-8780,33.069494,-97.084105,Sunday: 10:45am - 9pm;Monday: 11am - 9:30pm;Tuesday: 11am - 9:30pm;Wednesday: 11am - 9:30pm;Thursday: 11am - 9:30pm;Friday: 11am - 10pm;Saturday: 11am - 10pm,,0
,,500 N. US Hwy 75,,Denison,TX,75020,United States,(903) 464-0097,33.762505,-96.583407,Sunday:  10:30 AM - 9:00 PM;Mon - Thurs:  11 AM - 9:30 PM;Friday - Saturday:  11 AM - 10 PM,,0
,,1200 W. 7th Ave.,,Corsicana,TX,75110,United States,(903) 874-2020,32.086418,-96.473951,Sunday: 11am - 9:00pm;Monday: 11am - 9:30pm;Tuesday: 11am - 9:30pm;Wednesday: 11am - 9:30pm;Thursday: 11am - 9:30pm;Friday: 11am - 10:00pm;Saturday: 11am - 10:00pm,,0
,,600 E Dallas Rd Suite 300,,Grapevine,TX,76051,United States,(817) 865-6500,32.932407,-97.066162,Monday: 9am - 5pm;Tuesday: 9am - 5pm;Wednesday: 9am - 5pm;Thursday: 9am - 5pm;Friday: 9am - 5pm,,0
,,3525-A Longmire Drive,,College Station,TX,77845,United States,(979) 695-9707,30.582438,-96.286773,Sunday: 10:30am - 9:00pm;Monday: 11am - 9:30pm;Tuesday: 11am - 9:30pm;Wednesday: 11am - 9:30pm;Thursday: 11am - 9:30pm;Friday: 11am - 10:30pm;Saturday: 11am - 10:30pm,,0
,,1312 W. Henderson St.,,Cleburne,TX,76033,United States,(817) 641-4222,32.341845,-97.406622,Sunday: 11am - 9:30pm;Monday: 11am - 9:30pm;Tuesday: 11am - 9:30pm;Wednesday: 11am - 9:30pm;Thursday: 11am - 9:30pm;Friday: 11am - 10pm;Saturday: 11am - 10pm,,0
,,2604 N. Prince St.,,Clovis,NM,88101,United States,(575) 762-2233,34.424508,-103.196607,Sunday: 10:30am - 9pm;Monday: 11am - 9:30pm;Tuesday: 11am - 9:30pm;Wednesday: 11am - 9:30pm;Thursday: 11am - 9:30pm;Friday: 11am - 10pm;Saturday: 11am - 10pm,,0
,,124 W. Beltline,,Cedar Hill #3,TX,75104,United States,(972) 293-3300,32.589975,-96.943072,Sunday: 11am - 9:30pm;Monday: 11am - 9:30pm;Tuesday: 11am - 9:30pm;Wednesday: 11am - 9:30pm;Thursday: 11am - 9:30pm;Friday: 11am - 10pm;Saturday: 11am - 10pm,,0
,,1103 N. Burleson Blvd.,,Burleson,TX,76028,United States,(817) 426-2711,32.52076,-97.306309,Sunday: 11am - 9:30pm;Monday: 11am - 9:30pm;Tuesday: 11am - 9:30pm;Wednesday: 11am - 9:30pm;Thursday: 11am - 9:30pm;Friday: 11am - 10pm;Saturday: 11am - 10pm,,0
,,461 East I-20,,Arlington,TX,76018,United States,(817) 468-1999,32.67875000,-97.10240000,Sunday: 10:30am - 9pm;Monday: 11am - 9:30pm;Tuesday: 11am - 9:30pm;Wednesday: 11am - 9:30pm;Thursday: 11am - 9:30pm;Friday: 11am - 10:00pm;Saturday: 11am - 10:00pm,,0
,,2401 12th Avenue N.W.,,Ardmore,OK,,United States,(580) 226-2110,34.188305,-97.159138,Sunday:  10:30 AM - 9:00 PM;Mon - Thurs:  11 AM - 9:30 PM;Friday - Saturday:  11 AM - 10 PM,,0
,,"1700 E. Palm Valley, # 580",,Round Rock,TX,78664,United States, 512-341-8900,30.517282,-97.659075,Sunday: 10:45am - 9pm;Monday: 11am - 9:30pm;Tuesday: 11am - 9:30pm;Wednesday: 11am - 9:30pm;Thursday: 11am - 9:30pm;Friday: 11am - 10:30pm;Saturday: 11am - 10:30pm,,0
,,3201 Lawrence Rd.,,Wichita Falls #600,TX,76308,United States,(940) 691-6900,33.875746,-98.539934,Sunday:  11 AM - 9:00 PM;Mon - Thurs:  11 AM - 9:30 PM;Friday - Saturday:  11 AM - 10 PM,,0
