store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Another city two stores (selling muffins),,Shanghai Songhu Road on the 8th B1 layer G09-B01-037,,,,,China,,,,,,0
Chang Li (selling muffins),,"No. 1206, Shangnan Road, Pudong New Area",,,,,China,,,,,,0
Changsha backgammon Meixihu shop (selling muffins),,"Changsha City, Hunan Province, Yuelu District, Fenglin Road, and Dongfanghong Road Interchange back step Gaixi Xintiandi L3 layer 312",,,,,China,,,,,,0
Changsha China Resources Vientiane (selling muffins),,"Changsha City Xinsha Avenue 168, China Resources Vientiane L145-L146 shop",,,,,China,,,,,,0
Changsha Friends of Ao Ao Leisi,,"Changsha City Tianxin District Furong South Road, No. 27, Friends of the Ao Te Laesi gate entrance",,,,,China,,,,,,0
Changsha Jardine shop (selling muffins),,"Changsha City, 515 Avenue, No. 655 Jintian Xintiandi commercial podium floor",,,,,China,,,,,,0
Changsha Kaifu Wanda shop (selling muffins),,"Changsha Kaifu District Xiangjiang Road 589, Wanda Plaza indoor pedestrian street 4 storey 4017 shops",,,,,China,,,,,,0
Changsha Wyatt (sale of muffins),,"Changsha City, Hunan Province, Tianxin District, No. 26, Po Po Street, Yuet side IDMALLB161 shops",,,,,China,,,,,,0
Changzhou another city (selling muffins),,"Changzhou City, Jiangsu Province, Wujin District Huantang Town Garden Street No.33 Road, another city square 1B-21",,,,,China,,,,,,0
Changzhou Baolong shop (selling muffins),,"Changzhou City, Jiangsu Province, Central District, Camellia Road and the introduction of water lily Square Baolong Square 3F-003",,,,,China,,,,,,0
Changzhou Culture Palace Yanling shop (selling muffins),,"Changzhou City, Jiangsu Province, Yan Ling Road 56, 110-111",,,,,China,,,,,,0
Changzhou Lemmon (selling muffins),,"Changzhou Lemmon International Business District 1-104,105",,,,,China,,,,,,0
Changzhou New North Wanda,,"Changzhou New North Wanda Plaza 3 layer 3061,3062 shops",,,,,China,,,,,,0
Changzhou Wujin Wanda (selling muffins),,"Changzhou Wujin District Hutang Town Garden Street 301, Wujin Wanda shopping mall three",,,,,China,,,,,,0
Changzhou Wujin Yuyue (selling muffins),,"Wujin District, Wujin District, Changzhou City, Wu Yizhong Road, No. 188, I Yue Plaza 2F",,,,,China,,,,,,0
Chengdu Fortune Center Shop (selling muffins),,Chengdu City Jinjiang District Daguan Road on the 6th floor of Chengdu Fortune Center Plaza,,,,,China,,,,,,0
Chengdu gifted shop,,"1st Floor, Excellent Shopping Center, No. 1, Qingyang Road, Chengdu, China",,,,,China,,,,,,0
