store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
City Square shop,,Peace District Nanjing North Street City Square 1F,,,,,China,024 - 2334 2200,,,6:30 - 22:00,,0
Peaceful Runfa shop,,"Peace District, Nanjing South Street, No. 78, 1 Run Run",,,,,China,024 - 2351 8100,,,07:00 - 22:00,,0
Changjiang Street shop,,Huanggu District Changjiang Street No. 124 (near Liao Technology Park),,,,,China,024 - 8685 0211,,,6:30 - 22:00,,0
Mori Wah Ming Wan shop,,"Shenbei New Road, South Road on the 28th 1F",,,,,China,024 - 8879 6192,,,7:00 - 22:00,,0
Joy City store,,"Dadong District, No. 10 East Road, Joy City, Building C, 1F",,,,,China,024 - 2436 3069,,,07:00 - 22:00,,0
Fuxing stores,,Xicheng District Fuxingmen Nei Avenue 101 Parkson Shopping Center South Building S1-02,,,,,China,010 - 6608 3158,,,,,0
Hongqiao Airport T2 shop,,Shanghai Hongqiao Airport T2 Terminal departure within the restricted area of ​​the south side of the triangle (near the 50 gate),,,,,China,021-2238 2768,,,07:00 - 23:00,,0
Fortune Center shop,,"Shenhe District, North Station Road 59, Fortune Center, Block E, 1F",,,,,China,024 - 2251 3616,,,7:00 - 21:30,,0
Xizhimen North Street store,,"Room 102-9 to 14, Building 3, Building 3, Xizhimen North Street, Haidian District, Beijing",,,,,China,010 - 8229 4822,,,,,0
Changtai shop,,"Shanghai Pudong New Area Zu Chong Road 1239 Lane
Changtai Square GF District 38-3 room (next to the central fountain)",,,,,China,021 - 5089 8638,,,08:00 - 22:00,,0
Street bay shop,,"3rd Floor, Zhonghua Road, Heping District, Shenyang City",,,,,China,024 - 2325 2329,,,06:30 - 22:00,,0
Jianguomen outside the street store,,"Chaoyang District, Beijing Xiushui East Street on the 8th floor F010020F",,,,,China,010 - 8563 9520,,,,,0
Jin Yan shop,,"266 Jin Yan Road, Pudong New Area, Shanghai",,,,,China,021 - 6838 5037,,,08:00 - 19:00,,0
Hunnan built big shop,,"No. 18-58, Hunnan East Road, Hunnan New District, Shenyang City, China",,,,,China,No time,,,06:30 - 22:00,,0
Worker North Road shop,,"Chaoyang District, Beijing, a workers on the North Road, a surplus of a layer of pavilion",,,,,China,010 - 6592 4660,,,,,0
Jing'an shop,,Shanghai No. 1649-9 Nanjing West Road,,,,,China,021-5272 8916,,,07:30 - 22:00,,0
Star Moore shop,,"No. 10, North Second Road, Tiexi District, Shenyang City",,,,,China,024 - 2525 5262,,,09:30 - 21:30,,0
You Tang Square shop,,"Beijing Chaoyang District, San Fung North Lane Building 2, 1st Floor, 101 F1-001A",,,,,China,010 - 8563 8831,,,,,0
Bauhinia Square shop,,"Shanghai Yangpu District Control Road 1628, L124 unit",,,,,China,021 - 6501 0379,,,10:00 - 22:00,,0
North Korea Yue City store,,"Chaoyang District, Chaoyang North Road, Building 101, 9 (08) 901 8F-D08 shops",,,,,China,010 - 8556 5509,,,,,0
Pudong Airport T2 shop,,Shanghai Pudong Airport T2 Terminal departure within the restricted area near the gate of 59,,,,,China,021 - 6833 9018,,,6:30 - 22:00,,0
Xiangyun town shop,,"Building 10, Xintai Street, Shunyi District, Beijing, China",,,,,China,010 - 8047 6352,,,10: 00 - 21: 30 (summer); 10: 00 - 21: 00 (winter),,0
Wangjing Fang Heng shop,,"Chaoyang District, Beijing, Futong East Street, Building 6, Building 4, Fang Heng Center",,,,,China,010 - 8478 5400,,,07:00 - 22:00,,0
New Dongan shop,,Wangfujing New Dongan B1,,,,,China,010 - 6522 8179,,,10:00 - 22:00,,0
Rongxiang Square shop,,"Beijing Shunyi District Airport Street Street Xinyuan all the way 2, No. 2, No. 38",,,,,China,010 - 6146 0716,,,07:00 - 22:00,,0
Long De Plaza shop,,"No.56, Li Tang Road, Changping District, Beijing, China, Carrefour Shopping Center, No. 101, Longde Plaza",,,,,China,010 - 8494 8175,,,10:00 - 22:00,,0
King Street shop,,Beijing Xicheng District Jincheng Square Street 9-9 / 9-10 shops,,,,,China,010 - 6601 1282,,,,,0
Beijing South Station two stores,,"Beijing Fengtai District, Beijing South Railway Station on the west side of 008 business district",,,,,China,010 - 6313 5351,,,,,0
Four yuan Bridge Carrefour shop,,"No.99, North Fourth Ring Road, Chaoyang District, Beijing",,,,,China,010 - 6477 9569,,,,,0
Beijing South Station a shop,,"Beijing Fengtai District, Beijing South Railway Station on the 5th floor of the rapid station on the south side of the area on the 2nd",,,,,China,010 - 6313 1365,,,,,0
Wudaokou shop,,"Beijing Haidian District Chengfu Road 28, winning building Wudaokou shopping malls L1-33 ~ 37 shops",,,,,China,010 - 8230 8550,,,08:00 - 22:00,,0
