store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Fatburger,,8500 W 3rd Street,,Los Angeles,CA,90048,United States,310-289-8810,40.7207559,-74.00076130000002,Mon - Thurs: 10:30am - 12am;Fri: 10:30am - 1am;Sat: 10:30am - 1am;Sun: 10:30am - 12am;,,0
Fatburger & Buffalo's Express,,1001 W Carson St.,,Torrance,CA,90502,United States,310-328-6700,40.7207559,-74.00076130000002,Mon - Thurs: 10am-10pm;Fri: 10am-11pm;Sat: 11am-11pm;Sun: 11am-10pm;,,0
Fatburger & Buffalo's Express,,40573 Margarita Road,,Temecula,CA,92591,United States,951-296-6340,40.7207559,-74.00076130000002,Mon - Thu: 10am-9pm;Fri - Sat: 10am-10pm;Sun: 10am-9pm;,,0
FATBURGER & BUFFALO'S EXPRESS,,11984 Foothill Blvd,,Sylmar,CA,91342,United States,,37.09024,-95.71289100000001,(747) 225-0335;,,0
Fatburger,,10600 1/2 Ventura Blvd.,,Studio City,CA,91604,United States,818-769-8725,40.7207559,-74.00076130000002,Mon - Thurs: 11am-1am;Fri - Sat: 11am-3am;Sun: 11am-1am;,,0
Fatburger,,14402 Ventura Blvd,,Sherman Oaks,CA,91423,United States,818-905-3137,40.7207559,-74.00076130000002,Mon - Thu: 10:30am - 2am;Fri - Sat: 10:30am - 3am;Sun: 10:30am - 2am;,,0
Fatburger & Buffalo's Express,,11226 4th St. Ste 101,,Rancho Cucamonga,CA,91730,United States,909-484-3557,40.7207559,-74.00076130000002,Mon - Thurs: 10:30am - 9pm;Fri - Sat: 10:30am - 11pm;Sun: 10:30am - 10:00pm;,,0
Fatburger,,1698 S. Pacific Coast Highway,,Redondo Beach,CA,90277,United States,310-316-9205,40.7207559,-74.00076130000002,Mon - Thu: 10:30am-12am;Fri - Sat: 10:30am-3am;Sun: 10:30am-12am;,,0
FATBURGER,,72261 Highway 111 Suite 122,,Palm Desert,CA,92260,United States,(760) 341-3100,37.09024,-95.71289100000001,Mon-Sun: 11a - 9p ;,,0
Fatburger,,11009 Burbank Blvd.,,North Hollywood,CA,91601,United States,818-760-6565,40.7207559,-74.00076130000002,Mon - Sun: 10am-4am;,,0
FATBURGER,,1507 W. Beverly Blvd,,Montebello,CA,90640,United States,323-597-0250,37.09024,-95.71289100000001,Mon-Sun: 10a - 12a;,,0
Fatburger,,4325 Glencoe Ave. Unit C1,,Marina Del Rey,CA,90292,United States,310-301-4468,40.7207559,-74.00076130000002,Mon - Thu: 10:30am-9pm;Fri - Sat: 10:30am-10pm;Sun: 10:30am-9pm;,,0
Fatburger,,6780 Cherry Ave.,,Long Beach,CA,90805,United States,562-408-1311,40.7207559,-74.00076130000002,,,0
Fatburger,,1200 Athens Ave. Lincoln,,Thunder Valley,CA,95648,United States,916-408-7777,40.7207559,-74.00076130000002,"24hrs, 7 days a week;",,0
Fatburger,,1025 N. Vasco Road,,Livermore,CA,94551,United States,925-455-6070,40.7207559,-74.00076130000002,Mon - Fri: 10am - 6pm;Sat: 11am - 6pm;Sun: 11am - 4pm;,,0
Fatburger,,3020 Manchester Blvd.,,Inglewood,CA,90305,United States,323-971-8592,40.7207559,-74.00076130000002,Mon - Thurs: 10:30am - 11pm;Fri - Sat: 10:30am - 12:30am;Sun: 10:30am - 11pm;,,0
Fatburger,,1706 W Francis Ave.,,Spokane,WA,99205,United States,509-209-2115,40.7207559,-74.00076130000002,Mon - Sun: 11am-9pm;,,0
Fatburger,,17181 Redmond Way #100,,Redmond,WA,98052,United States,425-497-8809,40.7207559,-74.00076130000002,Mon - Thu: 10:30am-9pm;Fri - Sat: 11am-10pm;Sun: 10:30am-9pm;,,0
Fatburger,,6220 E Lake Sammamish Pkwy SE,,Issaquah,WA,98029,United States,425-837-1670,40.7207559,-74.00076130000002,Mon - Thu: 10:30am-9pm;Fri - Sat: 10:30am-10pm;Sun: 10:30am-9pm;,,0
Fatburger,,100 N Hayford Rd,,Northern Quest,WA,99001,United States,509-481-2130,40.7207559,-74.00076130000002,24hrs;,,0
Fatburger & Buffalo's ,,7400 Las Vegas Blvd.,,South,NV,89106,United States,Las Vegas South Premium Outlet,37.09024,-95.71289100000001,,,0
Fatburger,,3763 Las Vegas Blvd. S. Las Vegas,,The Strip,NV,89109,United States,702-736-4733,40.7207559,-74.00076130000002,Mon - Sun: 24hrs;,,0
Fatburger,,2101 Texas Star Lane,,Texas Station,NV,89032,United States,702-636-4909,40.7207559,-74.00076130000002,Mon - Thu: 7:30am-2am;Fri - Sat: 24hrs;Sun: 7:30am-2am;,,0
Fatburger,,1301 W Sunset Rd,,Sunset Station Casino,NV,89014,United States,702-450-7820,40.7207559,-74.00076130000002,Mon - Thu: 9am-2am;Fri - Sat: 9am-3am;Sun: 9am-2am;,,0
Fatburger,,11011 W. Charleston Blvd.,,Red Rock,NV,89135,United States,702-228-5744,40.7207559,-74.00076130000002,Mon - Thu: 9am-2am;Fri - Sat: 8am-3am;Sun: 8am-2am;,,0
Fatburger,,4949 N. Rancho Dr.,,Sante Fe Station,NV,89130,United States,702-839-9610,40.7207559,-74.00076130000002,Mon - Thu: 9am-12am;Fri - Sat: 9am-2am;Sun: 9am-12am;,,0
Fatburger,,4525 N. Rancho Dr.,,Rancho,NV,89130,United States,702-658-4604,40.7207559,-74.00076130000002,Mon - Sun: 10am-12am;,,0
Fatburger,,2845 S. Nellis Blvd.,,Nellis,NV,89121,United States,702-457-1727,40.7207559,-74.00076130000002,,,0
Fatburger,,1650 S Casino Dr.,,Laughlin,NV,89029,United States,702-299-1030,40.7207559,-74.00076130000002,Mon - Thu: 10am-12am;Fri - Sat: 10am-2am;Sun: 10am-12am;,,0
