store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
01542,LaGrange Mall - Coming Soon #1542,1507 Lafayette Pkwy.,Unit A,LaGrange,GA,30241,US,Coming Soon,33.042516,-84.982168,,,True
00111,Opelika #111,3000 Pepperell Pkwy.,Suite 7,Opelika,AL,36801,US,(334) 741-7998,32.6351326,-85.4231413,10:30am - 9:00pm,,False
00110,Auburn #110,1907 S. College St.,Suite 108,Auburn,AL,36832,US,(334) 887-6400,32.570786,-85.4992539,10:30am - 9:00pm,,False
00674,Oxford #674,552 Oxford Exchange Blvd.,,Oxford,AL,36203,US,(256) 831-2615,33.608744,-85.784909,10:30am - 10:00pm,,False
00239,Carrollton #239,1202 South Park St.,Suite E,Carrollton,GA,30117,US,(770) 832-9047,33.555877,-85.072047,10:30am - 10:00pm,,False
00641,Ashley Park #641,226 Newnan Crossing Bypass,,Newnan,GA,30265,US,(678) 423-8822,33.3917551,-84.7622338,10:30am - 10:00pm,,False
00222,Gadsden #222,332 E. Meighan Blvd.,Suite G-3,Gadsden,AL,35903,US,(256) 543-8445,34.0101177,-85.9891846,10:30am - 9:00pm,,False
00148,Jones Valley #148,2750 Carl T. Jones Dr.,Suite 810,Huntsville,AL,35802,US,(256) 880-8246,34.6747407,-86.5441218,10:30am - 9:00pm,,False
00352,Memorial Parkway #352,3022 Memorial Pkwy,,Huntsville,AL,35802,US,(256) 885-2257,34.70250429,-86.58765302,10:30am - 9:00pm,,False
00341,Madison #341,8572 Madison Blvd.,Unit U,Madison,AL,35758,US,(256) 774-8028,34.682487,-86.737908,10:30am - 9:00pm,,False
00119,Westside Center #119,6275 University Dr.,,Huntsville,AL,35806,US,(256) 971-8989,34.7443167,-86.68042,10:30am - 9:00pm,,False
00704,Madison Corners #704,1079 Balch Rd,Suite A,Huntsville,AL,35758,US,(256) 325-0231,34.7486653,-86.7675608,10:30am - 9:00pm,,False
00587,Decatur #587,2812 Spring Ave. SW,Ste G,Decatur,AL,35603,US,(256) 340-8600,34.554957,-86.997248,10:30am - 9:00pm,,False
00604,Fultondale #604,3477 Lowery Parkway,Ste 115,Fultondale,AL,35068,US,(205) 841-2322,33.6071185,-86.8060609,10:30am - 9:00pm,,False
00830,UAB - 5 Points #830,1928-B 11th Ave. S.,,Birmingham,AL,35205,US,(205) 731-3473,33.500641,-86.796624,10:30am - 9:00pm,,False
00294,Homewood #294,808 Green Springs Hwy,,Homewood,AL,35209,US,(205) 945-2637,33.460704,-86.81954,10:30am - 9:00pm,,False
00041,Vestavia Hills #41,623 Montgomery Hwy.,Unit 130,Vestavia Hills,AL,35216,US,(205) 979-5753,33.4480789,-86.7902159,10:30am - 9:00pm,,False
00342,Altadena #342,4704 Cahaba River Rd.,Suite J-1,Birmingham,AL,35243,US,(205) 967-3114,33.431979,-86.737747,10:30am - 9:00pm,,False
00630,Patton Creek #630,181 Main Street,Suite 213,Hoover,AL,35244,US,(205) 402-9830,33.3741821,-86.8147383,10:30am - 9:00pm,,False
00895,McCalla #895,4867 Promenade Parkway,Suite 101,Bessemer,AL,35022,US,(205) 428-5844,33.333038,-86.991059,10:30am - 9:00pm,,False
00231,Trussville #231,1483 Gadsden Hwy,Suite 132,Birmingham,AL,35235,US,(205) 661-1444,33.5966497,-86.6451477,10:30am - 9:00pm,,False
00135,Brook Highland #135,5269 Hwy 280 S.,Suite B-8,Birmingham,AL,35242,US,(205) 981-1880,33.423775,-86.699869,10:30am - 9:00pm,,False
00378,Alabaster #378,100 South Colonial Dr.,Suite 1200,Alabaster,AL,35007,US,(205) 664-4664,33.22684171,-86.80440484,10:30am - 9:00pm,,False
00060,Tuscaloosa #60,1130 University Blvd.,Unit B-3,Tuscaloosa,AL,35401,US,(205) 248-0680,33.2116675,-87.5521204,10:30am - 9:00pm,,False
00139,Dothan #139,3850 W. Main Street,Unit 806,Dothan,AL,36305,US,(334) 677-2656,31.234753,-85.45137,10:30am - 10:00pm,,False
00179,South Dothan #179,3255 South Oates Street,Suite 8,Dothan,AL,36301,US,(334) 671-9633,31.1796055,-85.4010127,10:30am - 10:00pm,,False
00374,Enterprise #374,607-E Boll Weevil Cir.,,Enterprise,AL,36330,US,(334) 308-2101,31.3151782,-85.8305047,10:30am - 9:00pm,,False
00581,Troy #581,1007 US 231 South,,Troy,AL,36081,US,(334) 770-6551,31.784601,-85.962771,10:30am - 9:00pm,,False
00808,Athens Shoppes #808,935 Hwy 72 E.,Suite A,Athens,AL,35611,US,(256) 216-5556,34.7870177,-86.9600369,10:30am - 9:00pm,,False
00461,Malbis #461,9912 Dimitrious Ave,,Daphne,AL,36526,US,(251) 626-7827,30.657556,-87.852763,8:00am - 9:00pm,,False
00052,Daphne #52,6890-6 Hwy. 90,,Daphne,AL,36526,US,(251) 625-8723,30.655616,-87.899616,10:30am - 9:00pm,,False
00026,Pace #26,4367 Highway 90,,Pace,FL,32571,US,(850) 994-1666,30.6031914,-87.1418576,10:30am - 9:00pm,,False
00016,Pensacola 1 #16,2 E. 9 Mile Rd.,,Pensacola,FL,32534,US,(850) 478-2334,30.5345251,-87.2739371,10:30am - 9:00pm,,False
00033,Pensacola 4 #33,1741 E. 9 Mile Rd.,Suite 13,Pensacola,FL,32514,US,(850) 476-1962,30.530618,-87.225012,10:30am - 9:00pm,,False
00647,Milton #647,6570 Caroline St.,Ste A,Milton,FL,32570,US,(850) 983-0404,30.6203286,-87.0486481,10:30am - 9:00pm,,False
00030,Pensacola 3 #30,6869 N. 9th Ave.,,Pensacola,FL,32504,US,(850) 476-6626,30.4937374,-87.1911251,10:30am - 9:00pm,,False
00690,Mobile Hwy #690,5998 Mobile Hwy,Suite 8,Pensacola,FL,32526,US,(850) 607-6791,30.46022,-87.298832,10:30am - 9:00pm,,False
00087,Bayou Blvd. #87,5010 Bayou Blvd.,Suite 5,Pensacola,FL,32503,US,(850) 478-9861,30.4720018,-87.2090401,10:30am - 9:00pm,,False
00599,Fairhope #599,113 South Greeno Road,,Fairhope,AL,36532,US,(251) 990-3970,30.518607,-87.885615,10:30am - 9:00pm,,False
00057,Airport #57,3694 Airport Blvd.,,Mobile,AL,36608,US,(251) 342-2352,30.6768629,-88.1347205,10:30am - 9:00pm,,False
00282,McGowan Park #282,3075 Government Blvd.,B105,Mobile,AL,36606,US,(251) 461-6080,30.654387,-88.117163,10:30am - 9:00pm,,False
00099,New Warrington #99,120 S. New Warrington Rd.,,Pensacola,FL,32507,US,(850) 457-2765,30.405427,-87.276307,10:30am - 9:00pm,,False
00065,Foley #65,167 9th Ave.,,Foley,AL,36535,US,(251) 986-7827,30.3848432,-87.687596,10:30am - 9:00pm,,False
01137,Prattville #1137,2586 Cobbs Ford Rd.,,Prattville,AL,36066,US,(334) 285-9003,32.460221,-86.386422,10:30am - 9:00pm,,False
