store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
,,715 Meridian East,,Edgewood,WA,98371,United States,253-927-7717,47.250647,-122.292978,Monday - Thursday:5:00am  - 10:00pm;Friday:5:00am  - 9:00pm;Saturday - Sunday:8:00am  - 6:00pm;,,0
,,1253-A Cedar Rd,,Chesapeake,VA,23322,United States,757-819-7777,36.7178693,-76.2853065,Monday - Thursday:5:00am  - 10:00pm;Friday:5:00am  - 9:00pm;Saturday - Sunday:7:00am  - 6:00pm;Monday - Friday:8:00am  - 12:00pm;4:00pm  - 8:00pm:Saturday;8:30am  - 12:00pm:Sunday;Closed:,,0
,,12215 Grant Road,,Cypress,TX,77429,United States,281-897-0000,29.9814643,-95.6094018,Monday - Thursday:5:00am  - 10:00pm;Friday:5:00am  - 9:00pm;Saturday - Sunday:8:00am  - 6:00pm;Monday - Thursday:8:00am  - 12:00pm;4:00pm  - 8:00pm:Friday:8:00am  - 12:00pm;4:00pm  - 6:00pm;Saturday:9:00am  - 1:00pm;Sunday:Closed;,,0
,,8080 Old York Road,,Elkins Park,PA,19027,United States,215-881-9919,40.076639,-75.128581,Monday - Thursday:5:00am  - 11:00pm;Friday:5:00am  - 9:00pm;Saturday:7:00am  - 7:00pm;Sunday:8:00am  - 7:00pm;Monday - Thursday:9:00am  - 1:00pm;4:00pm  - 8:00pm:Friday:9:00am  - 1:00pm;4:00pm  - 7:00pm;Saturday:9:00am  - 1:00pm;Sunday:Closed;,,0
,,58 E. 15th Street,,Edmond,OK,73013,United States,405-348-0019,35.6382786,-97.4801184,Monday - Thursday:5:00am  - 10:00pm;Friday:5:00am  - 9:00pm;Saturday - Sunday:8:00am  - 6:00pm;Monday - Friday:9:00am  - 1:00pm;4:00pm  - 8:00pm:Saturday;9:00am  - 1:00pm;Sunday;Closed:,,0
,,3740 Rocky River Drive,,Cleveland,OH,44111,United States,216-889-1919,41.451175,-81.818134,Monday - Thursday:5:00am  - 11:00pm;Friday:5:00am  - 9:00pm;Saturday - Sunday:8:00am  - 8:00pm;Monday - Friday:8:45am  - 1:00pm;4:00pm  - 8:00pm:Saturday;8:45am  - 1:00pm;Sunday;Closed:,,0
,,2141 Elmwood Ave,,Buffalo,NY,14207,United States,716-447-1919,42.956133,-78.8772434,Monday - Thursday:5:00am  - 11:00pm;Friday:5:00am  - 9:00pm;Saturday:7:00am  - 7:00pm;Sunday:8:00am  - 7:00pm;Monday - Friday:9:00am  - 12:00pm;4:00pm  - 8:00pm:Saturday:9:00am  - 1:00pm:Sunday:Closed:,,0
,,2141 Elmwood Ave,,Buffalo,NY,14207,United States,716-447-1919,42.956133,-78.8772434,Monday - Thursday:5:00am  - 11:00pm;Friday:5:00am  - 9:00pm;Saturday:7:00am  - 7:00pm;Sunday:8:00am  - 7:00pm;Monday - Friday:9:00am  - 12:00pm;4:00pm  - 8:00pm:Saturday:9:00am  - 1:00pm:Sunday:Closed:,,0
,,920 High House Road,,Cary,NC,27513,United States,919-469-1333,35.7868065,-78.8261069,Monday - Thursday:5:00am  - 10:00pm;Friday:5:00am  - 9:00pm;Saturday - Sunday:8:00am  - 6:00pm;Monday - Friday:9:00am  - 1:00pm;4:00pm  - 8:00pm:Saturday;9:00am  - 1:00pm;Sunday;Closed:,,0
,,4250 Lexington Ave S.,,Eagan,MN,55123,United States,651-452-1919,44.802997,-93.142644,Monday - Thursday:5:00am  - 11:00pm;Friday:5:00am  - 10:00pm;Saturday - Sunday:7:00am  - 7:00pm;Monday - Friday:8:45am  - 1:00pm;4:00pm  - 8:00pm:Saturday;9:00am  - 1:00pm:Sunday;Closed:,,0
,,4250 Lexington Ave S.,,Eagan,MN,55123,United States,651-452-1919,44.802997,-93.142644,Monday - Thursday:5:00am  - 11:00pm;Friday:5:00am  - 10:00pm;Saturday - Sunday:7:00am  - 7:00pm;Monday - Friday:8:45am  - 1:00pm;4:00pm  - 8:00pm:Saturday;9:00am  - 1:00pm:Sunday;Closed:,,0
,,40789 Garfield Rd,,Clinton Township,MI,48038,United States,586-226-1915,42.5968517,-82.9523999,Monday - Thursday:5:00am  - 11:00pm;Friday:5:00am  - 10:00pm;Saturday - Sunday:7:00am  - 7:00pm;Monday - Friday:9:00am  - 1:00pm;4:00pm  - 8:00pm:Saturday;9:00am  - 1:00pm;Sunday;Closed:,,0
,,40789 Garfield Rd,,Clinton Township,MI,48038,United States,586-226-1915,42.5968517,-82.9523999,Monday - Thursday:5:00am  - 11:00pm;Friday:5:00am  - 10:00pm;Saturday - Sunday:7:00am  - 7:00pm;Monday - Friday:9:00am  - 1:00pm;4:00pm  - 8:00pm:Saturday;9:00am  - 1:00pm;Sunday;Closed:,,0
,,6030 Marshalee Dr,,Elkridge,MD,21075,United States,410-579-8819,39.2098046,-76.778355,Monday - Thursday:5:00am  - 12:00am;Friday:5:00am  - 10:00pm;Saturday - Sunday:6:00am  - 8:00pm;Monday - Friday:9:00am  - 1:00pm;4:00pm  - 8:00pm:Saturday - Sunday:9:00am  - 1:00pm;,,0
