store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
,,5460 Park Place,,Rosemont,Illinois,60018,United States,(847) 678-7200,41.9782849,-87.867587,Holiday Hours;Mother's Day:11:00 AM - 9:00 PM;Father's Day:11:00 AM - 9:00 PM;Brunch;SAT - SUN:11:30 AM - 2:00 PM;Lunch;MON-FRI:11:00 AM - 2:00 PM;Dinner;,,0
,,1824 Abriter Court,,Naperville,Illinois,60563,United States,(630) 955-0022,41.8028795,-88.12933249999998,Holiday Hours;Mother's Day:11:00 AM - 9:00 PM;Father's Day:11:00 AM - 9:00 PM;Brunch;SAT:11:30 AM - 2:00 PM;SUN:11:00 AM - 2:00 PM;Lunch;MON - FRI:11:00 AM - 2:00 PM;Dinner;,,0
,,661 N. LaSalle Blvd,,Chicago,Illinois,60654,United States,(312) 932-9330,41.894199,-87.632402,Holiday Hours;Mother's Day:11:00 AM - 9:00 PM;Father's Day:11:00 AM - 9:00 PM;Brunch;SAT - SUN:11:30 AM - 2:00 PM;Lunch;MON-FRI:11:00 AM - 2:00 PM;Dinner;,,0
,,200 Dartmouth St.,,Boston,Massachusetts,02116,United States,(617) 585-6300,42.3486372,-71.077129,Holiday Hours;Mother's Day:11:00 AM - 9:00 PM;Father's Day:11:00 AM - 9:00 PM;Brunch;SAT - SUN:11:30 AM - 2:00 PM;Lunch;MON-FRI:11:30 AM - 2:30 PM;Dinner;,,0
,,440 Bellevue Way NE,,Bellevue,Washington,98004,United States,(425) 450-4004,47.6113898,-122.20193549999999,Holiday Hours;Mother's Day:11:00 AM - 9:00 PM;Father's Day:11:00 AM - 9:00 PM;BRUNCH;SAT-SUN:11:30 AM - 2:00 PM;Lunch;MON-FRI:11:00 AM - 2:00 PM;Dinner;,,0
,,600 E. Pratt St.,,Baltimore,Maryland,21202,United States,(410) 528-9292,39.287129,-76.6074069,Holiday Hours;Mother's Day:11:00 AM - 9:00 PM;Father's Day:11:00 AM - 9:00 PM;Brunch;SAT - SUN:11:30 AM - 2:00 PM;Lunch;MON-FRI:11:30 AM - 2:00 PM;Dinner;,,0
,,309 E. 3rd St.,,Austin,Texas,78701,United States,(512) 472-0220,30.264021,-97.740735,Holiday Hours;Mother's Day:11:00 AM - 9:00 PM;Father's Day:11:00 AM - 9:00 PM;Brunch;SAT - SUN:11:30 AM - 2:00 PM;Lunch;MON-FRI:11:00 AM - 2:00 PM;Dinner;,,0
,,4671 Ashford Dunwoody Rd.,,Dunwoody,Georgia,30346,United States,(678) 691-7268,33.931788,-84.33739539999999,Holiday Hours;Mother's Day:11:00 AM - 9:00 PM;Father's Day:11:00 AM - 9:00 PM;BRUNCH;SAT - SUN:11:30 AM - 2:00 PM;Lunch;MON-FRI:11:00 AM - 2:00 PM;Dinner;,,0
,,3101 Piedmont Rd.,,Atlanta,Georgia,30305,United States,(404) 266-9988,33.8406338,-84.3694841,Holiday Hours;Mother's Day:11:00 AM - 9:00 PM;Father's Day:11:00 AM - 9:00 PM;Brunch;SAT - SUN:11:30 AM - 2:00 PM;Lunch;MON-FRI:11:30 AM - 2:00 PM;Dinner;,,0
,,01219 Ciudad de México,,Santa Fe,Mexico,01210,Mexico,+1 101152555280,19.3663395,-99.26183459999999,MON - WED:1:00 PM - 11:00 PM;THU - SAT:1:00 PM - 12:00 AM;SUN:1:00 PM - 10:00 PM;,,0
