store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Trois-Rivières Dépanneur Café-Gourmet,2496,5700 boul. des Forges,,Trois-Rivières, Québec,G8Y 1X8,Canada,819 840-4449,46.36522,-72.59720,,,0
Super Sagamie Plus,2223,50 Boul. Tadoussac,,St-Fulgence, Québec,G0V 1S0,Canada,418 674-2811,48.45749,-70.96300,,,0
Super Sagamie Aux Écluses,2512,"6095, rue Melançon O.",,Alma, Québec,G8B 5V3,Canada,418 669-0330,48.58373,-71.74746,,,0
Super Dépanneur Lac Saint-Charles Inc,2329,"15500, boul. de la Colline",,Québec, Québec,G3G 2Z4,Canada,418 849-0889,46.88884,-71.37196,,,0
Super Dépanneur Jonquière,2249,"3899, rue des Mouettes",,Jonquière, Québec,G7X 0M4,Canada,418 542-9898,48.39707,-71.26099,,,0
St-Hyacinthe / Dépanneur Gaumond,2443,"17090, av. St-Louis",,St-Hyacinthe, Québec,J2T 3G3,Canada,450 250-9777,45.61999,-72.92742,,,0
Station-Service Saint-Dominique,2424,"1147, rue Principale",,St-Dominique, Québec,J0H 1L0,Canada,450 773-1274,45.56569,-72.85435,,,0
Station-service Saint-Basile,2403,"235, boul. Sir Wilfrid-Laurier",,St-Basile-le-Grand, Québec,J3N 1E7,Canada,450 441-3398,45.52669,-73.29755,,,0
Station-service Saint-Armand inc.,2401,"1050, ch. St-Armand",,St-Armand, Québec,J0J 1T0,Canada,450 248-0474,45.03858,-73.01288,,,0
Station-service Ouimet,2445,"703, rue de Lanaudière",,Joliette, Québec,J6E 3M9,Canada,450 756-6070,46.02049,-73.44107,,,0
Station-service des Patriotes Inc.,2490,"1145, ch. des Patriotes",,Sorel-Tracy, Québec,J3P 2N1,Canada,450 743-9492,46.01065,-73.12706,,,0
Station-service C.R.C. inc.,2420,"99, rue Wellington",,Coaticook, Québec,J1A 2H8,Canada,819 849-4959,45.13398,-71.80359,,,0
Station Service Pierre et Pierre Inc,2225,99 rue Dequoy,,St-Gabriel de Brandon, Québec,J0K 2N0,Canada,450 835-7358,46.29393,-73.38483,,,0
Station service Manseau Inc,2290,"2920, route 218",,Manseau, Québec,G0X 1V0,Canada,,46.36533,-72.00687,,,0
Station Service Lave-Auto Paillé,2362,"2114, av. de la Montagne",,Shawinigan, Québec,G9N 6J7,Canada,819 539-8748,46.57025,-72.76347,,,0
Station Service Jeannot Miousse Inc,2219,743 Chemin des Caps,,Fatima, Québec,G4T 2T4,Canada,418 986-3214,47.40345,-61.90271,,,0
Station Service Carol,2200,117 Boul. De Quen,,Dolbeau-Mistassini, Québec,G8L 4R9,Canada,418 276-7050,48.88603,-72.20341,,,0
Station service  Johnny,2347,"492, Notre-Dame",,Repentigny, Québec,J6A 2T7,Canada,450 581-2002,45.75360,-73.46637,,,0
Station Serge Dumaine,2307,8730 Boulevard Saint-Michel,,Montréal, Québec,H1Z 3E9,Canada,514 728-4563,45.56860,-73.62140,,,0
Station Roger Bacon,2375,739 rue St-Jacques,,Ste-Thècle, Québec,G0X 3G0,Canada,418 289-3062,46.82249,-72.50363,,,0
Station Pierre Vir Enr.,2355,"1020, Route 204",,Ste-Rose de Watford, Québec,G0R 4G0,Canada,418 267-4545,46.34388,-70.39523,,,0
Station Pétro-T Mégantic,2463,"3592, rue Laval",,Lac Megantic, Québec,G6B 2X4,Canada,819 583-6301,45.58922,-70.90460,,,0
Station Patrick Paradis,2462,"2266, rue Laval",,Lac Megantic, Québec,G6B 2V5,Canada,819 583-0901,45.60119,-70.92497,,,0
Station Namur Inc.,2526,"906, rte 323",,Namur, Québec,J0V 1N0,Canada,819 426-2822,45.88111,-74.92716,,,0
Station Multiservices,2153,1901 Rg Bas L'Assomption Nord,,L'Assomption, Québec,J5W 2J2,Canada,450 589-7304,45.78026,-73.45189,,,0
Station M.M.C Inc.,2339,"5105, boul. Wilfrid-Hamel",,Québec, Québec,G2E 2G8,Canada,418 877-4371,46.80273,-71.33123,,,0
Station Dan Esso Service Enr,2288,"200, rue Jacques-Cartier",,Maliotenam, Québec,G0G 2B0,Canada,418 927-4748,50.21998,-66.20741,,,0
Station Calixie,2287,"1305, Sherbrooke",,Magog, Québec,J1X 2T4,Canada,,45.27448,-72.13501,,,0
Station Bon Service,2191,"1028, Kennedy",,St-Côme de Linière, Québec,G0M 1J0,Canada,418 685-2766,46.06081,-70.54944,,,0
Sagamie du Vieux Pont Inc,2250,2319 rue Saint-Jean Baptiste,,Jonquière, Québec,G8A 1W5,Canada,418 412-6882,48.41129,-71.26218,,,0
Roy & Dionne inc.,2175,"507, rue Marquis",,St-Célestin, Québec,J0C 1G0,Canada,819 229-3450,46.21342,-72.43221,,,0
Relais Saint-André,2513,"124, rue Principale",,St-André-du-Lac-St-Jean, Québec,G0W 2K0,Canada,418 349-8065,48.31603,-71.98994,,,0
R. Bouffard et Fils Inc,2315,636 Route 138,,Neuville, Québec,G0A 2R0,Canada,418 876-2018,46.69789,-71.57829,,,0
Place d`armes  automobiles inc,2180,"138, rue Dubé",,Chicoutimi, Québec,G7H 2V2,Canada,418 549-3514,48.41600,-71.06537,,,0
Pimii Plus Enr,2304,284 Queen St.,,Mistissini, Québec,G0W 1C0,Canada,418 923-2727,50.41642,-73.86471,,,0
Pièces d'autos C.M. inc.,2447,"3789, ch. Oka",,St-Joseph du Lac, Québec,J0N 1M0,Canada,450 472-7363,45.53264,-73.92427,,,0
Philippe Gosselin & Ass. Ltée,2412,"2210, boul Sir-Wilfrid Laurier",,St-Bruno de Montarville, Québec,J3V 4P6,Canada,450 690-1770,45.52024,-73.31914,,,0
Pétro-T Terrebonne,2493,"5511, boul. Laurier",,Terrebonne, Québec,J7M 1C3,Canada,450 477-8072,45.75439,-73.71009,,,0
Pétro-T Super Sagamie,2416,"970, 3ième Rue",,Chibougamau, Québec,G8P 1R6,Canada,418 748-4414,49.90584,-74.38562,,,0
Pétro-T Saint-Hubert,2440,"1450, boul. Edouard",,St-Hubert, Québec,J4T 3T2,Canada,450 462-2741,45.50325,-73.46944,,,0
Pétro-T Rocheleau,2427,"2700, rue St-Pierre",,Drummondville, Québec,J2C 0P9,Canada,819 477-4132,45.86589,-72.52432,,,0
Pétro-T Quali-T,2407,"417, boul. Adolphe-Chapleau",,Bois-des-Filion, Québec,J6Z 1H9,Canada,450 621-7766,45.66737,-73.75780,,,0
Pétro-T Candiac,2170,"59, chemin Saint-François-Xavier",,Candiac, Québec,J5R 4V4,Canada,450 638-1254,45.38319,-73.53483,,,0
Petro-T Borromée,2409,"600, rue de la Visitation",,St-Charles Borromée, Québec,J6E 4P6,Canada,450 756-1962,46.05032,-73.46603,,,0
Pétro-T Bonconseil,2408,"280, rue Notre-Dame",,Notre-Dame-Bon-Conseil, Québec,J0C 1A0,Canada,819 336-2323,45.99538,-72.34964,,,0
Petro-T Beauharnois,2404,"253, boul. Maple Grove",,Beauharnois, Québec,J6N 1L5,Canada,450 429-6201,45.31674,-73.85538,,,0
Pétroles G.B. Inc.,2343,"222, rue St-paul",,Québec, Québec,G1K 3W4,Canada,418 694-0230,46.81713,-71.20920,,,0
Pétroles  L.D.J,2256,"70, de l'Église",,Lacolle, Québec,J0J 1J0,Canada,450 246-4197,45.08659,-73.37337,,,0
Paul & Guy Boisvert,2457,"265, rue Principale",,Mansfield, Québec,J0X 1R0,Canada,819 683-2810,45.85239,-76.73323,,,0
Palli-5 inc.,2505,"1467, boul. Lionel-Boulet",,Varennes, Québec,J3X 1P7,Canada,,45.63153,-73.39008,,,0
Nordipro inc.,2480,"20335, boul. Henri-Bourassa",,Québec, Québec,G2N 1N8,Canada,418 841-4315,46.89914,-71.30489,,,0
Municipalité de Sainte-Perpetué,2475,"2197, rue St-Joseph C.P. 98",,Ste-Perpétue, Québec,J0C 1R0,Canada,819 336-6740,46.08443,-72.47058,,,0
Migneault Service JMY,2184,206 rue Vallilée,,Chute-Aux-Outardes, Québec,G0H 1C0,Canada,418 567-4211,49.12264,-68.39360,,,0
Mécanique LPG,2203,"1004, rue Principale",,St-Donat, Québec,J0T 2C0,Canada,819 424-2493,46.30808,-74.20641,,,0
Marché Soleil Chanceux,2323,329 rue Notre-Dame,,St-Pie, Québec,J0H 1W0,Canada,450 772-2468,45.50013,-72.90597,,,0
Marché Sélection inc.,2510,"174, rue Monseigneur Parenteau",,Yamaska, Québec,J0G 1W0,Canada,450 789-3074,46.01037,-72.91945,,,0
Marché René Samson 2011,2212,365 rue St-Louis,,St-Elie de Caxton, Québec,G0X 2N0,Canada,819 221-3288,46.38582,-72.89200,,,0
Marché Natashquan Inc.,2312,28 ch. d'En Haut,,Natashquan, Québec,G0G 2E0,Canada,418 726-3223,50.18477,-61.81666,,,0
Marché Lemay St-Alexis,2140,450 rue Notre-Dame,,St-Alexis des Monts, Québec,J0K 1V0,Canada,819 265-2023,46.45292,-73.14767,,,0
Marché Express Esso,2272,"3265, boul. St-Martin O",,Laval, Québec,H7T 1S2,Canada,450 686-9949,45.55703,-73.74907,,,0
Marché Express Esso,2511,"201, ch. de la Gare",,St-Sauveur, Québec,J0R 1R3,Canada,450 227-8788,45.89028,-74.14888,,,0
Marché Express Des Sources,2201,"3340, boul. des Sources",,Dollard Des Ormeaux, Québec,H9B 1Z9,Canada,514 683-4693,45.48330,-73.79687,,,0
Marché du Carrefour,2324,1 rue Granier,,Pointe-Lebel, Québec,G0H 1N0,Canada,418 589-6002,49.16126,-68.25022,,,0
Marché des Rapides,2284,"341, chemin Héroux",,St-Liguori, Québec,J0K 2X0,Canada,450 752-8385,46.01103,-73.56883,,,0
Marché Atlantide,2240,"1847, boul. Perrot bur. 100",,L'Île-Perrot, Québec,J7V 7P2,Canada,514 585-7773,45.36357,-73.87907,,,0
Manoir de l'alimentation,2525,"1161, ch. des Érables",,St-Gérard-des-Laurentides, Québec,G9R 1H8,Canada,819 539-2609,46.59850,-72.80741,,,0
Magasin Général M.G.,2258,382 rue Principale,,Lac St-Paul, Québec,J0W 1K0,Canada,819 587-3700,46.73146,-75.30960,,,0
Magasin Général G.L.R.,2405,"121, rue Principale",,Les Bergeronnes, Québec,G0T 1G0,Canada,418 232-6262,48.24991,-69.53405,,,0
Magasin Arpin,2319,"2471, Immaculée Conception",,St-Ours, Québec,J0G 1P0,Canada,450 785-2308,45.89312,-73.14808,,,0
Madeleine Automobiles enr.,2216,1401 Ch. de la Vernière,,L'Étang-du-Nord, Québec,G4T 3G1,Canada,418 986-2144,47.37237,-61.91267,,,0
M & M Mini Marché Enr.,2196,"7390, boulvard Bourque",,Deauville, Québec,J1N 3L2,Canada,,45.34162,-72.04186,,,0
Location A Pelletier Ltée,2305,233 Boul. Albiny Paquette,,Mont Laurier, Québec,J9L 1K2,Canada,819 623-3506,46.54871,-75.50592,,,0
Librex Notre-Dame,2346,183 rue Notre-Dame,,Repentigny, Québec,J6A 2R1,Canada,450 582-3110,45.71919,-73.46778,,,0
Libre-Service Cartier Inc.,2342,"1700, av. Jules-Verne",,Québec, Québec,G2G 2R1,Canada,418 861-8884,46.77687,-71.35867,,,0
Libre Service Mattawin Inc,2384,3902 Route 155,,Trois-Rives, Québec,G0X 2C0,Canada,819 646-5753,46.89985,-72.92798,,,0
Libre Service M.F. Inc.,2296,"3100, Ch. Ste-Marie",,Mascouche, Québec,J7K 1P4,Canada,450 474-4255,45.74299,-73.59869,,,0
Libre Service Fermont,2222,401 Le Carrefour,,Fermont, Québec,G0G 1J0,Canada,418 287-5252,52.79945,-67.08537,,,0
L'essentiel (Le magasin affilié),2227,"12755, 36 ième avenue",,St-Georges de Beauce, Québec,G6A 0B3,Canada,418 228-5322,46.13274,-70.64540,,,0
Les Pétroles Turmel Inc,2373,"588, route 108",,Stornoway, Québec,G0Y 1N0,Canada,,45.71160,-71.15632,,,0
Les Pétroles R. Turmel Inc.,2192,900 Craig Nord,,Cookshire-Eaton, Québec,J0B 1M0,Canada,800 449-2296,45.58595,-70.88332,,,0
Les Gestions L.P. Fillion Inc.,2501,"275, rue Jacques-Cartier",,Salaberry-de-Valleyfield, Québec,J6T 4S9,Canada,450 370-0920,45.24557,-74.12162,,,0
Les entreprises Sylvain Dostie,2237,"536, rue Principale",,St-Honoré (Beauce), Québec,G0M 1V0,Canada,,45.96056,-70.81956,,,0
Les Entreprises Rilathes Inc.,2172,325 Ch. Principal,,Cap-aux-Meules, Québec,G4T 1E2,Canada,418 986-4555,47.37796,-61.86546,,,0
Les Entreprises Nassim inc.,2453,"248, rue J. A. Paré",,Le Gardeur, Québec,J5Z 4M6,Canada,450 654-8342,45.76432,-73.47599,,,0
Les entreprises Desroches Inc,2230,"160, rue Denison",,Granby, Québec,J2G 4C3,Canada,,45.39477,-72.71257,,,0
Les Développements Gérard Brousseau Inc,2178,20800 Henri Bourassa,,Charlesbourg, Québec,G2N 1P5,Canada,418 849-3654,46.90616,-71.31889,,,0
Les Développements Gérard Brousseau Inc,2179,2080 boul. Talbot,,Charlesbourg, Québec,G0A 2S0,Canada,418 849-3329,46.93044,-71.34482,,,0
Les Développements Gérard Brousseau Inc,2260,"1144 rue Bellevue, RR2",,St-Lambert de Lévis, Québec,,Canada,418 889-8150,46.58681,-71.21855,,,0
Les Développements Gérard Brousseau Inc,2330,4750 route Ste-Geneviève,,Québec, Québec,G2B 4P1,Canada,418 843-7022,46.84436,-71.38887,,,0
Les Développements Gérard Brousseau Inc,2331,1983 boul. Bastien,,Québec, Québec,G2B 1C2,Canada,418 842-0838,46.85768,-71.33252,,,0
Les dépanneurs Sol Pal7,2524,"817, 1ère Rue",,St-Jean sur le Richelieu, Québec,J2X 3C5,Canada,450 347-7898,45.30403,-73.24126,,,0
Les Dépanneurs des Anges Inc.,2147,"9272, boul. Ste-Anne",,Ste-Anne-de-Beaupré, Québec,G0A 3C0,Canada,418 827-3621,47.01357,-70.94903,,,0
Les Carburants Mercier inc.,2465,"885, boul. Ste-Marguerite",,Mercier (Roussillon), Québec,J6R 2L1,Canada,450 691-8748,45.30552,-73.72733,,,0
Lenca Canada,2166,"55, chemin Bellevue rang 2",,St-Boniface, Québec,G0X 2L0,Canada,819 535-1567,46.52924,-72.79401,,,0
Le roi de l'alignement (1976) Ltée,2468,"9212, boul. St-Michel",,Montréal, Québec,H1Z 3G5,Canada,514 381-2961,45.57250,-73.62998,,,0
Le Rendez-Vous St-Damien,2195,"7165, route 347",,St-Damien, Québec,J0K 2E0,Canada,450 835-1395,46.33510,-73.49179,,,0
Le Rendez-Vous St-Ambroise,2145,"930, Route 343",,St-Ambroise de Kildare, Québec,J0K 1C0,Canada,450 753-1000,46.07660,-73.54976,,,0
Le Rendez-Vous Mandeville,2289,400 Rang St-Augustin,,Mandeville, Québec,J0K 1L0,Canada,450 835-5902,46.33763,-73.37198,,,0
Le Relais des Navigateurs,2197,1070 Marie-Victorin,,Deschaillons, Québec,G0S 1G0,Canada,819 292-1111,46.55567,-72.11755,,,0
Le magasin,2430,"142, rue Angus S.",,East Angus, Québec,J0B 1R0,Canada,819 832-4557,45.47579,-71.66603,,,0
Le dépanneur Esso Mirabel,2632,11500 Mtée Sainte-Marianne suite 200,,Mirabel, Québec,J7J 2A9,Canada,,45.67306,-73.93191,,,0
Le Dépanneur Caliprix,2217,507 Grande Côte,,St-Eustache, Québec,J7P 1K5,Canada,450 623-8153,45.58652,-73.85085,,,0
Lave-Auto Dépan'Express,2393,"195, rue Principale Nord",,Windsor, Québec,J1S 2E1,Canada,,45.57992,-72.01294,,,0
