store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Keller Financial Center,686,"1240 Keller Parkway, Suite 100",,Keller,TX,76248,United States,817-420-5200,32.93413,-97.225483,Mon - Thurs: 9 am - 5 pm<br />Fri: 9 am - 6 pm<br />Sat: 9 am - 2 pm,,0
Corner Store ATM,1285,5255 Davis Boulevard,,Fort Worth,TX,76180,United States,,32.84288,-97.21434,,,0
Corner Store ATM,1272,9400 White Settlement Road,,Fort Worth,TX,76108,United States,,32.760898,-97.479371,,,0
Corner Store ATM,1545,9836 White Settlement Road,,Fort Worth,TX,76108,United States,,32.759603,-97.489075,,,0
Corner Store ATM,1505,4660 Western Center Boulevard,,Haltom City,TX,76137,United States,,32.860941,-97.286491,,,0
Central Market HEB ATM,2571,1425 E. Southlake Boulevard,,Southlake,TX,76092,United States,,32.93945313,-97.13124085,,,0
Corner Store ATM,1723,500 S. Saginaw Boulevard,,Fort Worth,TX,76179,United States,,32.855043,-97.361072,,,0
Corner Store ATM,1655,1101 N. Saginaw Boulevard,,Fort Worth,TX,76179,United States,,32.87765,-97.378976,,,0
Corner Store ATM,1509,10880 N. Beach Street,,Fort Worth,TX,76248,United States,,32.93106,-97.288548,,,0
Corner Store ATM,1516,401 E. FM 1382,,Cedar Hill,TX,75104,United States,,32.592816,-96.937555,,,0
HEB ATM,2369,2950 Southmost Road,,Brownsville,TX,78521,United States,,25.90553665,-97.46472168,,,0
HEB ATM,2377,1161 N. Esplande Street,,Cuero,TX,77954,United States,,29.10161175,-97.28609003,,,0
Corner Store ATM,2957,21830 FM 2920 Rd,,Hockley,TX,77447,United States,,30.076313,-95.760523,,,0
The Woodlands Indian Springs Financial Center,2332,10767 Kuykendahl Road,,The Woodlands,TX,77382,United States,713-388-7600,30.178021,-95.536808,<p>​Mon - Thu: 9 am - 5 pm<br />Fri:  9 am - 6 pm<br />Sat: 9 am - 2 pm </p>,,0
Corner Store ATM,1284,101 E. Ennis Avenue,,Ennis,TX,75119,United States,,32.328182,-96.626314,,,0
HEB ATM,2572,1145 Waldron Road,,Corpus Christi,TX,78418,United States,,27.66532707,-97.28159332,,,0
HEB ATM,2445,12860 Research Boulevard,,Austin,TX,78750,United States,,30.43418694,-97.77226257,,,0
HEB ATM,2405,450 E. Travis Street,,La Grange,TX,78945,United States,,29.90744188,-96.87291049,,,0
HEB ATM,2425,403 S. Colorado Street,,Lockhart,TX,78644,United States,,29.88225326,-97.66985446,,,0
Corner Store ATM,1530,3036 FM 725,,New Braunfels,TX,78130,United States,,29.660013,-98.088466,,,0
HEB ATM,2561,104 Hasler Boulevard,,Bastrop,TX,78602,United States,,30.10851435,-97.33394668,,,0
Corner Store ATM,1263,1121 IH-35 W.,,New Braunfels,TX,78130,United States,,29.699556,-98.095259,,,0
Corner Store ATM,1233,570 S. Seguin Avenue,,New Braunfels,TX,78130,United States,,29.698572,-98.118165,,,0
Christus Santa Rosa Hospital ATM - New Braunfels,157,600 N. Union Avenue,,New Braunfels,TX,78130,United States,,29.714604,-98.123134,,,0
HEB ATM,2645,641 E. Hopkins Street,,San Marcos,TX,78666,United States,,29.88720322,-97.9265213,,,0
HEB ATM,2430,200 West Hopkins Street,,San Marcos,TX,78666,United States,,29.88291845,-97.9428336,,,0
HEB ATM,2441,1080 E. Highway 290,,Elgin,TX,78621,United States,,30.30655727,-97.29970023,,,0
HEB ATM,2613,5401 S. FM 1626,,Kyle,TX,78640,United States,,30.01410931,-97.8627006,,,0
HEB ATM,2554,15300 S. IH 35,,Buda,TX,78610,United States,,30.08687362,-97.82049872,,,0
Corner Store ATM,1473,110 W. Slaughter Lane,,Austin,TX,78748,United States,,30.167165,-97.787397,,,0
HEB ATM,2897,14411 RR 12,,Wimberley,TX,78676,United States,,29.996356,-98.096237,,,0
Corner Store ATM,1590,4602 E. Stassney Lane,,Austin,TX,78744,United States,,30.194008,-97.744917,,,0
Corner Store ATM,1314,6009 E. Ben White Boulevard,,Austin,TX,78741,United States,,30.212461,-97.715985,,,0
Corner Store ATM,1575,1706 E. William Cannon Drive,,Austin,TX,78744,United States,,30.188838,-97.766432,,,0
Corner Store ATM,1391,6306 E. Riverside Drive,,Austin,TX,78741,United States,,30.224973,-97.703309,,,0
HEB ATM,2636,6607 S. IH 35,,Austin,TX,78744,United States,,30.18976048,-97.77043395,,,0
HEB ATM,2634,2110 New Slaughter Lane,,Austin,TX,78748,United States,,30.174904,-97.825325,,,0
HEB ATM,2383,600 W. William Cannon Drive,,Austin,TX,78745,United States,,30.19684956,-97.7869349,,,0
Corner Store ATM,1267,2222 E. Oltorf Street,,Austin,TX,78741,United States,,30.229909,-97.731307,,,0
HEB ATM,2514,2512 E. Riverside Drive,,Austin,TX,78741,United States,,30.23462486,-97.72286224,,,0
HEB ATM,2586,2508 E. Riverside Drive,,Austin,TX,78741,United States,,30.23468077,-97.72343494,,,0
Corner Store ATM,1393,8628 Manchaca Road,,Austin,TX,78748,United States,,30.185578,-97.816546,,,0
Corner Store ATM,1671,1405 W. William Cannon Drive,,Austin,TX,78745,United States,,30.200509,-97.799429,,,0
Corner Store ATM,1401,3112 E. Cesar Chavez Street,,Austin,TX,78702,United States,,30.25191,-97.709601,,,0
Corner Store ATM,1547,3419 Slaughter Lane W.,,Austin,TX,78748,United States,,30.183148,-97.849212,,,0
HEB ATM,2435,2701 E. 7th Street,,Austin,TX,78702,United States,,30.25958443,-97.71150971,,,0
HEB ATM,2512,2400 S. Congress Avenue,,Austin,TX,78704,United States,,30.23873711,-97.75510407,,,0
Corner Store ATM,1395,4311 Springdale Road,,Austin,TX,78723,United States,,30.286154,-97.682432,,,0
Corner Store ATM,1392,8205 Brodie Lane,,Austin,TX,78745,United States,,30.201546,-97.838295,,,0
Central Market HEB ATM,2786,4477 S. Lamar Boulevard,,Austin,TX,78745,United States,,30.230808,-97.798644,,,0
HEB ATM,2415,6900 Brodie Lane,,Austin,TX,78745,United States,,30.21710587,-97.83182526,,,0
Austin Centre/Omni Hotel ATM,73,701 Brazos,,Austin,TX,78701,United States,,30.268708,-97.741183,,,0
HEB ATM,2607,7112 Ed Bluestein Boulevard,,Austin,TX,78723,United States,,30.31240463,-97.66403961,,,0
HEB ATM,2548,5800 W. Slaughter Lane,,Austin,TX,78749,United States,,30.2008419,-97.87612152,,,0
HEB ATM,2518,1801 E. 51st Street,,Austin,TX,78723,United States,,30.3023348,-97.69743897,,,0
Corner Store ATM,1389,4600 W. William Cannon Drive,,Austin,TX,78749,United States,,30.223547,-97.841977,,,0
Dell Children&#39;s Medical Center<br/>of Central Texas ATM,74,4900 Mueller Boulevard,,Austin,TX,78723,United States,,30.302684,-97.704864,,,0
HEB ATM,2411,1000 E.  41st Street,,Austin,TX,78751,United States,,30.29802315,-97.71879539,,,0
HEB ATM,2920,13810 Sawyer Ranch Rd,,Dripping Springs,TX,78620,United States,,30.153508,-98.008877,,,0
Valero ATM,2909,13810 Sawyer Ranch Road,,Dripping Springs,TX,78620,United States,,30.153508,-98.008877,,,0
Corner Store ATM,1226,3909 Guadalupe Street,,Austin,TX,78751,United States,,30.304258,-97.737199,,,0
Central Market HEB ATM,2573,4001 N. Lamar Boulevard,,Austin,TX,78756,United States,,30.30794799,-97.74130717,,,0
HEB ATM,2632,7010 Highway 71 W.,,Austin,TX,78735,United States,,30.23530036,-97.8765817,,,0
Corner Store ATM,1394,7622 W. Highway 71,,Austin,TX,78735,United States,,30.241353,-97.881405,,,0
Westminster Manor-Austin,2876,4100 Jackson Ave.,,Austin,TX,78731,United States,,30.316217,-97.755429,,,0
Corner Store ATM,1544,933 E. Rundberg Lane,,Austin,TX,78753,United States,,30.35652,-97.685249,,,0
HEB ATM,2622,5808 Burnett Road,,Austin,TX,78756,United States,,30.334398,-97.740726,,,0
Corner Store ATM,2827,12307 Dessau Road ,,Austin,TX,78754,United States,,30.387239,-97.647644,,,0
HEB ATM,2434,701 S. Capital Of Texas Highway,,Austin,TX,78746,United States,,30.292488,-97.825714,,,0
Corner Store ATM,1564,11139 N. IH-35 Suite 130,,Austin,TX,78753,United States,,30.375276,-97.676752,,,0
HEB ATM,2616,9414 N. Lamar Boulevard,,Austin,TX,78753,United States,,30.36458588,-97.69774628,,,0
