store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
,113,1309 King Street East,, Oshawa, Ontario,L1H 1J3,,905-432-9004,43.906342,-78.815467,Monday - Sunday: 10:30am to 10:00pm,,0
,120,13008 Yonge Street,, Richmond Hill, Ontario,L4E 3S8,,905-773-1988,43.946624,-79.455143,Sunday: 10:30am - 9:30pm;Monday - Saturday: 10:30am - 10:00pm,,0
,115,1290 Pembroke St. S.W.,, Pembroke, Ontario,K8A 7A2,,613-735-3279,45.833479,-77.149453,Monday - Sunday: 10:30 am- 10:00 pm,,0
,131,1289 London Road,, Sarnia, Ontario,N7S 1P5,,519-542-8252,42.979595,-82.361553,Monday to Thursday : 10:30 am- 11:00 pm;Friday and Saturday : 10:30 am- 12:00 am;Saturday: 10:30 am- 12:00 am;Sunday: 10:30 am- 11:00 pm,,0
,113,1270 Baseline Rd.,, Ottawa, Ontario,K2C 0A9,,613-224-2828,45.364403,-75.732822,Sunday - Tuesday: 1030am - 10:00 pm;Wednesday - Saturday: 10:30 am - 11:00 pm,,0
,125,1215 Muskoka Road South ,, Gravenhurst, Ontario,P1P 1K9,,705-687-0053,44.909699,-79.37033,Monday - Sunday: 10:30am - 10pm,,0
,122,121 Bowes St.,, Parry Sound, Ontario,P2A 2L8,,705-746-1011,45.342356,-80.016331,Monday to Sunday 10:30am - 9:00 pm,,0
,118,1200 Barton St. E.,, Hamilton, Ontario,L8H 2V7,,905-547-8855,43.250315,-79.810991,Monday - Thursday 10am to 10pm;Friday and Saturday 10am to 11pm;Sunday: 11am to 10pm,,0
,119,120-110 Great Lakes Drive,, Brampton, Ontario,L6R 2K7,,905-791-3223,43.734443,-79.765641,Monday to Saturday : 10:30 am- 11:00 pm; Sunday: 10:30 am- 10:00 pm,,0
,113,12 Gordon St.,, Guelph, Ontario,N1H 4G7,,519-821-1100,43.536418,-80.238594,Monday - Saturday : 10:00 am- 11:00 pm; Sunday: 11:00 am- 11:00 pm,,0
,136,1191 Lombard St.,, Smith Falls, Ontario,K7A 5B8,,613-283-5920,44.91691,-75.927795,Monday - Sunday : 10:30 am- 10:00 pm,,0
,134,1165 Chemin du Tremblay,, Longueuil, Quebec,J4N 1R4,,450-647-6000,45.535508,-73.465767,Saturday - Tuesday : 10:30 am - 10:00 pm;Wednesday - Friday : 10:30 am - 11:00 pm,,0
,112,1157 Victoria St.N.,, Kitchener, Ontario,N2B 3C8,,519-584-2880,43.468356,-80.451352,Monday to Sunday : 10:30 am- 10:00 pm,,0
,136,11509 Westgate Dr.,, Unit # 101 Westgate Home Centre, Grande Prairie,"Alberta, T8V 3B1",,780-357-9568,55.171364,-118.843489,Monday - Saturday : 10:30 am- 9:00 pm;Sunday : 10:30 am - 8:00 pm,,0
,128,1141 Division St.,, Kingston, Ontario,K7N 5W3,,613-544-7770,44.223103,-76.645249,Monday -  Sunday: 10:30 am - 10:00 pm,,0
,137,1130 Aut Chomedey,, Laval, Quebec,H7X 4C9,,450-689-9990,45.5284186289457,-73.7827205657959,Saturday - Wednesday :  10:30 am - 10:00 pm;Thursday - Friday :  10:30 am - 11:00 pm,,0
,121,Waterdown Shopping Centre,, 255 Dundas Rd. E., Waterdown,"Ontario, L0R 2H6",,905-689-3140,43.333298,-79.90893,Sunday - Thursday : 10:30 am - 11: 00 PM;Friday - Saturday 10:30 am - 11:00 pm,,0
,129,University of Western Ontario,, 1151 Richmond St., London,"Ontario, N6A 3K7",,519 661-4283,43.00946,-81.26167,Monday: 10:30 am- 10:00 pm;Tuesday: 10:30 am- 10:00 pm;Wednesday: 10:30 am- 10:00pm;Thursday: 10:30 am- 10:00 pm;Friday: 10:30 am- 10:00 pm;Saturday: 10:30 am- 10:00 pm;Sunday: 10:30 am- 10:00 pm,,0
,122,Unit 8,, 700 Strasburg Rd., Kitchener,"Ontario, N2E 2M2",,519-576-0319,43.415832,-80.479766,Monday - Wednesday: 10:00 am- 9:00pm;Thursday - Friday :  10:30 am- 10:00 pm;Saturday: 10:30 am - 9:30 pm;Sunday: 11:00 am- 9:00 pm,,0
,128,Sheridan College,, 1430 Trafalgar Rd., Oakville,"Ontario, L6H 2L1",,905-844-8532,43.469984,-79.694862,Monday: 8:00 am- 7:00 pm;Tuesday: 8:00 am- 7:00 pm;Wednesday: 8:00 am- 7:00 pm;Thursday: 8:00 am- 7:00 pm;Friday: 8:00 am- 4:00 pm;Saturday: Closed Sunday: Closed,,0
,127,R.R. #1 Hwy 8,, Huron Road, Goderich,"Ontario, N7A 3X8",,519-524-5135,43.642833,-81.70568,Monday - Sunday : 10 am - 10 pm,,0
,136,R.R. #1,, Cookstown, Ontario,L0L 1L0,,705-458-2666,44.19208,-79.622988,Monday - Saturday : 10:00 am- 9:00 pm;Sunday : 10:00 am - 6:30 pm,,0
,119,P.O. Box 601 Highway 93,, Midland, Ontario,L4R 4L3,,705-526-7115,44.749685,-79.884247,Monday - Sunday : 10:30 am - 10:00 pm,,0
,131,Ottawa MacDonald C
