store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Anniston,,1701 S Quintard Ave,,Anniston,AL,36201,United States,256-831-4740,33.6254147,-85.8264772,10am - 7pm Mon - Sat;12pm - 6pm Sun,,0
Azalea Center,,4013 Airport Blvd,,Mobile,AL,36608,United States,251-341-3349,30.6748371,-88.1503968,10am - 9pm Mon - Sat;12pm - 6pm Sun,,0
Huntsville,,930 Old Monrovia Road,,Huntsville,AL,35806,United States,256-837-4283,34.7361055,-86.6620054,10am - 8pm Mon - Sat;12pm - 6pm Sun,,0
Montgomery,,6201 Atlanta Hwy,,Montgomery,AL,36117,United States,334-271-5400,32.3828532,-86.1923855,10am - 8pm Mon - Sat;12pm - 6pm Sun,,0
Riverchase,,3650 Lorna Rd,,Hoover,AL,35216,United States,205-989-6492,33.3797069,-86.7979613,10am - 9pm Mon - Sat;12pm - 6pm Sun,,0
Trussville,,3679 Roosevelt Blvd,,Trussville,AL,35235,United States,205-661-1390,33.6103193,-86.6368839,10am - 9pm Mon - Sat;12pm - 6pm Sun,,0
Tuscaloosa,,"3215 Mcfarland Blvd., East",,Tuscaloosa,AL,35405,United States,205-556-2100,33.1794291,-87.5245154,10am - 9pm Mon - Sat;12pm - 6pm Sun,,0
Pine Bluff,,2801 E Harding Ave,,Pine Bluff,AR,71601,United States,870-536-8000,34.2096817,-91.9723022,9am - 6pm Mon - Sat;Closed Sun,,0
Rogers,,2203 Promenade Boulevard,,Rogers,AR,72758,United States,479-202-7166,36.3091069,-94.1770041,10am - 9pm Mon - Sat;12pm - 6pm Sun,,0
Shackleford Crossing,,2616 S Shackleford Rd,,Little Rock,AR,72205,United States,501-223-8435,34.7309744,-92.3995969,10am - 8pm Mon - Sat;12pm -6pm Sun,,0
Altamonte Springs,,645 W State Road 436,,Altamonte Springs,FL,32714,United States,407-774-1330,28.6626358,-81.4079962,10am - 9pm Mon - Sat;11am - 6pm Sun,,0
Atlantic,,9735 Atlantic Blvd,,Jacksonville,FL,32225,United States,904-721-7075,30.3218678,-81.5457639,10am - 9pm Mon - Sat;11am - 6pm Sun,,0
Avenues,,10464 Philips Hwy,,Jacksonville,FL,32256,United States,904-262-8801,30.1781201,-81.5523554,10am - 9pm Mon - Sat;11am - 6pm Sun,,0
Boca Raton,,6650 N. Federal Hwy.,,Boca Raton,FL,33487,United States,561-912-0117,26.408715,-80.076088,10am - 8pm Mon - Sat;11am - 6pm Sun,,0
Brandon,,1906 W Brandon Blvd,,Brandon,FL,33511,United States,813-643-2010,27.938756,-82.314989,10am - 9pm Mon - Sat;11am - 6pm Sun,,0
Cocoa,,4075 N Us Hwy 1,,Cocoa,FL,32927,United States,321-632-9556,28.4344964,-80.7604425,10am - 7pm Mon - Sat;11am - 6pm Sun,,0
Coconut Creek,,6812 N. State Rd. 7,,Coconut Creek,FL,33073,United States,954-246-2775,26.3145943,-80.2012038,10am - 9pm Mon - Sat;11am - 6pm Sun,,0
Dale Mabry,,16312 N Dale Mabry Hwy,,Tampa,FL,33618,United States,813-264-6131,28.1035132,-82.502984,10am - 9pm Mon - Sat;11am - 6pm Sun,,0
Daytona,,2600 W International Speedway,,Daytona Beach,FL,32114,United States,386-323-3772,29.1772967,-81.0829648,10am - 9pm Mon - Sat;11am - 6pm Sun,,0
East Colonial,,4545 E Colonial Dr,,Orlando,FL,32803,United States,407-228-0551,28.5535168,-81.3302859,10am - 9pm Mon - Sat;11am - 6pm Sun,,0
Fort Myers,,11798 Cleveland Ave,,Fort Myers,FL,33907,United States,239-936-2229,26.5702524,-81.8727909,10am - 9pm Mon - Sat;11am - 6pm Sun,,0
Fort Pierce,,1718 S Us-1,,Fort Pierce,FL,34950,United States,772-465-5400,27.4306957,-80.3249631,9am - 6pm Mon - Sat;11am - 6pm Sun,,0
Fort Walton Beach,,1175 Eglin Pkwy,,Shalimar,FL,32579,United States,850-651-0101,30.4408761,-86.5803402,10am - 7pm Mon - Sat;12pm - 6pm Sun,,0
Ft. Lauderdale,,3700 North Federal Hwy.,,Ft. Lauderdale,FL,33308,United States,954-453-1678,26.1734978,-80.1189081,10am - 9pm Mon - Sat;11am - 6pm Sun,,0
Kissimmee,,751 Centerview Boulevard,,Kissimmee,FL,34741,United States,407-552-0091,28.3384843,-81.4156021,10am - 9pm Mon - Sat;11am - 6pm Sun,,0
Lakeland,,4240 S Florida Ave,,Lakeland,FL,33813,United States,863-646-1463,27.9885403,-81.9564745,10am - 9pm Mon - Sat;11am - 6pm Sun,,0
Melbourne,,2800 W New Haven Ave,,Melbourne,FL,32904,United States,321-768-0019,28.0790246,-80.6682496,10am - 9pm Mon - Sat;11am - 6pm Sun,,0
Naples,,1000 Immokalee Rd Ste 50,,Naples,FL,34110,United States,239-596-1256,26.271744,-81.7977909,10am - 9pm Mon - Sat;11am - 6pm Sun,,0
North Davis Hwy Store,,6500 N Davis Hwy,,Pensacola,FL,32504,United States,850-484-3500,30.4916007,-87.2235715,10am - 9pm Mon - Sat;12pm - 6pm Sun,,0
Orange Park,,86 Blanding Blvd,,Jacksonville,FL,32073,United States,904-272-6655,30.1830581,-81.7386844,10am - 9pm Mon - Sat;11am - 6pm Sun,,0
Palm Harbor,,31594 Us-19 N,,Palm Harbor,FL,34684,United States,727-787-4177,28.0591843,-82.7396111,10am - 9pm Mon - Sat;11am - 6pm Sun,,0
Port Charlotte,,2000 Tamiami Trail Suite 225,,Port Charlotte,FL,33948,United States,941-625-0363,27.0035405,-82.1295775,10am - 8pm Mon - Sat;11am - 6pm Sun,,0
Port Richey,,8905 Us 19,,Port Richey,FL,34668,United States,727-834-9429,28.2863634,-82.7154283,10am - 9pm Mon - Sat;11am - 6pm Sun,,0
Sarasota,,8599 S Tamiami Trl,,Sarasota,FL,34238,United States,941-926-3196,27.2263838,-82.4898237,10am - 9pm Mon - Sat;11am - 6pm Sun,,0
Tallahassee,,2940 Apalachee Pkwy,,Tallahassee,FL,32301,United States,850-656-3444,30.4283408,-84.2281863,10am - 8pm Mon - Sat;11am - 6pm Sun,,0
Treasure Coast,,3534 Nw Federal Hwy,,Jensen Beach,FL,34957,United States,772-692-9214,27.2439111,-80.2723394,10am - 9pm Mon - Sat;11am - 6pm Sun,,0
Wesley Chapel,,26450 Golden Maple Loop,,Wesley Chapel,FL,33543,United States,813-994-0541,28.1897609,-82.380867,10am - 9pm Mon - Sat;11am - 6pm Sun,,0
West Palm Beach,,2501 Okeechobee Blvd,,West Palm Beach,FL,33409,United States,561-615-0049,26.7069821,-80.0908585,10am - 8pm Mon - Sat;11am - 6pm Sun,,0
