store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
,3557,1500 Mill Avenue,,Brainerd,MN,56401,United States,2188280076,46.3744,-94.1785,Mon:5:30am - 10:30pm;Tue:5:30am - 10:30pm;Wed:5:30am - 10:30pm;Thu:5:30am - 10:30pm;Fri:5:30am - 10:30pm;Sat:5:30am - 10:30pm;Sun:5:30am - 10:30pm;,,0
,107,3020 Fernbrook Lane,,Plymouth,MN,55447,United States,7635593690,45.0137,-93.4611,"24 hours, 7 days a week",,0
,100,1530 Woodland Avenue,,Duluth,MN,55803,United States,2187284544,46.8210337,-92.0745566,Mon:5:00am - 12:00am;Tue:5:00am - 12:00am;Wed:5:00am - 12:00am;Thu:5:00am - 12:00am;Fri:5:00am - 12:00am;Sat:5:00am - 12:00am;Sun:5:00am - 12:00am;,,0
,102,50 West 98th Street,,Bloomington,MN,55420,United States,9528883919,44.8269143,-93.2792651,"24 hours, 7 days a week",,0
,108,790 S Billings Blvd,,Billings,MT,59101,United States,4068961896,45.7559,-108.5362,"24 hours, 7 days a week",,0
,444,2030 Eagle Creek Lane,,Woodbury,MN,55125,United States,6514362458,44.919239,-92.901783,Mon:5:00am - 11:30pm;Tue:5:00am - 11:30pm;Wed:5:00am - 11:30pm;Thu:5:00am - 11:30pm;Fri:5:00am - 11:30pm;Sat:6:00am - 11:30pm;Sun:6:00am - 11:30pm;,,0
,446,113 58th Street W,,Williston,ND,58801,United States,7017742682,48.1974267,-103.6249141,"24 hours, 7 days a week",,0
,447,1185 S Main,,Sauk Centre,MN,56378,United States,3203526655,45.7240134,-94.9512017,"24 hours, 7 days a week",,0
,440,2255 East South Avenue,,North St. Paul,MN,55109,United States,6517704879,45.0069629,-93.005626,Mon:5:00am - 11:00pm;Tue:5:00am - 11:00pm;Wed:5:00am - 11:00pm;Thu:5:00am - 11:00pm;Fri:5:00am - 11:00pm;Sat:5:00am - 11:00pm;Sun:6:00am - 11:00pm;,,0
,441,2159 N Division Street,,North St. Paul,MN,55109,United States,6517770425,45.0063429,-92.9852767,Mon:6:00am - 11:00pm;Tue:6:00am - 11:00pm;Wed:6:00am - 11:00pm;Thu:6:00am - 11:00pm;Fri:6:00am - 11:00pm;Sat:6:00am - 11:00pm;Sun:6:00am - 11:00pm;,,0
,442,2500 W. Orleans Street,,Stillwater,MN,55082,United States,6514397438,45.0433949,-92.838712,"24 hours, 7 days a week",,0
,443,8610 E. Point Douglas Road,,Cottage Grove,MN,55016,United States,6514584118,44.817656,-92.9311461,Mon:5:00am - 11:30pm;Tue:5:00am - 11:30pm;Wed:5:00am - 11:30pm;Thu:5:00am - 11:30pm;Fri:5:00am - 11:30pm;Sat:6:00am - 11:30pm;Sun:6:00am - 11:30pm;,,0
,3587,281 N. Snelling Avenue,,St. Paul,MN,55104,United States,6516460541,44.949816,-93.1673347,"24 hours, 7 days a week",,0
,3586,7180 42nd Avenue N.,,New Hope,MN,55427,United States,7637467767,45.0331974,-93.371932,"24 hours, 7 days a week",,0
,3585,2732 County Road 10,,Moundsview,MN,55112,United States,7637921002,45.1099595,-93.2181852,"24 hours, 7 days a week",,0
,3584,16255 Ipava Avenue North,,Lakeville,MN,55044,United States,9528982771,44.7132588,-93.2603585,Mon:5:00am - 11:00pm;Tue:5:00am - 11:00pm;Wed:5:00am - 11:00pm;Thu:5:00am - 11:00pm;Fri:5:00am - 11:00pm;Sat:6:00am - 11:00pm;Sun:6:00am - 11:00pm;,,0
,639,2150 Raspberry Road,,Anchorage,AK,99502,United States,9072482352,61.1586794,-149.9231911,"24 hours, 7 days a week",,0
