store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Casa Grande,223,873 N. Promenade Pkwy.,,Casa Grande,AZ,85194,US,,32.88018,-111.68225,,,
Avondale,148,1525 Dysart Rd.,,Avondale,AZ,85323,US,,33.45937,-112.34041,,,
Chandler (Ray Rd.),153,7050 W. Ray Rd.,,Chandler,AZ,85226,US,,33.3204,-111.96413,,,
Phoenix (Camelback),232,9585 W. Camelback Rd.,,Phoenix,AZ,85037,US,,33.50809,-112.26647,,,
Chandler (Chandler & Price),164,2790 W. Chandler Blvd.,,Chandler,AZ,85224,US,,33.30639,-111.89176,,,
Chandler (Germann & Gilbert),219,2910 E. Germann Rd.,,Chandler,AZ,85249,US,,33.2812,-111.79024,,,
Tempe,195,920 E. Playa Del Norte Dr.,,Tempe,AZ,85281,US,,33.4349,-111.92543,,,
Mesa (Alma School Rd.),230,1342 S. Alma School Rd.,,Mesa,AZ,85210,US,,33.39005,-111.85768,,,
Phoenix,317,4840 N. 20th St.,,Phoenix,AZ,85016,US,,33.50715,-112.03922,,,
Gilbert,205,2449 S. Market St.,,Gilbert,AZ,85296,US,,33.30588,-111.74348,,,
Mesa,155,1650 S. Stapley Rd.,,Mesa,AZ,85204,US,,33.3834,-111.80633,,,
Phoenix (Metro Square),252,2770 W. Peoria Ave.,,Phoenix,AZ,85029,US,,33.58241,-112.11982,,,
Peoria,169,8285 W. Bell Rd.,,Peoria,AZ,85382,US,,33.63773,-112.23301,,,
Queen Creek,293,20545 E. Rittenhouse,,Queen Creek,AZ,85242,US,,33.25877,-111.64037,,,
Phoenix (27th Ave.),177,19407 N. 27th Ave.,,Phoenix,AZ,85027,US,,33.66206,-112.11673,,,
Paradise Valley,192,12413 N. Tatum,,Phoenix,AZ,85032,US,,33.59897,-111.97967,,,
Mesa (Signal Butte),218,1859 S. Signal Butte Rd.,,Mesa,AZ,85209,US,,33.38169,-111.5997,,,
Yuma,203,1940 E. 16th Street,,Yuma,AZ,85365,US,,32.69905,-114.60057,,,
Scottsdale,146,7467 Frank L Wright,,Scottsdale,AZ,85260,US,,33.63651,-111.91983,,,
Desert Ridge,160,21001 N. Tatum Blvd.,,Phoenix,AZ,85050,US,,33.67905,-111.97676,,,
Marana,210,8180 Cortaro Rd.,,Marana,AZ,85743,US,,32.35514,-111.093,,,
Phoenix (Carefree Hwy),228,34850 N. Valley Parkway,,Phoenix,AZ,85086,US,,33.80054,-112.12994,,,
Tucson,253,4620 N. Oracle Rd.,,Tucson,AZ,85705,US,,32.29045,-110.97786,,,
Oro Valley,241,11545 N. Oracle Road,,Oro Valley,AZ,85755,US,,32.41542,-110.93879,,,
Tucson,238,1979 E. Ajo Way,,Tucson,AZ,85713,US,,32.17825,-110.94288,,,
Lake Havasu City,143,81 London Bridge Rd.,,Lake Havasu City,AZ,86403,US,,34.47483,-114.34779,,,
Prescott,184,3040 Hwy. 69,,Prescott,AZ,86301,US,,34.55245,-112.40924,,,
Kingman,201,1770 E. Beverly Ave.,,Kingman,AZ,86409,US,,35.21825,-114.03694,,,
Laughlin,181,2085 Casino Dr.,,Laughlin,NV,89029,US,,35.15922,-114.57523,,,
Washington City,215,832 W. Telegraph St.,,Washington City,UT,84780,US,,37.1278,-113.52311,,,
North Las Vegas,234,6880 N. 5th Street,,North Las Vegas,NV,89084,US,,36.28523,-115.1344,,,
North Las Vegas,243,2765 E. Craig Rd.,,North Las Vegas,NV,89030,US,,36.23968,-115.11141,,,
Las Vegas (Nellis),81,51 N Nellis,,Las Vegas,NV,89110,US,,36.16083,-115.06266,,,
Henderson,150,1051 W. Sunset Rd.,,Henderson,NV,89014,US,,36.06331,-115.03392,,,
Las Vegas (Centennial),204,5690 Centennial Center Blvd.,,Las Vegas,NV,89149,US,,36.2652,-115.25707,,,
Las Vegas (Maryland Pkwy & Tropicana),88,4705 S. Maryland Pkwy.,,Las Vegas,NV,89119,US,,36.10417,-115.13758,,,
Las Vegas (Sahara),80,2900 W. Sahara Ave.,,Las Vegas,NV,89102,US,,36.14486,-115.18057,,,
Las Vegas,320,"3545 S. Las Vegas Blvd, Ste L24",,Las Vegas,NV,89109,US,,36.11744,-115.1699,,,
Las Vegas (Lake Mead Blvd.),104,1960 Rock Springs,,Las Vegas,NV,89128,US,,36.19564,-115.24654,,,
Las Vegas (Dean Martin & Tropicana),86,4888 Dean Martin Dr.,,Las Vegas,NV,89103,US,,36.10132,-115.18219,,,
Las Vegas (Eastern Ave.),165,9240 S. Eastern Ave.,,Las Vegas,NV,89123,US,,36.02139,-115.11813,,,
Las Vegas (Blue Diamond Rd.),221,3882 Blue Diamond Rd.,,Las Vegas,NV,89139,US,,36.04056,-115.19118,,,
Las Vegas (Tropicana Ave. & Tee Pee Ln.),226,9610 W. Tropicana Ave.,,Las Vegas,NV,89147,US,,36.10069,-115.30211,,,
Tucson,242,7111 E. Broadway Blvd.,,Tucson,AZ,85710,US,,32.22177,-110.84038,,,
Rockwall,264,1106 E. I-30,,Rockwall,TX,75087,US,,32.90942,-96.44848,,,
Allen,255,190 E. Stacy Rd.,,Allen,TX,75002,US,,33.1292,-96.65334,,,
Garland,269,150 Town Center Blvd.,,Garland,TX,75040,US,,32.95409,-96.61745,,,
Plano,277,2740 N. Central Expy.,,Plano,TX,75074,US,,33.03473,-96.70497,,,
Frisco,256,2800 Preston Rd.,,Frisco,TX,75034,US,,33.1018,-96.80456,,,
Dallas,259,7909 Lyndon B Johnson Fwy.,,Dallas,TX,75251,US,,32.92522,-96.77061,,,
Dallas,258,7940 N. Central Expy.,,Dallas,TX,75206,US,,32.85997,-96.76943,,,
Dallas (Addison),268,15260 Dallas Pkwy.,,Dallas,TX,75248,US,,32.95705,-96.82097,,,
The Colony,299,5298 State Highway 121,,The Colony,TX,75056,US,,33.07076,-96.87604,,,
Dallas (Midway),266,12909 Midway Rd.,,Dallas,TX,75244,US,,32.92404,-96.83873,,,
Irving,263,6501 N. Macarthur Blvd.,,Irving,TX,75039,US,,32.89691,-96.95976,,,
Lancaster,275,740 N. I-35E,,Lancaster,TX,75146,US,,32.59681,-96.8217,,,
Redding,137,1275 Dana Drive,,Redding,CA,96003,US,,40.58532,-122.3478,,,
Chico,147,2050 Business Lane,,Chico,CA,95928,US,,39.72393,-121.8068,,,
Medford,304,1970 Crater Lake Hwy.,,Medford,OR,97504,US,,42.34643,-122.88006,,,
Sparks,188,280 Pyramid Way,,Sparks,NV,89431,US,,39.53557,-119.75259,,,
Reno,186,8215 S. Virginia St.,,Reno,NV,89511,US,,39.45201,-119.77732,,,
