store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
West County Center,1353,173 West County Mall Drive,#2260 Level 2,St. Louis,MO,63131,United States,3149661066,38.6008,-90.4474,Weekday:9:30am - 9:00pm;Friday:9:30am - 9:00pm;Saturday:9:30am - 9:00pm;Sunday:10:30am - 6:00pm;,,
Schnucks - Webster Groves,1403,8650 Big Bend,,Webster Groves,MO,63119,United States,314-716-3562,38.5829,-90.3562,Weekday:8:00am - 7:00pm;Friday:8:00am - 7:00pm;Saturday:8:00am - 7:00pm;Sunday:9:30am - 7:00pm;,,
West Oak Square,1374,11477 Olive Boulevard,,Creve Coeur,MO,63141,United States,314-738-9511,38.6724,-90.4342,Weekday:8:00am - 7:00pm;Friday:8:00am - 7:00pm;Saturday:8:00am - 7:00pm;Sunday:9:00am - 7:00pm;,,
St. Louis University,1397,3700 W. Pine Mall,,St. Louis,MO,63108,United States,,38.6361,-90.2373,Weekday:Closed;Friday:Closed;Saturday:Closed;Sunday:Closed;,,
"STL - St. Louis Airport, C23",1349,10701 Lambert International,"Blvd., C23",St. Louis,MO,63145,United States,314-209-9200,38.7415,-90.3649,Weekday:6:00am - 6:00pm;Friday:6:00am - 6:00pm;Saturday:6:00am - 6:00pm;Sunday:6:00am - 6:00pm;,,
71st Street,513,10820 E. 71st Street,,Tulsa,OK,74133,United States,918-250-9696,36.0607,-95.8575,Weekday:7:00am - 8:00pm;Friday:7:00am - 8:00pm;Saturday:8:00am - 8:00pm;Sunday:9:00am - 8:00pm;,,
Kings Pointe Village,581,5956 S. Yale Ave.,,Tulsa,OK,74135,United States,918-488-9696,36.0765,-95.9225,Weekday:7:00am - 7:00pm;Friday:7:00am - 7:00pm;Saturday:8:00am - 7:00pm;Sunday:10:00am - 7:00pm;,,
Louisiana Tech University - Lambright Sports Center,3100,"100 Wisteria St.,", Student Center,Ruston,LA,71272,United States,,32.5332,-92.6513,Weekday:;Friday:;Saturday:;Sunday:;,,
St. John's Hospital,1231,800 E. Carpenter St.,,Springfield,IL,62796,United States, ,39.8059,-89.6446,Weekday:Closed;Friday:Closed;Saturday:Closed;Sunday:Closed;,,
Downtown Franklin,1422,504 W. Main St,,Franklin,TN,37064,United States,615-656-1203,35.9238,-86.8719,Weekday:7:00am - 6:30pm;Friday:7:00am - 6:30pm;Saturday:8:00am - 5:30pm;Sunday:10:00am - 6:00pm;,,
Storrs Center-Bruegger's Bage,1363,8 Royce Circle,,Mansfield,CT,06268,United States,860-429-3508,41.8053,-72.2375,Weekday:8:00am - 7:00pm;Friday:8:00am - 7:00pm;Saturday:8:00am - 7:00pm;Sunday:8:00am - 5:00pm;,,
Boston University,479,700 Commonwealth Ave.,,Boston,MA,02215,United States,617-358-5813,42.3506,-71.1096,Weekday:9:00am - 6:00pm;Friday:9:00am - 6:00pm;Saturday:11:00am - 6:00pm;Sunday:11:00am - 6:00pm;,,
Bruegger's Bagels-Bedford,1442,158-K Great Rd,,Bedford,MA,01730,United States,781-275-2237,42.4902,-71.2737,Weekday:5:30am - 7:00pm;Friday:5:30am - 7:00pm;Saturday:6:00am - 7:00pm;Sunday:6:00am - 7:00pm;,,
Bruegger's Bagels-Melrose,1438,496-498 Main Street,,Melrose,MA,02176,United States,781-665-1913,42.4552,-71.0654,Weekday:5:30am - 7:00pm;Friday:5:30am - 7:00pm;Saturday:6:00am - 7:00pm;Sunday:6:00am - 7:00pm;,,
Crossroads Plaza-Bruegger's B,1273,263 Boston Post Rd,,Orange,CT,06477,United States,2037951300,41.2666,-73.0025,Weekday:8:00am - 7:00pm;Friday:8:00am - 7:00pm;Saturday:8:00am - 7:00pm;Sunday:8:00am - 5:00pm;,,
Smith Point Plaza - Stony Brook,1333,2460 Nesconset Highway,,Stony Brook,NY,11790,United States,6316759066,40.8775,-73.1165,Weekday:7:30am - 8:00pm;Friday:7:30am - 9:00pm;Saturday:8:00am - 9:00pm;Sunday:9:00am - 7:00pm;,,
Stop and Shop - East Northport,1462,3126 Jericho Turnpike,,East Northport,NY,11731,United States,631-486-7887,40.8392,-73.3216,Weekday:8:00am - 7:00pm;Friday:8:00am - 7:00pm;Saturday:8:00am - 7:00pm;Sunday:8:00am - 7:00pm;,,
Stop and Shop - Huntington,1463,1100 E. Jericho Turnpike,,Huntington,NY,11743,United States,631-549-2374,40.8346,-73.3684,Weekday:8:00am - 7:00pm;Friday:8:00am - 7:00pm;Saturday:8:00am - 7:00pm;Sunday:8:00am - 7:00pm;,,
Syosset Town Plaza,1350,404 Jericho Turnpike,,Syosset,NY,11791,United States,5168027166,40.8104,-73.5013,Weekday:8:00am - 8:00pm;Friday:8:00am - 8:00pm;Saturday:8:00am - 8:00pm;Sunday:9:00am - 7:00pm;,,
Palisades Center Mall,1082,"4342 Palisades Center Dr.,",Space H-401,West Nyack,NY,10994,United States,845-353-1385,41.0988,-73.9569,Weekday:9:30am - 10:00pm;Friday:9:30am - 11:00pm;Saturday:9:30am - 11:00pm;Sunday:9:30am - 9:00pm;,,
Jackson Memorial Hospital,1406,901 Northwest 17th Street,,Miami,FL,33136,United States,786-899-0466,25.7919,-80.2129,Weekday:7:00am - 6:00pm;Friday:7:00am - 6:00pm;Saturday:;Sunday:;,,
Keystone Plaza,568,13505 Biscayne Blvd.,,North Miami Beach,FL,33181,United States,305-948-9919,25.9001,-80.1602,Weekday:7:00am - 10:00pm;Friday:7:00am - 10:00pm;Saturday:7:30am - 10:00pm;Sunday:8:00am - 9:30pm;,,
University of Miami,447,"1350 Miller Dr., #132",,Coral Gables,FL,33146,United States,305-284-1231,25.72,-80.2796,Weekday:8:30am - 6:30pm;Friday:8:30am - 6:30pm;Saturday:;Sunday:;,,
Greenery Mall,402,7704 N. Kendall Dr.,,Miami,FL,33156,United States,305-273-5536,25.6882,-80.3197,Weekday:7:00am - 10:00pm;Friday:7:00am - 10:00pm;Saturday:7:30am - 10:00pm;Sunday:8:00am - 9:00pm;,,
MIA - Miami International Airport ,1393,6984 NW 12th St,,Miami,FL,33126,United States,786-641-6143,25.7881,-80.2856,Weekday:7:00am - 7:00pm;Friday:7:00am - 7:00pm;Saturday:7:00am - 7:00pm;Sunday:7:00am - 7:00pm;,,
Victoria Park,656,648 N. Federal Highway,,Fort Lauderdale,FL,33304,United States,954-525-9373,26.1306,-80.1375,Weekday:7:00am - 8:30pm;Friday:7:00am - 8:30pm;Saturday:8:00am - 8:30pm;Sunday:8:00am - 7:30pm;,,
Coral Ridge Mall,657,"3200 N Federal Hwy., #607",,Fort Lauderdale,FL,33306,United States,954-630-3638,26.1683,-80.1172,Weekday:7:00am - 9:30pm;Friday:7:00am - 10:00pm;Saturday:7:30am - 10:00pm;Sunday:8:30am - 9:00pm;,,
Florida International University,1184,Graham Center- 11200 SW 8th St,,Miami,FL,33199,United States, ,25.758,-80.3748,Weekday:7:30am - 8:00pm;Friday:7:30am - 5:00pm;Saturday:;Sunday:;,,
Pembroke Lakes Square,884,"11053 Pines Blvd, Unit 422",,Hollywood,FL,33026,United States,954-437-9404,26.0077,-80.2961,Weekday:7:00am - 9:30pm;Friday:7:00am - 10:30pm;Saturday:8:00am - 10:30pm;Sunday:8:30am - 8:30pm;,,
Flamingo Falls,457,2024 N. Flamingo Rd.,,Pembroke Pines,FL,33028,United States,954-885-9050,26.025,-80.3127,Weekday:7:00am - 10:00pm;Friday:7:00am - 10:00pm;Saturday:7:30am - 10:00pm;Sunday:8:30am - 9:00pm;,,
Minnesota State University,3093,"1104 7th Ave S,"," Comstock Memorial Union, Dining Hall",Moorhead,MN,56563,United States,,46.8678,-96.7582,Weekday:;Friday:;Saturday:;Sunday:;,,
Rexburg,255,138 W. Main St.,,Rexburg,ID,83440,United States,208-359-9617,43.8262,-111.788,Weekday:7:00am - 11:00pm;Friday:7:00am - 11:00pm;Saturday:7:00am - 11:00pm;Sunday:;,,
Idaho Falls,218,1803 S. 2500 E.,,Idaho Falls,ID,83406,United States,208-542-0231,43.4809,-111.984,Weekday:7:00am - 10:00pm;Friday:7:00am - 11:00pm;Saturday:7:00am - 11:00pm;Sunday:;,,
Idaho Falls West,1423,417 S. Utah Ave,,Idaho Falls,ID,83402,United States,208-524-2348,43.4928,-112.049,Weekday:7:00am - 10:00pm;Friday:7:00am - 11:00pm;Saturday:7:00am - 11:00pm;Sunday:;,,
Pocatello,240,1103 Yellowstone Ave.,,Pocatello,ID,83201,United States,208-478-9852,42.8949,-112.451,Weekday:7:00am - 10:00pm;Friday:7:00am - 11:00pm;Saturday:8:00am - 11:00pm;Sunday:;,,
Idaho State University,1217,"797 Humbolt St,",Pond Student Union Bldg,Pocatello,ID,83209,United States, ,42.8606,-112.433,Weekday:8:00am - 2:00pm;Friday:8:00am - 2:00pm;Saturday:;Sunday:;,,
29th Street,886,"1695 29th Street, Ste. 1256",,Boulder,CO,80301,United States,720-565-0407,40.0173,-105.258,Weekday:8:00am - 8:30pm;Friday:8:00am - 8:30pm;Saturday:8:00am - 8:30pm;Sunday:8:00am - 8:00pm;,,
Boulder,101,3053 Arapahoe Ave.,,Boulder,CO,80303,United States,303-247-1170,40.0148,-105.253,Weekday:7:00am - 8:30pm;Friday:7:00am - 8:30pm;Saturday:8:00am - 8:00pm;Sunday:8:00am - 8:00pm;,,
UMC - Boulder (Univ. of CO),927,1669 Euclid Ave.,,Boulder,CO,80309,United States,303-449-5245,40.0062,-105.272,Weekday:8:30am - 6:30pm;Friday:8:30am - 5:00pm;Saturday:;Sunday:;,,
Webster Lake Promenade,1359,100 East 120th Ave,,Northglenn,CO,80233,United States,303-255-4554,39.914,-104.985,Weekday:6:00am - 9:00pm;Friday:6:00am - 9:00pm;Saturday:7:00am - 9:00pm;Sunday:8:00am - 8:00pm;,,
Bruegger's Bagels-Iowa City,1460,708 S. Riverside Dr,,Iowa City,IA,52246,United States,,41.651,-91.5399,Weekday:6:00am - 7:00pm;Friday:6:00am - 7:00pm;Saturday:6:00am - 7:00pm;Sunday:6:00am - 7:00pm;,,
401 State Street,394,401 State Street,,Madison,WI,53703,United States,608-255-5904,43.0748,-89.3919,Weekday:8:00am - 9:00pm;Friday:8:00am - 9:00pm;Saturday:8:00am - 9:00pm;Sunday:8:00am - 9:00pm;,,
Tamarack Village,1016,"8362 Tamarack Village, #123",,Woodbury,MN,55125,United States,651-731-9412,44.9434,-92.9355,Weekday:8:00am - 9:00pm;Friday:8:00am - 9:00pm;Saturday:8:00am - 9:00pm;Sunday:9:00am - 8:00pm;,,
Mall of America,1305,317 East Broadway,,Bloomington,MN,55425,United States,952-854-5540,44.8546,-93.2422,Weekday:9:00am - 9:30pm;Friday:9:00am - 9:30pm;Saturday:9:00am - 9:30pm;Sunday:10:00am - 7:00pm;,,
Grand Avenue,414,1577 Grand Ave.,,St. Paul,MN,55105,United States,651-695-0080,44.94,-93.167,Weekday:7:00am - 9:00pm;Friday:7:00am - 9:00pm;Saturday:8:00am - 9:00pm;Sunday:8:00am - 9:00pm;,,
Edina,413,7511 France Ave. South,,Edina,MN,55435,United States,952-842-9251,44.8667,-93.3285,Weekday:7:00am - 9:00pm;Friday:7:00am - 9:00pm;Saturday:8:00am - 9:00pm;Sunday:9:00am - 8:00pm;,,
University of Minnesota,713,300 Washington Ave. SE,,Minneapolis,MN,55414,United States,612-624-2738,44.9736,-93.2351,Weekday:9:00am - 6:00pm;Friday:9:00am - 6:00pm;Saturday:;Sunday:;,,
Whole Foods - Calhoun Commons,337,3060 Excelsior Blvd.,,Minneapolis,MN,55416,United States,612-836-0622,44.9475,-93.3208,Weekday:8:00am - 9:00pm;Friday:8:00am - 9:00pm;Saturday:8:00am - 9:00pm;Sunday:8:00am - 8:00pm;,,
Ridgedale Mall,1512,12401 Wayzata Blvd,,Mineetonka,MN,55305,United States,952-544-0486,44.9682,-93.4377,Weekday:10:00am - 9:00pm;Friday:10:00am - 9:00pm;Saturday:10:00am - 9:00pm;Sunday:11:00am - 6:00pm;,,
The Fountains at Arbor Lakes,1434,"11632 Fountains Dr, Suite 403",,Maple Grove,MN,55311,United States,763-703-3731,45.0934,-93.4243,Weekday:8:00am - 9:00pm;Friday:8:00am - 9:00pm;Saturday:8:00am - 9:00pm;Sunday:9:00am - 8:00pm;,,
Syracuse Airport,1376,1000 Colonel Eileen Collins,Blvd,Syracuse,NY,13212,United States,,43.1133,-76.1084,Weekday:Closed;Friday:Closed;Saturday:Closed;Sunday:Closed;,,
