store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Flower Mound,,6050 Long Prairie Road,,Flower Mound,TX,75028,United States,972-691-4900,33.0679619,-97.0800571,Mon: 11:00 am - 9:00 pm;Tues: 11:00 am - 9:00 pm; Wed: 11:00 am - 9:00 pm;Thurs: 11:00 am - 9:00 pm;Fri: 11:00 am - 10:00 pm;Sat: 11:00 am - 10:00 pm;Sun: 11:00 am - 9:00 pm,,0
Kingsport,,1700 N. Eastman Road,,Kingsport,TN,37660,United States,423-247-5646,36.5400078,-82.5243758,Mon: 11:00 am - 10:00 pm;Tues: 11:00 am - 10:00 pm; Wed: 11:00 am - 10:00 pm;Thurs: 11:00 am - 10:00 pm;Fri: 11:00 am - 11:00 pm;Sat: 11:00 am - 11:00 pm;Sun: 11:00 am - 9:00 pm,,0
Johnson City,,2111 North Roan Street,,Johnson City,TN,37601,United States,423-477-4992,36.3415382,-82.3768839,Mon: 11:00 am - 10:00 pm;Tues: 11:00 am - 10:00 pm; Wed: 11:00 am - 10:00 pm;Thurs: 11:00 am - 10:00 pm;Fri: 11:00 am - 11:00 pm;Sat: 11:00 am - 11:00 pm;Sun: 11:00 am - 9:00 pm,,0
Bristol,,408 Pinnacle Pkwy,,Bristol,TN,37620,United States,423-573-2002,36.5909637,-82.2644839,Mon: 11:00 am - 9:00 pm;Tues: 11:00 am - 9:00 pm; Wed: 11:00 am - 9:00 pm;Thurs: 11:00 am - 9:00 pm;Fri: 11:00 am - 10:00 pm;Sat: 11:00 am - 10:00 pm;Sun: 11:00 am - 9:00 pm,,0
Mooresville,,129 Gateway Blvd,,Mooresville,NC,28117,United States,704-799-9261,35.555307,-80.856636,Mon: 11:00 am - 10:00 pm;Tues: 11:00 am - 10:00 pm; Wed: 11:00 am - 10:00 pm;Thurs: 11:00 am - 10:00 pm;Fri: 11:00 am - 10:00 pm;Sat: 11:00 am - 10:00 pm;Sun: 11:00 am - 9:00 pm,,0
Concord,,9900 Poplar Tent Rd.,,Concord,NC,28027,United States,704-788-3888,35.4188597,-80.742848,Mon: 11:00 am - 10:00 pm;Tues: 11:00 am - 10:00 pm; Wed: 11:00 am - 10:00 pm;Thurs: 11:00 am - 10:00 pm;Fri: 11:00 am - 10:00 pm;Sat: 11:00 am - 10:00 pm;Sun: 11:00 am - 9:00 pm,,0
Louisville,,10600 Meeting Street,,Louisville,KY,40059,United States,502-749-8400,38.322965,-85.565822,Mon: 11:00 am - 9:00 pm;Tues: 11:00 am - 9:00 pm; Wed: 11:00 am - 9:00 pm;Thurs: 11:00 am - 9:00 pm;Fri: 11:00 am - 10:00 pm;Sat: 11:00 am - 10:00 pm;Sun: 12:00 pm - 9:00 pm,,0
Dawsonville,,355 Quill Drive,,Dawsonville,GA,30534,United States,706-216-1224,34.3488508,-84.0475668,Mon: 11:00 am - 10:00 pm;Tues: 11:00 am - 10:00 pm; Wed: 11:00 am - 10:00 pm;Thurs: 11:00 am - 10:00 pm;Fri: 11:00 am - 11:00 pm;Sat: 11:00 am - 11:00 pm;Sun: 11:00 am - 10:00 pm,,0
Dallas,,49 Hosiery Mill Road,,Dallas,GA,30157,United States,770-445-9500,33.9559006,-84.7871183,Mon: 11:00 am - 10:00 pm;Tues: 11:00 am - 10:00 pm; Wed: 11:00 am - 10:00 pm;Thurs: 11:00 am - 10:00 pm;Fri: 11:00 am - 10:00 pm;Sat: 11:00 am - 10:00 pm;Sun: 12:00 pm - 9:00 pm,,0
Dacula,,720 Dacula Road,,Dacula,GA,30019,United States,678-377-2434,34.0030708,-83.9129881,Mon: 11:00 am - 10:00 pm;Tues: 11:00 am - 10:00 pm; Wed: 11:00 am - 10:00 pm;Thurs: 11:00 am - 10:00 pm;Fri: 11:00 am - 11:00 pm;Sat: 11:00 am - 11:00 pm;Sun: 11:00 am - 10:00 pm,,0
