store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
1000 de la Gauchetiere,,"RC-05A, 1000, rue De La Gauchetière Ouest",,Montreal,Québec,H3B 4W5,United States,,45.498334,-73.566276,Monday - Friday 7am - 7pm;Saturday 12 - 7pm,,0
150 King Street,,"Unit C134, P.O. Box 70 150 King Street W",,Toronto,Ontario,M5H 1J9,United States,,43.648264,-79.384391,,,0
17th Avenue,,634-17 Avenue SW,,Calgary,Alberta,T2S 0B4,United States,,51.037942,-114.076388,Mon-Fri 8am-8pm;Sat-Sun 9am-8pm;Holidays 10am-8pm,,0
4th Street,,"1, 2015-4 Street SW",,Calgary,Alberta,T2S 1W6,United States,,51.035050,-114.071521,Mon-Fri 8am-8pm;Sat 8am-7pm;Sun 9am-7pm,,0
5th & 5th,,"#1, 605 5th Ave SW",,Calgary,Alberta,T2P 3H5,United States,,51.048463,-114.074582,Mon-Fri 7:30am-4:30pm,,0
5th Ave Place,,215 - 420 2nd Street SW,,Calgary,Alberta,T2B 0L1,United States,,51.049184,-114.066749,,,0
Abbotsford Village,,#101 - 2070 Sumas Way,,Abbotsford,British Columbia,V2S 2C7,United States,,49.040931,-122.269042,Mon-Sat 7am-8:15pm;Sun 8am-7:15pm,,0
Air Canada Centre,,"Maple Leaf Sports, 40 Bay Street",,Toronto,Ontario,M5J 2L2,United States,,43.643520,-79.379082,Game day/Event only,,0
Airport Arrivals,,"7201C, 2000 Airport Road NE, Concourse D",,Calgary,Alberta,T2E 6W5,United States,,51.134541,-114.005728,7am-11pm,,0
Airport Departures,,"2000 Airport Road NE, Concourse B",,Calgary,Alberta,T2E 6W5,United States,,51.134541,-114.005728,4:30am-6pm,,0
Angrignon,,"Unit 5410, 7077 boulevard Newman",,Lasalle,Québec,H8N 1X1,United States,,45.447110,-73.612765,,,0
Aspen Landing,,"Aspen Landing Shopping Centre, 332 Aspen Glen Landing SW, Unit #108",,Calgary,Alberta,T3H 0N5,United States,,51.040085,-114.207258,Mon-Fri 10am-8pm;Sat 10am-8pm;Sun & HOlidays 10am-7pm,,0
Bankers Hall,,"Suite 369, 315-8th Ave SW",,Calgary,Alberta,T2P 4K1,United States,,51.045198,-114.068729,Mon-Wed 8am-6pm;Thurs-Fri 8am-8pm;Sat 10am-5:30pm;Sun & Holidays Closed,,0
Bay Adelaide,,"333 Bay Street, Unit C #17",,Toronto,Ontario,M5H 2L2,United States,,43.650355,-79.380440,Mon-Fri 7:30am-6pm,,0
Bay Centre,,101 1150 Douglas Street,,Victoria,British Columbia,V8W 3M9,United States,,48.425009,-123.365663,Mon-Wed 9am-6pm;Thurs-Fri 9am-9pm;Sat-Sun 9am-6pm,,0
Bayshore,,100 Bayshore Drive,,Ottawa,Ontario,K2B 8C1,United States,,45.347904,-75.806630,Monday - Saturday - 9 AM - 9PM;Sunday -  10AM - 6PM;,,0
Bayshore (Express in Cultures),,100 Bayshore Drive,,Nepean,Ontario,K2B 8C1,United States,,45.347667,-75.806393,,,0
Bell Tower/Tour Banque Nationale,,1001 Blvd. Robert-Bourasssa Local C-28,,Montreal,Québec,H3B 4L4,United States,,45.501378,-73.566044,MOnday - Friday 8am - 5pm,,0
Bentall,,"504, #3 Bental Centre, 595 Burrard Street, P.O Box 49053",,Vancouver,British Columbia,V7X 1C4,United States,,49.286708,-123.119967,Mon-Fri 8am-5pm,,0
Bower Place,,"Unit 245, 4900 Molly Banister Dr",,Red Deer,Alberta,T4R 1N9,United States,,52.244964,-113.813706,Mon-Sat 9:30am-9pm;Sun 11am-5pm,,0
Bow Valley,,"219, 205-5 Ave SW",,Calgary,Alberta,T2P 3V1,United States,,51.048706,-114.065338,Mon-Fri 7am-4:30pm,,0
BP Centre,,"225, 240-4 Ave SW",,Calgary,Alberta,T2P 4H4,United States,,51.049475,-114.067440,Mon-Fri 7am-4pm,,0
Calgary Airport - Air Canada A,,"2000 Airport Road NE, Concourse A",,Calgary,Alberta,T2E 6W5,United States,,51.134541,-114.005728,4:30am-9pm,,0
Calgary Airport - Gate D,,"2000 Airport Road NE, Concourse B",,Calgary,Alberta,T2E 6W5,United States,,51.134541,-114.005728,4:30am-11pm,,0
Calgary Airport - Transborder,,"2000 Airport Road NE, Concourse B",,Calgary,Alberta,T2E 6W5,United States,,,,,,0
Canada Line Broadway Station,,496 West Broadway,,Vancouver,British Columbia,V5Y 4A8,United States,,49.262979,-123.114539,Mon-Fri 7:30am-8pm;Sat 9am-6pm;Sun 10am-6pm,,0
Canada Line City Centre,,702 West Georgia Street,,Vancouver,British Columbia,V7Y 1C6,United States,,49.282504,-123.118154,Mon-Fri 7am-8pm;Sat 8am-8pm;Sun 9am - 8pm,,0
