store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
KeyBank Zillah,,100 7th St,,Zillah,WA,98953,United States,(509) 829-5200,46.40125883603979,-120.25948315858841,MONDAY:9:00-17:00;TUESDAY:9:00-17:00;WEDNESDAY:9:00-17:00;THURSDAY:9:00-17:00;FRIDAY:9:00-18:00;SATURDAY: ;SUNDAY: ;,,0
KeyBank Hawks Prairie,,8303 Martin Way East,,Lacey,WA,98516,United States,(360) 438-9558,47.056422,-122.763872,MONDAY:9:00-17:00;TUESDAY:9:00-17:00;WEDNESDAY:9:00-17:00;THURSDAY:9:00-17:00;FRIDAY:9:00-18:00;SATURDAY:1:000-1330;SUNDAY: ;,,0
KeyBank Taft Corners,,300 Interstate Corp Ctr,Ste 120,Williston,VT,05495,United States,(802) 878-3004,44.44904528687727,-73.11205960345433,MONDAY:830-17:00;TUESDAY:830-17:00;WEDNESDAY:830-17:00;THURSDAY:830-17:00;FRIDAY:830-17:00;SATURDAY:830-12:00;SUNDAY: ;,,0
KeyBank West Jordan,,1435 W 9000 South,,West Jordan,UT,84088,United States,(801) 569-2348,40.587283,-111.932302,MONDAY:9:00-17:00;TUESDAY:9:00-17:00;WEDNESDAY:9:00-17:00;THURSDAY:9:00-17:00;FRIDAY:9:00-18:00;SATURDAY:9:00-12:00;SUNDAY: ;,,0
KeyBank Willow Grove Branch,,9 Easton Road,,Willow Grove,PA,19090,United States,(215) 659-6600,40.14159768288865,-75.11674495964598,MONDAY:9:00-17:00;TUESDAY:9:00-17:00;WEDNESDAY:9:00-17:00;THURSDAY:9:00-18:00;FRIDAY:9:00-19:00;SATURDAY:9:00-13:00;SUNDAY: ;,,0
KeyBank Woodburn,,941 N Pacific Hwy,,Woodburn,OR,97071,United States,(503) 981-2154,45.143304,-122.838975,MONDAY:9:00-17:00;TUESDAY:9:00-17:00;WEDNESDAY:9:00-17:00;THURSDAY:9:00-17:00;FRIDAY:9:00-18:00;SATURDAY: ;SUNDAY: ;,,0
KeyBank Liberty,,3198 Belmont Ave,,Youngstown,OH,44505,United States,(330) 759-3333,41.14089572057791,-80.665944814682,MONDAY:9:00-16:00;TUESDAY:9:00-16:00;WEDNESDAY:9:00-16:00;THURSDAY:9:00-16:00;FRIDAY:9:00-18:00;SATURDAY:9:00-13:00;SUNDAY: ;,,0
KeyBank Youngstown Branch,,421 Second St,,Youngstown,NY,14174,United States,(716) 278-2424,43.249692334725246,-79.04852039647267,MONDAY:9:00-16:00;TUESDAY:9:00-16:00;WEDNESDAY:9:00-16:00;THURSDAY:9:00-17:00;FRIDAY:9:00-17:00;SATURDAY: ;SUNDAY: ;,,0
KeyBank Westfield Branch,,10 Broad Street,,Westfield,MA,01085,United States,(413) 747-1360,42.12037721928257,-72.74826868442688,MONDAY:830-17:00;TUESDAY:830-17:00;WEDNESDAY:830-17:00;THURSDAY:830-17:00;FRIDAY:830-17:00;SATURDAY:9:00-13:00;SUNDAY: ;,,0
KeyBank Yarmouth,,188 Main St,Unit 1,Yarmouth,ME,04096,United States,(207) 846-5501,43.80019368883835,-70.18629401922226,MONDAY:830-17:00;TUESDAY:830-17:00;WEDNESDAY:830-17:00;THURSDAY:830-17:00;FRIDAY:830-17:00;SATURDAY:830-12:00;SUNDAY: ;,,0
KeyBank Zionsville,,1610 West Oak Street,,Zionsville,IN,46077,United States,(317) 733-4030,39.9506301,-86.283231,MONDAY:9:00-17:00;TUESDAY:9:00-17:00;WEDNESDAY:9:00-17:00;THURSDAY:9:00-17:00;FRIDAY:9:00-18:00;SATURDAY:9:00-12:00;SUNDAY: ;,,0
