store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
,,"Ground Floor, Commerce House 1 Mouza Dhanbad, (Mouza No. 51), Shastri Nagar,",,Dhanbad,,,India,,23.783335,86.416169,10:45 - 23:30,,0
,,"65-A, Rajpur Road",,Dehradun,,,India,,30.333715,78.050882,10:45 - 23:30,,0
,,"KFC Restaurant, Unit no 17, Grd floor",,Delhi,,,India,,28.7151080000000000,77.1162830000000000,,,0
,,"Eminent Towers, Opp to Bapuji Dental College, MCC ""B"" Block",,Davangere,,,India,,14.452686,75.91546,10:45 - 23:30,,0
,," Old Bellevue Hotel, 5A, Nehru Road, Darjeeling",,Darjeeling,,,India,,27.039513,88.280093,10:45 - 23:30,,0
,,"Osl Tower 3, Traffic Tower, Badambadi, Cuttack - 753009, Beside Kotak Mahindra Bank ATM (Map)",,Cuttack,,,India,,20.460094,85.880954,10:45 - 23:30,,0
,,"Fun Republic Mall, E-City Ventures ltd, # 474, Avinashi Road, Peelamedu",,Coimbatore,,,India,,11.025506,77.010863,10:45 - 23:30,,0
,,"Noel Focus Mall, Sea Port Air Port Road, Chittethukara, CSEZ PO",,Cochin,,,India,,10.000638,76.349628,10:45 - 23:30,,0
,,"No.208A,",,Chennai,,,India,044-33994444,13.0439820000000000,80.1837570000000000,,,0
,,"Ground Floor Piccadilly Square Mall, Sector 34 C",,Chandigarh,,,India,,30.723495,76.767567,10:45 - 23:30,,0
,,"Holiday City Centre, Bank Road, Opp. Kurusupally, Kozhikode",,Calicut,,,India,,11.259793,75.780617,10:45 - 23:30,,0
,,"Hotel New Marrion, 6, Janpath, Unit 3, Kharvel Nagar",,Bhubaneshwar,,,India,,20.27702,85.84399,10:45 - 23:30,,0
,,"3rd floor DB City Mall, Khasra No 1509 and 1511, Sanjay Nagar, Arera Hills",,Bhopal,,,India,,23.232318,77.430201,10:45 - 23:30,,0
,,"Ground floor, Surya Treasure Island Mall , Near Apollo BSR Hospital, Junwani Road",,Bhilai,,,India,,21.217719,81.322516,10:45 - 23:30,,0
,,"Ground Floor, Bhuchan Kalan Tehsil Pathana, Barnala Road",,Bhatinda,,,India,,30.222759,75.062716,10:45 - 23:30,,0
,,RMZ Ecoworld 8A The Bay Market,,Bengaluru,,,India,,12.926280,77.675990,,,0
,,"Dhillon Silicon Square, Chandigarh-Ambala National Highway",,Zirakpur,,,India,,30.619868,76.82414,10:45 - 22:30,,0
,,"JNMC Campus,Nehru Nagar",,Bengaluru,,,India,,15.884438,74.519032,10:45 - 23:30,,0
,,"Phoenix United Mall, Ground Floor Bareilly-Pilibhit Bypass Road",,Bengaluru,,,India,,28.39491,79.456992,10:45 - 23:30,,0
,,"Vaishnavi Sapphire, Tumkur Road, Next to Yeshwanthpur Railway Station, Yeshwanthpur",,Bengaluru,,,India,,13.024591,77.54855,10:45 - 23:30,,0
