store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
CHAUSSURES YELLOW,711292246,102 - 163 MONTE MASSON,,MASCOUCHE,QC,J7K 3B4,CA,(450) 4741672,45.7248954,-73.6190167,,,0
MARK'S WORK WEARHOUSE,711292749,139 Montee Masson N,,Mascouche,QC,J7K 3B4,CA,(450) 4741140,45.7233772,-73.6198116,,,0
CHAUSSURES YELLOW,711292253,1075 BOULEVARD DES SEIGNEURS,,TERREBONNE,QC,J6W 1V2,CA,(450) 4714165,45.7013642,-73.644549,,,0
CHAUSSURES RUBINO,711292231,712 BOULEVARD DES SEIGNEURS,,TERREBONNE,QC,J6W 1T6,CA,(450) 4920373,45.7026257,-73.6370899,,,0
SEARS,711293435,900 BOULEVARD GRIGNON,CARREFOUR DU NORD,ST.-JEROME,QC,J7Y 3S7,CA,,45.7944,-74.01528,,,0
SPI SECURITE JONQUIERE,711293539,60 GASTON DUMOULIN,,BLAINVILLE,QC,J7C 0A3,CA,(450) 4202012,45.67078,-73.84967,,,0
CHAUSSURES YELLOW,711292263,1145 BOULEVARD JEAN-BAPTISTE-ROLLAND O,,SAINT-JEROME,QC,J7Y 4Y7,CA,(450) 4367699,45.7698905,-74.0193378,,,0
MARK'S WORK WEARHOUSE,711292681,1035 Boul Jean-Baptiste-Rolland O,,Saint-Jerome,QC,J7Y 4Y7,CA,(450) 5653131,45.7667932,-74.019784,,,0
CHAUSSURES RUBINO,711292230,71 RUE VALMONT,,ST-JEROME,QC,J7Y 4Y2,CA,(450) 4368480,45.7573261419217,-74.0152792095126,,,0
LITTLE BURGUNDY,711292614,19001 CHEMIN NOTRE-DAME,,MIRABEL,QC,J7J 0T1,CA,(450) 9737922,45.67489,-73.9147,,,0
BROWNS SHOE SHOP,711292032,19001 CHEMIN NOTRE-DAME,,MIRABEL,QC,J7J 0T1,CA,(450) 4301930,45.67489,-73.9147,,,0
SPI SECURITE JONQUIERE,711293532,3603 MILLAR AVENUE,,SASKATOON,SK,S7P 0B2,CA,(306) 3743635,52.1892247738693,-106.646569849246,,,0
NORTHERN FACTORY WORKWEAR,711293256,3 - 602 CIRCLE DRIVE,,SASKATOON,SK,S7K 0T9,CA,(306) 6534800,52.15795,-106.64727,,,0
WORK AUTHORITY,711293828,20 - 510 CIRCLE DRIVE E,NORTH CIRCLE PLAZA,SASKATOON,SK,S7K 7C7,CA,(306) 2495524,52.15658,-106.63958,,,0
THE SHOE COMPANY,711293590,1718 PRESTON AVENUE N,,SASKATOON,SK,S7N 4Y1,CA,,52.1511607,-106.6193252,,,0
MARK'S WORK WEARHOUSE,711292795,1715 Preston Avenue N,,Saskatoon,SK,S7N 4V2,CA,(306) 4771444,52.1482484,-106.6191317,,,0
SWANK SHOE LOUNGE,711293557,157 2ND AVENUE N,,SASKATOON,SK,S7K 2A9,CA,(306) 9795775,52.1302427,-106.6633347,,,0
MARK'S WORK WEARHOUSE,711292918,300 Confederation Drive,,Saskatoon,SK,S7L 4R6,CA,(306) 3845565,52.1308608228607,-106.72215830462,,,0
SHOE WAREHOUSE,711293482,3510  8TH STREET E,,SASKATOON,SK,S7H 0W6,CA,,52.1146262790698,-106.597194418605,,,0
TRAXX FOOTWEAR,711293732,23 - 2105 8TH STREET EAST,,SASKATOON,SK,S7H 0T8,CA,(306) 9562272,52.11479,-106.5869,,,0
MARK'S WORK WEARHOUSE,711292928,3011 Clarence Avenue S,,Saskatoon,SK,S7T 0B4,CA,(306) 6532802,52.087761,-106.6454278,,,0
RONSONS,711293297,734 GRANVILLE STREET,,VANCOUVER,BC,V6Z 1E4,CA,(604) 6820795,49.2820818367347,-123.118709387755,,,0
BROWNS SHOE SHOP,711292074,725 GRANVILLE STREET,,VANCOUVER,BC,V7Y 1G5,CA,(604) 8911403,49.2821930612245,-123.118538979592,,,0
BROWNS SHOE SHOP,711292073,701 GEORGIA STREET W,,VANCOUVER,BC,V7Y 1G5,CA,(604) 6320102,49.28246,-123.11813,,,0
LITTLE BURGUNDY,711292633,701 WEST GEORGIA STREET,,VANCOUVER,BC,V7Y 1A1,CA,(604) 6840031,49.28246,-123.11813,,,0
LITTLE BURGUNDY,711292606,1035 ROBSON STREET,,VANCOUVER,BC,V6E 1A9,CA,(778) 3289757,49.2837410204082,-123.123458571429,,,0
