store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Kum & Go,0779,3807 Miller St,,Bethany,MO,64424,US,660-425-2107,40.265377,-94.01492,Monday:12:00 AM - 11:59 PM;Tuesday:12:00 AM - 11:59 PM;Wednesday:12:00 AM - 11:59 PM;Thursday:12:00 AM - 11:59 PM;Friday:12:00 AM - 11:59 PM;Saturday:12:00 AM - 11:59 PM;Sunday:12:00 AM - 11:59 PM;,,0
Kum & Go,0004,2091 E Main St,,Lamoni,IA,50140,US,641-784-7400,40.623436,-93.8961945,Monday:12:00 AM - 11:59 PM;Tuesday:12:00 AM - 11:59 PM;Wednesday:12:00 AM - 11:59 PM;Thursday:12:00 AM - 11:59 PM;Friday:12:00 AM - 11:59 PM;Saturday:12:00 AM - 11:59 PM;Sunday:12:00 AM - 11:59 PM;,,0
Kum & Go,0778,1102 S US Highway 169,,Smithville,MO,64089,US,,39.3691177,-94.58381,Monday:12:00 AM - 11:59 PM;Tuesday:12:00 AM - 11:59 PM;Wednesday:12:00 AM - 11:59 PM;Thursday:12:00 AM - 11:59 PM;Friday:12:00 AM - 11:59 PM;Saturday:12:00 AM - 11:59 PM;Sunday:12:00 AM - 11:59 PM;,,0
Kum & Go,0043,1453 County Highway G76,,New Virginia,IA,50210,US,641-449-3490,41.17709,-93.78159,Monday:12:00 AM - 11:59 PM;Tuesday:12:00 AM - 11:59 PM;Wednesday:12:00 AM - 11:59 PM;Thursday:12:00 AM - 11:59 PM;Friday:12:00 AM - 11:59 PM;Saturday:12:00 AM - 11:59 PM;Sunday:12:00 AM - 11:59 PM;,,0
Kum & Go,0246,111 E Jefferson,,Winterset,IA,50273,US,515-462-5860,41.33603,-94.01273,Monday:12:00 AM - 11:59 PM;Tuesday:12:00 AM - 11:59 PM;Wednesday:12:00 AM - 11:59 PM;Thursday:12:00 AM - 11:59 PM;Friday:12:00 AM - 11:59 PM;Saturday:12:00 AM - 11:59 PM;Sunday:12:00 AM - 11:59 PM;,,0
Kum & Go,1056,101 E IA Highway 92,,Bevington,IA,50033,US,515-468-4102,41.36016,-93.79181,Monday:12:00 AM - 11:59 PM;Tuesday:12:00 AM - 11:59 PM;Wednesday:12:00 AM - 11:59 PM;Thursday:12:00 AM - 11:59 PM;Friday:12:00 AM - 11:59 PM;Saturday:12:00 AM - 11:59 PM;Sunday:12:00 AM - 11:59 PM;,,0
Kum & Go,0240,530 North Ave,,Norwalk,IA,50211,US,515-981-0617,41.4752769,-93.68178,Monday:12:00 AM - 11:59 PM;Tuesday:12:00 AM - 11:59 PM;Wednesday:12:00 AM - 11:59 PM;Thursday:12:00 AM - 11:59 PM;Friday:12:00 AM - 11:59 PM;Saturday:12:00 AM - 11:59 PM;Sunday:12:00 AM - 11:59 PM;,,0
Kum & Go,0028,2991 Sunset Dr,,Norwalk,IA,50211,US,515-287-2953,41.4968033,-93.67447,Monday:12:00 AM - 11:59 PM;Tuesday:12:00 AM - 11:59 PM;Wednesday:12:00 AM - 11:59 PM;Thursday:12:00 AM - 11:59 PM;Friday:12:00 AM - 11:59 PM;Saturday:12:00 AM - 11:59 PM;Sunday:12:00 AM - 11:59 PM;,,0
Kum & Go,0120,6304 SW 9th St,,Des Moines,IA,50315,US,515-953-5210,41.52725,-93.626353,Monday:12:00 AM - 11:59 PM;Tuesday:12:00 AM - 11:59 PM;Wednesday:12:00 AM - 11:59 PM;Thursday:12:00 AM - 11:59 PM;Friday:12:00 AM - 11:59 PM;Saturday:12:00 AM - 11:59 PM;Sunday:12:00 AM - 11:59 PM;,,0
Kum & Go,0204,710 N Broadway St,,Red Oak,IA,51566,US,,41.01061,-95.23256,Monday:12:00 AM - 11:59 PM;Tuesday:12:00 AM - 11:59 PM;Wednesday:12:00 AM - 11:59 PM;Thursday:12:00 AM - 11:59 PM;Friday:12:00 AM - 11:59 PM;Saturday:12:00 AM - 11:59 PM;Sunday:12:00 AM - 11:59 PM;,,0
Kum & Go,0573,5830 SE 14th St,,Des Moines,IA,50315,US,515-287-9905,41.5329,-93.5972061,Monday:12:00 AM - 11:59 PM;Tuesday:12:00 AM - 11:59 PM;Wednesday:12:00 AM - 11:59 PM;Thursday:12:00 AM - 11:59 PM;Friday:12:00 AM - 11:59 PM;Saturday:12:00 AM - 11:59 PM;Sunday:12:00 AM - 11:59 PM;,,0
Kum & Go,0095,1203 Guthrie St,,De Soto,IA,50069,US,515-834-2500,41.53867,-94.0120544,Monday:12:00 AM - 11:59 PM;Tuesday:12:00 AM - 11:59 PM;Wednesday:12:00 AM - 11:59 PM;Thursday:12:00 AM - 11:59 PM;Friday:12:00 AM - 11:59 PM;Saturday:12:00 AM - 11:59 PM;Sunday:12:00 AM - 11:59 PM;,,0
Kum & Go,0194,4001 SW 9th St,,Des Moines,IA,50315,US,,41.54816,-93.62566,Monday:12:00 AM - 11:59 PM;Tuesday:12:00 AM - 11:59 PM;Wednesday:12:00 AM - 11:59 PM;Thursday:12:00 AM - 11:59 PM;Friday:12:00 AM - 11:59 PM;Saturday:12:00 AM - 11:59 PM;Sunday:12:00 AM - 11:59 PM;,,0
Kum & Go,0510,629 S Division St,,Stuart,IA,50250,US,515-523-1136,41.49615,-94.31825,Monday:12:00 AM - 11:59 PM;Tuesday:12:00 AM - 11:59 PM;Wednesday:12:00 AM - 11:59 PM;Thursday:12:00 AM - 11:59 PM;Friday:12:00 AM - 11:59 PM;Saturday:12:00 AM - 11:59 PM;Sunday:12:00 AM - 11:59 PM;,,0
Kum & Go,0050,745 S 51st St,,West Des Moines,IA,50265,US,,41.5590172,-93.77287,Monday:12:00 AM - 11:59 PM;Tuesday:12:00 AM - 11:59 PM;Wednesday:12:00 AM - 11:59 PM;Thursday:12:00 AM - 11:59 PM;Friday:12:00 AM - 11:59 PM;Saturday:12:00 AM - 11:59 PM;Sunday:12:00 AM - 11:59 PM;,,0
Kum & Go,0532,5901 Mills Civic Pkwy,,West Des Moines,IA,50266,US,515-267-9514,41.55993,-93.78749,Monday:12:00 AM - 11:59 PM;Tuesday:12:00 AM - 11:59 PM;Wednesday:12:00 AM - 11:59 PM;Thursday:12:00 AM - 11:59 PM;Friday:12:00 AM - 11:59 PM;Saturday:12:00 AM - 11:59 PM;Sunday:12:00 AM - 11:59 PM;,,0
Kum & Go,0208,3200 SE 14th St,,Des Moines,IA,50320,US,,41.5552025,-93.59734,Monday:12:00 AM - 11:59 PM;Tuesday:12:00 AM - 11:59 PM;Wednesday:12:00 AM - 11:59 PM;Thursday:12:00 AM - 11:59 PM;Friday:12:00 AM - 11:59 PM;Saturday:12:00 AM - 11:59 PM;Sunday:12:00 AM - 11:59 PM;,,0
Kum & Go,0059,400 Prairie Bluff Dr,,Waukee,IA,50263,US,515-216-2177,41.56489,-93.87957,Monday:12:00 AM - 11:59 PM;Tuesday:12:00 AM - 11:59 PM;Wednesday:12:00 AM - 11:59 PM;Thursday:12:00 AM - 11:59 PM;Friday:12:00 AM - 11:59 PM;Saturday:12:00 AM - 11:59 PM;Sunday:12:00 AM - 11:59 PM;,,0
Kum & Go,0074,141 S Jordan Creek Pkwy,,West Des Moines,IA,50266,US,515-221-3536,41.5678,-93.8101654,Monday:12:00 AM - 11:59 PM;Tuesday:12:00 AM - 11:59 PM;Wednesday:12:00 AM - 11:59 PM;Thursday:12:00 AM - 11:59 PM;Friday:12:00 AM - 11:59 PM;Saturday:12:00 AM - 11:59 PM;Sunday:12:00 AM - 11:59 PM;,,0
Kum & Go,0576,3501 EP True Pkwy,,West Des Moines,IA,50265,US,515-223-6125,41.57043,-93.7525558,Monday:12:00 AM - 11:59 PM;Tuesday:12:00 AM - 11:59 PM;Wednesday:12:00 AM - 11:59 PM;Thursday:12:00 AM - 11:59 PM;Friday:12:00 AM - 11:59 PM;Saturday:12:00 AM - 11:59 PM;Sunday:12:00 AM - 11:59 PM;,,0
Kum & Go,1097,220 50th St,,West Des Moines,IA,50265,US,515-223-0591,41.57192,-93.77135,Monday:12:00 AM - 11:59 PM;Tuesday:12:00 AM - 11:59 PM;Wednesday:12:00 AM - 11:59 PM;Thursday:12:00 AM - 11:59 PM;Friday:12:00 AM - 11:59 PM;Saturday:12:00 AM - 11:59 PM;Sunday:12:00 AM - 11:59 PM;,,0
Kum & Go,0540,3105 Grand Prairie Pkwy,,Waukee,IA,50263,US,515-987-0685,41.57203,-93.85274,Monday:12:00 AM - 11:59 PM;Tuesday:12:00 AM - 11:59 PM;Wednesday:12:00 AM - 11:59 PM;Thursday:12:00 AM - 11:59 PM;Friday:12:00 AM - 11:59 PM;Saturday:12:00 AM - 11:59 PM;Sunday:12:00 AM - 11:59 PM;,,0
Kum & Go,2091,5969 Ashworth Rd,,West Des Moines,IA,50266,US,515-226-8361,41.5850143,-93.78975,Monday:12:00 AM - 11:59 PM;Tuesday:12:00 AM - 11:59 PM;Wednesday:12:00 AM - 11:59 PM;Thursday:12:00 AM - 11:59 PM;Friday:12:00 AM - 11:59 PM;Saturday:12:00 AM - 11:59 PM;Sunday:12:00 AM - 11:59 PM;,,0
Kum & Go,2035,7265 Vista Dr,,West Des Moines,IA,50266,US,,41.5894279,-93.80785,Monday:12:00 AM - 11:59 PM;Tuesday:12:00 AM - 11:59 PM;Wednesday:12:00 AM - 11:59 PM;Thursday:12:00 AM - 11:59 PM;Friday:12:00 AM - 11:59 PM;Saturday:12:00 AM - 11:59 PM;Sunday:12:00 AM - 11:59 PM;,,0
Kum & Go,1273,1201 N Market St,,Oskaloosa,IA,52577,US,,41.30524,-92.6456146,Monday:12:00 AM - 11:59 PM;Tuesday:12:00 AM - 11:59 PM;Wednesday:12:00 AM - 11:59 PM;Thursday:12:00 AM - 11:59 PM;Friday:12:00 AM - 11:59 PM;Saturday:12:00 AM - 11:59 PM;Sunday:12:00 AM - 11:59 PM;,,0
Kum & Go,0008,1293 8th St,,West Des Moines,IA,50265,US,515-327-8939,41.5905876,-93.71291,Monday:12:00 AM - 11:59 PM;Tuesday:12:00 AM - 11:59 PM;Wednesday:12:00 AM - 11:59 PM;Thursday:12:00 AM - 11:59 PM;Friday:12:00 AM - 11:59 PM;Saturday:12:00 AM - 11:59 PM;Sunday:12:00 AM - 11:59 PM;,,0
Kum & Go,0536,1300 Keo Way,,Des Moines,IA,50309,US,515-244-0355,41.59384,-93.63443,Monday:12:00 AM - 11:59 PM;Tuesday:12:00 AM - 11:59 PM;Wednesday:12:00 AM - 11:59 PM;Thursday:12:00 AM - 11:59 PM;Friday:12:00 AM - 11:59 PM;Saturday:12:00 AM - 11:59 PM;Sunday:12:00 AM - 11:59 PM;,,0
Kum & Go,0066,5308 University Ave,,West Des Moines,IA,50266,US,,41.6002,-93.7792358,Monday:12:00 AM - 11:59 PM;Tuesday:12:00 AM - 11:59 PM;Wednesday:12:00 AM - 11:59 PM;Thursday:12:00 AM - 11:59 PM;Friday:12:00 AM - 11:59 PM;Saturday:12:00 AM - 11:59 PM;Sunday:12:00 AM - 11:59 PM;,,0
Kum & Go,0075,350 SE University Ave,,Waukee,IA,50263,US,515-987-3281,41.599987,-93.86535,Monday:12:00 AM - 11:59 PM;Tuesday:12:00 AM - 11:59 PM;Wednesday:12:00 AM - 11:59 PM;Thursday:12:00 AM - 11:59 PM;Friday:12:00 AM - 11:59 PM;Saturday:12:00 AM - 11:59 PM;Sunday:12:00 AM - 11:59 PM;,,0
Kum & Go,4098,7229 University Ave,,Windsor Heights,IA,50311,US,515-279-0691,41.60061,-93.71773,Monday:12:00 AM - 11:59 PM;Tuesday:12:00 AM - 11:59 PM;Wednesday:12:00 AM - 11:59 PM;Thursday:12:00 AM - 11:59 PM;Friday:12:00 AM - 11:59 PM;Saturday:12:00 AM - 11:59 PM;Sunday:12:00 AM - 11:59 PM;,,0
Kum & Go,2731,3104 University Ave,,Des Moines,IA,50311,US,515-255-6711,41.60025,-93.65951,Monday:12:00 AM - 11:59 PM;Tuesday:12:00 AM - 11:59 PM;Wednesday:12:00 AM - 11:59 PM;Thursday:12:00 AM - 11:59 PM;Friday:12:00 AM - 11:59 PM;Saturday:12:00 AM - 11:59 PM;Sunday:12:00 AM - 11:59 PM;,,0
