store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Loaf 'N Jug,00156,305 N Federal Blvd,,Riverton,WY,82501,United States,3078560217,43.0270195,-108.3801651,fridayOpen:07:00;thursdayClose:07:00;recordId:67300156;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Smith's,00183,1200 W Main St,,Riverton,WY,82501,United States,3078564931,43.0255124,-108.4090145,fridayOpen:06:00;thursdayClose:00:00;recordId:70600183;wednesdayOpen:06:00;thursdayOpen:06:00;tuesdayOpen:06:00;wednesdayClose:00:00;saturdayOpen:06:00;mondayOpen:06:00;tuesdayClose:00:00;fridayClose:00:00;mondayClose:00:00;saturdayClose:00:00;sundayClose:00:00;sundayOpen:06:00;,,
Loaf 'N Jug,00103,285 Honeysuckle St,,Casper,WY,82604,United States,3072656946,42.8109855,-106.4019317,fridayOpen:07:00;thursdayClose:07:00;recordId:67300103;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Loaf 'N Jug,00114,4603 W. Yellowstone,,Mills,WY,82644,United States,3072666851,42.8503074,-106.3825836,fridayOpen:07:00;thursdayClose:07:00;recordId:67300114;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Loaf 'N Jug,00155,195 Main St,,Lander,WY,82520,United States,3073326216,42.8326074,-108.7289388,fridayOpen:07:00;thursdayClose:07:00;recordId:67300155;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Loaf 'N Jug,00110,3597 Salt Creek Hwy,,Casper,WY,82601,United States,3072356261,42.8978538,-106.3429412,fridayOpen:07:00;thursdayClose:07:00;recordId:67300110;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Loaf 'N Jug,00104,2400 Cy Ave,,Casper,WY,82604,United States,3072350238,42.8291447,-106.353366,fridayOpen:07:00;thursdayClose:07:00;recordId:67300104;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Smith's,00185,2405 Cy Ave,,Casper,WY,82604,United States,3072666242,42.8279296,-106.3530667,fridayOpen:06:00;thursdayClose:00:00;recordId:70600185;wednesdayOpen:06:00;thursdayOpen:06:00;tuesdayOpen:06:00;wednesdayClose:00:00;saturdayOpen:06:00;mondayOpen:06:00;tuesdayClose:00:00;fridayClose:00:00;mondayClose:00:00;saturdayClose:00:00;sundayClose:00:00;sundayOpen:06:00;,,
Loaf 'N Jug,00130,938 S Poplar St,,Casper,WY,82601,United States,3074732160,42.8413407,-106.3370997,fridayOpen:07:00;thursdayClose:07:00;recordId:67300130;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Loaf 'N Jug,00106,4380 S Poplar St,,Casper,WY,82601,United States,3072651941,42.8074678,-106.3445368,fridayOpen:07:00;thursdayClose:07:00;recordId:67300106;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
