store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Land Rover Jackson,,5320 I 55 North,,Jackson,MS,39211-4026,United States,(855) 253-2996,32.37485,-90.14785,,,0
Land Rover Oklahoma City,,13010 Broadway Ext Oklahoma,,City,OK,73114-2243,United States,(866) 985-3709,35.57407,-97.52327,,,0
Land Rover Oklahoma City,,13004 Broadway Ext Oklahoma,,City,OK,73114-2243,United States,(866) 985-3709,35.60543,-97.50052,,,0
Land Rover Tulsa,,3905 S Memorial Dr,,Tulsa,OK,74145-4833,United States,(877) 256-0899,36.10701,-95.88597,,,0
Land Rover Wilmington,,4310 Kirkwood Hwy,,Wilmington,DE,19808-5114,United States,(888) 919-3095,39.72745,-75.6509,,,0
Land Rover Minneapolis,,8905 Wayzata Blvd Golden,,Valley,MN,55426-1305,United States,(855) 306-3136,44.97387,-93.39511,,,0
Land Rover Chicago,,1924 N Paulina St,,Chicago,IL,60622-1127,United States,(888) 668-0258,41.91726,-87.6704,,,0
Land Rover Hinsdale,,300 E Ogden Ave,,Hinsdale,IL,60521-3609,United States,(888) 919-0845,41.81706,-87.92273,,,0
Land Rover Hoffman Estates,,1051 W Higgins Rd Hoffman,,Estates,IL,60169-4205,United States,(888) 919-0854,42.05103,-88.10545,,,0
Land Rover Lake Bluff,,375 Skokie Hwy Lake,,Bluff,IL,60044-2209,United States,(888) 919-1586,42.27441,-87.86762,,,0
Land Rover Naperville,,1559 W Ogden Ave,,Naperville,IL,60540-3906,United States,(888) 919-2612,41.77025,-88.18637,,,0
Land Rover Northfield,,670 W Frontage Rd,,Northfield,IL,60093-1254,United States,(888) 919-4059,42.10935,-87.7747,,,0
Land Rover Orland Park,,8031 W 159th Street Tinley,,Park,IL,60477-1214,United States,(888) 919-2696,41.60341,-87.81475,,,0
Land Rover Peoria,,7300 N Allen Rd,,Peoria,IL,61614-1109,United States,(855) 247-8979,40.7778,-89.6312,,,0
Patrick Jaguar Collision Center,,1559 W Ogden Ave,,Naperville,IL,60540-3906,United States,(630) 300-5000,41.77025,-88.18637,,,0
