store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
,3918,7632 W. 150th St.,,Apple Valley,MN,55124,United States,952-997-7140,44.731911,-93.219406,11.00 AM- 9.00 PM Daily,,0
,3919,Upper Level Concourse A/B,,Baltimore,MD,21240,United States,410-487-6598,39.177402,-76.668388,11.00 AM- 9.00 PM Daily,,0
,3921,1450 109th Ave NE,,Blaine,MN,55449,United States,763-367-7970,45.167599,-93.233200,11.00 AM- 9.00 PM Daily,,0
,3920,101 89th Ave. N.E.,,Blaine,MN,55434,United States,763-792-4622,45.132236,-93.263374,11.00 AM- 9.00 PM Daily,,0
,3922,9727 Lyndale Ave. S.,,Bloomington,MN,55420,United States,952-888-2717,44.827763,-93.287445,11.00 AM- 9.00 PM Daily,,0
,3923,5711 Xerxes Ave. N.,,Brooklyn Center,MN,55430,United States,763-561-9020,45.058899,-93.321060,11.00 AM- 9.00 PM Daily,,0
,3924,8061 Brooklyn Blvd.,,Brooklyn Park,MN,55445,United States,763-391-6474,45.094025,-93.380653,11.00 AM- 9.00 PM Daily,,0
,3925,14023 Aldrich Ave. S.,,Burnsville,MN,55337,United States,952-898-3303,44.749222,-93.287415,11.00 AM- 9.00 PM Daily,,0
,4126,"11219 Aquila Dr N,",,Champlin,MN,55316,United States,763-323-0507,45.158714,-93.390648,11.00 AM- 9.00 PM Daily,,0
,3926,963 W. 78th St.,,Chanhassen,MN,55317,United States,952-474-2080,44.862362,-93.545990,11.00 AM- 9.00 PM Daily,,0
,3927,40 S 7th St,,Minneapolis,MN,55402,United States,612-355-2222,44.977051,-93.273506,,,0
,3928,13060 Riverdale Dr.,,Coon Rapids,MN,55448,United States,763-421-4151,45.208347,-93.359886,11.00 Am- 9.00 PM Daily,,0
,3930,2071 Cliff Road,,Eagan,MN,55122,United States,651-328-8298,44.790638,-93.211273,11.00 AM- 9.00 PM Daily,,0
,3931,3450 Pilot Knob Road,,Eagan,MN,55122-1311,United States,651-366-6700,44.832718,-93.166542,11.00 AM- 9.00 PM Daily,,0
