store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Littman Jewelers,00952,5580 Goods Ln Ste 2108,,Altoona,PA,16602,United States,8149418423,40.469126,-78.411944,fridayOpen:10:00;thursdayClose:21:00;recordId:70200952;wednesdayOpen:10:00;thursdayOpen:10:00;tuesdayOpen:10:00;wednesdayClose:21:00;saturdayOpen:10:00;mondayOpen:10:00;tuesdayClose:21:00;fridayClose:21:00;mondayClose:21:00;saturdayClose:21:00;sundayClose:18:00;sundayOpen:12:00;,,
Turkey Hill,00201,2688 Euclid Ave,,Duboistown,PA,17702,United States,5703267350,41.2228448,-77.0364761,fridayOpen:07:00;thursdayClose:07:00;recordId:67000201;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Turkey Hill,00238,3106 Everett Rd,,East Freedom,PA,16637,United States,8146953533,40.3673583,-78.4276487,fridayOpen:07:00;thursdayClose:07:00;recordId:67000238;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Turkey Hill,00256,7637 Woodbury Pike,,Roaring Spring,PA,16673,United States,8142245084,40.3368307,-78.3909762,fridayOpen:05:30;thursdayClose:00:00;recordId:67000256;wednesdayOpen:05:30;thursdayOpen:05:30;tuesdayOpen:05:30;wednesdayClose:00:00;saturdayOpen:05:30;mondayOpen:05:30;tuesdayClose:00:00;fridayClose:00:00;mondayClose:00:00;saturdayClose:00:00;sundayClose:00:00;sundayOpen:05:30;,,
Turkey Hill,00210,700 Washington Blvd,,Williamsport,PA,17701,United States,5703279190,41.2476009,-76.9905151,fridayOpen:07:00;thursdayClose:07:00;recordId:67000210;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Turkey Hill,00309,1980 N. Susquehanna Trail,,Selinsgrove,PA,17870,United States,5707437135,40.8349724,-76.8349609,fridayOpen:07:00;thursdayClose:07:00;recordId:67000309;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Turkey Hill,00208,854 Mahoning St,,Milton,PA,17847,United States,5707422680,41.0102777,-76.8391956,fridayOpen:07:00;thursdayClose:07:00;recordId:67000208;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Turkey Hill,00211,300 Broad St,,Montoursville,PA,17754,United States,5703688005,41.2496931,-76.9276106,fridayOpen:07:00;thursdayClose:07:00;recordId:67000211;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Turkey Hill,00202,276 State Route 87,,Montoursville,PA,17754,United States,5704334533,41.2660847,-76.9130294,fridayOpen:05:00;thursdayClose:00:00;recordId:67000202;wednesdayOpen:05:00;thursdayOpen:05:00;tuesdayOpen:05:00;wednesdayClose:00:00;saturdayOpen:05:00;mondayOpen:05:00;tuesdayClose:00:00;fridayClose:00:00;mondayClose:00:00;saturdayClose:00:00;sundayClose:00:00;sundayOpen:05:00;,,
Turkey Hill,00209,501 N. Front St.,,Sunbury,PA,17801,United States,5702863166,40.8689615,-76.7941868,fridayOpen:07:00;thursdayClose:07:00;recordId:67000209;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
