store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Ft. Riley,107,Ft. Riley Food Court 2,Bldg. 2210 Trooper Drive,Ft. Riley,KS,66442,U.S.A.,,39.0639194,-96.8268685,,,0
DFW Int&#039;l Airport C,70,Terminal C,Gate 22,DFW Airport,TX,75261,U.S.A.,,32.890396,-97.0376564,,,0
Dallas Love Field Airport,121,LoveField Airport Term. Bldg- Space,8008 Cedar Springs Road,Dallas,TX,75235,U.S.A.,,32.8442137,-96.8494962,,,0
Irving Mall,62,3845 Irving Mall,Unit V-17,Irving,TX,75062-5159,U.S.A.,,32.8411087,-96.9945135,,,0
Post Oak Mall,63,1500 Harvey Road,,College Station,TX,77840,U.S.A.,,30.623971,-96.304156,,,0
EXCHANGE Peterson AFB,95,1030 E. Stewart Avenue,Food Court Bldg. 2017,Colorado Springs,CO,80914,U.S.A.,,38.8212278,-104.7141792,,,0
Louis Joliet Mall,66,3340 Mall Loop Drive,Unit #FC5,Joliet,IL,60431,U.S.A.,,41.5119669,-88.1827931,,,0
Apache Mall,61,210 Apache Mall,,Rochester,MN,55902,U.S.A.,,44.0036169,-92.4819297,,,0
Chicago O&#039;Hare Airport Terminal 1,85,Fast Lane Food Court,Space T6,Chicago,IL,60666,U.S.A.,,41.9849481,-87.9089623,,,0
Chicago O&#039;Hare Airport Terminal 2,86,Rotunda Building,c/o Main Street Food Court Space R3,Chicago,IL,60666,U.S.A.,,41.9849481,-87.9089623,,,0
Chicago O&#039;Hare Airport-Terminal 3,87,H/K Terminal Food Court,Bldg. 6- O&#039;Hare Field,Chicago,IL,60666,U.S.A.,,41.9849481,-87.9089623,,,0
Lincolnwood Town Center,65,3333 West Touhy Avenue,,Lincolnwood,IL,60645,U.S.A.,,42.012145,-87.6961559,,,0
Riverchase Galleria Mall,59,2009 Riverchase,Unit #D,Birmingham,AL,35244,U.S.A.,,33.3766305,-86.8101825,,,0
EXCHANGE Keesler AFB,113,Keesler Food Court,506 Larcher Blvd.- Bldg 2306,Keesler AFB,MS,39534,U.S.A.,,30.4094159,-88.9252664,,,0
Fort Benning,98,PX Food Court,9220 Marne Road,Fort Benning,GA,31905,U.S.A.,,32.3565078,-84.9703715,,,0
Fort Bliss,81,Building 1613 Marshall Road,Lifestyle Shopping Center,Fort Bliss,TX,79906,U.S.A.,,31.8078487,-106.4081983,,,0
Wiregrass Commons Mall,60,900 Commons Drive,Unit #27- Suite 405,Dothan,AL,36303,U.S.A.,,31.2547939,-85.4237607,,,0
Devonshire Mall,137,3100 Howard Ave.,Unit #Q4,Windsor,ON,N8X 3Y8,Canada,,42.2746699,-83.0035562,,,0
Ohio Turnpike,74,46402 Middleridge Road,,Amherst,OH,44001,U.S.A.,,41.3798611,-82.2227923,,,0
Lambton Mall,169,1380 London Road,Unit FC3,Sarnia,ON,N7S 3Y1,Canada,,42.9838403,-82.3536656,,,0
Intercity Shopping Centre,156,#1-B,1000 Fort William Road,Thunder Bay,ON,P7B 6B9,Canada,,48.4022692,-89.2440292,,,0
White Oaks Mall,122,1105 Wellington Road,Unit 197,London,ON,N6E 1V4,Canada,,42.9307053,-81.2265372,,,0
Masonville Place,183,1680 Richmond St.,Unit #L-53,London,ON,N6G 3Y9,Canada,,43.0243564,-81.2781592,,,0
University of Western Ontario,193,Center Spot,1151 Richmond St,London,ON,N6A 3K7,Canada,,43.0083796,-81.2621283,,,0
Cityplace,130,333 St. Mary Avenue,#102B,Winnipeg,MB,R3C 4A5,Canada,,49.8914589,-97.1436622,,,0
Portage Place Shopping Centre,139,393 Portage Avenue,Unit #168,Winnipeg,MB,R3B 2A1,Canada,,49.8927602,-97.1471733,,,0
Garden City Shopping Centre,172,2305 McPhillips St.,Unit #317,Winnipeg,MB,R2V 3E1,Canada,,49.9532069,-97.1483675,,,0
Salt Lake City International Airport,116,776 North Terminal Dr. Space IB-2,Terminal Unit One- Suite 250,Salt Lake City,UT,84122,U.S.A.,,40.7751388,-111.9791732,,,0
Conestoga Mall,162,550 King Street North,Unit F2,Waterloo,ON,N2L 5W6,Canada,,43.4980824,-80.5274971,,,0
Stone Road Mall,148,435 Stone Road,Unit #AFC-3/2,Guelph,ON,N1G 2X6,Canada,,43.5069582,-80.2526927,,,0
