store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Robinson Towne Centre,,1770 Park Manor Blvd.,,Pittsburgh,PA,15205,US,(412) 788-2538,40.454887,-80.166831,,,
Quaker Square,,2789 E. State St.,,Salem,OH,44460,US,(330) 337-8766,40.9009,-80.8220,,,
Southern Park Mall,,7401 Market Street,,Youngstown,OH,44512,US,(330) 965-6862,41.021010,-80.657970,,,
Kohls Plaza,,2029 W. State Street,,Alliance,OH,44601,US,(330) 821-4977,40.902910,-81.138410,,,
New Towne Mall,,400 Mill Ave Se,,New Philadelphia,OH,44663,US,(330) 339-3030,40.4805,-81.4440,,,
Butler Commons,,310 Butler Commons,,Butler,PA,16001,US,(724) 285-1332,40.875875,-79.944451,,,
Massillon Marketplace,,15 Massillon Mrktplce Dr. Sw,,Massillon,OH,44646,US,(330) 830-1316,40.764730,-81.520530,,,
Shenango Valley Mall,,3295 E. State Street,,Hermitage,PA,16148,US,(724) 981-4983,41.2335,-80.449460,,,
Westmoreland Mall,,5256 Route 30,,Greensburg,PA,15601,US,(724) 837-1656,40.30,-79.5070,,,
Cambridge Crossing S. C.,,61235 Southgate Parkway,,Cambridge,OH,43725,US,(740) 439-3755,39.990220,-81.575980,,,
Stow Community Center,,4256 Kent Road,,Stow,OH,44224,US,(330) 686-7905,41.1568,-81.407230,,,
University Town Centre,,4171 University Town Centre,,Morgantown,WV,26501,US,(304) 598-2244,39.655010,-80.010510,,,
Summit Mall,,3265 W. Market Street,,Fairlawn,OH,44333,US,(330) 864-8317,41.134110,-81.617970,,,
Marketplace At Four Corners,,7045 Marketplace Drive,,Aurora,OH,44202,US,(330) 995-1451,41.3415,-81.3490,,,
Indiana Mall,,2334 Oakland Avenue,,Indiana,PA,15701,US,(724) 357-8310,40.6033,-79.1867,,,
Macedonia Commons,,8210 Macedonia Commons Blvd.,,Macedonia,OH,44056,US,(330) 468-0014,41.31152,-81.51815,,,
Cranberry Mall,,U. S. Rt. 322 & 257,,Cranberry,PA,16319,US,(814) 676-2561,41.35,-79.7133,,,
Wayne Towne Plaza,,4003 Burbank Road,,Wooster,OH,44691,US,(330) 345-6602,40.8229,-81.9903,,,
Clarion Mall,,22631 Route 68,,Clarion,PA,16214,US,(814) 226-5984,41.1854,-79.3943,,,
Ohio Station Outlets,,9911 Avon Lake Rd.,,Burbank,OH,44214,US,(330) 948-1409,41.0064,-81.996050,,,
North Pointe Ctr.,,3885 Gorsky Dr.,,Zanesville,OH,43701,US,(740) 452-8265,39.993360,-82.030770,,,
The Galleria,,500 Galleria Drive,,Johnstown,PA,15904,US,(814) 266-2971,40.299320,-78.833190,,,
Westgate Mall,,3167 Westgate Drive,,Fairview Park,OH,44126,US,(440) 356-2977,41.460920,-81.849780,,,
Grand Central Mall  Box 6029,,348 Grand Central Mall,,Vienna,WV,26105,US,(304) 428-1241,39.2639,-81.5479,,,
Mt. Vernon Commons,,913 Coshocton Avenue,,Mount Vernon,OH,43050,US,(740) 392-5709,40.400729,-82.4567,,,
Indian Mound Mall,,771 S. 30th St.,,Heath,OH,43056,US,(740) 522-1528,40.030710,-82.443340,,,
Ontario Towne Center,,2279 Walker Lake Road,,Mansfield,OH,44906,US,(419) 747-2102,40.785820,-82.594590,,,
Du Bois Mall,,5522 Shaffer Road,,Dubois,PA,15801,US,(814) 375-7422,41.1225,-78.7293,,,
Country Club Mall,,1262 Vocke Road,,Lavale,MD,21502,US,(301) 729-0539,39.626850,-78.834180,,,
Market On State,,1002 E. State St.,,Athens,OH,45701,US,(740) 594-0371,39.3374,-82.0816,,,
Millcreek Mall,,5800 Peach Street,,Erie,PA,16565,US,(814) 868-8420,42.069160,-80.098820,,,
Logan Valley Mall,,5580 Goods Lane,,Altoona,PA,16602,US,(814) 941-3774,40.469050,-78.411630,,,
River Valley Mall,,1635 River Valley Circle S.,,Lancaster,OH,43130,US,(740) 653-0709,39.7350,-82.6150,,,
Shoppes At East Broad,,8157 Broad Street,,Reynoldsburg,OH,43068,US,(614) 856-1549,39.98439,-82.78677,,,
Tanger Outlets Columbus,,400 S. Wilson Road Ste. 236,,Sunbury,OH,43074,US,(740) 965-1055,40.25986,-82.92591,,,
Waterloo Crossings,,6627 Winchester Blvd.,,Canal Winchester,OH,43110,US,(614) 834-5567,39.874010,-82.824380,,,
Warren Commons,,2769 Market St.,,Warren,PA,16365,US,(814) 723-4145,41.893010,-79.1475,,,
Crossings Of Sandusky,,778 Crossings Rd.,,Sandusky,OH,44870,US,(419) 624-0512,41.4020,-82.663840,,,
Polaris Towne Center,,1195 Polaris Parkway,,Columbus,OH,43240,US,(614) 846-2089,40.140270,-82.986530,,,
Glenwood Commons,,870 Sunbury Road,,Delaware,OH,43015,US,(740) 369-1305,40.291950,-83.028150,,,
Legacy Crossing,,340 Mcmahan Blvd.,,Marion,OH,43302,US,(740) 389-6246,40.5811,-83.0870,,,
Chautauqua Mall,,318 E. Fairmount Avenue,,Lakewood,NY,14750,US,(716) 763-0056,42.0983,-79.2999,,,
Parkway Centre S.,,1731 Stringtown Rd,,Grove City,OH,43123,US,(614) 539-4585,39.878510,-83.049890,,,
Circleville Plaza,,1468 Circleville Plaza Dr.,,Circleville,OH,43113,US,(740) 474-3060,39.5852,-82.952770,,,
Tiffin Mall,,870 W. Market Street,,Tiffin,OH,44883,US,(419) 447-0740,41.1483,-83.2048,,,
Coleman'S Crossing,,481 Coleman'S Crossing Blvd.,,Marysville,OH,43040,US,(937) 642-3484,40.23205,-83.3478,,,
Chillicothe Mall,,1075 North Bridge Street,,Chillicothe,OH,45601,US,(740) 775-7455,39.3127,-82.9738,,,
Nittany Mall,,2901 E. College Ave.,,State College,PA,16801,US,(814) 238-3715,40.830370,-77.8026,,,
Leamington Power Centre,,288 Erie Street South,,Leamington,ON,N8H3C5,CA,(519) 325-0713,42.0358,-82.599140,,,
D & F Plaza,,1170 Central Ave.,,Dunkirk,NY,14048,US,(716) 366-2043,42.4589,-79.3339,,,
Rutherford Crossings,,159 Market Street,,Winchester,VA,22603,US,(540) 542-0259,39.217360,-78.138070,,,
Wal-Mart Plaza,,1853 Plaza Drive,,Olean,NY,14760,US,(716) 372-4500,42.076930,-78.469670,,,
Apple Blossom Mall,,1850 Apple Blossom Drive,,Winchester,VA,22601,US,(540) 665-1740,39.160210,-78.164550,,,
Kenton Ridge,,1239 E. Columbus Street,,Kenton,OH,43326,US,(419) 674-4487,40.650610,-83.594190,,,
Franklin Center,,1320 Lincoln Way E. Unit 15,,Chambersburg,PA,17202,US,(717) 264-6525,39.92529,-77.62955,,,
Findlay Mall,,1800 Tiffin Avenue,,Findlay,OH,45840,US,(419) 424-3303,41.0527,-83.6160,,,
Highpoint Village,,2107 S. Main Street,,Bellefontaine,OH,43311,US,(937) 599-2727,40.3374,-83.7618,,,
Hungtington Mall,,500 Mall Road,,Barboursville,WV,25504,US,(304) 733-0942,38.42223,-82.26643,,,
Tanger Outlets,,8515 Factory Shops Blvd.,,Jeffersonville,OH,43128,US,(740) 948-2361,39.615240,-83.598660,,,
Shoppes On South Main,,1111 South Main,,Bowling Green,OH,43402,US,(419) 352-1814,41.355950,-83.650240,,,
New Boston Shopping Center,,4609 Gallia Street,,New Boston,OH,45662,US,(740) 456-6641,38.7551,-82.928520,,,
Fayette Town Center,,104 Fayette Town Ctr,,Fayetteville,WV,25840,US,(304) 574-3664,38.011120,-81.125290,,,
Springville Vllg. Ctr.,,231 S. Cascade Dr.,,Springville,NY,14141,US,(716) 592-4243,42.502780,-78.689580,,,
White Oaks Mall,,1105 Wellington Road,,London,ON,N6E1V4,CA,(519) 680-7400,42.931710,-81.224630,,,
Windsor Crossing Premium Outlt,,1555 Talbot Rd Ste. 810,,Windsor,ON,N9H2N2,CA,(519) 969-7200,42.238673,-83.012984,,,
Ashland Town Center,,500 Winchester Avenue,,Ashland,KY,41101,US,(606) 325-4234,38.4829,-82.6504,,,
Telegraph Plaza,,2101 Mall Road,,Monroe,MI,48162,US,(734) 243-2650,41.955330,-83.397880,,,
Woodhaven Commons,,19187 West Road,,Woodhaven,MI,48183,US,(734) 675-0283,42.137980,-83.224190,,,
Staunton Mall,,90  Lee Jackson Hwy.,,Staunton,VA,24401,US,(540) 886-8764,38.1182,-79.0794,,,
Wilmington Square,,2833 Progress Way,,Wilmington,OH,45177,US,(937) 382-8572,39.452080,-83.779520,,,
Maurices,,1863 Gettysburg Village Dr.,,Gettysburg,PA,17325,US,(717) 338-1230,39.7944,-77.201450,,,
Quaker Crossing,,3495 Amelia Drive,,Orchard Park,NY,14127,US,(716) 822-0712,42.790650,-78.781310,,,
Cranberry Creek Plaza,,1248 N. Eisenhower Dr.,,Beckley,WV,25801,US,(304) 252-4181,37.798030,-81.176990,,,
Lima Mall,,2400 Elida Road,,Lima,OH,45805,US,(419) 221-0696,40.765480,-84.150870,,,
Lynden Park Mall,,84 Lynden Road,,Brantford,ON,N3R6B8,CA,(519) 770-0700,43.1742,-80.2401,,,
Fairfield Mall,,2727 Fairfield Commons,,Beavercreek,OH,45431,US,(937) 431-1550,39.7675,-84.056060,,,
Seaway Mall,,800 Niagara Street,,Welland,ON,L3C5Z4,CA,(905) 734-3173,43.015530,-79.247150,,,
Miami Valley Centre,,987 E Ash Street,,Piqua,OH,45356,US,(937) 778-8670,40.1497,-84.2283,,,
Lakeside Mall,,14600 Lakeside Circle,,Sterling Heights,MI,48313,US,(586) 566-4795,42.622370,-82.986070,,,
Culpeper Marketplace,,783 Nalles Mill Road,,Culpeper,VA,22701,US,(540) 827-1055,38.4849,-77.970110,,,
Lambton Mall,,1380 London Road,,Sarnia,ON,N7S1P8,CA,(519) 542-7200,42.982580,-82.3528,,,
Susquehanna Valley Mall,,1 Susquehanna Valley Mall Dr.,,Selinsgrove,PA,17870,US,(570) 374-7329,40.81,-76.8567,,,
Dayton Mall,,2700 Miamisburg-Centerville Rd,,Dayton,OH,45459,US,(937) 439-1223,39.6340,-84.22,,,
Hornell Plaza,,1000 Sr 36,,Hornell,NY,14843,US,(607) 324-2057,42.3221,-77.6454,,,
St. Marys Square S.C.,,1174 Indiana Avenue,,Saint Marys,OH,45885,US,(419) 394-6425,40.5516,-84.4058,,,
Lasalle Center,,1520 Military Rd,,Niagara Falls,NY,14304,US,(716) 297-3920,43.093290,-78.974750,,,
Wegman'S Plaza  Bldg 1,,3135 Niagara Falls Blvd.,,Amherst,NY,14228,US,(716) 691-3721,43.040180,-78.824010,,,
Charlottesville F.S.,,1600 E. Rio Road,,Charlottesville,VA,22901,US,(434) 975-0147,38.077570,-78.474720,,,
Festival Marketplace,,1067 Ontario Street,,Stratford,ON,N5A6W6,CA,(519) 271-0000,43.369280,-80.945810,,,
Shops At Lebanon,,1525 Genntown Dr.,,Lebanon,OH,45036,US,(513) 932-0946,39.45635,-84.17545,,,
Birchwood Mall,,4350 24th Avenue,,Fort Gratiot,MI,48059,US,(810) 385-4555,43.0372,-82.4558,,,
Arborland Center Suite 104b,,3533 Washtenaw Avenue,,Ann Arbor,MI,48104,US,(734) 975-8975,42.257350,-83.686980,,,
,,1651 Us 223 Ste. E,,Adrian,MI,49221,US,(517) 263-4631,41.873810,-84.031430,,,
Novi Town Center,,43205 Crescent Blvd.,,Novi,MI,48375,US,(248) 344-4766,42.483110,-83.472250,,,
Cambridge Smart Ctr,,60 Pinebush Road,,Cambridge,ON,N1R8K5,CA,(519) 621-5200,43.409350,-80.3191,,,
Lycoming Mall,,300 Lycoming Mall Circle,,Pennsdale,PA,17756,US,(570) 546-0381,41.240110,-76.826750,,,
Northtowne Mall,,1500 N. Clinton Street,,Defiance,OH,43512,US,(419) 782-8145,41.3081,-84.3607,,,
Tops Plaza,,5789 Transit Road,,Lockport,NY,14094,US,(716) 433-2462,43.145650,-78.696780,,,
York Galleria Mall,,2899 Whiteford Road Sp. 148,,York,PA,17402,US,(717) 757-6988,39.9868,-76.6675,,,
Van Wert Town Center,,325 Town Center Blvd.,,Van Wert,OH,45891,US,(419) 238-6443,40.885950,-84.5858,,,
White Lake Marketplace,,9056 Highland Road,,White Lake Township,MI,48386,US,(248) 698-3152,42.660110,-83.466160,,,
Voice Of America,,7578 Voice Of America Ctr. Dr.,,West Chester,OH,45069,US,(513) 779-2555,39.3379,-84.3623,,,
Tops Plaza,,8351 Lewiston Road,,Batavia,NY,14020,US,(585) 343-0741,43.005020,-78.202930,,,
Green Oak Village Place,,9680 Village Place Boulevard,,Brighton,MI,48116,US,(810) 229-6570,42.50822,-83.75415,,,
Shoppes At Geneseo,,4271 Veterans Drive,,Geneseo,NY,14454,US,(585) 243-4103,42.796880,-77.796620,,,
371 Mayo Plaza,,North Mayo Trail,,Paintsville,KY,41240,US,(606) 789-4668,37.808420,-82.800880,,,
Lebanon Valley Mall,,2251 Lebanon Valley Mall,,Lebanon,PA,17042,US,(717) 270-9840,40.339920,-76.453340,,,
Buckhorn Plaza,,76 Lunger Drive,,Bloomsburg,PA,17815,US,(570) 387-6842,41.015890,-76.486560,,,
Mercer Mall,,261 Mercer Mall Road,,Bluefield,WV,24701,US,(304) 327-7581,37.2908,-81.16,,,
Georgetown Mrkt. Plc.,,280 Guelph Street,,Georgetown,ON,L7G4B1,CA,(905) 873-8429,43.648770,-79.898250,,,
Big Flats Commons,,950 Co. Rd. 64,,Elmira,NY,14903,US,(607) 796-2809,42.160330,-76.878220,,,
,,875 South Main,,Lapeer,MI,48446,US,(810) 664-6455,43.0507,-83.3189,,,
Fenton Commons,,3259 Owen Road,,Fenton,MI,48430,US,(810) 714-5477,42.78694,-83.73882,,,
New River Valley,,782 New River Rd.,,Christiansburg,VA,24073,US,(540) 382-5803,37.1650,-80.4250,,,
Richmond Square Mall,,3801 East Main Street,,Richmond,IN,47374,US,(765) 935-1554,39.83,-84.8483,,,
Wards Crossing West,,475-C Simons Run,,Lynchburg,VA,24502,US,(434) 239-5949,37.342750,-79.189760,,,
Village Green Shopping Center,,1017 S. 13th Street,,Decatur,IN,46733,US,(260) 728-4214,40.820270,-84.938520,,,
Pikeville Commons,,120 Justice Way,,Pikeville,KY,41501,US,(606) 437-9199,37.504140,-82.536830,,,
Tanger Outlet Ctr.,,1475 N Burkhart Rd.,,Howell,MI,48855,US,(517) 540-9644,42.621270,-83.993430,,,
Sweden Shopping Center,,1651 Nathaniel Pool Trl,,Brockport,NY,14420,US,(585) 637-4370,43.193530,-77.9440,,,
Harford Mall,,696 Baltimore Pike,,Bel Air,MD,21014,US,(410) 638-2457,39.525610,-76.357430,,,
Westwood Mall,,Westwood Mall,,Jackson,MI,49202,US,(517) 784-6900,42.2473,-84.4334,,,
Rockvale Square,,35 S. Willowdale Dr.,,Lancaster,PA,17602,US,(717) 390-8728,40.020810,-76.197820,,,
Westgate Plaza,,2012 Chili Avenue,,Gates,NY,14624,US,(585) 247-9017,43.133240,-77.687910,,,
Florence Mall,,2028 Florence Mall,,Florence,KY,41042,US,(859) 282-0302,38.996610,-84.650730,,,
Genesee Valley Mall,,3341 S. Linden Road,,Flint,MI,48507,US,(810) 720-2013,42.9804,-83.7696,,,
Roseland Commons,,3225 State Route 364,,Canandaigua,NY,14424,US,(585) 905-3200,42.873940,-77.249140,,,
Blockbuster Plaza,,1980 N. Main St.,,Bluffton,IN,46714,US,(260) 827-0457,40.7577,-85.165780,,,
Glenbrook Square,,4201 Coldwater Rd.,,Fort Wayne,IN,46805,US,(260) 471-8946,41.1167,-85.1350,,,
205 Laurel Mall,,Rt. 93 & Airport Rd.,,Hazle Township,PA,18202,US,(570) 454-3980,40.98,-76.0233,,,
Tri-State Commons,,3308 N. Wayne Street,,Angola,IN,46703,US,(260) 665-8676,41.6502,-84.9995,,,
Orchard Crossing,,1034 Thomas Road,,Fort Wayne,IN,46804,US,(260) 432-6721,41.074470,-85.201370,,,
Otlt Shoppes @Fremont,,6245 N. Old 27,,Fremont,IN,46737,US,(260) 833-0230,41.730690,-85.002010,,,
Macedon Market Place,,515 Sampson Drive,,Macedon,NY,14502,US,(315) 986-2140,43.064430,-77.350990,,,
River Creek Village,,934 Green Blvd.,,Aurora,IN,47001,US,(812) 926-1215,39.076050,-84.894160,,,
Maurices,,726 East Chicago Street,,Coldwater,MI,49036,US,(517) 278-4116,41.9330,-84.9670,,,
Meridian Mall,,1982 Grand River Avenue,,Okemos,MI,48864,US,(517) 347-6790,42.72,-84.4199,,,
Muncie Plaza,,1120 E. Princeton Road,,Muncie,IN,47303,US,(765) 287-1040,40.218830,-85.374330,,,
Wal-Mart Outlet Plaza,,1581 East M21,,Owosso,MI,48867,US,(989) 723-2272,42.9975,-84.1576,,,
Wyoming Valley Mall,,36 Wyoming Valley Mall,,Wilkes-Barre,PA,18702,US,(570) 825-2191,41.246490,-75.844150,,,
New Castle Plaza,,443 S. Memorial Dr.,,New Castle,IN,47362,US,(765) 521-0640,39.924650,-85.382210,,,
