store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
,,Hediks to 254,,Wien,,1140,Austria,01/914 335 0,48.192936000000,16.275846000000,Monday:06:00 - 01:00;Tuesday:06:00 - 01:00;Wednesday:06:00 - 01:00;Thursday:06:00 - 01:00;Friday:06:00 - 04:00;Saturday:06:00 - 04:00;Sunday:06:00 - 01:00;holiday:06:00 - 01:00;,,0
,,Shopping City South Parking Westring,,Vösendorf,,2334,Austria,01/699 44 42,48.112587000000,16.316097000000,Monday:07:00 - 22:00;Tuesday:07:00 - 22:00;Wednesday:07:00 - 22:00;Thursday:07:00 - 23:00;Friday:07:00 - 23:00;Saturday:07:00 - 22:00;Sunday:11:00 - 20:00;holiday:11:00 - 20:00;,,0
,,Europabrücke car park 1,,Schönberg,,6141,Austria,05225/625 75,47.196598000000,11.397160000000,Monday:00:00 - 24:00;Tuesday:00:00 - 24:00;Wednesday:00:00 - 24:00;Thursday:00:00 - 24:00;Friday:00:00 - 24:00;Saturday:00:00 - 24:00;Sunday:00:00 - 24:00;holiday:00:00 - 24:00;,,0
,,Wagramer Straße 54,,Wien,,1220,Austria,01 / 203 93 55 11,48.239582000000,16.431065000000,Monday:06:00 - 02:00;Tuesday:06:00 - 02:00;Wednesday:06:00 - 02:00;Thursday:06:00 - 02:00;Friday:06:00 - 05:00;Saturday:06:00 - 05:00;Sunday:06:00 - 02:00;holiday:06:00 - 02:00;,,0
,,Landstraße 71 -75,,Linz,,4020,Austria,0732/65 32 98,48.298306000000,14.291737000000,Monday:07:00 - 00:00;Tuesday:07:00 - 00:00;Wednesday:07:00 - 00:00;Thursday:07:00 - 00:00;Friday:07:00 - 00:00;Saturday:07:00 - 00:00;Sunday:08:00 - 00:00;holiday:08:00 - 00:00;,,0
,,Getreidegasse 26,,Salzburg,,5020,Austria,0662/84 09 23 11,47.800102000000,13.041978000000,Monday:07:00 - 24:00;Tuesday:07:00 - 24:00;Wednesday:07:00 - 24:00;Thursday:07:00 - 24:00;Friday:07:00 - 02:00;Saturday:07:00 - 03:00;Sunday:07:00 - 24:00;holiday:07:00 - 24:00;,,0
,,Jakominiplatz 18,,Graz,,8010,Austria,0664 / 969 16 83,47.066689000000,15.441539000000,Monday:06:00 - 00:00;Tuesday:06:00 - 00:00;Wednesday:06:00 - 00:00;Thursday:06:00 - 00:00;Friday:06:00 - 01:00;Saturday:07:00 - 01:00;Sunday:07:00 - 00:00;holiday:07:00 - 00:00;,,0
,,Rotenturmstraße 29,,Wien,,1010,Austria,01/533 20 72,48.211796000000,16.375935000000,Monday:07:00 - 02:00;Tuesday:07:00 - 02:00;Wednesday:07:00 - 02:00;Thursday:07:00 - 02:00;Friday:07:00 - 05:00;Saturday:07:00 - 05:00;Sunday:07:00 - 02:00;holiday:07:00 - 02:00;,,0
,,Simmeringer Hauptstraße 113,,Wien,,1110,Austria,0664 / 887 180 40,48.173862000000,16.417097000000,Monday:07:00 - 01:00;Tuesday:07:00 - 01:00;Wednesday:07:00 - 01:00;Thursday:07:00 - 01:00;Friday:07:00 - 02:00;Saturday:07:00 - 02:00;Sunday:07:00 - 01:00;holiday:07:00 - 01:00;,,0
,,Johannesgasse 3,,Wien,,1010,Austria,01/513 17 22,48.205200000000,16.372101000000,Monday:07:00 - 01:00;Tuesday:07:00 - 01:00;Wednesday:07:00 - 01:00;Thursday:07:00 - 01:00;Friday:07:00 - 02:00;Saturday:07:00 - 02:00;Sunday:07:00 - 01:00;holiday:07:00 - 01:00;,,0
,,Wilhelmstraße 64,,Wien,,1120,Austria,01/815 76 95,48.174854000000,16.331057000000,Monday:05:00 - 01:00;Tuesday:05:00 - 01:00;Wednesday:05:00 - 01:00;Thursday:05:00 - 01:00;Friday:05:00 - 01:00;Saturday:05:00 - 01:00;Sunday:05:00 - 01:00;holiday:05:00 - 01:00;,,0
,,Mariahilferstraße 22 - 24,,Wien,,1070,Austria,01/523 14 45,48.200768000000,16.357262000000,Monday:07:00 - 01:00;Tuesday:07:00 - 01:00;Wednesday:07:00 - 01:00;Thursday:07:00 - 01:00;Friday:07:00 - 03:00;Saturday:07:00 - 03:00;Sunday:08:00 - 01:00;holiday:08:00 - 01:00;,,0
,,Schwarzenbergplatz 17,,Wien,,1010,Austria,01/505 444 30,48.201122000000,16.374096000000,Monday:06:30 - 01:30;Tuesday:06:30 - 01:30;Wednesday:06:30 - 01:30;Thursday:06:30 - 01:30;Friday:06:30 - 05:00;Saturday:06:30 - 05:00;Sunday:06:30 - 01:30;holiday:06:30 - 01:30;,,0
,,"IZ Lower-South, corner street 1, street 6",,Neudorf,,2351,Austria,0043 / 2236 618 49,48.076126000000,16.330383000000,Monday:06:00 - 00:00;Tuesday:06:00 - 00:00;Wednesday:06:00 - 00:00;Thursday:06:00 - 00:00;Friday:06:00 - 00:00;Saturday:07:00 - 00:00;Sunday:08:00 - 00:00;holiday:08:00 - 00:00;,,0
,,Rusterstraße 147,,Eisenstadt,,7000,Austria,02682/750 01,47.828495000000,16.531519000000,Monday:07:00 - 00:00;Tuesday:07:00 - 00:00;Wednesday:07:00 - 00:00;Thursday:07:00 - 00:00;Friday:07:00 - 02:00;Saturday:07:00 - 02:00;Sunday:08:00 - 00:00;holiday:08:00 - 00:00;,,0
,,Kaplanstraße 3,,Rum,,6063,Austria,0512/20 44 50,47.277416000000,11.456435000000,Monday:06:30 - 01:00;Tuesday:06:30 - 01:00;Wednesday:06:30 - 01:00;Thursday:06:30 - 01:00;Friday:06:30 - 03:00;Saturday:06:30 - 03:00;Sunday:06:30 - 00:00;holiday:06:30 - 00:00;,,0
,,McDonald’s Straße 1,,Lorenzen / Mürztal,,8642,Austria,0660 / 461 01 31,47.468829700000,15.346244000000,Monday:07:00 - 00:00;Tuesday:07:00 - 00:00;Wednesday:07:00 - 00:00;Thursday:07:00 - 00:00;Friday:07:00 - 03:00;Saturday:07:00 - 03:00;Sunday:07:00 - 00:00;holiday:07:00 - 00:00;,,0
,,The,,Lustenau,,6890,Austria,05577/63330,47.418660000000,9.672174000000,Monday:07:00 - 01:00;Tuesday:07:00 - 01:00;Wednesday:07:00 - 01:00;Thursday:07:00 - 01:00;Friday:07:00 - 01:00;Saturday:07:00 - 01:00;Sunday:07:00 - 01:00;holiday:07:00 - 01:00;,,0
,,Copy to Clipboard,,Straßwalchen,,5204,Austria,06215/20418,47.971470000000,13.249930000000,Monday:07:00 - 00:00;Tuesday:07:00 - 00:00;Wednesday:07:00 - 00:00;Thursday:07:00 - 00:00;Friday:07:00 - 01:00;Saturday:07:00 - 01:00;Sunday:08:00 - 00:00;holiday:08:00 - 00:00;,,0
,,Eco Plus Park 2. Strasse 1,,Leitha,,2460,Austria,0664 / 88662775,48.033760000000,16.804977000000,Monday:07:00 - 23:00;Tuesday:07:00 - 23:00;Wednesday:07:00 - 23:00;Thursday:07:00 - 23:00;Friday:07:00 - 23:00;Saturday:07:00 - 23:00;Sunday:07:00 - 23:00;holiday:07:00 - 23:00;,,0
,,Mariazeller Straße 93,,Pölten,,3100,Austria,02742 / 7866111,48.189030000000,15.617890000000,Monday:07:00 - 01:00;Tuesday:07:00 - 01:00;Wednesday:07:00 - 01:00;Thursday:07:00 - 02:00;Friday:07:00 - 05:00;Saturday:07:00 - 05:00;Sunday:07:00 - 01:00;holiday:07:00 - 01:00;,,0
,,Copy to Clipboard,,Traun,,4050,Austria,07229/640 61,48.234509900000,14.234044200000,Monday:07:00 - 00:00;Tuesday:07:00 - 00:00;Wednesday:07:00 - 00:00;Thursday:07:00 - 00:00;Friday:07:00 - 00:00;Saturday:07:00 - 00:00;Sunday:07:00 - 00:00;holiday:07:00 - 00:00;,,0
,,Exhibition Street 44a,,Wien,,1020,Austria,0664 88662762,48.217410000000,16.405811300000,Monday:07:00 - 01:00;Tuesday:07:00 - 01:00;Wednesday:07:00 - 01:00;Thursday:07:00 - 01:00;Friday:07:00 - 01:00;Saturday:07:00 - 01:00;Sunday:07:00 - 01:00;holiday:07:00 - 01:00;,,0
,,Copy to Clipboard,,Drau,,9800,Austria,+43 4762 44166,46.786634600000,13.522840500000,Monday:07:00 - 00:00;Tuesday:07:00 - 00:00;Wednesday:07:00 - 00:00;Thursday:07:00 - 00:00;Friday:07:00 - 00:30;Saturday:07:00 - 00:30;Sunday:08:00 - 00:00;holiday:08:00 - 00:00;,,0
,,Copy to Clipboard,,Frauenhofen / Horn,,3580,Austria,02982/30304,48.665384000000,15.634125000000,Monday:07:00 - 01:00;Tuesday:07:00 - 01:00;Wednesday:07:00 - 01:00;Thursday:07:00 - 01:00;Friday:07:00 - 01:00;Saturday:07:00 - 01:00;Sunday:07:00 - 01:00;holiday:07:00 - 01:00;,,0
,,Golling West rest stop on the A10,,Golling,,5440,Austria,06244/20503,47.583269000000,13.156625000000,Monday:06:00 - 24:00;Tuesday:06:00 - 24:00;Wednesday:06:00 - 24:00;Thursday:00:00 - 24:00;Friday:00:00 - 24:00;Saturday:00:00 - 24:00;Sunday:06:00 - 24:00;holiday:06:00 - 24:00;,,0
,,"BahnhofCity Wien Hauptbahnhof, EG Top 151",,Wien,,1100,Austria,01/600 56 28,48.185220300000,16.376450900000,Monday:06:00 - 24:00;Tuesday:06:00 - 24:00;Wednesday:06:00 - 24:00;Thursday:06:00 - 24:00;Friday:06:00 - 24:00;Saturday:06:00 - 24:00;Sunday:07:00 - 24:00;holiday:07:00 - 24:00;,,0
,,A2 direction Graz,,Fischau,,2721,Austria,02639/22401,47.833340000000,16.181720000000,Monday:06:00 - 02:00;Tuesday:06:00 - 02:00;Wednesday:06:00 - 02:00;Thursday:06:00 - 02:00;Friday:06:00 - 02:00;Saturday:06:00 - 02:00;Sunday:06:00 - 02:00;holiday:06:00 - 02:00;,,0
,,Ten-girdle 12-24 (EKZ fishapark),,Neustadt,,2700,Austria,02622/26840,47.819378000000,16.217016000000,Monday:08:30 - 19:30;Tuesday:08:30 - 19:30;Wednesday:08:30 - 19:30;Thursday:08:30 - 19:30;Friday:08:30 - 20:30;Saturday:08:30 - 18:30;Sunday:closed;holiday:closed;,,0
,,Autobahnstation Bergheim-Kasern,,Bergheim,,5101,Austria,0662/661021,47.830917000000,13.065040000000,Monday:06:30 - 22:00;Tuesday:06:30 - 22:00;Wednesday:06:30 - 22:00;Thursday:06:30 - 22:00;Friday:06:30 - 23:00;Saturday:06:30 - 23:00;Sunday:06:30 - 22:00;holiday:06:30 - 22:00;,,0
,,Kennedybrücke / Hadikgasse 62,,Wien,,1140,Austria,01/8920707,48.188416000000,16.303738000000,Monday:07:00 - 00:00;Tuesday:07:00 - 00:00;Wednesday:07:00 - 00:00;Thursday:07:00 - 00:00;Friday:07:00 - 01:00;Saturday:08:00 - 01:00;Sunday:09:00 - 00:00;holiday:09:00 - 00:00;,,0
