store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
,139,"3547, boulevard St. Charles",,Kirkland,QC,H9H3C4,Canada,514-694-9515,,,Sunday:10:00 AM - 5:00 PM;Monday:10:00 AM - 6:00 PM;Tuesday:10:00 AM - 6:00 PM;Wednesday:10:00 AM - 6:00 PM;Thursday:10:00 AM - 9:00 PM;Friday:10:00 AM - 9:00 PM;Saturday:9:00 AM - 5:00 PM;,,0
,501,"50 Selkirk Drive, Unit 8A",,Thompson,R8N,0M7,Canada,204-778-7101,,,Sunday:12:00 PM - 6:00 PM;Monday:10:00 AM - 7:00 PM;Tuesday:10:00 AM - 7:00 PM;Wednesday:10:00 AM - 7:00 PM;Thursday:10:00 AM - 7:00 PM;Friday:10:00 AM - 8:00 PM;Saturday:10:00 AM - 7:00 PM;,,0
,304,"800 McBride Blv., Unit 22",,New Westminster,Square,Mall,Canada,,,,Sunday:10:00 AM - 6:00 PM;Monday:10:00 AM - 7:00 PM;Tuesday:10:00 AM - 7:00 PM;Wednesday:10:00 AM - 7:00 PM;Thursday:10:00 AM - 7:00 PM;Friday:10:00 AM - 8:00 PM;Saturday:10:00 AM - 7:00 PM;,,0
,268,"469, avenue Taniata, local 200",,Saint-Romuald,G6W,5M6,Canada,418-834-2063,,,Sunday:10:00 AM - 6:00 PM;Monday:9:30 AM - 6:00 PM;Tuesday:9:30 AM - 6:00 PM;Wednesday:9:30 AM - 6:00 PM;Thursday:9:30 AM - 9:00 PM;Friday:9:30 AM - 9:00 PM;Saturday:9:00 AM - 6:00 PM;,,0
,5,25 Baseline Rd. W.,,London,ON,N6J1V1,Canada,519-432-1343,,,Sunday:11:00 AM - 6:00 PM;Monday:10:00 AM - 7:00 PM;Tuesday:10:00 AM - 7:00 PM;Wednesday:10:00 AM - 7:00 PM;Thursday:10:00 AM - 8:00 PM;Friday:10:00 AM - 8:00 PM;Saturday:9:00 AM - 7:00 PM;,,0
,128,Clayton Park Shopping Centre,,Halifax,Lacewood,Drive,Canada,,,,Sunday:10:00 AM - 6:00 PM;Monday:10:00 AM - 7:00 PM;Tuesday:10:00 AM - 7:00 PM;Wednesday:10:00 AM - 7:00 PM;Thursday:10:00 AM - 8:00 PM;Friday:10:00 AM - 8:00 PM;Saturday:9:00 AM - 7:00 PM;,,0
,120,"31 Lakewood Blvd., Unit 31",,Winnipeg,R2J,2M8,Canada,204-254-5763,,,Sunday:11:00 AM - 6:00 PM;Monday:9:00 AM - 7:00 PM;Tuesday:9:00 AM - 7:00 PM;Wednesday:9:00 AM - 7:00 PM;Thursday:9:00 AM - 8:00 PM;Friday:9:00 AM - 8:00 PM;Saturday:9:00 AM - 7:00 PM;,,0
,156,"7683-A, boulevard Taschereau",,Brossard,J4Y,1A2,Canada,450-926-9518,,,Sunday:10:00 AM - 5:00 PM;Monday:10:00 AM - 7:00 PM;Tuesday:10:00 AM - 7:00 PM;Wednesday:10:00 AM - 7:00 PM;Thursday:10:00 AM - 9:00 PM;Friday:10:00 AM - 9:00 PM;Saturday:9:00 AM - 6:00 PM;,,0
,405,"5050, boulevard Gaetan-Boucher",,Saint-Hubert,J3Y,7R8,Canada,450-656-2221,,,Sunday:10:00 AM - 5:00 PM;Monday:9:30 AM - 6:30 PM;Tuesday:9:30 AM - 6:30 PM;Wednesday:9:30 AM - 6:30 PM;Thursday:9:30 AM - 9:00 PM;Friday:9:30 AM - 9:00 PM;Saturday:9:00 AM - 6:00 PM;,,0
,124,590 Portland St.,,Dartmouth,NS,B2W6B7,Canada,902-435-5790,,,Sunday:10:00 AM - 6:00 PM;Monday:10:00 AM - 7:00 PM;Tuesday:10:00 AM - 7:00 PM;Wednesday:10:00 AM - 7:00 PM;Thursday:9:00 AM - 8:00 PM;Friday:9:00 AM - 8:00 PM;Saturday:9:00 AM - 7:00 PM;,,0
,484,"1195, chemin du Tremblay, Local 110",,Longueuil,J4N,1R4,Canada,450-448-1444,,,Sunday:10:00 AM - 5:00 PM;Monday:10:00 AM - 6:00 PM;Tuesday:10:00 AM - 6:00 PM;Wednesday:10:00 AM - 6:00 PM;Thursday:10:00 AM - 9:00 PM;Friday:10:00 AM - 9:00 PM;Saturday:9:00 AM - 6:00 PM;,,0
,195,"72, boulevard St. Jean Baptiste",,Chateauguay,QC,J6K4Y7,Canada,450-699-6990,,,Sunday:10:00 AM - 5:00 PM;Monday:9:30 AM - 6:30 PM;Tuesday:9:30 AM - 6:30 PM;Wednesday:9:30 AM - 6:30 PM;Thursday:9:00 AM - 9:00 PM;Friday:9:30 AM - 9:00 PM;Saturday:9:00 AM - 5:30 PM;,,0
,256,"2400, boulevard Louis XIV",,Beauport,&,107,Canada,,,,Sunday:10:00 AM - 5:00 PM;Monday:10:00 AM - 6:00 PM;Tuesday:10:00 AM - 6:00 PM;Wednesday:10:00 AM - 6:00 PM;Thursday:10:00 AM - 9:00 PM;Friday:10:00 AM - 9:00 PM;Saturday:9:00 AM - 6:00 PM;,,0
,449,"701, avenue du Phare ouest",,Matane,G4W,1V4,Canada,418-562-8822,,,Sunday:9:30 AM - 5:30 PM;Monday:9:00 AM - 6:00 PM;Tuesday:9:00 AM - 6:00 PM;Wednesday:9:00 AM - 6:00 PM;Thursday:9:00 AM - 9:00 PM;Friday:9:00 AM - 9:00 PM;Saturday:9:00 AM - 6:00 PM;,,0
,20,10610 Bayview Ave.,,Richmond Hill,ON,L4C3N8,Canada,905-737-3452,,,Sunday:10:00 AM - 6:00 PM;Monday:9:00 AM - 8:00 PM;Tuesday:9:00 AM - 8:00 PM;Wednesday:9:00 AM - 8:00 PM;Thursday:9:00 AM - 8:00 PM;Friday:9:00 AM - 8:00 PM;Saturday:9:00 AM - 7:00 PM;,,0
,430,"811, Montee Masson",,Mascouche,J7K,3B4,Canada,450-474-6556,,,Sunday:10:00 AM - 5:00 PM;Monday:10:00 AM - 6:00 PM;Tuesday:10:00 AM - 6:00 PM;Wednesday:10:00 AM - 6:00 PM;Thursday:10:00 AM - 9:00 PM;Friday:10:00 AM - 9:00 PM;Saturday:9:00 AM - 6:00 PM;,,0
