store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
44th & Indian,,"4280 E Indian School Rd, Suite 101",,Phoenix,AZ,85018,United States,(602) 314-8379,33.4954316,-111.9894653,Sun-Thu:10:30AM-9PM;Sun-Thu:10:30AM-9PM;,,0
Columbia Mall,,"10000 Town Center Ave, Suite C",,Columbia,MD,21044,United States,(240) 865-5607,39.2138389,-76.8658845,Sun-Thu:10:30AM-9PM;Sun-Thu:10:30AM-9PM;,,0
Bowie Marketplace,,"15511 Annapolis Rd, Suite 560",,Bowie,MD,20715,United States,(301) 464-0912,38.979003,-76.7361282,Sun-Thu:10:30AM-9PM;Sun-Thu:10:30AM-9PM;,,0
Tates Creek,,4101 Tates Creek Centre Dr,,Lexington,KY,40517,United States,,37.9717982,-84.4982626,,,1
Hikes Point,,3085 Breckenridge Ln,,Louisville,KY,40220,United States,(502) 915-7810,38.2157467,-85.6272386,Sun-Sat:11AM-10PM;Sun-Sat:11AM-10PM;,,0
Heartland Crossing,,"2710 Heartland Crossing Blvd, Suite C",,Owensboro,KY,42303,United States,(270) 240-2646,37.7564827,-87.0739362,Sun-Thu:11AM-10PM;Sun-Thu:11AM-10PM;,,0
Southgate,,20152 W 153rd St,,Olathe,KS,66062,United States,(913) 254-3461,38.8516029,-94.8187785,Sun-Thurs:10:30AM-10PM;Sun-Thurs:10:30AM-10PM;,,0
Hamburg,,2217 War Admiral Way,,Lexington,KY,40509,United States,(859) 263-0110,38.04094,-84.428077,Sun-Thu:11AM-10PM;Sun-Thu:11AM-10PM;,,0
Highland Grove Shopping Center,,10441B Indianapolis Blvd,,Highland,IN,46322,United States,,41.524333,-87.4704924,,,1
Evansville Pavilion,,"6401 East Lloyd Expressway, C #102",,Evansville,IN,47715,United States,,37.9750816,-87.4715816,,,1
Waukegan Road,,1494 Waukegan Rd,,Glenview,IL,60025,United States,(847) 832-5012,42.0824264,-87.7984461,Sun-Thu:11AM-8PM::;Sun-Thu:11AM-8PM::;,,0
Touhy Town Center,,5530 West Touhy Ave,,Skokie,IL,60077,United States,(847) 983-8025,42.0119794,-87.7658728,Sun-Thu:10:30AM-9PM;Sun-Thu:10:30AM-9PM;,,0
South Naperville,,"2835 Showplace Dr, Unit 10-40",,Naperville,IL,60564,United States,(630) 946-0300,41.7123839,-88.2075735,Sun-Thu:10:30AM-9PM;Sun-Thu:10:30AM-9PM;,,0
Roscoe Village,,3643 N Western Ave,,Chicago,IL,60618,United States,,41.9480057,-87.6880362,,,1
Shops at Kildeer,,"20505 N Rand Rd, Suite 520",,Kildeer,IL,60047,United States,(847) 307-4030,42.1624839,-88.0502808,Sun-Thu:10:30AM-9PM;Sun-Thu:10:30AM-9PM;,,0
Rivertree Court,,"701 N Milwaukee Ave, Unit 364",,Vernon Hills,IL,60061,United States,(847) 281-0177,42.2400002,-87.9433895,Sun-Thu:10:30AM-9PM;Sun-Thu:10:30AM-9PM;,,0
Mosaic,,4151 N Oakland Ave,,Shorewood,WI,53211,United States,,43.0934648,-87.8874288,,,1
Moorland Road,,3721 S Moorland Rd,,New Berlin,WI,53151,United States,(262) 901-2756,42.9770469,-88.1085661,Sun-Thu:10:30AM-9PM;Sun-Thu:10:30AM-9PM;,,0
Hwy 50 & 94th Ave,,"9250 76th St, Suite A",,Pleasant Prairie,WI,53158,United States,262-484-4060,42.5654911,-87.9201831,Sun-Thu:10:30AM-9PM;Sun-Thu:10:30AM-9PM;,,0
