store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
NUTRITION ZONE CARLSBAD,,2626-A El Camino Real,,Carlsbad,CA,92008,United States,(760) 729-1377,33.200,-117.739385,10:00 am - 8:00 pm,,0
NUTRITION ZONE CHULA VISTA,,344 E H St #1401 Chula Vista,,ChulaVista,CA,91910,United States,(619) 420-2131,33.175550,-117.325112,10:00 am - 8:00 pm,,0
NUTRITION ZONE COSTA MESA,,1500 Adams Ave suite 102B Costa Mesa,,CostaMesa,CA,92626,United States,(714) 486-2427,32.640636,-117.050886,10:00 am - 8:00 pm,,0
NUTRITION ZONE CORONA,,350 McKinley St,,Corona,CA,92879,United States,(951) 735-9663,33.676370,-117.876209,10:00 am - 8:00 pm,,0
NUTRITION ZONE DANA POINT,,32411 Golden Lantern St Laguna Niguel,,LagunaNiguel,CA,92677,United States,(949) 487-2629,33.887910,-117.521099,10:00 am - 8:00 pm,,0
NUTRITION ZONE ESCONDIDO,,1146 West Valley Parkway,,Escondido,CA,92025,United States,(760) 480-2625,33.492956,-117.697937,Monday-Thursday: 10-8;Friday:10-7;Saturday 10-6;Sunday:10-5;,,0
NUTRITION ZONE FONTANA,,17122 Slover Ave #108,,Fontana,CA,92337,United States,(909) 251-4067,33.116408,-117.098293,10:00 am - 8:00 pm,,0
NUTRITION ZONE FOOTHILL RANCH,,19681 Da Vinci Foothill Ranch,,FoothillRanch,CA,92610,United States,(949)939-6883,34.064116,-117.431001,10:00 am - 8:00 pm,,0
NUTRITION ZONE HARBOR CITY,,970 W Sepulveda Harbor,,City,CA,90710,United States,(310) 539-1914,33.676384,-117.655380,10:00 am - 8:00 pm,,0
NUTRITION ZONE HUNTINGTON BEACH,,7101 Yorktown Avenue #102 Huntington Beach,,HuntingtonBeach,CA,92648,United States,,33.810076,-118.292313,10:00 am - 8:00 pm,,0
NUTRITION ZONE LOS ALAMITOS,,10676 Los Alamitos Blvd. Los Alamitos,,LosAlamitos,CA,90720,United States,(562) 598-5984,33.680769,-118.003413,10:00 am - 8:00 pm,,0
NUTRITION ZONE LAGUNA HILLS,,25401 Alicia Pkwy Laguna Hills,,LagunaHills,CA,92653,United States,(949) 470-0770,33.807761,-118.069642,10:00 am - 8:00 pm,,0
NUTRITION ZONE LONG BEACH,,3200 E 59th St Long Beach,,LongBeach,CA,90805,United States,,33.592632,-117.691265,10:00 am - 8:00 pm,,0
NUTRITION ZONE MANHATTAN,,501 N 3rd Pl,,Manhattan,KS,66502,United States,(785) 587-9600,33.862588,-118.155279,10:00 am - 8:00 pm,,0
NUTRITION ZONE MIRA MESA,,7061 Claremont Mesa Blvd #209 San Diego,,SanDiego,CA,92111,United States,(858) 571-7846,39.183819,-96.560579,10:00 am - 8:00 pm,,0
NUTRITION ZONE MO. VALLEY,,12430 DAY ST UNT C-2 Moreno Valley,,MorenoValley,CA,92553,United States,(951) 656-5656,32.831546,-117.165395,10:00 am - 8:00 pm,,0
NUTRITION ZONE OLATHE,,14138 W 119th St,,Olathe,KS,,United States,(913) 747-9372,33.940011,-117.278315,10:00 am - 8:00 pm,,0
NUTRITION ZONE ONTARIO,,2550 S Archibald UNT B,,Ontario,CA,91761,United States,(909) 930-1919,38.912886,-94.748617,10:00 am - 8:00 pm,,0
NUTRITION ZONE ORANGE,,3804 E CHAPMAN AVE  UNT A Orange,,UNTAOrange,CA,92869,United States,(714) 289-0088,34.027826,-117.595752,10:00 am - 8:00 pm,,0
NUTRITION ZONE POINT LOMA,,3683 Midway Dr San Diego,,SanDiego,CA,92110,United States,(619) 523-9286,33.787522,-117.812453,10:00 am - 8:00 pm,,0
NUTRITION ZONE SANTEE,,9625 Mission Gorge Rd,,Santee,CA,92071,United States,(619) 449-2438,32.752038,-117.218047,10:00 am - 8:00 pm,,0
NUTRITION ZONE SAN CLEMENTE,,400 E Avenida Pico San Clemente,,SanClemente,CA,92672,United States,(949) 276-7744,32.8363181,-116.9894535,10:00 am - 8:00 pm,,0
NUTRITION ZONE SAN DIEGO,,650 1st Ave San Diego,,SanDiego,CA,92101,United States,,33.436681,-117.624884,10:00 am - 8:00 pm,,0
NUTRITION ZONE VISTA,,620 Hacienda Dr #104,,Vista,CA,92081,United States,(760) 945-5550,32.712518,-117.164077,10:00 am - 8:00 pm,,0
NUTRITION ZONE YORBA LINDA,,4854 Valley View Ave Yorba Linda,,YorbaLinda,CA,,United States,(714) 577-9660,33.192417,-117.254528,10:00 am - 8:00 pm,,0
