store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
"Bealls, Riverton",,1070 W Main St,,Riverton,WY,82501,US,(307) 856-6618,43.026203,-108.407385,Mo 10:00-20:00;Tu 10:00-20:00;We 10:00-20:00;Th 10:00-20:00;Fr 10:00-20:00;Sa 10:00-20:00;Su 12:00-18:00,,0
"Goody's, Troy",,1265 U.S. 231,,Troy,AL,36081,US,(334) 566-3383,31.779613,-85.948921,Mo 10:00-20:00;Tu 10:00-20:00;We 10:00-20:00;Th 10:00-20:00;Fr 10:00-20:00;Sa 10:00-20:00;Su 13:00-18:00,,0
"Peebles, Summersville",,233 Merchants Walk,,Summersville,WV,26651,US,(304) 872-4190,38.299417,-80.83552,Mo 10:00-21:00;Tu 10:00-21:00;We 10:00-21:00;Th 10:00-21:00;Fr 10:00-21:00;Sa 10:00-21:00;Su 12:00-19:00,,0
"Goody's, Wytheville",,1155 N 4th St,,Wytheville,VA,24382,US,(276) 228-9090,36.956277,-81.096079,Mo 10:00-21:00;Tu 10:00-21:00;We 10:00-21:00;Th 10:00-21:00;Fr 10:00-21:00;Sa 10:00-21:00;Su 12:00-18:00,,0
"Peebles, Springfield",,2 Chester Rd,,Springfield,VT,05156,US,(802) 885-5505,43.303172,-72.49273,Mo 10:00-19:00;Tu 10:00-19:00;We 10:00-19:00;Th 10:00-20:00;Fr 10:00-20:00;Sa 10:00-20:00;Su 12:00-18:00,,0
"Bealls, Vernal",,1180 U.S. 40,,Vernal,UT,84078,US,(435) 789-8162,40.4507744,-109.5521911,Mo 10:00-20:00;Tu 10:00-20:00;We 10:00-20:00;Th 10:00-20:00;Fr 10:00-20:00;Sa 10:00-20:00;Su 12:00-17:00,,0
"Bealls, Yoakum",,304 W Grand Ave,,Yoakum,TX,77995,US,(361) 293-7665,29.289336,-97.152772,Mo 10:00-20:00;Tu 10:00-20:00;We 10:00-20:00;Th 10:00-20:00;Fr 10:00-20:00;Sa 10:00-20:00;Su 12:00-18:00,,0
"Goody's, Winchester",,2607 Decherd Blvd,,Winchester,TN,37398,US,(931) 962-3227,35.216605,-86.101688,Mo 10:00-20:00;Tu 10:00-20:00;We 10:00-20:00;Th 10:00-21:00;Fr 10:00-21:00;Sa 10:00-21:00;Su 12:00-18:00,,0
"Goody's, Williamston",,17 Pelzer Ave,,Williamston,SC,29697,US,(864) 847-7037,34.620096,-82.478183,Mo 10:00-20:00;Tu 10:00-20:00;We 10:00-20:00;Th 10:00-21:00;Fr 10:00-21:00;Sa 10:00-21:00;Su 13:00-18:00,,0
"Peebles, Waynesburg",,55 Sugar Run Road,,Waynesburg,PA,15370,US,(724) 627-3086,39.89452703254697,-80.17068296670914,Mo 10:00-20:00;Tu 10:00-20:00;We 10:00-20:00;Th 10:00-20:00;Fr 10:00-20:00;Sa 10:00-20:00;Su 12:00-18:00,,0
