store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
"Regina, SK Gordon Road",2170,4805 Gordon Road,,Regina,SK,S4W 0B7,Canada,(306) 721-7130,50.405374,-104.63928,Mo-We 09:30-20:30;Th-Fr 09:30-21:00;Sa 08:30-20:30;Su 10:00-18:00,,0
"Woodbridge, ON Colossus Centre",2801,67 Colossus Drive,,Woodbridge,ON,L4L 9J8,Canada,(905) 265-2415,43.7867983,-79.5432835,Mo-Fr 09:30-21:00;Sa 08:30-20:00;Su 10:00-18:00,,0
"Windsor, ON Walker Commons",2020,4115 Walker Road,,Windsor,ON,N8W 3T6,Canada,(519) 972-3925,42.2607697,-82.9687173,Mo-We 09:30-20:30;Th-Fr 09:30-21:00;Sa 08:30-20:30;Su 10:00-18:00,,0
"Whitby, ON Folkstone Village Plaza",2023,30 Broadleaf Avenue,,Whitby,ON,L1R 0B5,Canada,(905) 655-6506,43.919106,-78.956647,Mo-We 09:30-20:30;Th-Fr 09:30-21:00;Sa 08:30-20:30;Su 10:00-18:00,,0
"Toronto, ON Etobicoke, Sherway Toronto, ON Scarborough, Kennedy Commons Toronto, ON North York Toronto, ON Orfus Road",2028,160 North Queen Street,,Toronto,ON,M9C 1A8,Canada,(416) 695-8570,43.6194131,-79.5542178,Mo-We 09:30-20:30;Th-Fr 09:30-21:00;Sa 08:30-20:30;Su 10:00-18:00;Mo-We 09:30-20:30;Th-Fr 09:30-21:00;Sa 08:30-20:30;Su 10:00-18:00;Mo-We 09:30-20:30;Th-Fr 09:30-21:00;Sa 08:30-20:30;Su 10:00-18:00;Mo-We 09:30-20:30;Th-Fr 09:30-21:00;Sa 08:30-20:30;Su 10:00-18:00,,0
"Thunder Bay, ON Main Street",2030,341 Main Street,,Thunder Bay,ON,P7B 5L6,Canada,(807) 345-5100,48.406403,-89.238901,Mo-We 09:30-20:30;Th-Fr 09:30-21:00;Sa 08:30-20:30;Su 10:00-18:00,,0
"Sudbury, ON Kingsway",2037,1400 Kingsway,,Sudbury,ON,P3B 0A3,Canada,(705) 524-7437,46.5059617,-80.9455498,Mo-We 09:30-20:30;Th-Fr 09:30-21:00;Sa 08:30-20:30;Su 10:00-18:00,,0
"St. Catharines, ON Briarfield Shopping Centre",2021,286 Bunting Road,,St. Catharines,ON,L2M 7S5,Canada,(905) 684-8795,43.1786697,-79.2083609,Mo-We 09:30-20:30;Th-Fr 09:30-21:00;Sa 08:30-20:30;Su 10:00-18:00,,0
"Scarborough, ON Eglinton Town Centre",2027,8 Lebovic Ave,,Scarborough,ON,M1L 4V9,Canada,(416) 285-4444,43.7251218,-79.2912157,Mo-We 09:30-20:30;Th-Fr 09:30-21:00;Sa 08:30-20:30;Su 10:00-18:00,,0
"Richmond Hill, ON Yonge Street",2017,9625 Yonge Street,,Richmond Hill,ON,L4C 5T2,Canada,(905) 787-8454,43.8620976,-79.4326027,Mo-We 09:30-20:30;Th-Fr 09:30-21:00;Sa 08:30-20:30;Su 10:00-18:00,,0
