store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
pearle vision (brooklyn heights),21056772,154 montague street,,brooklyn heights,ny,11201,United States,(718) 246-5795,40.69446,-73.99311,M-F: 10:00 am - 7:00 pm;Sat: 10:00 am - 5:30 pm;Sun: closed,,0
pearle vision (park slope),21088995,95 seventh ave,,brooklyn,ny,11215,United States,(718) 230-0205,40.67446,-73.97545,M-T: 10:00 am - 7:00 pm;Wed: closed;Thur: 10:00 am - 7:00 pm;F-Sa: 10:00 am - 6:00 pm;Sun: 12:00 pm - 5:00 pm,,0
pearle vision (woodside),21091938,48-11 queens blvd,,woodside,ny,11377,United States,(718) 205-9760,40.74276,-73.91666,Mon: 10:00 am - 6:00 pm;Tue: 10:00 am - 7:00 pm;Wed: 10:00 am - 8:00 pm;Thur: 10:00 am - 7:00 pm;F-Sa: 10:00 am - 6:00 pm;Sun: closed,,0
pearle vision (jackson heights),21091431,75-37 31st avenue,,jackson heights,ny,11370,United States,(718) 205-5797,40.75865,-73.89146,M-F: 10:00 am - 7:00 pm;Sat: 10:00 am - 6:00 pm;Sun: closed,,0
pearle vision (georgetown shopping plaza),21030346,2103 ralph ave,,brooklyn,ny,11234,United States,(718) 241-0400,40.62622,-73.91790,Mon: 10:00 am - 6:00 pm;Tue: 10:00 am - 7:00 pm;Wed: 10:00 am - 6:00 pm;Th-F: 10:00 am - 7:00 pm;Sat: 10:00 am - 6:00 pm;Sun: closed,,0
pearle vision (atlantic avenue shopping center),21091432,102-22 atlantic avenue,,ozone park,ny,11416,United States,(718) 846-1144,40.68984,-73.84258,M-F: 10:00 am - 7:00 pm;Sat: 10:00 am - 6:00 pm;Sun: closed,,0
pearle vision (bayside),21040619,19320 northern blvd,,flushing,ny,11358,United States,(718) 357-4666,40.75783,-73.78786,M-Th: 9:30 am - 8:30 pm;Fri: 9:30 am - 6:00 pm;Sat: 9:30 am - 5:00 pm;Sun: closed,,0
pearle vision (saddlebrook),21018628,390 market street,,saddle brook,nj,07663,United States,(201) 843-5453,40.89690,-74.09617,M-Th: 10:00 am - 7:00 pm;Fri: 10:00 am - 6:00 pm;Sat: 9:00 am - 3:00 pm;Sun: closed,,0
pearle vision (essex green shopping center  #217),21018666,495 prospect avenue,,west orange,nj,07052,United States,(973) 736-2200,40.79180,-74.25465,M-T: 10:00 am - 8:00 pm;Wed: 10:00 am - 6:00 pm;Thur: 10:00 am - 8:00 pm;Fri: 10:00 am - 6:00 pm;Sat: 10:00 am - 5:00 pm;Sun: 12:00 pm - 5:00 pm,,0
pearle vision (paramus),21060155,341 route 4 west,,paramus,nj,07652,United States,(201) 489-6000,40.92537,-74.08770,M-F: 10:00 am - 8:00 pm;Sat: 9:30 am - 6:00 pm;Sun: closed,,0
pearle vision (elmont),21121045,1445 hempstead turnpike,,elmont,ny,11003,United States,(516) 616-1771,40.70731,-73.69441,M-Th: 10:00 am - 8:00 pm;F-Sa: 10:00 am - 6:00 pm;Sun: closed,,0
