store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Casper East,,1570 E Yellowstone,,Casper,WY,82601,United States,307-265-8360,42.8539,-106.30422,8-6 Monday-Friday;8-3 Saturday;Closed Sunday,,0
Casper,,2929 Cy Ave,,Casper,WY,82604,United States,307-266-1755,42.82834,-106.35551,8-6 Monday-Friday;8-3 Saturday;Closed Sunday,,0
Cheyenne South,,1904 E Lincoln Way,,Cheyenne,WY,82001,United States,307-632-6580,41.12463,-104.83506,8-6 Monday-Friday;8-3 Saturday;Closed Sunday,,0
Laramie,,857 N 3rd St,,Laramie,WY,82072,United States,307-742-8262,41.31989,-105.59217,8-6 Monday-Friday;8-3 Saturday;Closed Sunday,,0
Sheridan,,2107 N Main,,Sheridan,WY,82801,United States,307-672-5856,44.821108,-106.955086,8-6 Monday-Friday;8-3 Saturday;Closed Sunday,,0
Amarillo Blvd,,2401 E Amarillo Blvd,,Amarillo,TX,79107,United States,806-373-0744,35.2223,-101.81061,8-6 Monday-Friday;8-3 Saturday;Closed Sunday,,0
Amarillo Western,,3339 S Western,,Amarillo,TX,79109,United States,806-353-1219,35.17863,-101.88361,8-6 Monday-Friday;8-3 Saturday;Closed Sunday,,0
Lubbock,,2302 50th St,,Lubbock,TX,79412,United States,806-795-2507,33.54912,-101.86642,8-6 Monday-Friday;8-3 Saturday;Closed Sunday,,0
Midland,,2804 West Wall St,,Midland,TX,79701,United States,432-699-7193,31.98801,-102.1043,8-6 Monday-Friday;8-3 Saturday;Closed Sunday,,0
Odessa,,3401 Andrews Hwy,,Odessa,TX,79762,United States,432-368-5279,31.87505,-102.38294,8-6 Monday-Friday;8-3 Saturday;Closed Sunday,,0
San Angelo,,1520 N Bryant Blvd,,SanAngelo,TX,76903,United States,325-653-7135,31.4733,-100.4509,8-6 Monday-Friday;8-3 Saturday;Closed Sunday,,0
Rapid City,,1221 East St. Joseph,,RapidCity,SD,57701,United States,605-348-5525,44.075513,-103.205303,8-6 Monday-Friday;8-3 Saturday;Closed Sunday,,0
Rapid City West,,1029 Jackson Blvd,,RapidCity,SD,57702,United States,605-341-3320,44.0764,-103.25163,8-6 Monday-Friday;8-3 Saturday;Closed Sunday,,0
