store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Cornerstone Prince Albert,5260,"800-15th Street East, Unit # 770",,Prince Albert,SK,S6V 8E3,Canada,306-763-1453,53.201161,-105.729032,,,0
North Albert Shopping Centre,5117,450 Albert Street N.,,Regina,SK,S4R 3C1,Canada,306-924-4211,50.483793,-104.61851,,,0
Smart Centres Regina East,5239,2034 Prince of Wales Drive,,Regina,SK,S4V 3A6,Canada,306-546-5003,50.447003,-104.53326,,,0
Circle 8 Centre,5115,3120 8th Street East,,Saskatoon,SK,S7H 0W2,Canada,306-955-2728,52.113777,-106.607841,,,0
Smart Centres Saskatoon West,5308,"205 Betts Ave., Bldg G, Unit # 110",,Saskatoon,SK,S7M 1L2,Canada,306-931-2060,52.128523,-106.759618,,,0
Parkland Mall,5266,"277 Broadway Street East, Unit # 17A",,Yorkton,SK,S3N 3G7,Canada,306-783-0240,51.211467,-102.444742,,,0
Carrefour de la Rive-Sud,5330,"582 Chemin de Touraine, Suite 1201",,Boucherville,QC,J4B 5E4,Canada,450-449-3681,45.572018,-73.405951,,,0
Place du Royaume,5327,"1401, Boul. Talbot, Unit 170",,Chicoutimi,QC,G7H 5N6,Canada,418-545-3132,48.405373,-71.057396,,,0
Centre Commercial Hull,5342,"75 Du Plateau Blvd., Local # 800",,Gatineau,QC,J9A 3G1,Canada,819-772-9142,45.435937,-75.773525,,,0
Plaza Greber,5132,64 Greber Blvd.,,Gatineau,QC,J8T 3P8,Canada,819-568-0402,45.462928,-75.700043,,,0
Granby Shopping Centre,5139,848 - 2 rue Principale,,Granby,QC,J2G 2Z2,Canada,450-375-8829,45.412765,-72.751143,,,0
Complexe Joliette,5221,881 Blvd. Firestone,,Joliette,QC,J6E 2W4,Canada,450-760-2589,46.033902,-73.431412,,,0
Centre Carnaval Lasalle,5129,"7401 Newman Blvd., Unit # 27-31",,LaSalle,QC,H8N 1X3,Canada,514-367-2111,45.440717,-73.620326,,,0
Promenades St-Martin,5130,"1759 St-Martin West, Unit # 11/12",,Laval,QC,H7S 1N2,Canada,450-686-2884,45.567383,-73.729176,,,0
Chemin Chambly,5329,2908 Chemin Chambly,,Longueuil,QC,J4L 1N1,Canada,450-674-6456,45.519747,-73.459265,,,0
Smart Centre Mascouche,5216,129 Montee Masson,,Mascouche,QC,J7K 3B4,Canada,450-474-0200,45.723331,-73.619505,,,0
Centre Terrarium,5351,"183H, boul. Hymus",,Pointe-Claire,QC,H9R 1E9,Canada,514-695-7860,45.462042,-73.818497,,,0
Le 1100 Bouvier,5161,"1100 rue Bouvier, Unit # 300",,Quebec,QC,G2K 1L9,Canada,418-624-3230,46.828731,-71.28688,,,0
Centre Smart Centres Rimouski,5225,407 Montee Industrielle et Commerciale,,Rimouski,QC,G5M 1Y1,Canada,418-723-2324,48.451036,-68.491877,,,0
Place Rouanda,5286,"4-15e rue, Unit # 3",,Rouyn-Noranda,QC,J9X 2J8,Canada,819-797-5834,48.241237,-79.032343,,,0
Mega Centre Rive-Sud,5283,"675 rue de la Concorde, Unit # B45",,Saint Romuald,QC,G6W 0A9,Canada,418-834-5566,46.728346,-71.27317,,,0
Smart Centres Saint-Jean,5230,140 Omer-Marcil Street,,Saint-Jean-sur-Richelieu,QC,J2W 2X2,Canada,450-359-0187,45.332899,-73.295203,,,0
Mega Centre St-Jerome,5207,1059 Blvd. Jean-Baptiste Rolland,,Saint-Jerome,QC,J7Y 4Y7,Canada,450-565-6864,45.768927,-74.019838,,,0
St-Bruno,5196,1475 Blvd. St-Bruno,,St-Bruno,QC,J3V 6J1,Canada,450-441-8298,45.509354,-73.381666,,,0
Smart Centres St-Constant,5242,"520 Voie de la Desserte, Local # 200 - Route 132",,St-Constant,QC,J5A 2S6,Canada,450-633-0466,45.389557,-73.571973,,,0
Carrefour Carnaval,5150,6799 Jean Talon E.,,St-Leonard,QC,H1S 1N2,Canada,514-253-3269,45.59515,-73.572634,,,0
rue des Forges,5149,5250 des Forges,,Trois-Rivieres,QC,G8Y 1X4,Canada,819-370-6765,46.362393,-72.594117,,,0
