store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
GIRARD BULK SERVICE LTD.,,RAILWAY AVENUE,,ALIDA,OH,45853,United States,(306) 443-2466,40.99,-84.2,,,
B & A PETROLEUM LTD.,,420-1ST AVENUE,,WEST,QC,G6T,Canada,(306) 642-4621,46.0828,-71.9728,,,
CASTLE FUELS (2008) INC.,,380 EXETER STATION ROAD,,100 MILE HOUSE,BC,V0K,Canada,(250) 395-3818,51.4367,-121.6384,,,
CR 92 HOLDINGS LTD. O/A COASTAL MOUNTAIN FUELS,,8027 ENTERPRISE STREET,,BURNABY,BC,V5G,Canada,(604) 945-4391,49.2478,-122.9938,,,
"CR92 HOLDINGS LTD., O/A COASTAL MOUNTAIN FUELS",,4330 MIDDLE POINT ROAD,,CAMPBELL RIVER,BC,V9H,Canada,(250) 287-4214,49.9088,-125.5862,,,
CR92 HOLDINGS LTD. O/A COASTAL MOUNTAIN FUELS,,1720 MAPLE STREET,,CAMPBELL RIVER,BC,V9H,Canada,(250) 287-4214,49.9088,-125.5862,,,
BOWMAN FUELS LTD. (SITE 04094),,259 ALBERT ST. E.,,ALLISTON,ON,L9R,Canada,(705) 435-7271,44.1501,-79.8663,,,
KIDD FUELS CORP,,50 INDUSTRIAL PKWY S,,AURORA,NY,14052,United States,(416) 741-2343,42.76,-78.61,,,
BOWMAN FUELS LTD. (SITE 04079),,265 BURTON AVENUE,,BARRIE,ON,L9X,Canada,(705) 726-6071,44.4001,-79.6663,,,
GREEN COAST ENERGY,,132 BEAVERBROOK,,MONCTON,NB,E1G,Canada,(506) 855-8500,46.1797,-64.9484,,,
GREEN COAST ENERGY,,201 BROAD STREET,,SAINT JOHN,NB,E2N,Canada,(506) 635-6060,45.3176,-65.9271,,,
,21819,2050 LEONARD DE VINCI,,STE JULIE,Quebec,J3E2A2,Canada,4509229876,45.576505,-73.333987,MON:8 a.m. - 6 p.m.;TUE:8 a.m. - 6 p.m.;WED:8 a.m. - 6 p.m.;THU:8 a.m. - 6 p.m.;FRI:8 a.m. - 6 p.m.;SAT:Unattended;SUN:Unattended;,,
,36863,306 9TH STREET,,MEADOW LAKE,Saskatchewan,S9X1S2,Canada,3062365241,54.135348,-108.452461,MON:8 a.m. - 5 p.m.;TUE:8 a.m. - 5 p.m.;WED:8 a.m. - 5 p.m.;THU:8 a.m. - 5 p.m.;FRI:8 a.m. - 5 p.m.;SAT:Unattended;SUN:Unattended;,,
,39092,1 PACIFIC AVENUE,,MAPLE CREEK,Saskatchewan,S0N1N0,Canada,3066622262,49.910989,-109.485514,MON:8 a.m. - 5 p.m.;TUE:8 a.m. - 5 p.m.;WED:8 a.m. - 5 p.m.;THU:8 a.m. - 5 p.m.;FRI:8 a.m. - 5 p.m.;SAT:Unattended;SUN:Unattended;,,
,69130,"1855 ROSS ROAD, HWY #97 S",,KELOWNA,British Columbia,V1Z3G4,Canada,2507693500,49.860577,-119.589508,MON:1 p.m. - 5 p.m.;TUE:1 p.m. - 5 p.m.;WED:1 p.m. - 5 p.m.;THU:1 p.m. - 5 p.m.;FRI:1 p.m. - 5 p.m.;SAT:Unattended;SUN:Unattended;,,
,35131,151 Mapleview Drive West,,Barrie,Ontario,L4N9E8,Canada,7057340819,44.33167,-79.69972,MON:Open 24 hours;TUE:Open 24 hours;WED:Open 24 hours;THU:Open 24 hours;FRI:Open 24 hours;SAT:Open 24 hours;SUN:Open 24 hours;,,
,21941,2600 MOUNTAIN RD,,MONCTON,New Brunswick,E1G3T6,Canada,5068596000,46.130731,-64.882561,MON:Open 24 hours;TUE:Open 24 hours;WED:Open 24 hours;THU:Open 24 hours;FRI:Open 24 hours;SAT:Open 24 hours;SUN:Open 24 hours;,,
,21954,315 RUE OUELLETTE,,GRAND FALLS,New Brunswick,E3Z1A6,Canada,5064735575,47.037462,-67.771021,MON:7 a.m. - 5 p.m.;TUE:7 a.m. - 5 p.m.;WED:7 a.m. - 5 p.m.;THU:7 a.m. - 5 p.m.;FRI:7 a.m. - 5 p.m.;SAT:Unattended;SUN:Unattended;,,
,21575,2401 JEAN-JACQUES COSSETTE,,VAL D'OR,Quebec,J9P6Y3,Canada,8198252850,48.113907,-77.782323,MON:8 a.m. - 6 p.m.;TUE:8 a.m. - 6 p.m.;WED:8 a.m. - 6 p.m.;THU:8 a.m. - 6 p.m.;FRI:8 a.m. - 6 p.m.;SAT:Unattended;SUN:Unattended;,,
,21960,2550 BOUL DES RECOLLETS,,TROIS RIVIÈRES,Quebec,G8Z3X7,Canada,8193703574,46.335367,-72.576571,MON:Open 24 hours;TUE:Open 24 hours;WED:Open 24 hours;THU:Open 24 hours;FRI:Open 24 hours;SAT:Open 24 hours;SUN:Open 24 hours;,,
,36622,41 DUNCAN STREET WEST,,YORKTON,Saskatchewan,S3N0G3,Canada,3067834567,51.19485,-102.448727,MON:Open 24 hours;TUE:Open 24 hours;WED:Open 24 hours;THU:Open 24 hours;FRI:Open 24 hours;SAT:Open 24 hours;SUN:Open 24 hours;,,
,38704,24 BROADWAY STREET WEST,,YORKTON,Saskatchewan,S3N0L4,Canada,3067834567,51.210021,-102.464512,MON:Unattended;TUE:Unattended;WED:Unattended;THU:Unattended;FRI:Unattended;SAT:Unattended;SUN:Unattended;,,
,36590,10 HILL AVENUE,,WEYBURN,Saskatchewan,S4H2K3,Canada,3068422434,49.663362,-103.859406,MON:8 a.m. - 5 p.m.;TUE:8 a.m. - 5 p.m.;WED:8 a.m. - 5 p.m.;THU:8 a.m. - 5 p.m.;FRI:8 a.m. - 5 p.m.;SAT:Unattended;SUN:Unattended;,,
,69981,4620 Collier Place,,WILLIAMS LAKE,British Columbia,V2G5E9,Canada,2503924944,52.165206,-122.162175,MON:Unattended;TUE:Unattended;WED:Unattended;THU:Unattended;FRI:Unattended;SAT:Unattended;SUN:Unattended;,,
,69667,1041 GILL ROAD BCR IND SITE,,WILLIAMS LAKE,British Columbia,V2G2V5,Canada,2503924944,52.120295,-122.127607,MON:8 a.m. - 5 p.m.;TUE:8 a.m. - 5 p.m.;WED:8 a.m. - 5 p.m.;THU:8 a.m. - 5 p.m.;FRI:8 a.m. - 5 p.m.;SAT:Unattended;SUN:Unattended;,,
,33486,7995 Dixie Road,,Brampton,Ontario,L6T4P2,Canada,9057934772,43.69507654,-79.70125886,MON:Open 24 hours;TUE:Open 24 hours;WED:Open 24 hours;THU:Open 24 hours;FRI:Open 24 hours;SAT:Open 24 hours;SUN:Open 24 hours;,,
