store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
,21,1313 Mountain Road,,MONCTON,New Brunswick,E1C 2T9,United States,(506) 853-0082,46.110123,-64.8306705,Sunday to Thursday from 11 AM to 10 PM;Friday and Saturday from 11AM to 11 PM,,0
day from 11 AM to 1 AM,,0
,37,2 Milltown Boulevard,,ST. STEPHEN,New Brunswick,E3L 1G3,United States,(506) 466-4147,45.1926912,-67.2766618,Sunday  to Thursday from 11 AM to 10 PM;Friday 11 AM to 11 PM;Saturday 11 AM to 10 PM,,0
,36,115 Canada Street,,ST. QUENTIN,New Brunswick,E8A 1J3,United States,(506) 235-9008,47.5053027,-67.3923073,Sunday to Thursday from 11 AM to 10 PM;Friday and Saturday from 11 AM to 12 AM,,0
,35,285  J.D. Gauthier Boulevard,,SHIPPAGAN,New Brunswick,E8S 1N6,United States,(506) 336-4774,47.7407371,-64.7025769,Sunday from 9 AM to 10 PM;Monday to Thursday from 11 AM to 10 PM;Friday and Saturday from 11 AM to 11 PM,,0
,34,526 Main Street,,SHEDIAC,New Brunswick,E4P 2G9,United States,(506) 532-2488,46.2230028,-64.5246415,Sunday - Wednesday from 11AM - 10PM;Thursday - Saturday from 11AM - 11PM,,0
,32,18 West Main Street,,SAINT JOHN,New Brunswick,E2M 3N1,United States,(506) 635-1811,45.2569424,-66.0996639,Sunday to Thursday from 11 AM to 10 PM;Friday from 11 AM to 12 AM;Saturday from 11 AM to 11 PM,,0
,31,10 Loch Lomond Road,,SAINT JOHN,New Brunswick,E2J 1X2,United States,(506) 633-8110,45.2869474,-66.0422042,Monday to Thursday from 11 AM to 10 PM;Friday from 11 AM to 11 PM;Saturday from 8 AM to 11 PM;Sunday from 8 AM to 10 PM,,0
,30,70 Consumers Drive,,SAINT JOHN,New Brunswick,E2J 4Z3,United States,(506) 636-8080,45.3054715,-66.0195931,Sunday and Monday from 11 AM to 9 PM;Tuesday to Thursday from 11 AM to 10 PM;Friday and Saturday from 11 AM to 11 PM,,0
,29,95 Lansdowne Avenue,,SAINT JOHN,New Brunswick,E2K 2Z9,United States,(506) 634-6814,45.2776493,-66.0768746,Sunday to Thursday from 11 AM to 10 PM;Friday and Saturdau from 11 AM to 11 PM,,0
,28,24 Mallard Drive,,SACKVILLE,New Brunswick,E4L 4C3,United States,(506) 536-5555,45.9078686,-64.3698229,Sunday to Thursday from 11 AM to 9 PM; Friday and Saturday from 11 AM to 10 PM,,0
,27,723 Coverdale Road,,RIVERVIEW,New Brunswick,E1B 3L4,United States,(506) 386-1222,46.0609137,-64.8173712,Sunday to thursday from 11 AM to 10 PM;Friday and Saturday from 11 AM to 11 PM,,0
