store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Presidente Supermarket #39,1736,4753 North Congress Ave,,Boynton Beach ,FL ,33426,United States,,26.5705167,-80.0882224,7:00 a.m. - 10:00 p.m.,,0
Presidente Supermarket #40,1737,1565 S. Congress Ave,,Delray Beach ,FL ,33445,United States,,26.4401562,-80.0915444,7:00 a.m. - 10:00 p.m.,,0
Presidente Supermarket #41 – Coming Soon,1738,NW 54 St and NW 27 Avenue,,Miami ,FL ,33142,United States,,25.8235524,-80.2402147,7:00 a.m. - 10:00 p.m.,,0
Presidente Supermarket #42 – Coming Soon,1739,2450-B N. State Road 7,,Margate ,FL ,33063,United States,,26.2578467,-80.2014632,7:00 a.m. - 10:00 p.m.,,0
Presidente Supermarket #33,1731,7346 W Commercial Blvd,,Fort Lauderdale ,FL ,33319,United States,,26.1930256,-80.2491997,7:00 a.m. - 10:00 p.m.,,0
Presidente Supermarket #34 – Coming Soon,1732,45 SW 8 Avenue,,Miami ,FL ,33130,United States,,25.77303,-80.207323,7:00 a.m. - 10:00 p.m.,,0
Presidente Supermarket #35,1422,3108 S. University Drive,,Miramar ,Florida ,33025,United States,(954) 436-7338,25.9815515,-80.2472672,7:00 a.m. - 10:00 p.m.,,0
Presidente Supermarket #36,1733,8100 N Miami Ave,,Miami ,FL ,33150,United States,,25.8493085,-80.1975317,7:00 a.m. - 10:00 p.m.,,0
Presidente Supermarket #37,1734,1225 45 St,,West Palm Beach ,FL ,33407,United States,,26.7543217,-80.0738618,7:00 a.m. - 10:00 p.m.,,0
Presidente Supermarket #38,1735,3131 Forest Hill Blvd,,West Palm Beach ,FL ,33406,United States,,26.652238,-80.0902468,7:00 a.m. - 10:00 p.m.,,0
Presidente Supermarket #26,207,10927 S.W. 40th Street,,Miami ,Florida ,33165,United States,(305) 551-3334,25.7329918,-80.3726034,7:00 a.m. - 10:00 p.m.,,0
Presidente Supermarket #27,208,495 West 29th Street,,Hialeah ,Florida ,33012,United States,(786) 337-8801,25.8483205,-80.2920227,7:00 a.m. - 10:00 p.m.,,0
Presidente Supermarket #29,209,14778 SW 56th St,,Miami ,Florida ,33185,United States,(305) 387-1900,25.7129381,-80.4330754,7:00 a.m. - 10:00 p.m.,,0
Presidente Supermarket #30 – Coming Soon,1729,Corner of Campbell Dr. & 147 Ave,,Homestead ,FL ,33033,United States,,25.4776578,-80.4281666,7:00 a.m. - 10:00 p.m.,,0
Presidente Supermarket #31,210,3001 NW 17th Ave,,Miami ,Florida ,33142,United States,(305) 633-7029,25.8049335,-80.2233993,7:00 a.m. - 10:00 p.m.,,0
Presidente Supermarket #32,211,1600 79th Street Causeway,,North Bay Village ,Florida ,33151,United States,(305) 868-3816,25.848236,-80.15206,7:00 a.m. - 10:00 p.m.,,0
Presidente Supermarket #19,201,500 SW. 8th St.,,Miami ,Florida ,33130,United States,(305) 856-1314,25.7661548,-80.2024484,7:00 a.m. - 10:00 p.m.,,0
Presidente Supermarket #21,202,18350 NW 7th Ave.,,Miami ,Florida ,33169,United States,(305) 652 1661,25.9436772,-80.2147329,7:00 a.m. - 10:00 p.m.,,0
Presidente Supermarket #22,203,10855 SW 72nd St.,,Miami ,FL Florida ,33173,United States,(305) 270-2120,25.7010418,-80.3693615,7:00 a.m. - 10:00 p.m.,,0
Presidente Supermarket #23,204,2199 N.W. 36th St.,,Miami ,Florida ,33142,United States,(305) 633-0032,25.809627,-80.231719,7:00 a.m. - 10:00 p.m.,,0
Presidente Supermarket #24,205,14870 N Kendall,,Miami ,Florida ,33196,United States,305-386-3304,25.6838333,-80.4327523,7:00 a.m. - 10:00 p.m.,,0
Presidente Supermarket #25,206,621 NW 62nd Street,,Miami ,Florida ,33150,United States,(305) 756-9627,25.8326913,-80.2077341,7:00 a.m. - 10:00 p.m.,,0
