store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Ray's Food Place,44,580 NE Broadway St.,,Waldport,OR,97394,United States,(541) 563-3542,44.429521000000,-124.0607135999,Sunday - Saturday 7:00 AM - 10:00 PM,,0
Ray's Food Place,39,25013 Hwy 126,,Veneta,OR,97487,United States,(541) 935-1811,44.054373,-123.3508155000,Sunday - Saturday 7:00 AM - 10:00 PM,,0
Ray's Food Place,82,215 East Wagner Street,,Talent,OR,97540,United States,(541) 535-2613,42.2435659,-122.7874676000,Sunday - Saturday 7:00 AM - 10:00 PM,,0
Ray's Food Place,45,635 North Arrowleaf Trail,,Sisters,OR,97759,United States,(541) 549-2222,44.2965313,-121.5613574999,Sunday - Saturday 6:30 AM - 10:00 PM,,0
Ray's Food Place,71,110 Deer Creek Rd,,Selma,OR,97538,United States,(541) 597-4349,42.280158,-123.614689,Sunday - Saturday 7:00 AM - 10:00 PM,,0
Ray's Food Place,60,1535 NE 3rd Street,,Prineville,OR,97754,United States,(541) 447-6423,44.303991,-120.8292629,Sunday - Saturday 6:00 AM - 10:00 PM,,0
Ray's Food Place,57,4601 Carnes Rd,,Roseburg,OR,97470,United States,(541) 679-7771,43.147016,-123.3797999999,Sunday - Saturday 7:00 AM - 10:00 PM,,0
Ray's Food Place,5,506 East Main Street,,Rogue River,OR,97537,United States,(541) 582-0772,42.4327541,-123.1638331000,Monday - Sunday 7:00 AM - 10:00 PM,,0
Ray's Food Place,50,48067 Hwy 58,,Oakridge,OR,97463,United States,(541) 782-4283,43.744298,-122.4663329,Sunday - Saturday 7:00 AM - 10:00 PM,,0
Ray's Food Place,17,909 S. Main Street,,Myrtle Creek,OR,97457,United States,(541) 863-4484,43.0193376,-123.2939931999,Sunday - Saturday 7:00 AM - 10:00 PM,,0
Ray's Food Place,55,1555 Oregon Street,,Port Orford,OR,97465,United States,(541) 332-1185,42.750714,-124.4983967,Sunday - Saturday 7:00 AM - 10:00 PM,,0
Ray's Food Place,12,3500 Merlin Road,,Merlin ,OR,97526,United States,(541) 476-4551,42.4966649,-123.3692733000,Sunday - Saturday 6:30 AM - 10:00 PM,,0
Ray's Food Place,10,735 N Main Street,,Phoenix,OR,97535,United States,(541) 535-5766,42.2791411,-122.8224963000,Sunday - Saturday 7:00 AM - 11:00 PM,,0
Ray's Food Place,76,51537 Highway 97,,La Pine,OR,97739,United States,(541) 536-2041,43.6723021,-121.5029476999,Sunday - Saturday  7:00 AM - 10:00 PM,,0
Ray's Food Place,63,401 North 5th Street,,Jacksonville,OR,97530,United States,(541) 899-1262,42.3156517,-122.9648116999,Sunday - Saturday 6:00 AM - 10:00 PM,,0
Ray's Food Place,43,868 2nd Ave,,Gold Hill,OR,97525,United States,(541) 855-1505,42.4314242,-123.0551077000,Sunday - Saturday 7:00 AM - 10:00 PM,,0
Ray's Food Place,8,29560 Ellensburg Ave,,Gold Beach,OR,97444,United States,(541) 247-7721,42.4094477,-124.4210117999,Sunday - Saturday 7:00 AM - 10:00 PM,,0
Ray's Food Place,61,11100 Hwy 62,,Eagle Point,OR,97524,United States,(541) 826-5925,42.471086199999,-122.8111197,Sunday - Saturday 7:00 AM - 10:00 PM,,0
Ray's Food Place,81,308 North First Street,,Drain,OR,97435,United States,(541) 836-2622,43.6637132,-123.3149159000,Sunday - Saturday 6:00 AM - 10:00 PM,,0
Ray's Food Place,9,126 E. Pine Street,,Central Point,OR,97502,United States,(541) 664-3344,42.3739759,-122.9161381000,Sunday - Saturday 6:00 AM - 10:00 PM,,0
Ray's Food Place,66,151 NE Main St,,Canyonville,OR,97417,United States,(541) 839-4228,42.9291655,-123.2796882999,Sunday - Saturday 7:00 AM - 10:00 PM,,0
Ray's Food Place,18,66 Michigan Ave NE,,Bandon,OR,97411,United States,(541) 347-2223,43.1206029,-124.4000679000,Sunday - Saturday 7:00 AM - 11:00 PM,,0
Ray's Food Place,75,38915 State Highway 299,,Willow Creek,CA,95573,United States,(530) 629-2457,40.94059,-123.6326900000,Sunday - Saturday 7:00 AM - 10:00 PM,,0
