store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Reebok Outlet Store,11,Sportsworld Crossing Centre 50 Sportsworld Crossing Road,,Kitchener,Ontario,N2P 0A4,Canada,519-650-1951,43.409217,-80.394376,"Mon-Fri: 10-9;
Saturday: 930-6;
Sunday: 11-5",,0
Reebok Outlet Store,10,Heartland Town Centre 1-6055 Mavis Road Mississauga,,Mississauga,Ontario,L5R 4G6,Canada,905-502-5305,43.613545,-79.696730,"Mon-Fri: 10-9;
Saturday: 10-6;
Sunday: 11-5",,0
Reebok Outlet Store,17,503-300 Taylor Road  Niagara on the Lake,,St. Catherines,Ontario,L0S 1J0,Canada,905-641-9820,43.157779,-79.168108,Mon-Sat: 10-9; Sunday: 1-7,,0
Reebok Outlet Store,15,Toronto Premium Outlets 724-13850 Steeles Ave W. Halton Hills,,Halton Hills,Ontario,L7G 0J1,Canada,905-878-7263,43.575485,-79.829542,Mon-Fri: 10-9;Saturday: 930-9;Sunday: 11-7,,0
Reebok Outlet Store,14,South Edmonton Common 1436 Parsons Road NW Edmonton,,Edmonton,Alberta,T6N 0B5,Canada,780-436-6300 ,53.442511,-113.482335,Mon-Fri: 10-9;Saturday: 10-6;Sunday: 11-5,,0
Reebok Outlet Store,24,5000 Canoe Pass Way,,Tsawwassen,BC,V4M 0B3,Canada,604-948-9242,49.038346,-123.085713,Mon-Sat: 10-9;Sunday: 10-7,,0
Reebok Outlet Store,25,100 Rue Guindon,,Saint-Sauveur,QC,J0R 1R3,Canada,450-227-8597,45.891442,-74.147667,Mon-Wed: 10-6;Thu-Fri:10-9;Sat-Sun: 10-5,,0
Reebok Outlet Store,13,Queensborough Landing Shopping Center Unit D130-805 Boyd Street New Westminster,,New Westminster,British Columbia,V3M 5X2,Canada,604-524-3554,49.193502,-122.949517,"Mon-Wed: 10-6;
Thu-Fri: 10-9;
Saturday: 10-6;
Sunday: 11-6",,0
Reebok Fit Hub,12,Cross Iron Mills 609-261055 Cross Iron Blvd Rocky View,,Rocky View,Alberta,T4A 0G3,Canada,403-230-5199,51.201148,-113.994917,Mon-Sat: 10-9;Sunday: 11-6,,0
Reebok Fit Hub,20,1204 Sainte-Catherine Street W. Montreal,,Montreal,Québec,H3B 1K1,Canada,514-876-4143,45.498656,-73.574219,"Mon-Wed 10-6;
Thu-Fri 10-9;
Saturday 10-6;
Sunday 11-5",,0
Reebok Outlet Store,21,980-333 Huntmar Drive Ottawa,,Ottawa,Ontario,K0A 1L0,Canada,613-831-4977,45.299336,-75.933332,Mon-Sat: 9:30-9; Sunday: 10-6,,0
Reebok Outlet Store,22,652-18200 Boulevard de Versailles Mirabel,,Mirabel,Québec,J7J 0A1,Canada,450-434-5534,45.677149,-73.918909,Mon-Wed 10-6;Thu-Fri 10-9;Saturday 9-5;Sunday 10-5,,0
Reebok Outlet Store,23,"1555 Talbot Road Unit 620 
Windsor",,Windsor,Ontario,N9H 2N2,Canada,519-966-2156,42.239648,-83.013811,Mon-Fri: 10-9;Saturday:9-6; Sunday: 11-5,,0
Reebok Outlet,19,701-582 Chemin De Tourraine Boucherville,,Boucherville,Québec,J4B 5E4,Canada,450-449-4349,45.575278,-73.404317,"Mon-Wed: 10-6;
Thu-Fri: 10-9;
Saturday: 9-5;
Sunday: 10-5",,0
Reebok Outlet Store,1,108 Hollidge Blvd Unit A Aurora,,Aurora,Ontario,L4G 8A3,Canada,905-751-0619,44.009637,-79.442125,"Mon - Fri:  10-8;
Saturday:  10-6;
Sunday:  11-5",,0
Reebok Outlet Store,3,St. Jacobs Factory Outlet Mall 25 Benjamin Road Waterloo,,Waterloo,Ontario,N2V 2G8,Canada,519-746-3666,43.509610,-80.554445,"Mon-Fri: 9:30-9;
Saturday: 8:30-6;
Sunday: 11-5",,0
Reebok Outlet Store,2,Tanger Outlets Cookstown 3311 Highway 89 Suite C21-C24,,Cookstown,Ontario,L0L 1L0,Canada,705-458-2550,44.198758,-79.651386,"Mon - Sat: 930-9;
Sunday: 10-6",,0
Reebok Outlet Store,5,King’s Crossing Fashion Outlet Center 13-97 Dalton Avenue Kingston,,Kingston,Ontario,K7K 0C4,Canada,613-634-7052,44.265969,-76.501569,Mon-Fri: 10-8;Sat-Sun: 10-6,,0
Reebok Outlet Store,4,Canada One Factory Outlets 7500 Lundy's Lane #A3,,Niagara Falls,Ontario,L2H 1G8,Canada,905-356-5942,43.087889,-79.120500,"Mon-Fri: 10-9;
Sat-Sun: 10-6

",,0
Reebok Outlet Store,7,Vaughan Mills Shopping Center 349-1 Bass Pro Drive Vaughan,,Vaughan,Ontario,L4K 5W4,Canada,905-761-1019,43.826163,-79.534705,"Mon-Sat: 10-9;
Sunday: 11-7",,0
Reebok Outlet Store,9,Carrefour Champêtre Bromont 60 Rue de la Rive Droite Bromont,,Bromont,Québec,J2L 0A3,Canada,450-534-4291,45.334879,-72.650445,"Mon-Wed: 10-6;
Thu-Fri: 10-9;
Sat-Sun: 10-5",,0
Reebok Outlet Store,8,Centre D'Achats Hudson 3100 Rte Harwood local 105 Vaudreuil-Dorion,,Vaudreuil-Dorion,Québec,J7V 8P2,Canada,450-424-8649,45.427720,-74.110596,"Mon-Wed: 10-6;
Thu-Fri: 10-9;
Sat-Sun: 10-5",,0
