store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Edwin Watts Golf,75,946 Orleans Rd.,,Charleston,South Carolina,29407,United States,843-763-1995,32.797781,-80.028158,weekday:10:00 am - 7:00 pm;sat:9:00 am - 6:00 pm;sun:10:00 am - 7:00 pm;,,0
Edwin Watts Golf,117,230 Retreat Village,,St. Simons Island,Georgia,31522,United States,912-638-5034,31.159005,-81.391218,weekday:9:00 am - 6:00 pm;sat:9:00 am - 6:00 pm;sun:9:00 am - 6:00 pm;,,0
Edwin Watts Golf,15,"11921 N. Dale Mabry, Ste. 9",,Tampa,Florida,33618,United States,813-960-5330,28.057700,-82.502839,weekday:10:00 am - 7:00 pm;sat:10:00 am - 6:00 pm;sun:10:00 am - 7:00 pm;,,0
The Golf Mart,27,4200 Wyoming Blvd NE Suite A5,,Albuquerque,New Mexico,87111,United States,505-299-0998,35.128571,-106.550147,weekday:9:00 am - 7:00 pm;sat:9:00 am - 6:00 pm;sun:9:00 am - 7:00 pm;,,0
Edwin Watts Golf,4,5711 N. Davis Hwy,,Pensacola,Florida,32503,United States,850-477-0519,30.47962,-87.224525,weekday:10:00 am - 6:00 pm;sat:9:00 am - 6:00 pm;sun:10:00 am - 6:00 pm;,,0
Edwin Watts Golf,5,34898 Emerald Coast Pkwy,,Destin,Florida,32541,United States,850-654-0363,30.387869,-86.428943,weekday:9:00 am - 6:00 pm;sat:9:00 am - 6:00 pm;sun:9:00 am - 6:00 pm;,,0
Edwin Watts Golf,7,3889 Northlake Blvd.,,Palm Beach Gardens,Florida,33403,United States,561-625-6430,26.808846,-80.096453,weekday:9:00 am - 7:00 pm;sat:9:00 am - 6:00 pm;sun:9:00 am - 7:00 pm;,,0
Edwin Watts Golf,8,32257 US Hwy 19 N,,Palm Harbor,Florida,34684,United States,727-787-3370,28.065687,-82.738164,weekday:10:00 am - 7:00 pm;sat:10:00 am - 6:00 pm;sun:10:00 am - 7:00 pm;,,0
Edwin Watts Golf,12,"19595 State Rd 7, Suite C",,Boca Raton,Florida,33498,United States,561-717-8432,26.385975,-80.204927,weekday:9:00am - 7:00pm;sat:9:00am - 6:00pm;sun:9:00am - 7:00pm;,,0
Edwin Watts Golf,13,7501 Turkey Lake Rd.,,Orlando,Florida,32819,United States,407-345-8451,28.455188,-81.476145,weekday:9:00 am - 8:00 pm;sat:9:00 am - 7:00 pm;sun:9:00 am - 8:00 pm;,,0
Edwin Watts Golf,16,15100 N. Biscayne Blvd.,,North Miami Beach,Florida,33160,United States,305-944-2925,25.915323,-80.157065,weekday:10:00 am - 7:00 pm;sat:10:00 am - 6:00 pm;sun:10:00 am - 7:00 pm;,,0
Edwin Watts Golf - Clearance Center,17,7024 International Dr.,,Orlando,Florida,32819,United States,407-352-2535,28.456924,-81.472945,weekday:10:00 am - 8:00 pm;sat:10:00 am - 7:00 pm;sun:10:00 am - 8:00 pm;,,0
Edwin Watts Golf,20,5600 N. Federal Hwy,,Fort Lauderdale,Florida,33308,United States,954-771-3256,26.197256,-80.110537,weekday:10:00 am - 7:00 pm;sat:10:00 am - 6:00 pm;sun:10:00 am - 7:00 pm;,,0
Edwin Watts Golf,21,4625 Poplar Ave,,Memphis,Tennessee,38117,United States,901-767-1244,35.11641,-89.907909,weekday:9:00 am - 6:00 pm;sat:9:00 am - 6:00 pm;sun:9:00 am - 6:00 pm;,,0
Edwin Watts Golf,22,2423 Capital Circle NE,,Tallahassee,Florida,32308,United States,850-383-6935,30.484315,-84.236767,weekday:9:00 am - 6:00 pm;sat:9:00 am - 5:00 pm;sun:9:00 am - 6:00 pm;,,0
Edwin Watts Golf,23,"9365 Philips Hwy, STE 110",,Jacksonville,Florida,32256,United States,904-332-0933,30.200185,-81.561608,weekday:9:00 am - 7:00 pm;sat:9:00 am - 6:00 pm;sun:9:00 am - 7:00 pm;,,0
Edwin Watts Golf,25,4082 South 3rd Street,,Jacksonville Beach,Florida,32250,United States,904-246-7893,30.257566,-81.389937,weekday:10:00 am - 7:00 pm;sat:10:00 am - 6:00 pm;sun:10:00 am - 7:00 pm;,,0
Edwin Watts Golf,26,1540 Wells Road,,Orange Park,Florida,32073,United States,904-264-9801,30.188948,-81.713894,weekday:9:00 am - 6:00 pm;sat:9:00 am - 6:00 pm;sun:9:00 am - 6:00 pm;,,0
Edwin Watts Golf,31,820 East County Line Rd.,,Ridgeland,Mississippi,39157,United States,601-956-8784,32.399711,-90.142652,weekday:9:00 am - 6:00 pm;sat:9:00 am - 6:00 pm;sun:9:00 am - 6:00 pm;,,0
