store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Save-A-Lot,Store 489,1616 Mill Square,,Alexander City,AL,35010,US,(256) 215-4197,32.9355,-85.9719,Wed:08:00 AM-10:00 PM;Sun:09:00 AM-07:00 PM;Thu:08:00 AM-10:00 PM;Mon:08:00 AM-10:00 PM;Fri:08:00 AM-10:00 PM;Tue:08:00 AM-10:00 PM;Sat:08:00 AM-10:00 PM;,,0
Save-A-Lot,Store 685,2580 Pepperell Pkwy,,Opelika,AL,36801,US,(334) 741-8260,32.6368,-85.4162,Wed:08:00 AM-09:00 PM;Sun:09:00 AM-07:00 PM;Thu:08:00 AM-09:00 PM;Mon:08:00 AM-09:00 PM;Fri:08:00 AM-09:00 PM;Tue:08:00 AM-09:00 PM;Sat:08:00 AM-09:00 PM;,,0
Save-A-Lot,Store 386,204 W Fort Williams,,Sylacauga,AL,35150,US,(256) 245-6837,33.1673,-86.2545,Wed:08:00 AM-10:00 PM;Sun:09:00 AM-07:00 PM;Thu:08:00 AM-10:00 PM;Mon:08:00 AM-10:00 PM;Fri:08:00 AM-10:00 PM;Tue:08:00 AM-10:00 PM;Sat:08:00 AM-10:00 PM;,,0
Save-A-Lot,Store 24052,3108 McLellan Blvd,,Anniston,AL,36204,US,(256) 235-2568,33.6847,-85.8232,Wed:08:00 AM-08:00 PM;Sun:09:00 AM-07:00 PM;Thu:08:00 AM-08:00 PM;Mon:08:00 AM-08:00 PM;Fri:08:00 AM-08:00 PM;Tue:08:00 AM-08:00 PM;Sat:08:00 AM-08:00 PM;,,0
Save-A-Lot,Store 24050,511 Alabama Ave,,Bremen,GA,30110,US,(770) 537-0436,33.7156,-85.1434,Wed:08:00 AM-09:00 PM;Sun:08:00 AM-09:00 PM;Thu:08:00 AM-09:00 PM;Mon:08:00 AM-09:00 PM;Fri:08:00 AM-09:00 PM;Tue:08:00 AM-09:00 PM;Sat:08:00 AM-09:00 PM;,,0
Save-A-Lot,Store 580,4217 Hamilton,,Columbus,GA,31904,US,(706) 327-4705,32.5042,-84.9727,Wed:08:00 AM-10:00 PM;Sun:09:00 AM-07:00 PM;Thu:08:00 AM-10:00 PM;Mon:08:00 AM-10:00 PM;Fri:08:00 AM-10:00 PM;Tue:08:00 AM-10:00 PM;Sat:08:00 AM-10:00 PM;,,0
Save-A-Lot,Store 472,3360 Buena Vista,,Columbus,GA,31906,US,(706) 682-5692,32.4531,-84.9392,Wed:08:00 AM-09:00 PM;Sun:09:00 AM-07:00 PM;Thu:08:00 AM-09:00 PM;Mon:08:00 AM-09:00 PM;Fri:08:00 AM-09:00 PM;Tue:08:00 AM-09:00 PM;Sat:08:00 AM-09:00 PM;,,0
Save-A-Lot,Store 23706,554 N Main St,,Cedartown,GA,30125,US,(770) 749-9844,34.0214,-85.2519,Wed:09:00 AM-09:00 PM;Sun:09:00 AM-09:00 PM;Thu:09:00 AM-09:00 PM;Mon:09:00 AM-09:00 PM;Fri:09:00 AM-09:00 PM;Tue:09:00 AM-09:00 PM;Sat:09:00 AM-09:00 PM;,,0
Save-A-Lot,Store 23454,301b N 12th St,,Gadsden,AL,35901,US,(256) 543-1695,34.0235,-86.0202,Wed:08:00 AM-08:00 PM;Sun:08:00 AM-08:00 PM;Thu:08:00 AM-08:00 PM;Mon:08:00 AM-08:00 PM;Fri:08:00 AM-08:00 PM;Tue:08:00 AM-08:00 PM;Sat:08:00 AM-08:00 PM;,,0
Save-A-Lot,Store 8023,1245 Veteran's Memorial Pkwy,,Mableton,GA,30126,US,(770) 745-9324,33.8158,-84.5902,Wed:08:00 AM-09:00 PM;Sun:09:00 AM-08:00 PM;Thu:08:00 AM-09:00 PM;Mon:08:00 AM-09:00 PM;Fri:08:00 AM-09:00 PM;Tue:08:00 AM-09:00 PM;Sat:08:00 AM-09:00 PM;,,0
Save-A-Lot,8040,511 N 18th Ave,,Columbus,MS,39705,US,Coming Soon!,33.5167,-88.4308,,,0
Save-A-Lot,Store 24046,3067 Mcfarland Blvd,,Northport,AL,35476,US,(205) 330-0006,33.2402,-87.5857,Wed:08:00 AM-08:00 PM;Sun:08:00 AM-08:00 PM;Thu:08:00 AM-08:00 PM;Mon:08:00 AM-08:00 PM;Fri:08:00 AM-08:00 PM;Tue:08:00 AM-08:00 PM;Sat:08:00 AM-08:00 PM;,,0
Save-A-Lot,Store 45112,411 West Main St,,Westpoint,MS,39773,US,(662) 494-0357,33.6086,-88.6563,Wed:08:00 AM-08:00 PM;Sun:08:00 AM-08:00 PM;Thu:08:00 AM-08:00 PM;Mon:08:00 AM-08:00 PM;Fri:08:00 AM-08:00 PM;Tue:08:00 AM-08:00 PM;Sat:08:00 AM-08:00 PM;,,0
