store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Malibu,,3896 Cross Creek Rd.,,Malibu,CA,90265,US,(310) 317-6767,,,Monday:10AM - 7PM;Tuesday:10AM - 7PM;Wednesday:10AM - 7PM;Thursday:10AM - 7PM;Friday:10AM - 7PM;Saturday:10AM - 7PM;Sunday:10AM - 7PM;,,
Mission Viejo,,498 The Shops at Mission Viejo,,Mission Viejo,CA,92691,US,(949) 364-3449,,,Monday:10AM - 9PM;Tuesday:10AM - 9PM;Wednesday:10AM - 9PM;Thursday:10AM - 9PM;Friday:10AM - 9PM;Saturday:10AM - 7PM;Sunday:11AM - 6PM;,,
"The Summit, Birmingham",,225 Summit Boulevard,,Birmingham,AL,35243,US,(205) 969-4848,,,Monday:10AM - 9PM;Tuesday:10AM - 9PM;Wednesday:10AM - 9PM;Thursday:10AM - 9PM;Friday:10AM - 9PM;Saturday:10AM - 9PM;Sunday:12PM - 6PM;,,
"Manhattan Village Shopping Center, Manhattan Beach",,3200 Sepulveda Blvd.,,Manhattan Beach,CA,90266,US,(310) 546-8889,,,Monday:10AM - 9PM;Tuesday:10AM - 9PM;Wednesday:10AM - 9PM;Thursday:10AM - 9PM;Friday:10AM - 9PM;Saturday:10AM - 8PM;Sunday:11AM - 6PM;,,
"Waterside Marina Del Rey, Marina Del Rey",,4766 Admiralty Way,,Marina Del Rey,CA,90292,US,(310) 305-4193,,,Monday:10AM - 8PM;Tuesday:10AM - 8PM;Wednesday:10AM - 8PM;Thursday:10AM - 8PM;Friday:10AM - 8PM;Saturday:10AM - 8PM;Sunday:10AM - 8PM;,,
Emeryville,,5626 Bay Street,,Emeryville,CA,94608,US,(510) 547-6200,,,Monday:10AM - 8PM;Tuesday:10AM - 8PM;Wednesday:10AM - 8PM;Thursday:10AM - 9PM;Friday:10AM - 9PM;Saturday:10AM - 9PM;Sunday:11AM - 7PM;,,
"Beverly Drive, Los Angeles",,270 N. Beverly Dr.,,Los Angeles,CA,90210,US,(310) 860-9581,,,Monday:10AM - 8PM;Tuesday:10AM - 8PM;Wednesday:10AM - 8PM;Thursday:10AM - 8PM;Friday:10AM - 8PM;Saturday:10AM - 8PM;Sunday:11AM - 7PM;,,
"The Grove, Los Angeles",,189 The Grove Drive,,Los Angeles,CA,90036,US,(323) 937-0347,,,Monday:10AM - 9PM;Tuesday:10AM - 9PM;Wednesday:10AM - 9PM;Thursday:10AM - 9PM;Friday:10AM - 9PM;Saturday:10AM - 10PM;Sunday:11AM - 8PM;,,
"Vintage Faire Mall, Modesto",,3401 Dale Road,,Modesto,CA,95356,US,(209) 341-0100,,,Monday:10AM - 9PM;Tuesday:10AM - 9PM;Wednesday:10AM - 9PM;Thursday:10AM - 9PM;Friday:10AM - 9PM;Saturday:10AM - 9PM;Sunday:11AM - 7PM;,,
Culver City,,6000 Sepulveda Blvd.,,Culver City,CA,90230,US,(310) 915-1542,,,Monday:10AM - 9PM;Tuesday:10AM - 9PM;Wednesday:10AM - 9PM;Thursday:10AM - 9PM;Friday:10AM - 9PM;Saturday:10AM - 9PM;Sunday:11AM - 7PM;,,
Montclair,,2061 Montclair Plaza Lane,,Montclair,CA,91763,US,(909) 447-4174,,,Monday:10AM - 8:30PM;Tuesday:10AM - 8:30PM;Wednesday:10AM - 8:30PM;Thursday:10AM - 8:30PM;Friday:10AM - 8:30PM;Saturday:10AM - 8:30PM;Sunday:11AM - 7PM;,,
"Americana, Glendale",,230 Americana Way,,Glendale,CA,91210,US,(818) 502-9787,,,Monday:10AM - 9PM;Tuesday:10AM - 9PM;Wednesday:10AM - 9PM;Thursday:10AM - 9PM;Friday:10AM - 10PM;Saturday:10AM - 10PM;Sunday:11AM - 8PM;,,
"Hollywood & Highland, Hollywood",,6801 Hollywood Blvd.,,Hollywood,CA,90028,US,(323) 462-6898,,,Monday:10AM - 10PM;Tuesday:10AM - 10PM;Wednesday:10AM - 10PM;Thursday:10AM - 10PM;Friday:10AM - 10PM;Saturday:10AM - 10PM;Sunday:10AM - 8PM;,,
"Fresno Fashion Fair, Fresno",,639 East Shaw Ave.,,Fresno,CA,93710,US,(559) 222-3434,,,Monday:10AM - 9PM;Tuesday:10AM - 9PM;Wednesday:10AM - 9PM;Thursday:10AM - 9PM;Friday:10AM - 9PM;Saturday:10AM - 7PM;Sunday:11AM - 6PM;,,
"Beverly Center, Los Angeles",,8500 Beverly Blvd.,,Los Angeles,CA,90048,US,(310) 657-9670,,,Monday:10AM - 9PM;Tuesday:10AM - 9PM;Wednesday:10AM - 9PM;Thursday:10AM - 9PM;Friday:10AM - 9PM;Saturday:10AM - 8PM;Sunday:11AM - 6PM;,,
Huntington Beach,,21040 Pacific Coast Highway,,Huntington Beach,CA,92648,US,(714) 536-1415,,,Monday:10AM - 9PM;Tuesday:10AM - 9PM;Wednesday:10AM - 9PM;Thursday:10AM - 9PM;Friday:10AM - 9PM;Saturday:10AM - 8PM;Sunday:11AM - 6PM;,,
Saskatoon,,201 1 Avenue South,,Saskatoon,SK,S7K,US,(306) 978-3733,,,Monday:9:30AM - 7PM;Tuesday:9:30AM - 7PM;Wednesday:9:30AM - 9PM;Thursday:9:30AM - 9PM;Friday:9:30AM - 9PM;Saturday:9:30AM - 7PM;Sunday:11AM - 6PM;,,
"Quebec Capitale, Quebec",,"5401, boulevard des Galeries",,Quebec,QC,G2K,US,(418) 626-4645,,,Monda
