store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Hefei Wan Da Mao shop,,"China 's Hefei City Binhu District Luzhou Road 800 Hefei Wan Da Mao 1026,1027 shops",,,,,China,(0551) 62991278,117.312053,-31.710697,10:00-22:00,,0
Ma On Shan Golden Eagle Plaza Shop,,"China 's Ma On Shan City Huashan District, Hunan West Road on the 8th Ma On Shan Golden Eagle International Shopping Center",,,,,China,(0555) 3182473,118.513247,-31.691116, 10:00 -22:00,,0
Hefei Vientiane City shop,,"China 's Hefei City, Anhui Province, Shushan District, 111 buried hill Road, Vientiane City,",,,,,China,(0551) 65583967,117.241479,-31.858133, 10:00 -22:00,,0
Ma On Shan Wanda shop,,"322 Wanda Plaza, 3200 Taibai Lou Avenue, Maanshan City",,,,,China,(0555) 2338838,118.509358,-31.666716,10:00 - 22:00,,0
Bengbu Wanda shop,,"No.588, Gongnong Road, Bengbu City, Anhui Province, Wanda Plaza, 1F, Shop No. 1010/101",,,,,China,(0552)3718807,117.366478,-32.925347,09:30 - 22:00,,0
Wuhu Jinghu Wanda shop,,"Wuhu City, Anhui Province, Jinghu District Ocher Hill Road on the 1st Wanda Plaza",,,,,China,0553-3997066,118.405177,-31.344563,09:30-22:00,,0
Hefei Baohe Wanda shop,,China 's Hefei City Baohe District Ma On Shan Road No,,,,,China,(0551) 2891 428,117.309799,-31.863138,10:00-22:00,,0
Hefei Swan Lake Wanda shop,,"No.318, South Second Ring Road, Shushan District, Hefei SEPHORA (1-16,1-17)",,,,,China,0551-5990228,117.228383,-31.826459,09:30-22:00,,0
Hefei heart city shop,,"China 's Hefei City, 189 Yangtze River Road, the first floor of the heart",,,,,China,（0551）-5189363,39.943,- 116.41,10:00-22:00  ,,0
Beijing Fengtai Wanda shop,,"China 's Fengtai City, Beijing Fengke Road, No. 1036, No. 1036",,,,,China,(010) 6379 9166,116.304993,-39.830488,10:00 - 22:00,,0
Beijing Xiangyun town shop,,"Beijing Shunyi District Airport Street Aetai Street, No. 6, Building 3, 108 Xiangyun Town, shopping malls 3-108 shops",,,,,China,(010)80472670,116.543858,-40.094656, 10:00 - 20:00,,0
Beijing Yingyi IKEA store,,"Address: 15 / F, IKEA Shopping Center, 15 Xinning Street, Daxing District, Beijing, China",,,,,China,(010) 80225981,116.332728,-39.794709, 10:00 - 22:00,,0
Beijing Longhu Chang Ying Tianjie shop,,"Chaoyang District, Beijing Chang Tong Road on the 2nd Longhu Long Ying Street on the 1st floor",,,,,China,(010) 65434260,116.60211,-39.930792, 10:00 - 22:00,,0
Beijing Oriental Xintiandi shop,,"Beijing Dongcheng Xintiandi shopping mall on the 1st floor of East Chang'an Avenue, Dongcheng District, Beijing",,,,,China,(010) 85181810,116.415831,-39.915988,10:00 -22:00,,0
Beijing Tongzhou Wanda shop,,"3rd Floor, Wanda Plaza, No.58 Xinhua West Street, Tongzhou District, Beijing",,,,,China,(010) 50906101,116.64465,-39.911719, 10:00 - 22:00,,0
Beijing Shijingshan Wanda shop,,"Shijingshan District, Beijing Shijingshan Road B, No. 18 Wanda Plaza, Building 3, 4M pedestrian street 129/130 shops",,,,,China,(010)68661878,116.232453,-39.912691,10:00 - 22:00,,0
Beijing Hualian Yizhuang shop,,"Building 1, Ronghua Middle Road, Beijing Economic Development Zone, Building 1, F1-06 / 07/08/09",,,,,China,(010)52595490,116.508318,-39.811427,10:00 - 22:00,,0
Beijing Jinyu Wanke shop,,Beijing Changping District South Ring Road on the 10th hospital Jinyu Vanke L1016 shops,,,,,China,(010)60734182,116.246442,-40.218315,10:00 - 22:00,,0
Beijing Hualian Shunyi shop,,"Shunyi District, Beijing Xin Shun South Street on the 8th hospital 1 F1-51B",,,,,China,(010)89462610,116.65894,-40.135569,09:00 - 21:00,,0
Beijing Joy City flagship store,,"Beijing Xicheng District Xidan North Street, No. 131 Xidan Joy City 1F-07 shops",,,,,China,(010)59711590,116.37893,-39.916752,10:00 - 22:00,,0
Beijing Hualian Wangjing shop,,"No.43, Guangshun North Street, Chaoyang District, Beijing, China Wangjing Shopping Center Beijing Hualian Department Store 1st Floor",,,,,China,(010) 8472 9388,116.475586,-39.997575,10:00 - 22:00,,0
Beijing Kaide Xizhi stores,,"China 's Xicheng District, Beijing Xizhimen Street on the 1st Kaide MALL layer 6/7/8",,,,,China,(010) 5830 2408,116.35908,-39.94711,10:00 - 22:00,,0
Beijing Blue Harbor Store,,"China 's Chaoyang District, Beijing Chaoyang Park Road on the 6th Blue Harbor Business District 1B1-7 shops",,,,,China,(010) 5905 6200,116.482291,-39.955169,10:00 - 22:00,,0
Beijing Longde Plaza store,,"China 's Changping District of Beijing Li Tang Road 186, Long De Plaza, a layer of 135/136 shops",,,,,China,(010) 8482 5952,116.422077,-40.065981,10:00 - 22:00,,0
Beijing R & F Plaza,,"China 's Beijing Chaoyang District, East Third Ring Road on the 65th floor of the first floor of R & F Plaza, 134-137 shops",,,,,China,(010) 5903 7488,116.467342,-39.901553,10:00 - 22:00,,0
Beijing Arima fashion shop,,"China 's Haidian District, Beijing Zhongguancun South Street on the 2nd floor of the Arima Fashion Shopping Center",,,,,China,(010) 5162 6125,116.329903,-39.971415,10:00 - 22:00,,0
Beijing Guorui Center Store,,"China 's Chongwen District, Beijing, China on the 18th floor of the country on the first floor of Chong Chong Shopping Center",,,,,China,(010) 6718 1195,116.426603,-39.904807,10:00 - 22:00,,0
Beijing Raffles shop,,"China 's Dongcheng District, Beijing Dongzhimen Southwest corner Raffles shopping mall layer L1-12A",,,,,China,(010) 8409 4838,116.438318,-39.947079,10:00 - 22:00,,0
Beijing World Trade Day order shop,,"China 's Chaoyang District, Beijing, China Guanghua Road on the 9th World Trade Day on the first floor of the first floor of 134-135 shops",,,,,China,(010) 6587 2685,116.459587,-39.921882,10:00 - 22:00,,0
Beijing Europe and the United States shop,,"Haidian District, Beijing, China Zhongguancun Duling Street on the 1st of Europe and the United States Shopping Center, a layer of 18-19 shops",,,,,China,(010) 8248 8128,39.9800,- 116.3144,10:00 - 22:00,,0
Beijing Chaoyang Joy City store,,"China 's Chaoyang District, Beijing Chaoyang North Road, No. 101, northwest of the city of grain",,,,,China,(010) 8552 7802,116.524778,-39.934848,10:00 - 22:00,,0
Beijing You Tang life square shop,,"China 's Chaoyang District, Beijing Municipality Mitutoyo North Life Plaza, the second phase of 103 shops",,,,,China,(010) 8563 5993,116.442515,-39.927554,10:00 - 22:00,,0
Beijing Yi Di Hong Kong shop,,"China 's Chaoyang District, Beijing Jiuxianqiao Road on the 18th Yi Di a layer of 47-49 shops",,,,,China,(010) 84260332,116.498089,-39.97647,11:00-20:00 ,,0
Beijing Jinyuan new Lufthansa shop,,"No.1, Yuanda Road, Haidian District, Beijing, China",,,,,China,(010)88894986,116.293997,-39.96986,10:00 - 22:00,,0
Beijing Yintai Dahongmen shop,,"Building 10, No. 101, Majiapu Road, Fengtai District, Beijing, China",,,,,China,（010) 5653 0806,116.391877,-39.85109,10:00 - 22:00,,0
Beijing Golden Plaza store,,"L115-L117, Jin Di Plaza, No. 91 Jianguo Road, Chaoyang District, Beijing, China",,,,,China,(010)85713188,27.0,- 119.3,10:00 - 22:00,,0
Fuzhou Taihe shop,,"China's Fujian Province, Fuzhou City, Jin'an District, Yuefeng Town, Zhuyu Road on the 6th East Second Ring Taihe City Plaza, a layer",,,,,China,(0591) 8350 0636,119.332572,-26.145911, 10:00 - 20:00,,0
Xiamen SM new life square shop,,"China's Xiamen City, Siming District, No. 399 Jiahe Road, Xiamen SM New Life Square, a layer of shops C126-129",,,,,China,(0592) 505 3303,118.131453,-24.507988,10:00 - 22:00,,0
Xiamen to elegant department store,,"China's Xiamen City, Fujian Province, Siming District, Zhongshan Road, 193-215 to a department store a layer of Sephora shop",,,,,China,(0592) 210 8663,118.087728,-24.46076,10:00 - 22:00,,0
Quanzhou Puxi Wanda shop,,"Quanzhou, Fujian Province Fengze District Baozhou Road 689, Wanda Plaza, 158 shops on the first floor",,,,,China,0595-28687008,118.597223,-24.895465,10:00- 22:00 ,,0
Fuzhou Cangshan Wanda shop,,"China 's Fuzhou City Cangshan District Pudong Road on the 276 Wanda Plaza 1-1, 1-2 shops",,,,,China,0591-88257116,23.68,- 113.29,10:00 - 22:00,,0
Foshan Ruian shop,,"No. 017, the first floor of Lingnan Tiandi Commercial Building, No. 29, Zumiao Road, Chancheng District, Foshan City, China",,,,,China,（0757）82667067,113.118524,-23.033463, 10:00 - 20:00,,0
Shenzhen China Airlines Nine Square Shopping Center shop,,China 's Shenzhen Futian District in the route on the 1st floor of nine - party shopping center,,,,,China,(0755) 8252 8537,114.027338,-22.633254,: 10:00-22:30,,0
Shantou Suning Square shop,,"China 's Shantou City Longhu District Changping Road 90, Suning Square layer",,,,,China,(0754) 81880043,116.722998,-23.367349, 10:00-23:00,,0
Zhanjiang Xiashan heyday shop shop,,"China 's Zhanjiang City, Xiashan District People' s Road South 116, heyday shopping mall on the first floor",,,,,China,(0759) 2262290,110.405693,-21.217725,周日: 09:300-23:00,,0
Zhuhai famous square shop,,"China 's Zhuhai City, Guangdong Province, Xiangzhou District, Phoenix Road 1066, 1st Floor, famous square",,,,,China,(0756) 6129636,113.583349,-22.282652, 10:00 -22:00,,0
Zhuhai Huafa shop,,"Zhuhai City, Guangdong Province, Zhuhai Road on the 8th Shanghai are on the 1st floor",,,,,China,(0756)8330577,113.516009,-22.231737,10:00 -22:00,,0
Shenzhen Longgang Vanke store,,"Longgang District, Longgang District, Longgang Road, Long Road, No. 7188 Vanke Square Square, L1-08 / 09",,,,,China,(0755) 33189977,114.251443,-22.721445,10:00 - 22:30,,0
Shenzhen Yitian Holiday Plaza shop,,"China 's Shenzhen City, Nanshan District Shennan Road 9028, Yi Tian Holiday Plaza B1-9-10-11 shop",,,,,China,(0755) 8629 8226,113.982422,-22.543376,10:00 - 22:30,,0
Shenzhen Jingji Baina shop,,"5013 Shennan East Road, Luohu District, Shenzhen, China.",,,,,China,(0755) 2290 0233,114.113084,-22.55122,10:00 - 22:30,,0
Guangzhou Tianhe City shop,,"Tianhe District, Guangzhou City, Guangdong Province, Tianhe Road, Tianhe City Plaza, the first floor of the north gate of 1103-1108",,,,,China,(020) 8559 2332,113.329753,-23.137948,10:00-22:00 ,,0
Guangzhou Pacific Valley shop,,"Tianhe Road, Tianhe District, Guangzhou City, 383, Taikoohui shopping mall MU28",,,,,China,(020) 3868 2230,113.338885,-23.139613,10:00 - 22:00,,0
Guangzhou Baiyun Wanda shop,,"China 's Guangzhou City Baiyun District Yuncheng Road 501, Wanda Plaza, the streets of the street shops",,,,,China,(020) 3668 5107,113.272814,-23.178164,09:50 - 22:30,,0
"Star River City, Dongguan store",,"China 's Dongguan City, Dongsheng Road 229, Galaxy City, 1st Floor",,,,,China,(0769) 2383 6050,23.22,- 108.26,10:00 - 22:00,,0
Nanning Vientiane City shop,,"Guangxi Nanning Qingxiu District National Road 136, Vientiane City, the second floor",,,,,China,(0771) 5896702,39.9,- 116.4,: 10:00-22:30,,0
Baoding Wanbo Square shop,,"Baoding City, Hebei Province, the new city of Chaoyang North Street 99, Wanbao Square, the first floor of 1025 stores",,,,,China,0312-6095428,115.476032,-38.881447,10:00 -22:00,,0
Tangshan Road South Wanda shop,,"China 's Tangshan City Road South Xinhua Road 100, Tangshan Wanda Plaza, a layer",,,,,China,(0315) 5102 722,118.194385,-39.630818,09:30-22:00,,0
Shijiazhuang Yuhua Wanda shop,,"China 's Shijiazhuang City, Yuhua District, 136 South Street, Shijiazhuang Wanda on the first floor",,,,,China,(0311) 6779 6368,114.551835,-38.028908,10:00-22:30,,0
Shijiazhuang Lehui City shop,,"No.3, Zhongshan East Road, Shijiazhuang, China",,,,,China,(0311)66187039,114.503818,-38.051703,10:00-22:30,,0
Langfang Wanda shop,,"China 's Langfang City, Guangyang District, Xinhua Road 50, Langfang Square, a layer of 1022-1025 shops",,,,,China,(0316) 5266 722,35.10,- 113.77,09:30-22:00 ,,0
Zhengzhou Xidi Hong Kong shop,,"Shop L1009-L1010, Vancouver Times Square Shopping Center, 15 East Agricultural Road, Zhengdong New District, Zhengzhou, China",,,,,China,(0371) 5857 0150,113.761794,-34.760837,10:00 - 22:00,,0
Zhengzhou Vientiane City shop,,"Zhengzhou City Erqi District Road on the 10th Road, China Resources Vientiane City on the second floor, L223 shops",,,,,China,(0371) 55528220,113.66949,-34.761759,10:00 - 22:00,,0
Luoyang Jianye triumphant square shop,,"China 's Luoyang City Zhongzhou Road 245, Jianye Square, a layer of construction industry",,,,,China,(0379) 6068 9633,112.456,-34.680732,10:00 - 22:00,,0
