store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Chandler Fashion Center,71,3111 West Chandler Blvd.,,Chandler,AZ,85206,United States,(480)855-5573,33.3016651,-111.8980181,Monday:10:00 AM - 09:00 PM;Tuesday:10:00 AM - 09:00 PM;Wednesday:10:00 AM - 09:00 PM;Thursday:10:00 AM - 09:00 PM;Friday:10:00 AM - 09:00 PM;Saturday:10:00 AM - 09:00 PM;Sunday:11:00 AM - 06:00 PM;,,0
Southland Mall,7,335 Southland Mall,,Hayward,CA,94545,United States,(510)783-8700,37.6503889,-122.1021572,Monday:10:00 AM - 09:00 PM;Tuesday:10:00 AM - 09:00 PM;Wednesday:10:00 AM - 09:00 PM;Thursday:10:00 AM - 09:00 PM;Friday:10:00 AM - 09:00 PM;Saturday:10:00 AM - 09:00 PM;Sunday:11:00 AM - 07:00 PM;,,0
Hanford Mall,37,1675 W. Lacey Blvd.,,Hanford,CA,93230,United States,(559)589-0718,36.3262285,-119.6702009,Monday:10:00 AM - 09:00 PM;Tuesday:10:00 AM - 09:00 PM;Wednesday:10:00 AM - 09:00 PM;Thursday:10:00 AM - 09:00 PM;Friday:10:00 AM - 09:00 PM;Saturday:10:00 AM - 08:00 PM;Sunday:11:00 AM - 07:00 PM;,,0
Glendale Galleria,58,2148 Glendale Galleria,,Glendale,CA,91210,United States,(818)662-7076,34.1448156,-118.259553,Monday:10:00 AM - 09:00 PM;Tuesday:10:00 AM - 09:00 PM;Wednesday:10:00 AM - 09:00 PM;Thursday:10:00 AM - 09:00 PM;Friday:10:00 AM - 09:00 PM;Saturday:10:00 AM - 09:00 PM;Sunday:11:00 AM - 07:00 PM;,,0
Fashion Fair Mall,55,711 East Shaw Ave. #E20,,Fresno,CA,93710,United States,(559)222-2557,36.8084779,-119.7755898,Monday:10:00 AM - 09:00 PM;Tuesday:10:00 AM - 09:00 PM;Wednesday:10:00 AM - 09:00 PM;Thursday:10:00 AM - 09:00 PM;Friday:10:00 AM - 09:00 PM;Saturday:10:00 AM - 09:00 PM;Sunday:11:00 AM - 07:00 PM;,,0
Fashion Fair Mall,14,563 East Shaw Ave.,,Fresno,CA,93710,United States,(559)229-2614,36.8080276,-119.7773305,Monday:10:00 AM - 09:00 PM;Tuesday:10:00 AM - 09:00 PM;Wednesday:10:00 AM - 09:00 PM;Thursday:10:00 AM - 09:00 PM;Friday:10:00 AM - 09:00 PM;Saturday:10:00 AM - 09:00 PM;Sunday:11:00 AM - 07:00 PM;,,0
WFS Solano Mall,9,1350 Travis Blvd,,Fairfield,CA,94533,United States,(707)404-8900,38.2641148,-122.0528268,Monday:10:00 AM - 09:00 PM;Tuesday:10:00 AM - 09:00 PM;Wednesday:10:00 AM - 09:00 PM;Thursday:10:00 AM - 09:00 PM;Friday:10:00 AM - 09:00 PM;Saturday:10:00 AM - 09:00 PM;Sunday:11:00 AM - 06:00 PM;,,0
WFS North County Mall,70,272 East Via Rancho,,Escondido,CA,92025,United States,(760)432-8861,33.0698523,-117.0647813,Monday:10:00 AM - 09:00 PM;Tuesday:10:00 AM - 09:00 PM;Wednesday:10:00 AM - 09:00 PM;Thursday:10:00 AM - 09:00 PM;Friday:10:00 AM - 09:00 PM;Saturday:10:00 AM - 09:00 PM;Sunday:11:00 AM - 07:00 PM;,,0
WFS Parkway,38,741 Parkway Plaza sp R-9,,El Cajon,CA,92020,United States,(619)593-7225,32.7963222,-116.9675814,Monday:10:00 AM - 09:00 PM;Tuesday:10:00 AM - 09:00 PM;Wednesday:10:00 AM - 09:00 PM;Thursday:10:00 AM - 09:00 PM;Friday:10:00 AM - 09:00 PM;Saturday:10:00 AM - 09:00 PM;Sunday:10:00 AM - 07:00 PM;,,0
Stonewood Mall,86,139 Stonewood St.,,Downey,CA,90241,United States,(562)622-0591,33.9384742,-118.1209637,Monday:10:00 AM - 09:00 PM;Tuesday:10:00 AM - 09:00 PM;Wednesday:10:00 PM - 09:00 PM;Thursday:10:00 AM - 09:00 PM;Friday:10:00 AM - 09:00 PM;Saturday:10:00 AM - 08:00 PM;Sunday:11:00 AM - 07:00 PM;,,0
