store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Thrifty Foods Cloverdale,15555,3475 Quadra Street,,Victoria,British Columbia,V8X 1G8,Canada,(250) 382-2751,48.45423,-123.359205,Friday: Open 24 hours,,0
Thrifty Foods Quadra,15545,#101 - 3995 Quadra Street,,Victoria,British Columbia,V8X 1J8,Canada,(250) 483-0029,48.468763,-123.363035,Friday: 7:00 AM - 12:00 AM,,0
Thrifty Foods Hillside,15559,1580 Hillside Avenue,,Victoria,British Columbia,V8T 4Y3,Canada,(250) 370-9591,48.445471,-123.337711,Friday: 6:00 AM - 12:00 AM,,0
Thrifty Foods Tuscany Village,15563,1626 McKenzie Avenue,,Victoria,British Columbia,V8N 1A5,Canada,(250) 360-0692,48.46881,-123.329193,Friday: 6:00 AM - 12:00 AM,,0
Thrifty Foods James Bay,15548,475 Simcoe Street,,Victoria,British Columbia,V8V 4T4,Canada,(250) 386-2554,48.415377,-123.374823,Friday: Open 24 hours,,0
Thrifty Foods Fairfield,15544,1590 Fairfield Road,,Victoria,British Columbia,V8S 1G1,Canada,(250) 598-9193,48.412547,-123.338979,Friday: 7:00 AM - 12:00 AM,,0
Thrifty Foods Admirals Walk,15557,1495 Admirals Road,,Victoria,British Columbia,V9A 2P8,Canada,(250) 380-6505,48.447891,-123.426818,Friday: 6:00 AM - 10:00 PM,,0
Thrifty Foods Broadmead,15551,#100 - 777 Royal Oak Drive,,Victoria,British Columbia,V8X 4V1,Canada,(250) 727-7633,48.49752,-123.382959,Friday: 6:00 AM - 12:00 AM,,0
Thrifty Foods Sooke Delivery Service,15550G1,1860 Island Highway,,Victoria,British Columbia,V9Z 0A1,Canada,(250) 474-2168,48.444049,-123.469036,Friday: Open 24 hours,,0
Thrifty Foods Colwood,15550,1860 Island Highway,,Victoria,British Columbia,V9B 1J2,Canada,(250) 474-2168,48.444049,-123.469036,Friday: Open 24 hours,,0
Thrifty Foods Central Saanich,15556,7860 Wallace Drive,,Saanichton,British Columbia,V8M 2B3,Canada,(250) 544-0980,48.595019,-123.417409,Friday: 7:00 AM - 10:00 PM,,0
Thrifty Foods Sidney,15547,9810 Seventh Street,,Sidney,British Columbia,V8L 4W6,Canada,(250) 656-0946,48.649627,-123.404338,Friday: 7:00 AM - 10:00 PM,,0
Thrifty Foods Mill Bay,15546,#50 - 2720 Mill Bay Road,,Mill Bay,British Columbia,V0R 2P0,Canada,(250) 743-3261,48.65075,-123.558866,Friday: 7:00 AM - 10:00 PM,,0
Thrifty Foods Saltspring Island,15553,114 Purvis Lane,,Saltspring Island,British Columbia,V8K 2S5,Canada,(250) 537-1522,48.829221,-123.482266,Friday: 7:30 AM - 10:00 PM,,0
Thrifty Foods Duncan,16141,#1 - 2755 Beverly Street,,Duncan,British Columbia,V9L 6X2,Canada,(250) 715-2630,48.786498,-123.707292,Friday: 7:00 AM - 10:00 PM,,0
Thrifty Foods Tsawwassen,15560,#1207 - 56th Street,,Delta,British Columbia,V4L 2A6,Canada,(604) 948-9210,49.025737,-123.069063,Friday: 7:00 AM - 10:00 PM,,0
Thrifty Foods Morgan Crossing,16844,#102 - 15745 Croydon Drive,,Surrey,British Columbia,V3Z 2L5,Canada,(604) 542-7851,49.056668,-122.795416,Friday: 7:00 AM - 10:00 PM,,0
Thrifty Foods Port Place,15549,650 South Terminal Avenue,,Nanaimo,British Columbia,V9R 5E2,Canada,(250) 729-2937,49.164391,-123.933464,Friday: 7:00 AM - 10:00 PM,,0
Thrifty Foods North Vancouver,17166,#120 - 845 Marine Drive,,North Vancouver,British Columbia,V7P 1R7,Canada,(604) 929-2299,49.321301,-123.098122,Friday: 7:00 AM - 10:00 PM,,0
Thrifty Foods Longwood Station,15558,5801 Turner Road,,Nanaimo,British Columbia,V9T 6L8,Canada,(250) 729-4950,49.224172,-124.035953,Friday: 8:00 AM - 10:00 PM,,0
Thrifty Foods Port Moody,16045,170 Brew Street,,Port Moody,British Columbia,V3H 0E7,Canada,(604) 949-4251,49.279849,-122.828423,Friday: 7:00 AM - 10:00 PM,,0
Thrifty Foods Maple Ridge,17604,#11895 - 226th Street,,Maple Ridge,British Columbia,V2X 8S2,Canada,(604) 477-3081,49.217444,-122.59645,Friday: 7:00 AM - 10:00 PM,,0
Thrifty Foods Parksville,15552,280 East Island Highway,,Parksville,British Columbia,V9P 2H1,Canada,(250) 248-8823,49.317856,-124.305465,Friday: 7:00 AM - 10:00 PM,,0
Thrifty Foods Courtenay Cliffe Ave,22584,1551 Cliffe Ave,,Courtenay,British Columbia,V9N 2K6,Canada,(250) 338-1383,49.685,-124.993,Friday: 7:00 AM - 10:00 PM,,0
Thrifty Foods Crown Isle,17605,#100 - 444 Lerwick Road,,Courtenay,British Columbia,V9N 9G4,Canada,(250) 331-5101,49.709989,-124.968456,Friday: 7:00 AM - 10:00 PM,,0
Thrifty Foods Campbell River,15561,1400 Ironwood Road,,Campbell River,British Columbia,V9W 5T5,Canada,(250) 850-3581,50.02893,-125.256684,Friday: 7:00 AM - 9:00 PM,,0
