store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
MEIJER,1007076612,1770 WEST LANE RD,,MACHESNEY PARK,IL,61115,US,,42.3656830992344,-89.0190589620146,,,0
MEIJER,1007076496,2013 MCFARLAND RD,,RCOKFORD,IL,61107,US,,42.29045,-88.97774,,,0
MEIJER,1007076823,1900 E. COLLEGE AVE.,,NORMAL,IL,61761,US,,40.5103878571429,-88.9464085714286,,,0
MEIJER,1007076519,400 S. RANDALL ROAD,,ALGONQUIN,IL,60102,US,,42.1701918286555,-88.33526,,,0
MEIJER,1007076653,2253 N RICHMOND RD,,MCHENRY,IL,60050,US,,42.3594044295302,-88.2673065100671,,,0
MEIJER,1007076555,815 S. RANDALL RD.,,ELGIN,IL,60123,US,,42.0142899286982,-88.3362690892886,,,0
MEIJER,1007076550,855 S. RANDALL RD.,,ST. CHARLES,IL,60174,US,,41.9004083333333,-88.34024,,,0
MEIJER,1007076461,2700 ROUTE 34,,OSWEGO,IL,60543,US,,41.68273,-88.36814,,,0
MEIJER,1007077166,11111 W BURLEIGH ST,,WAUWATOSA,WI,53222,US,,43.0746363997013,-88.051320017426,,,0
MEIJER,1007077114,1600 N. PORT WASHINGTON RD,,GRAFTON,WI,53024,US,,43.3354299367528,-87.9254795981026,,,0
MEIJER,1007076808,808 N. ROUTE 59,,AURORA,IL,60504,US,,41.76758,-88.20591,,,0
MEIJER,1007076697,130 S. GARY AVE,,BLOOMINGDALE,IL,60108,US,,41.9532873684211,-88.1204957894737,,,0
MEIJER,1007076392,13521 S. ROUTE 59,,PLAINFIELD,IL,60544,US,,41.63337,-88.20282,,,0
MEIJER,1007076353,171 W. TOWN SQUARE WAY,,OAK CREEK,WI,53154,US,,42.88189,-87.90499,,,0
MEIJER,1007076647,225 N. NAPERVILLE ROAD,,BOLINGBROOK,IL,60440,US,,41.70845,-88.12727,,,0
MEIJER,1007076397,7701 GREEN BAY RD,,KENOSHA,WI,53142,US,,42.5643647474747,-87.8879828282828,,,0
MEIJER,1007076924,1301 MEIJER DRIVE,,ROLLING MEADOWS,IL,60008,US,,42.05137,-87.99655,,,0
MEIJER,1007076605,755 E BOUGHTON ROAD,,BOLINGBROOK,IL,60440,US,,41.7232033333333,-88.0385975,,,0
Timberland&reg<br> - Calhoun Square,1367713328,3001 Hennepin Ave,Suite 1170,Minneapolis,MN,55408,US,612-825-1142,44.94837,-93.2983,,,0
Timberland&reg<br>,238219673,245 Bellevue Square,Space D6U,Bellevue,WA,98004,US,425-453-4685,47.6160193641619,-122.201698381503,,,0
Timberland #335,672543834,20 City Boulevard West,Space 1425,Orange,CA,92868,US,,33.7848294,-117.8935314,,,0
Timberland&reg<br> - San Francisco Centre,1253297196,845 Market Street,Suite 145,San Francisco,CA,94103,US,415-777-5830,37.784695,-122.407163333333,,,0
Timberland&reg<br> - Woodfield,-176530202,L301 Woodfield Mall,,Schaumburg,IL,60173,US,847-619-6275,42.04937,-88.03944,,,0
BOOT BARN,350361931,727 N FEDERAL,,RIVERTON,WY,82501,US,,43.03084875,-108.38064,,,0
BOOT BARN,350361925,3510 EAST 2ND STREET,,CASPER,WY,82609,US,,42.8488506836854,-106.280170268495,,,0
SPORTSMANS WAREHOUSE,1428478787,4120 EAST 2ND STREET,,CASPER,WY,82609,US,3072333700,42.8489020408163,-106.274453877551,,,0
WYOMING WORK WAREHOUSE,1428475549,4330 EAST 2ND STREET,,CASPER,WY,82609,US,3072347044,42.8489521276596,-106.270398510638,,,0
WYOMING WORK WAREHOUSE,350363720,4330 EAST 2ND STREET,,CASPER,WY,82609,US,307-237-8011,42.8489521276596,-106.270398510638,,,0
MACYS,1428472682,501 WYOMING BOULEVARD,C/O MACYS CASPER,CASPER,WY,82609,US,3072359129,42.8461206031484,-106.269346438889,,,0
DICK'S SPORTING GOODS,-1155611212,ADDRESS TO FOLLOW,,CASPER,WY,82609,US,,42.83992,-106.27081,,,0
DICK'S SPORTING GOODS,350369159,EASTRIDGE MALL,601 Se Wyoming Blvd,CASPER,WY,82609,US,307-265-4266,42.84418,-106.26679,,,0
FOOT LOCKER,1428469334,601 SE WYOMING BOULEVARD,EASTRIDGE MALL,CASPER,WY,82609,US,3075775672,42.84418,-106.26679,,,0
JOURNEYS,1428468887,601 S E WYOMING ROAD,EASTRIDGE MALL,CASPER,WY,82609,US,3072349433,42.8460575,-106.2656422,,,0
FRANDSON SAFETY INC,350366722,1100 US HIGHWAY 16,,WORLAND,WY,82401,US,307-347-9430,44.0283796,-107.9542176,,,0
FRANDSON SAFETY,-1155615905,1100 US HIGHWAY 16,,WORLAND,WY,82401,US,,44.0283796,-107.9542176,,,0
KOYOTY SPORTS,1007071317,104 E BRIDGE AVE,(blank),SARATOGA,WY,82331,US,307-326-5551,41.4547808163265,-106.807625102041,,,0
SHIPTON'S BIG R SHERIDAN,350363927,2049 Sugarland Dr,,SHERIDAN,WY,82801-5747,US,307-674-6471,44.7754484592888,-106.939565058854,,,0
BOOT BARN,350361923,150 NORTH MAIN STREET,,SHERIDAN,WY,82801,US,,44.7988913793103,-106.955852758621,,,0
FOOT OF THE BIGHORNS,1428474770,171 NORTH MAIN STREET,SUITE B,SHERIDAN,WY,82801,US,3076737500,44.799172,-106.955847,,,0
BOOT BARN,350361899,1625 STAMPEDE DRIVE,,CODY,WY,82414,US,,44.51885,-109.055403684344,,,0
WAYNES BOOT SHOP,350365710,1250 SHERIDAN AVENUE,,CODY,WY,82414,US,307-587-5234,44.5260768398608,-109.063030213228,,,0
BOOT BARN,350361917,1683 SUNSET DRIVE,,ROCKY SPRING,WY,82901,US,,41.5764356085562,-109.254546085562,,,0
FOOT LOCKER,1428469542,2441 FOOTHILL BOULEVARD,WHITE MOUNTAIIN MALL,ROCK SPRINGS,WY,82901,US,3073827920,41.5794395918367,-109.26343755102,,,0
WYOMING WORK WAREHOUSE,1428475547,2400 CASCADE DRIVE,,ROCK SPRINGS,WY,82901,US,,41.57807,-109.26595,,,0
WYOMING WORK WAREHOUSE,350363710,2400 CASCADE DRIVE,,ROCK SPRINGS,WY,82901,US,307-362-2991,41.57807,-109.26595,,,0
WYOMING WORK WAREHOUSE,350363719,410 EAST LAKEWAY ROAD,,GILLETTE,WY,82718,US,307-682-5053,44.26908,-105.49733,,,0
WYOMING WORK WAREHOUSE,1428475548,410 EAST LAKEWAY ROAD,,GILLETTE,WY,82718,US,3076825053,44.26908,-105.49733,,,0
BOOT BARN,350361930,2610 S DOUGLAS HWY,,GILLETTE,WY,82718,US,,44.2710723529412,-105.494061764706,,,0
LINTON'S BIG R,350367632,455 SOUTH ABSAROKA ST,,POWELL,WY,82435,US,307-754-9521,44.7483461537182,-108.75901,,,0
BOOT BARN,350361898,158 NORTH THIRD,,LARAMIE,WY,82072,US,,41.3134703567267,-105.593350322765,,,0
DODDSCO INC,1007071286,401 S 2ND STREET,(blank),LARAMIE,WY,82070-3613,US,,41.31016,-105.595,,,0
DODDS BOOTERY,1428465647,401 SOUTH 2ND STREET,,LARAMIE,WY,82070,US,3077455455,41.31016,-105.595,,,0
BOOT BARN,350361949,840 WEST BROADWAY,,JACKSON,WY,83002,US,,43.4745174086443,-110.781057191717,,,0
